Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Abu Zacarías;Hombre;Abu Zacarías;0.0;;;;;;;1
Calle Agustín Córcoles;Hombre;Agustín Córcoles;0.0;;;;;;;
Plaza Albacete Balompié;Hombre;Albacete Balompié;0.0;;;;;;;
Plaza Alberto Mateos;Hombre;Alberto Mateos;0.0;;;;;;;1
Calle Alcalde Conangla;Hombre;Alcalde Conangla;0.0;;;;;;;1
Avenida Alcalde José María Blanc;Hombre;Alcalde José María Blanc;0.0;;;;;;;
Calle Alcalde José María de Miguel;Hombre;Alcalde José María de Miguel;0.0;;;;;;;1
Calle Alcalde Martínez de la Ossa;Hombre;Alcalde Martínez de la Ossa;0.0;;;;;;;1
Calle Alcalde Virgilio Martínez Gutiérrez;Hombre;Alcalde Virgilio Martínez Gutiérrez;0.0;;;;;;;
Calle Alejandro VI;Hombre;Alejandro VI;0.0;;;;;;;
Calle Alonso Cano;Hombre;Alonso Cano;0.0;;;;;;;1
Calle Alonso Quijano;Hombre;Alonso Quijano;0.0;;;;;;;
Calle Amadís de Gaula;Hombre;Amadís de Gaula;0.0;1.0;;;;;;
Calle Ángel;Hombre;Ángel;0.0;;;;;;;
Calle Antonio Cuevas Belmonte;Hombre;Antonio Cuevas Belmonte;0.0;;;;;;;
"""Calle Antonio Fernández """"Maza""""""";Hombre;"""Antonio Fernández """"Maza""""""";0.0;;;;;;;
Calle Antonio Gotor;Hombre;Antonio Gotor;0.0;;;;;;;
Calle Antonio Machado;Hombre;Antonio Machado;0.0;;;;;;;1
Pasaje Antonio Raimundo;Hombre;Antonio Raimundo;0.0;;;;;;;
Calle Arcángel San Gabriel;Hombre;Arcángel San Gabriel;1.0;;;;;;;1
Calle Arcipreste Gálvez;Hombre;Arcipreste Gálvez;0.0;;;;;;;1
Calle Arquitecto Daniel Rubio;Hombre;Arquitecto Daniel Rubio;0.0;;;;;;;
Calle Arquitecto Fernández;Hombre;Arquitecto Fernández;0.0;;;;;;;1
Calle Arquitecto Josef Ximénez;Hombre;Arquitecto Josef Ximénez;0.0;;;;;;;
Avenida Arquitecto Julio Carrilero;Hombre;Arquitecto Julio Carrilero;0.0;;;;;;;1
Calle del Arquitecto Vandelvira;Hombre;Arquitecto Vandelvira;0.0;;;;;;;1
Calle Asensio;Hombre;Asensio;0.0;;;;;;;
Calle Azorín;Hombre;Azorín;0.0;;;;;;;1
Calle de Bachiller Sansón Carrasco;Hombre;Bachiller Sansón Carrasco;0.0;;;;;;;
Plaza Benjamín Palencia;Hombre;Benjamín Palencia;0.0;;;;;;;1
Calle Bernabé Cantos;Hombre;Bernabé Cantos;0.0;;;;;;;1
Calle Bernardo Goig;Hombre;Bernardo Goig;0.0;;;;;;;
Calle Blasco de Garay;Hombre;Blasco de Garay;0.0;;;;;;;1
Calle Blasco Ibáñez;Hombre;Blasco Ibáñez;0.0;;;;;;;1
Calle Bonifacio Sotos Ochando;Hombre;Bonifacio Sotos Ochando;0.0;;;;;;;
Calle del Buen Pastor;Hombre;Buen Pastor;1.0;;;;;;;
Pasaje Caballero de los Espejos;Hombre;Caballero de los Espejos;0.0;;;;;;;
Calle Caballero Montesinos;Hombre;Caballero Montesinos;0.0;;;;;;;
Calle Calderón de la Barca;Hombre;Calderón de la Barca;0.0;;;;;;;1
Travesía Calle Concejal Antolín Tendero;Hombre;Calle Concejal Antolín Tendero;0.0;;;;;;;
Calle Camilo Gaude;Hombre;Camilo Gaude;0.0;;;;;;;
Pasaje Capitán Grant;Hombre;Capitán Grant;0.0;;;;;;;1
Calle Capitán Montoro;Hombre;Capitán Montoro;0.0;;;;;;;
Calle Cardenal Cisneros;Hombre;Cardenal Cisneros;0.0;;;;;;;1
Calle del Cardenal Tabera y Araoz;Hombre;Cardenal Tabera y Araoz;0.0;;;;;;;
Calle Casas Ibáñez;Hombre;Casas Ibáñez;0.0;;;;;;;
Calle Cervantes;Hombre;Cervantes;0.0;;;;;;;1
Callejón Cervantes;Hombre;Cervantes;0.0;;;;;;;1
Calle Churruca;Hombre;Churruca;0.0;;;;;;;
Calle el Cid;Hombre;Cid;0.0;;;;;;;1
Calle Concejal Antolín Tendero;Hombre;Concejal Antolín Tendero;0.0;;;;;;;
Calle Concejal Castillo;Hombre;Concejal Castillo;0.0;;;;;;;1
Calle Concejal Prieto Rojas;Hombre;Concejal Prieto Rojas;0.0;;;;;;;
Calle Concepción;Mujer;Inmaculada Concepción;1.0;;dogma de la Iglesia católica;https://es.wikipedia.org/wiki/Inmaculada_Concepci%C3%B3n;http://commons.wikimedia.org/wiki/Special:FilePath/Murillo%20immaculate%20conception.jpg;;;1
Avenida Constantino Romero;Hombre;Constantino Romero;0.0;;;;;;;
Calle Cristóbal Colón;Hombre;Cristóbal Colón;0.0;;;;;;;1
Calle Cristóbal Lozano;Hombre;Cristóbal Lozano;0.0;;;;;;;1
Calle Cristóbal Pérez Pastor;Hombre;Cristóbal Pérez Pastor;0.0;;;;;;;1
Calle Cronista Francisco Ballesteros Gómez;Hombre;Cronista Francisco Ballesteros Gómez;0.0;;;;;;;
Calle Cronista José Sánchez de la Rosa;Hombre;Cronista José Sánchez de la Rosa;0.0;;;;;;;
Avenida Cronista Mateos y Sotos;Hombre;Cronista Mateos y Sotos;0.0;;;;;;;
Calle Cruz al Norte;Hombre;Cruz al Norte;0.0;;;;;;;1
Calle el Cura;Hombre;Cura;1.0;;;;;;;1
Calle Daniel Sánchez Ortega;Hombre;Daniel Sánchez Ortega;0.0;;;;;;;
Calle Daoíz;Hombre;Daoíz;0.0;;;;;;;
Calle Demetrio Nalda;Hombre;Demetrio Nalda;0.0;;;;;;;
Calle Diego de Alarcón;Hombre;Diego de Alarcón;0.0;;;;;;;1
Calle Diego de Almagro;Hombre;Diego de Almagro;0.0;;;;;;;
Calle Diego de Velázquez;Hombre;Diego de Velázquez;0.0;;;;;;;1
Calle Dionisio Acebal;Hombre;Dionisio Acebal;0.0;;;;;;;1
Calle Dionisio Guardiola;Hombre;Dionisio Guardiola;0.0;;;;;;;1
Calle Doctor Alonso Vidal;Hombre;Doctor Alonso Vidal;0.0;;;;;;;1
Avenida Doctor Arturo Cortés;Hombre;Doctor Arturo Cortés;0.0;;;;;;;
Calle Doctor Barraquer;Hombre;Doctor Barraquer;0.0;;;;;;;
Calle Doctor Beltrán Mateos;Hombre;Doctor Beltrán Mateos;0.0;;;;;;;
Calle Doctor Bonilla;Hombre;Doctor Bonilla;0.0;;;;;;;1
Calle Doctor Braille;Hombre;Doctor Braille;0.0;;;;;;;
Calle Doctor Collado Piña;Hombre;Doctor Collado Piña;0.0;;;;;;;1
Calle Doctor Cristóbal Sánchez;Hombre;Doctor Cristóbal Sánchez;0.0;;;;;;;
Calle Doctor Eugenio Serna;Hombre;Doctor Eugenio Serna;0.0;;;;;;;
Calle Doctor Ferrán;Hombre;Doctor Ferrán;0.0;;;;;;;1
Calle Doctor Fleming;Hombre;Doctor Fleming;0.0;;;;;;;1
Avenida Doctor Francisco Gaspar Huelves;Hombre;Doctor Francisco Gaspar Huelves;0.0;;;;;;;
Calle Doctor Galiacho;Hombre;Doctor Galiacho;0.0;;;;;;;
Travesía Doctor García Reyes;Hombre;Doctor García Reyes;0.0;;;;;;;
Calle Doctor García Reyes;Hombre;Doctor García Reyes;0.0;;;;;;;
Calle Doctor Ismael Piñero;Hombre;Doctor Ismael Piñero;0.0;;;;;;;
Calle Doctor Jiménez Díaz;Hombre;Doctor Jiménez Díaz;0.0;;;;;;;
Avenida Doctor José María Sánchez Ibáñez;Hombre;Doctor José María Sánchez Ibáñez;0.0;;;;;;;
Plaza Doctor Marañón;Hombre;Doctor Marañón;0.0;;;;;;;
Calle Doctor Plácido González Duarte;Hombre;Doctor Plácido González Duarte;0.0;;;;;;;
Calle Don Guillermo;Hombre;Don Guillermo;0.0;;;;;;;1
Calle Don Quijote;Hombre;Don Quijote;0.0;1.0;;;;;;
Calle del Duque;Hombre;Duque;0.0;;;;;;;
Calle Duque de Rivas;Hombre;Duque de Rivas;0.0;;;;;;;
Avenida Eleazar Huerta;Hombre;Eleazar Huerta;0.0;;;;;;;
