Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Avenida de Gustavo Adolfo Bécquer;Hombre;Gustavo Adolfo Bécquer;0.0;;;;;;;
Avenida Benito Pérez Galdós;Hombre;Benito Pérez Galdós;0.0;;;;;;;
Plaza Reina María Cristina;Mujer;Reina María Cristina;0.0;;;;;;;
Plaza Panamá;NA;Panamá;0.0;;;;;;;
Avenida de Daganzo;NA;Daganzo;0.0;;;;;;;1
Glorieta de Vicente Aleixandre;Hombre;Vicente Aleixandre;0.0;;;;;;;
Avenida de Miguel de Unamuno;Hombre;Miguel de Unamuno;0.0;;;;;;;
Plaza de José de Espronceda;Hombre;José de Espronceda;0.0;;;;;;;
Calle José María Pereda;Hombre;José María Pereda;0.0;;;;;;;
Calle Rosalía de Castro;Mujer;Rosalía de Castro;0.0;;poetisa y novelista gallega;https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Castro;http://commons.wikimedia.org/wiki/Special:FilePath/Rosal%C3%ADa%20Castro%20de%20Murgu%C3%ADa%20por%20Luis%20Sellier.jpg;1838-02-23T00:00:00Z;1885-07-15T00:00:00Z;
Calle Octavio Paz;Hombre;Octavio Paz;0.0;;;;;;;
Calle Miguel Hernández;Hombre;Miguel Hernández;0.0;;;;;;;
Calle de Federico García Lorca;Hombre;Federico García Lorca;0.0;;;;;;;
Calle Pío Baroja;Hombre;Pío Baroja;0.0;;;;;;;
Calle Leopoldo Alas Clarín;Hombre;Leopoldo Alas Clarín;0.0;;;;;;;
Calle José María Pemán;Hombre;José María Pemán;0.0;;;;;;;
Calle José Martínez Ruiz Azorín;Hombre;José Martínez Ruiz Azorín;0.0;;;;;;;
Avenida del Doctor Marañón;Hombre;Doctor Marañón;0.0;;;;;;;
Carretera de Camarma;NA;Camarma;0.0;;;;;;;
Calle Nicolás Guillén;Hombre;Nicolás Guillén;0.0;;;;;;;
Calle Dulce María Loynaz;Mujer;Dulce María Loynaz;0.0;;escritora cubana;https://es.wikipedia.org/wiki/Dulce_Mar%C3%ADa_Loynaz;http://commons.wikimedia.org/wiki/Special:FilePath/Dulce%20frente%20a%20su%20escritorio.jpg;1903-12-10T00:00:00Z;1997-04-27T00:00:00Z;
Calle Jorge Luis Borges;Hombre;Jorge Luis Borges;0.0;;;;;;;
Calle Juan Carlos Onetti;Hombre;Juan Carlos Onetti;0.0;;;;;;;
Calle de Gonzalo Torrente Ballester;Hombre;Gonzalo Torrente Ballester;0.0;;;;;;;
Calle de Gabriela Mistral;Mujer;Gabriela Mistral;0.0;;poetisa, diplomática y profesora chilena;https://es.wikipedia.org/wiki/Gabriela_Mistral;http://commons.wikimedia.org/wiki/Special:FilePath/Gabriela%20Mistral%201945.jpg;1889-04-07T00:00:00Z;1957-01-10T00:00:00Z;
Calle Ernesto Sábato;Hombre;Ernesto Sábato;0.0;;;;;;;
Calle Guillermo Cabrera Infante;Hombre;Guillermo Cabrera Infante;0.0;;;;;;;
Calle Adolfo Bioy Casares;Hombre;Adolfo Bioy Casares;0.0;;;;;;;
Calle Rubén Darío;Hombre;Rubén Darío;0.0;;;;;;;
Calle José García Nieto;Hombre;José García Nieto;0.0;;;;;;;
Calle María Zambrano;Mujer;María Zambrano;0.0;;pensadora, filósofa y ensayista española;https://es.wikipedia.org/wiki/Mar%C3%ADa_Zambrano;http://commons.wikimedia.org/wiki/Special:FilePath/Mural%20feminista%20Gandia%20-%20Maria%20Zambrano.jpg;1904-04-22T00:00:00Z;1991-02-06T00:00:00Z;
Calle Carlos Fuentes;Hombre;Carlos Fuentes;0.0;;;;;;;
Plaza Carlos Arniches;Hombre;Carlos Arniches;0.0;;;;;;;
Ramiro de Maeztu;Hombre;Ramiro de Maeztu;0.0;;;;;;;
Calle Bertolt Brecht;Hombre;Bertolt Brecht;0.0;;;;;;;
Calle Mario Vargas Llosa;Hombre;Mario Vargas Llosa;0.0;;;;;;;
Calle Dámaso Alonso;Hombre;Dámaso Alonso;0.0;;;;;;;
Calle Alejo Carpentier;Hombre;Alejo Carpentier;0.0;;;;;;;
Calle José Gabriel y Galán;Hombre;José Gabriel y Galán;0.0;;;;;;;
Calle Gerardo Diego;Hombre;Gerardo Diego;0.0;;;;;;;
Calle Senda de la Cultura;NA;Senda de la Cultura;0.0;;;;;;;
Calle Emilia Pardo Bazán;Mujer;Emilia Pardo Bazán;0.0;;escritora española;https://es.wikipedia.org/wiki/Emilia_Pardo_Baz%C3%A1n;http://commons.wikimedia.org/wiki/Special:FilePath/1921-05-21%2C%20La%20Esfera%2C%20Condesa%20de%20Pardo%20Baz%C3%A1n%2C%20Gamonal.jpg;1851-09-16T00:00:00Z;1921-05-12T00:00:00Z;
Calle Manuel Machado;Hombre;Manuel Machado;0.0;;;;;;;
Camino del Molino;NA;Molino;0.0;;;;;;;
Calle Romero;NA;Romero;0.0;;;;;;;
Calle Tomillo;NA;Tomillo;0.0;;;;;;;
Calle de José Moreno;Hombre;José Moreno;0.0;;;;;;;
Calle Lavanda;NA;Lavanda;0.0;;;;;;;
Camino del Prado Carnicero;NA;Prado Carnicero;0.0;;;;;;;
Calle de México;NA;México;0.0;;;;;;;
Calle de Guinea Ecuatorial;NA;Guinea Ecuatorial;0.0;;;;;;;
Avenida del Descubrimiento;NA;Descubrimiento;0.0;;;;;;;
Camino de El Olivar;NA;Olivar;0.0;;;;;;;
Avenida de las Pasionistas;NA;Pasionistas;0.0;;;;;;;
Calle de Colombia;NA;Colombia;0.0;;;;;;;
Calle Chile;NA;Chile;0.0;;;;;;;
Calle Bolivia;NA;Bolivia;0.0;;;;;;;
Bulevar de la Habana;NA;Habana;0.0;;;;;;;
Calle de Caracas;NA;Caracas;0.0;;;;;;;
Calle de Lima;NA;Lima;0.0;;;;;;;
Plaza El Salvador;NA;Salvador;0.0;;;;;;;
Calle Francisco Umbral;Hombre;Francisco Umbral;0.0;;;;;;;
Bulevar de Buenos Aires;NA;Buenos Aires;0.0;;;;;;;
Calle Augusto Roa Bastos;Hombre;Augusto Roa Bastos;0.0;;;;;;;
Calle Francisco Ayala;Hombre;Francisco Ayala;0.0;;;;;;;
Calle Ramón María del Valle Inclán;Hombre;Ramón María del Valle Inclán;0.0;;;;;;;
Jacinto Verdaguer;Hombre;Jacinto Verdaguer;0.0;;;;;;;
Calle Antonio Buero Vallejo;Hombre;Antonio Buero Vallejo;0.0;;;;;;;
Calle Concepción Arenal;Mujer;Concepción Arenal;0.0;;escritora, abogada y proto-trabajadora social española;https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal;http://commons.wikimedia.org/wiki/Special:FilePath/Concepcion%20Arenal%201.jpg;1820-01-31T00:00:00Z;1893-02-04T00:00:00Z;
Calle Torres de la Alameda;NA;Torres de la Alameda;0.0;;;;;;;
Calle de Zarzuela del Monte;NA;Zarzuela del Monte;0.0;;;;;;;
Calle Miguel Delibes;Hombre;Miguel Delibes;0.0;;;;;;;
Calle de Trinidad Y Tobago;NA;Trinidad Y Tobago;0.0;;;;;;;
Calle de la República Dominicana;NA;República Dominicana;0.0;;;;;;;
Plaza de Guatemala;NA;Guatemala;0.0;;;;;;;
Calle de Bahamas;NA;Bahamas;0.0;;;;;;;
Calle de las Islas Caimán;NA;Islas Caimán;0.0;;;;;;;
Calle de Honduras;NA;Honduras;0.0;;;;;;;
Calle de Santo Domingo;NA;Santo Domingo;1.0;;;;;;;
Calle Haití;NA;Haití;0.0;;;;;;;
Calle Belice;NA;Belice;0.0;;;;;;;
Calle de Gonzalo Rojas;Hombre;Gonzalo Rojas;0.0;;;;;;;
Avenida de Miguel Ángel Blanco;Hombre;Miguel Ángel Blanco;0.0;;;;;;;
Avenida Víctimas del Terrorismo;NA;Víctimas del Terrorismo;0.0;;;;;;;
Calle de Sancho Garcés El Mayor;Hombre;Sancho Garcés El Mayor;0.0;;;;;;;
Glorieta de Enrique II;Hombre;Enrique II;0.0;;;;;;;
Calle de Álvaro Mutis;Hombre;Álvaro Mutis;0.0;;;;;;;
