Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza de los Abogados de Atocha;Hombre;Abogados de Atocha;0.0;;;;;;;1
Calle de Ángel Baena López;Hombre;Ángel Baena López;0.0;;;;;;;1
Calle de Antonio López;Hombre;Antonio López;0.0;;;;;;;1
Calle de Antonio Machado;Hombre;Antonio Machado;0.0;;;;;;;1
Calle Antonio Méndez;Hombre;Antonio Méndez;0.0;;;;;;;1
Calle Antonio Nebrija;Hombre;Antonio Nebrija;0.0;;;;;;;
Calle de Arsenio Fuster;Hombre;Arsenio Fuster;0.0;;;;;;;1
Calle del Bachiller Alonso López;Hombre;Bachiller Alonso López;0.0;;;;;;;1
Plaza Barón Pierre de Coubertin;Hombre;Barón Pierre de Coubertin;0.0;;;;;;;1
Calle de Blas de Otero;Hombre;Blas de Otero;0.0;;;;;;;1
Calle Blas de Otero;Hombre;Blas de Otero;0.0;;;;;;;
Calle Calderón de la Barca;Hombre;Calderón de la Barca;0.0;;;;;;;
Calle de Camilo José Cela;Hombre;Camilo José Cela;0.0;;;;;;;
Calle Camino del Cura;Hombre;Camino del Cura;1.0;;;;;;;
Calle del Capitán Francisco Sánchez;Hombre;Capitán Francisco Sánchez;0.0;;;;;;;1
Travesía del Capitán Francisco Sánchez;Hombre;Capitán Francisco Sánchez;0.0;;;;;;;1
Calle Carlos Muñoz Ruiz;Hombre;Carlos Muñoz Ruiz;0.0;;;;;;;
Calle de Celso Emilio Ferreiro;Hombre;Celso Emilio Ferreiro;0.0;;;;;;;1
Paseo del Conde de los Gaitanes;Hombre;Conde de los Gaitanes;0.0;;;;;;;
Paseo Conde de los Gaitanes;Hombre;Conde de los Gaitanes;0.0;;;;;;;
Calle de Daoíz;Hombre;Daoíz;0.0;;;;;;;1
Calle del Doctor Adolfo Romero;Hombre;Doctor Adolfo Romero;0.0;;;;;;;1
Calle Doctor Ángel Olivares;Hombre;Doctor Ángel Olivares;0.0;;;;;;;
Calle del Doctor Casimiro Morcillo;Hombre;Doctor Casimiro Morcillo;0.0;;;;;;;1
Calle del Doctor Herrera Oria;Hombre;Doctor Herrera Oria;0.0;;;;;;;
Avenida del Doctor Severo Ochoa;Hombre;Doctor Severo Ochoa;0.0;;;;;;;
Avenida Don Miguel de Cervantes;Hombre;Don Miguel de Cervantes;0.0;;;;;;;
Calle de Einstein;Hombre;Einstein;0.0;;;;;;;
Calle Enrique López García;Hombre;Enrique López García;0.0;;;;;;;
Calle Federico Moreno Torroba;Hombre;Federico Moreno Torroba;0.0;;;;;;;
Plaza de Felipe Álvarez de Gadea;Hombre;Felipe Álvarez de Gadea;0.0;;;;;;;1
Avenida de Fernando Alonso;Hombre;Fernando Alonso;0.0;;;;;;;
Travesía Francisco Baena Valdemoro;Hombre;Francisco Baena Valdemoro;0.0;;;;;;;1
Calle Francisco Baena Valdemoro;Hombre;Francisco Baena Valdemoro;0.0;;;;;;;1
Plaza de Francisco Casillas;Hombre;Francisco Casillas;0.0;;;;;;;1
Calle Francisco Chico Mendes;Hombre;Francisco Chico Mendes;0.0;;;;;;;
Calle de Francisco Fernández Ochoa;Hombre;Francisco Fernández Ochoa;0.0;;;;;;;
Calle de Francisco Gervás;Hombre;Francisco Gervás;0.0;;;;;;;
Calle Francisco Javier Sauquillo;Hombre;Francisco Javier Sauquillo;0.0;;;;;;;
Calle Francisco Largo Caballero;Hombre;Francisco Largo Caballero;0.0;;;;;;;
Calle de Gabriel García Márquez;Hombre;Gabriel García Márquez;0.0;;;;;;;
Plaza del General Gómez Oria;Hombre;General Gómez Oria;0.0;;;;;;;1
Calle del Gobernador;Hombre;Gobernador;0.0;;;;;;;1
Calle de Guzmán el Bueno;Hombre;Guzmán el Bueno;0.0;;;;;;;
Plaza de Henri Dunant;Hombre;Henri Dunant;0.0;;;;;;;1
Calle de Iker Casillas;Hombre;Iker Casillas;0.0;;;;;;;
Calle de Isaac Albéniz;Hombre;Isaac Albéniz;0.0;;;;;;;
Calle de Jacinto Benavente;Hombre;Jacinto Benavente;0.0;;;;;;;
Calle Jacques Cousteau;Hombre;Jacques Cousteau;0.0;;;;;;;
Calle de Joaquín Rodrigo;Hombre;Joaquín Rodrigo;0.0;;;;;;;
Calle José A. García Camón;Hombre;José A. García Camón;0.0;;;;;;;
Calle José Antonio García Camón;Hombre;José Antonio García Camón;0.0;;;;;;;
Calle de José Echegaray;Hombre;José Echegaray;0.0;;;;;;;
Calle José Hierro;Hombre;José Hierro;0.0;;;;;;;
Plaza de José Iturbi;Hombre;José Iturbi;0.0;;;;;;;
Calle de José Méndez Baena;Hombre;José Méndez Baena;0.0;;;;;;;1
Glorieta Juan Antonio Samaranch;Hombre;Juan Antonio Samaranch;0.0;;;;;;;1
Travesía de Juan M. Sánchez Pedagogo;Hombre;Juan M. Sánchez Pedagogo;0.0;;;;;;;1
Calle Juan Ramón Jiménez;Hombre;Juan Ramón Jiménez;0.0;;;;;;;
Calle de Julian Baena de Castro;Hombre;Julian Baena de Castro;0.0;;;;;;;1
Calle de León Pérez Bayo;Hombre;León Pérez Bayo;0.0;;;;;;;1
Calle de León XIII;Hombre;León XIII;0.0;;;;;;;
Calle de Luis Rodríguez Ontiveros;Hombre;Luis Rodríguez Ontiveros;0.0;;;;;;;
Calle del Maestro Barbieri;Hombre;Maestro Barbieri;0.0;;;;;;;
Plaza Maestro Granados;Hombre;Maestro Granados;0.0;;;;;;;
Calle Maestro Guerrero;Hombre;Maestro Guerrero;0.0;;;;;;;
Calle del Maestro Luna;Hombre;Maestro Luna;0.0;;;;;;;
Plaza del Maestro Tárrega;Hombre;Maestro Tárrega;0.0;;;;;;;
Manuel de Falla;Hombre;Manuel de Falla;0.0;;;;;;;
Calle de Manuel de Falla;Hombre;Manuel de Falla;0.0;;;;;;;
Calle de Manuel Gómez Oria;Hombre;Manuel Gómez Oria;0.0;;;;;;;1
Calle de Manuel Serrano Frutos;Hombre;Manuel Serrano Frutos;0.0;;;;;;;1
Calle de Mariano Sebastián Izuel;Hombre;Mariano Sebastián Izuel;0.0;;;;;;;1
Calle del Marqués de la Valdavia;Hombre;Marqués de la Valdavia;0.0;;;;;;;1
Miguel de Cervantes;Hombre;Miguel de Cervantes;0.0;;;;;;;
Calle Obispo Eijo Garay;Hombre;Obispo Eijo Garay;0.0;;;;;;;1
Avenida de Pablo Iglesias;Hombre;Pablo Iglesias;0.0;;;;;;;
Calle de Pablo Picasso;Hombre;Pablo Picasso;0.0;;;;;;;1
Plaza de Pablo Picasso;Hombre;Pablo Picasso;0.0;;;;;;;1
Calle de Pablo Serrano;Hombre;Pablo Serrano;0.0;;;;;;;1
Calle de Pascual Hermanos;Hombre;Pascual Hermanos;0.0;;;;;;;1
Calle de Paulino Vega;Hombre;Paulino Vega;0.0;;;;;;;1
Calle del Pintor Goya;Hombre;Pintor Goya;0.0;;;;;;;1
Calle del Pintor Murillo;Hombre;Pintor Murillo;0.0;;;;;;;1
Calle de Pintor Ribera;Hombre;Pintor Ribera;0.0;;;;;;;1
Calle del Pintor Rosales;Hombre;Pintor Rosales;0.0;;;;;;;1
Calle del Pintor Sorolla;Hombre;Pintor Sorolla;0.0;;;;;;;1
Calle del Pintor Velázquez;Hombre;Pintor Velázquez;0.0;;;;;;;1
Calle Pío Baroja;Hombre;Pío Baroja;0.0;;;;;;;1
Calle de Plácido Muñoz;Hombre;Plácido Muñoz;0.0;;;;;;;1
Calle del Príncipe;Hombre;Príncipe;0.0;;;;;;;1
Calle de Quevedo;Hombre;Quevedo;0.0;;;;;;;1
Calle Rafael García Oliveros;Hombre;Rafael García Oliveros;0.0;;;;;;;1
