Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle de Adolfo Pérez Esquivel;Hombre;Adolfo Pérez Esquivel;0;;;;;;;
Avenida del Alcalde José Aranda;Hombre;Alcalde José Aranda;0;;;;;;;1
Travesía Alcalde José Aranda;Hombre;Alcalde José Aranda;0;;;;;;;1
Calle Alfonso VIII;Hombre;Alfonso VIII;0;;;;;;;1
Calle de Alfredo Nobel;Hombre;Alfredo Nobel;0;;;;;;;
Calle de Camilo José Cela;Hombre;Camilo José Cela;0;;;;;;;
Calle del Cid;Hombre;Cid;0;;;;;;;1
Calle Claudio Sánchez Albornoz;Hombre;Claudio Sánchez Albornoz;0;;;;;;;1
Calle Colón;Hombre;Colón;0;;;;;;;1
Calle Daniel Barenboim;Hombre;Daniel Barenboim;0;;;;;;;
Calle de Dario Fo;Hombre;Dario Fo;0;;;;;;;
Calle Don Benito;Hombre;Don Benito;0;;;;;;;1
Calle Don Quijote;Hombre;Don Quijote;0;1.0;;;;;;1
Avenida de Esteban Márquez;Hombre;Esteban Márquez;0;;;;;;;
Calle Gabriel García Márquez;Hombre;Gabriel García Márquez;0;;;;;;;
Calle Gandhi;Hombre;Gandhi;0;;;;;;;
Calle Inspector Juan Antonio Bueno;Hombre;Inspector Juan Antonio Bueno;0;;;;;;;
Calle Jacinto Benavente;Hombre;Jacinto Benavente;0;;;;;;;
Calle José Echegaray;Hombre;José Echegaray;0;;;;;;;
Calle de José Saramago;Hombre;José Saramago;0;;;;;;;
Calle Juan Ramón Jiménez;Hombre;Juan Ramón Jiménez;0;;;;;;;1
Calle Maestro Victoria;Hombre;Maestro Victoria;0;;;;;;;1
Calle Martin Luther King;Hombre;Martin Luther King;0;;;;;;;
Calle de Miguel Ángel Asturias;Hombre;Miguel Ángel Asturias;0;;;;;;;
Calle Mingo Fraile;Hombre;Mingo Fraile;0;;;;;;;1
Calle del Ministro Fernández Ordóñez;Hombre;Ministro Fernández Ordóñez;0;;;;;;;
Calle Neptuno;Hombre;Neptuno;0;1.0;;;;;;
Plaza del Nuncio;Hombre;Nuncio;1;;;;;;;1
Calle del Nuncio;Hombre;Nuncio;1;;;;;;;1
Travesía del Nuncio;Hombre;Nuncio;1;;;;;;;
Calle de Octavio Paz;Hombre;Octavio Paz;0;;;;;;;
Calle Olímpico Aurelio García;Hombre;Olímpico Aurelio García;0;;;;;;;
Calle Olímpico Fernández Ochoa;Hombre;Olímpico Fernández Ochoa;0;;;;;;;
Calle Olímpico Francisco Fernández Ochoa;Hombre;Olímpico Francisco Fernández Ochoa;0;;;;;;;
Calle de Óscar Arias;Hombre;Óscar Arias;0;;;;;;;
