Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Adolfo García Cabeza;Hombre;Adolfo García Cabeza;0.0;;;;;;;1
Calle Agustin Bálsamo;Hombre;Agustin Bálsamo;0.0;;;;;;;1
Calle Agustin Moriche;Hombre;Agustin Moriche;0.0;;;;;;;
Calle Alexander Henderson;Hombre;Alexander Henderson;0.0;;;;;;;1
Calle Alférez Villalta Medina;Hombre;Alférez Villalta Medina;0.0;;;;;;;1
Calle Alfonso Fernández Torres;Hombre;Alfonso Fernández Torres;0.0;;;;;;;
Alfonso XI;Hombre;Alfonso XI;0.0;;;;;;;1
Calle de Alfredo Zaralegui;Hombre;Alfredo Zaralegui;0.0;;;;;;;
Calle Amadeo Vives;Hombre;Amadeo Vives;0.0;;;;;;;
Calle Andrés García Picón;Hombre;Andrés García Picón;0.0;;;;;;;
Calle Anibal;Hombre;Anibal;0.0;;;;;;;1
Calle Antonio Barreno;Hombre;Antonio Barreno;0.0;;;;;;;
Calle Antonio Machado;Hombre;Antonio Machado;0.0;;;;;;;
Calle Baltasar Acedo;Hombre;Baltasar Acedo;0.0;;;;;;;
Calle Benjamín Franklin;Hombre;Benjamín Franklin;0.0;;;;;;;
Calle Blas Escalona;Hombre;Blas Escalona;0.0;;;;;;;
Avenida de Blas Infante;Hombre;Blas Infante;0.0;;;;;;;1
Calle Blas Otero;Hombre;Blas Otero;0.0;;;;;;;
Cabo Villano;Hombre;Cabo Villano;0.0;;;;;;;
Calle Calderón de la Barca;Hombre;Calderón de la Barca;0.0;;;;;;;
Calle Calle Naturopata Diego Prieto;Hombre;Calle Naturopata Diego Prieto;0.0;;;;;;;
Cánovas del Castillo;Hombre;Cánovas del Castillo;0.0;;;;;;;1
Avenida Capitán Ontañón;Hombre;Capitán Ontañón;0.0;;;;;;;1
Calle Cayetano del Toro;Hombre;Cayetano del Toro;0.0;;;;;;;1
Calle Comandante Gómez Ortega;Hombre;Comandante Gómez Ortega;0.0;;;;;;;1
Plaza Concejal Valero Bianchi;Hombre;Concejal Valero Bianchi;0.0;;;;;;;1
Calle Conde Lous;Hombre;Conde Lous;0.0;;;;;;;1
Calle Conde Niebla;Hombre;Conde Niebla;0.0;;;;;;;1
Coronel Ceballos;Hombre;Coronel Ceballos;0.0;;;;;;;1
Calle Coronel Figueroa;Hombre;Coronel Figueroa;0.0;;;;;;;1
Calle Cristo;Hombre;Cristo;1.0;;;;;;;1
Calle Cristóbal Colón;Hombre;Cristóbal Colón;0.0;;;;;;;1
Calle Curro Muela;Hombre;Curro Muela;0.0;;;;;;;
Calle Doctor Arruga;Hombre;Doctor Arruga;0.0;;;;;;;
Calle Doctor Barraquer;Hombre;Doctor Barraquer;0.0;;;;;;;1
Calle Doctor Benito Daza;Hombre;Doctor Benito Daza;0.0;;;;;;;
Calle Doctor Carreras;Hombre;Doctor Carreras;0.0;;;;;;;
Calle Doctor Fleming;Hombre;Doctor Fleming;0.0;;;;;;;1
Calle Doctor Power;Hombre;Doctor Power;0.0;;;;;;;
Doctor Ventura Morón;Hombre;Doctor Ventura Morón;0.0;;;;;;;1
Calle de Domingo Savio;Hombre;Domingo Savio;0.0;;;;;;;1
Calle Don Bosco;Hombre;Don Bosco;1.0;;;;;;;1
Calle Donato Millan;Hombre;Donato Millan;0.0;;;;;;;1
Calle Dr. Félix R. de la Fuente;Hombre;Dr. Félix R. de la Fuente;0.0;;;;;;;
Calle Duque de Almodóvar;Hombre;Duque de Almodóvar;0.0;;;;;;;1
