Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Abad Fernández Helguera;Hombre;Abad Fernández Helguera;0.0;;;;;;;
Plaza del Abad Penalva;Hombre;Abad Penalva;0.0;;;;;;;1
Calle Abogado Pérez Mirete;Hombre;Abogado Pérez Mirete;0.0;;;;;;;
Calle Actor Paco Hernández;Hombre;Actor Paco Hernández;0.0;;;;;;;
camí d'Agost a Sant Vicent;NA;Agost a Sant Vicent;1.0;;;;;;;
Avenida de Aguilera;Hombre;Aguilera;0.0;;;;;;;1
Calle Agustín Jiménez Navarlaz;Hombre;Agustín Jiménez Navarlaz;0.0;;;;;;;
Calle Alcalde José Luis Lassaleta;Hombre;Alcalde José Luis Lassaleta;0.0;;;;;;;
Calle Alférez Rojas;Hombre;Alférez Rojas;0.0;;;;;;;
Calle Alfonso Garrigós;Hombre;Alfonso Garrigós;0.0;;;;;;;
Avenida Alfonso X El Sabio;Hombre;Alfonso X El Sabio;0.0;;;;;;;
Glorieta Alí Andreu;Hombre;Alí Andreu;0.0;;;;;;;
Calle Alonso Cano;Hombre;Alonso Cano;0.0;;;;;;;
Calle Álvarez;Hombre;Álvarez;0.0;;;;;;;1
Calle Ángel Celdrán Carratalá;Hombre;Ángel Celdrán Carratalá;0.0;;;;;;;
Calle de Antonio Martín Trenco;Hombre;Antonio Martín Trenco;0.0;;;;;;;
Calle Antonio Ramos Carratalá;Hombre;Antonio Ramos Carratalá;0.0;;;;;;;
Calle Aparisi Guijarro;Hombre;Aparisi Guijarro;0.0;;;;;;;
Aparisi Guijarro;Hombre;Aparisi Guijarro;0.0;;;;;;;
Calle de Apolo;Hombre;Apolo;0.0;1.0;;;;;;
Camino de Aquiles;Hombre;Aquiles;0.0;1.0;;;;;;
Calle Arcipreste de Hita;Hombre;Arcipreste de Hita;0.0;;;;;;;
Avenida Arquitecto Félix Candela;Hombre;Arquitecto Félix Candela;0.0;;;;;;;
Calle Arquitecto Jover;Hombre;Arquitecto Jover;0.0;;;;;;;
Plaza Arquitecto Miguel López;Hombre;Arquitecto Miguel López;0.0;;;;;;;1
Calle Arquitecto Morell;Hombre;Arquitecto Morell;0.0;;;;;;;1
Calle Arquitecto Vidal;Hombre;Arquitecto Vidal;0.0;;;;;;;
Calle Arzobispo Loaces;Hombre;Arzobispo Loaces;0.0;;;;;;;1
Carrer de Ausó y Monzó;Hombre;Ausó y Monzó;0.0;;;;;;;
avenida Alcalde Lorenzo Carbonell;Hombre;avenida Alcalde Lorenzo Carbonell;0.0;;;;;;;
avenida alcalde Lorenzo Carbonell;Hombre;avenida alcalde Lorenzo Carbonell;0.0;;;;;;;
avenida Antonio Ramos Carratalá;Hombre;avenida Antonio Ramos Carratalá;0.0;;;;;;;
avenida artista Remigio Soler;Hombre;avenida artista Remigio Soler;0.0;;;;;;;
avenida Benito Pérez Galdós;Hombre;avenida Benito Pérez Galdós;0.0;;;;;;;1
avenida cardenal Francisco Álvarez;Hombre;avenida cardenal Francisco Álvarez;0.0;;;;;;;
avenida Catedrático Soler;Hombre;avenida Catedrático Soler;0.0;;;;;;;1
avenida conde de Soto Ameno;Hombre;avenida conde de Soto Ameno;0.0;;;;;;;1
avenida Conde de Vallellano;Hombre;avenida Conde de Vallellano;0.0;;;;;;;1
avenida Conrado Albadalejo;Hombre;avenida Conrado Albadalejo;0.0;;;;;;;
avenida de Aguilera;Hombre;avenida de Aguilera;0.0;;;;;;;1
avenida de Federico Soto;Hombre;avenida de Federico Soto;0.0;;;;;;;1
avenida de Jaime I;Hombre;avenida de Jaime I;0.0;;;;;;;
avenida de Jean Claude Combaldieu;Hombre;avenida de Jean Claude Combaldieu;0.0;;;;;;;
avenida de Óscar Esplá;Hombre;avenida de Óscar Esplá;0.0;;;;;;;1
avenida del arquitecto Félix Candela;Hombre;avenida del arquitecto Félix Candela;0.0;;;;;;;
avenida del fotógrafo Francisco Cano;Hombre;avenida del fotógrafo Francisco Cano;0.0;;;;;;;
avenida diputado Antonio García Miralles;Hombre;avenida diputado Antonio García Miralles;0.0;;;;;;;
avenida Diputado José Luis Barceló;Hombre;avenida Diputado José Luis Barceló;0.0;;;;;;;
avenida doctor Gadea;Hombre;avenida doctor Gadea;0.0;;;;;;;1
avenida doctor Jiménez Díaz;Hombre;avenida doctor Jiménez Díaz;0.0;;;;;;;
avenida doctor Ramón y Cajal;Hombre;avenida doctor Ramón y Cajal;0.0;;;;;;;1
avenida doctor Rico;Hombre;avenida doctor Rico;0.0;;;;;;;
avenida Eusebio Sempere;Hombre;avenida Eusebio Sempere;0.0;;;;;;;1
avenida general Marvá;Hombre;avenida general Marvá;0.0;;;;;;;1
avenida Jaime I;Hombre;avenida Jaime I;0.0;;;;;;;
avenida José Jornet Navarro;Hombre;avenida José Jornet Navarro;0.0;;;;;;;
avenida Juan Sanchis Candela;Hombre;avenida Juan Sanchis Candela;0.0;;;;;;;
avenida maestro Alonso;Hombre;avenida maestro Alonso;0.0;;;;;;;
avenida maestro José Garberí Serrano;Hombre;avenida maestro José Garberí Serrano;0.0;;;;;;;
avenida médico Ricardo Ferré;Hombre;avenida médico Ricardo Ferré;0.0;;;;;;;
avenida Padre Esplá;Hombre;avenida Padre Esplá;0.0;;;;;;;
avenida pianista Gonzalo Soriano;Hombre;avenida pianista Gonzalo Soriano;0.0;;;;;;;
avenida pintor Baeza;Hombre;avenida pintor Baeza;0.0;;;;;;;
avenida pintor Pérez Gil;Hombre;avenida pintor Pérez Gil;0.0;;;;;;;
avenida pintor Xavier Soler;Hombre;avenida pintor Xavier Soler;0.0;;;;;;;
avenida poeta Carmelo Calvo;Hombre;avenida poeta Carmelo Calvo;0.0;;;;;;;1
