Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza Muñoz;Hombre;Muñoz;0.0;;;;;;;1
Plaza Galeno;Hombre;Galeno;0.0;;;;;;;1
Plaza Jesús Cautivo de Medinaceli;Hombre;Jesús Cautivo de Medinaceli;0.0;;;;;;;1
Plaza Carlos Cano;Hombre;Carlos Cano;0.0;;;;;;;1
Plaza Homero;Hombre;Homero;0.0;;;;;;;
Plaza Jose Asenjo Sedano;Hombre;Jose Asenjo Sedano;0.0;;;;;;;1
Pl. Calderón;Hombre;Pl. Calderón;0.0;;;;;;;1
Plaza San Sebastián;Hombre;San Sebastián;1.0;;;;;;;1
Plaza de San Pedro;Hombre;San Pedro;1.0;;;;;;;1
Plaza Marqués de Heredia;Hombre;Marqués de Heredia;0.0;;;;;;;1
Plaza Pablo Cazard;Hombre;Pablo Cazard;0.0;;;;;;;1
Plaza San Antón;Hombre;San Antón;1.0;;;;;;;1
Plaza del Romero;NA;Romero;0.0;;;;;;;1
Plaza de Homero;Hombre;Homero;0.0;;;;;;;1
Plaza Victor Hugo;Hombre;Victor Hugo;0.0;;;;;;;
Plaza de San Juan Pablo II;Hombre;San Juan Pablo II;1.0;;;;;;;1
Plaza Juan Rojas;Hombre;Juan Rojas;0.0;;;;;;;
Sacerdote Fernando Berruezo;Hombre;Sacerdote Fernando Berruezo;0.0;;;;;;;1
Plaza San Roque;Hombre;San Roque;1.0;;;;;;;
Plaza Miguel Vizcaíno Márquez;Hombre;Miguel Vizcaíno Márquez;0.0;;;;;;;
Plaza San Luis;Hombre;San Luis;1.0;;;;;;;
Plaza Enrique Sierra Valenzuela;Hombre;Enrique Sierra Valenzuela;0.0;;;;;;;
Plaza Granero;NA;Granero;0.0;;;;;;;1
plaza Manuel Pérez García;Hombre;plaza Manuel Pérez García;0.0;;;;;;;1
Plaza de José Fernández Torres 'Tomatito';Hombre;José Fernández Torres 'Tomatito';0.0;;;;;;;1
Calle David;Hombre;David;0.0;;;;;;;1
Calle García de Villarroel;Hombre;García de Villarroel;0.0;;;;;;;
Calle Fresador;NA;Fresador;0.0;;;;;;;
Calle Rambla Obispo Orberá;Hombre;Rambla Obispo Orberá;0.0;;;;;;;1
Calle San Marino;Hombre;San Marino;1.0;;;;;;;
Calle San Luis;Hombre;San Luis;1.0;;;;;;;
Calle Santiago Martinez Cabrejas;Hombre;Santiago Martinez Cabrejas;0.0;;;;;;;
Calle Fray Juan de Portocarrero;Hombre;Fray Juan de Portocarrero;0.0;;;;;;;
Calle Erasmo Rotterdam;Hombre;Erasmo Rotterdam;0.0;;;;;;;
Glorieta Manuel Fraga Iribarne;Hombre;Manuel Fraga Iribarne;0.0;;;;;;;1
Calle Maestro Serrano;Hombre;Maestro Serrano;0.0;;;;;;;1
Maestro Serrano;Hombre;Maestro Serrano;0.0;;;;;;;1
Calle Ángel Jover;Hombre;Ángel Jover;0.0;;;;;;;1
Alfredo Goyeneche;Hombre;Alfredo Goyeneche;0.0;;;;;;;
Calle San Benito;Hombre;San Benito;1.0;;;;;;;
Calle San Joaquín;Hombre;San Joaquín;1.0;;;;;;;
Calle Trajano;Hombre;Trajano;0.0;;;;;;;1
Calle Conde Xiquena;Hombre;Conde Xiquena;0.0;;;;;;;1
Paseo San Luis;Hombre;San Luis;1.0;;;;;;;1
Calle de Juan Goytisolo;Hombre;Juan Goytisolo;0.0;;;;;;;
Plaza Cepero;Hombre;Cepero;0.0;;;;;;;1
Calle San Juan;Hombre;San Juan;1.0;;;;;;;1
Calle San Ildelfonso;Hombre;San Ildelfonso;1.0;;;;;;;1
Calle Plácido Fernández Viagas;Hombre;Plácido Fernández Viagas;0.0;;;;;;;1
Calle Pitágoras;Hombre;Pitágoras;0.0;;;;;;;
Calle Fernández;Hombre;Fernández;0.0;;;;;;;1
Calle Duda;NA;Duda;0.0;;;;;;;1
Calle Blas de Lezo;Hombre;Blas de Lezo;0.0;;;;;;;
Calle Buzo;NA;Buzo;0.0;;;;;;;
Calle Obispado;NA;Obispado;1.0;;;;;;;
Calle General Loque;Hombre;General Loque;0.0;;;;;;;1
Calle Braulio Moreno;Hombre;Braulio Moreno;0.0;;;;;;;1
Calle Martínez Almagro;Hombre;Martínez Almagro;0.0;;;;;;;1
Calle Gabriel Callejón;Hombre;Gabriel Callejón;0.0;;;;;;;1
Calle Pizarro;Hombre;Pizarro;0.0;;;;;;;1
Calle Marqués Dos Fuentes;Hombre;Marqués Dos Fuentes;0.0;;;;;;;1
Calle Cicerón;Hombre;Cicerón;0.0;;;;;;;1
Calle Sargento;Hombre;Sargento;0.0;;;;;;;1
Ronda de Beato Diego Ventaja;Hombre;Beato Diego Ventaja;0.0;;;;;;;1
Calle Velázquez;Hombre;Velázquez;0.0;;;;;;;1
Calle Lope de Vega;Hombre;Lope de Vega;0.0;;;;;;;1
Calle Vicario Ortega;Hombre;Vicario Ortega;0.0;;;;;;;1
Calle Emilio Ferrera;Hombre;Emilio Ferrera;0.0;;;;;;;1
Calle Pintor Díaz Molina;Hombre;Pintor Díaz Molina;0.0;;;;;;;1
Calle Eduardo Pérez;Hombre;Eduardo Pérez;0.0;;;;;;;1
Calle Pintor Martínez de la Vega;Hombre;Pintor Martínez de la Vega;0.0;;;;;;;1
Calle Manuel Luque;Hombre;Manuel Luque;0.0;;;;;;;1
Plaza de Emilio Pérez;Hombre;Emilio Pérez;0.0;;;;;;;1
Calle Martínez Campos;Hombre;Martínez Campos;0.0;;;;;;;1
Calle Álvarez de Castro;Hombre;Álvarez de Castro;0.0;;;;;;;1
Calle Juan Pérez Pérez;Hombre;Juan Pérez Pérez;0.0;;;;;;;1
Calle Padre Luque;Hombre;Padre Luque;0.0;;;;;;;1
Calle San Francisco de Asís;Hombre;San Francisco de Asís;1.0;;;;;;;1
Calle Concepción Arenal;Mujer;Concepción Arenal;0.0;;escritora, abogada y proto-trabajadora social española;https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal;http://commons.wikimedia.org/wiki/Special:FilePath/Concepcion%20Arenal%201.jpg;1820-01-31T00:00:00Z;1893-02-04T00:00:00Z;1
Calle Padre Tapia;Hombre;Padre Tapia;0.0;;;;;;;1
Calle San Indalecio;Hombre;San Indalecio;1.0;;;;;;;1
Calle José Angel Valente;Hombre;José Angel Valente;0.0;;;;;;;1
Calle Gutiérrez de Cárdenas;Hombre;Gutiérrez de Cárdenas;0.0;;;;;;;1
Calle Alfonso VII;Hombre;Alfonso VII;0.0;;;;;;;1
Calle José María de Acosta;Hombre;José María de Acosta;0.0;;;;;;;1
Calle Elio Antonio de Nebrija;Hombre;Elio Antonio de Nebrija;0.0;;;;;;;1
Calle José Ortega y Gasset;Hombre;José Ortega y Gasset;0.0;;;;;;;
Calle General Tamayo;Hombre;General Tamayo;0.0;;;;;;;1
Calle General Segura;Hombre;General Segura;0.0;;;;;;;1
Calle José Artés de Arcos;Hombre;José Artés de Arcos;0.0;;;;;;;1
Calle Hermanos Machado;Hombre;Hermanos Machado;0.0;;;;;;;1
Plaza Doctor Antonio Villaespesa;Hombre;Doctor Antonio Villaespesa;0.0;;;;;;;
Calle Soldado Español;Hombre;Soldado Español;0.0;;;;;;;1
Calle Pablo Ruiz Picasso;Hombre;Pablo Ruiz Picasso;0.0;;;;;;;1
Calle San Juan Bosco;Hombre;San Juan Bosco;1.0;;;;;;;1
Calle Pintor Fortuny;Hombre;Pintor Fortuny;0.0;;;;;;;1
Calle Pintor Romero de Torres;Hombre;Pintor Romero de Torres;0.0;;;;;;;1
Calle Minero;Hombre;Minero;0.0;;;;;;;1
Calle San Telmo;Hombre;San Telmo;1.0;;;;;;;1
Calle Joaquín Santiesteban;Hombre;Joaquín Santiesteban;0.0;;;;;;;1
Calle Serrano;Hombre;Serrano;0.0;;;;;;;1
Calle Sócrates;Hombre;Sócrates;0.0;;;;;;;1
Calle Poeta Villaespesa;Hombre;Poeta Villaespesa;0.0;;;;;;;1
Calle Fructuoso Pérez;Hombre;Fructuoso Pérez;0.0;;;;;;;1
Calle Tenor Iribarne;Hombre;Tenor Iribarne;0.0;;;;;;;1
Calle Lectoral Sirvent;Hombre;Lectoral Sirvent;0.0;;;;;;;1
Calle de Hernán Cortés;Hombre;Hernán Cortés;0.0;;;;;;;1
Calle Romero;NA;Romero;0.0;;;;;;;1
Avenida Pablo Iglesias;Hombre;Pablo Iglesias;0.0;;;;;;;1
Camino de San Cristóbal;Hombre;San Cristóbal;1.0;;;;;;;1
Calle Fausto García;Hombre;Fausto García;0.0;;;;;;;1
Calle San Felipe;Hombre;San Felipe;1.0;;;;;;;
Calle Jorge Manrique;Hombre;Jorge Manrique;0.0;;;;;;;1
Calle José Pascual;Hombre;José Pascual;0.0;;;;;;;1
Calle San Rafael;Hombre;San Rafael;1.0;;;;;;;1
Calle Manuel Vicente;Hombre;Manuel Vicente;0.0;;;;;;;
Calle Julián Besteiro;Hombre;Julián Besteiro;0.0;;;;;;;
