Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Abogado de Oficio;NA;Abogado de Oficio;0.0;;;;;;;
Calle Adel Pinna Casas;Hombre;Adel Pinna Casas;0.0;;;;;;;
Calle Adelardo Covarsí;Hombre;Adelardo Covarsí;0.0;;;;;;;1
Avenida Adolfo Díaz Ambrona;Hombre;Adolfo Díaz Ambrona;0.0;;;;;;;
Avenida Adolfo Díaz Ambrona Moreno;Hombre;Adolfo Díaz Ambrona Moreno;0.0;;;;;;;
Avenida Adolfo Suárez;Hombre;Adolfo Suárez;0.0;;;;;;;1
Calle Alberto Oliart Sausol;Hombre;Alberto Oliart Sausol;0.0;;;;;;;1
Calle Alfonso García Ardilla;Hombre;Alfonso García Ardilla;0.0;;;;;;;
Calle Alfonso Godínez;Hombre;Alfonso Godínez;0.0;;;;;;;
Calle Alfonso González Bermejo;Hombre;Alfonso González Bermejo;0.0;;;;;;;
Calle Alfonso IX de León;Hombre;Alfonso IX de León;0.0;;;;;;;1
Calle Alfonso Moreno de Acevedo;Hombre;Alfonso Moreno de Acevedo;0.0;;;;;;;1
Calle Alfonso XIII;Hombre;Alfonso XIII;0.0;;;;;;;1
Calle Alonso Cardenas Cano;Hombre;Alonso Cardenas Cano;0.0;;;;;;;1
Calle Alonso de Celada;Hombre;Alonso de Celada;0.0;;;;;;;1
Calle Alonso Escobar;Hombre;Alonso Escobar;0.0;;;;;;;1
Calle Alonso Núñez;Hombre;Alonso Núñez;0.0;;;;;;;
Calle Amado Nervo;Hombre;Amado Nervo;0.0;;;;;;;
Calle Andrés Chordi;Hombre;Andrés Chordi;0.0;;;;;;;
Calle Ángel Cánovas Amador;Hombre;Ángel Cánovas Amador;0.0;;;;;;;
Calle Ángel Galván;Hombre;Ángel Galván;0.0;;;;;;;
Calle Ángel Ganivet;Hombre;Ángel Ganivet;0.0;;;;;;;
Calle Ángel Pérez Alférez;Hombre;Ángel Pérez Alférez;0.0;;;;;;;
Calle Ángel Pérez Martín;Hombre;Ángel Pérez Martín;0.0;;;;;;;1
Calle Ángel Quintanilla Ulla;Hombre;Ángel Quintanilla Ulla;0.0;;;;;;;
Calle Anselmo Arenas López;Hombre;Anselmo Arenas López;0.0;;;;;;;
Calle Antonio Ayuso Casco;Hombre;Antonio Ayuso Casco;0.0;;;;;;;1
Calle Antonio Covarsí Rojas;Hombre;Antonio Covarsí Rojas;0.0;;;;;;;
Avenida Antonio Cuéllar Gragera;Hombre;Antonio Cuéllar Gragera;0.0;;;;;;;1
Calle Antonio de Chaves;Hombre;Antonio de Chaves;0.0;;;;;;;
Calle Antonio de Nebrija;Hombre;Antonio de Nebrija;0.0;;;;;;;
Calle Antonio Hernández Arias;Hombre;Antonio Hernández Arias;0.0;;;;;;;1
Avenida Antonio Hernández Gil;Hombre;Antonio Hernández Gil;0.0;;;;;;;
