Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Carrer d'Agustí Montal;Hombre;Agustí Montal;0.0;;;;;;;1
Passatge d'Albert Llanas;Hombre;Albert Llanas;0.0;;;;;;;
Carrer d'Alfons XII;Hombre;Alfons XII;0.0;;;;;;;1
Avinguda d'Alfons XIII;Hombre;Alfons XIII;0.0;;;;;;;1
Carrer d'Amadeu Vives;Hombre;Amadeu Vives;0.0;;;;;;;
Carrer d'Andrés Segovia;Hombre;Andrés Segovia;0.0;;;;;;;
Carrer d'Andreu Soler;Hombre;Andreu Soler;0.0;;;;;;;
Carrer d'Àngel Guimerà;Hombre;Àngel Guimerà;0.0;;;;;;;1
Carrer d'Anselm Clavé;Hombre;Anselm Clavé;0.0;;;;;;;1
Carrer d'Anselm Turmeda;Hombre;Anselm Turmeda;0.0;;;;;;;
Carrer d'Antoni Bori;Hombre;Antoni Bori;0.0;;;;;;;
Carrer d'Antoni Botey;Hombre;Antoni Botey;0.0;;;;;;;
Carrer d'Antoni Maura;Hombre;Antoni Maura;0.0;;;;;;;1
Plaça d'Antonio Machado;Hombre;Antonio Machado;0.0;;;;;;;
Carrer d'Arenys de Mar;Hombre;Arenys de Mar;0.0;;;;;;;
Carrer d'Aribau;Hombre;Aribau;0.0;;;;;;;
Carrer d'Arnús;Hombre;Arnús;0.0;;;;;;;1
Carrer d'Arquimedes;Hombre;Arquimedes;0.0;;;;;;;
Carrer d'Àrtemis;Mujer;Artemisa;0.0;1.0;diosa griega;https://es.wikipedia.org/wiki/Artemisa;http://commons.wikimedia.org/wiki/Special:FilePath/Diana%20of%20Versailles.jpg;;;
Carrer d'Ausiàs Marc;Hombre;Ausiàs Marc;0.0;;;;;;;
Plaça d'Azorín;Hombre;Azorín;0.0;;;;;;;
Carrer d'Azorín;Hombre;Azorín;0.0;;;;;;;
Plaça de Bac de Roda;Hombre;Bac de Roda;0.0;;;;;;;
Carrer de Baldomer Galofre;Hombre;Baldomer Galofre;0.0;;;;;;;1
Carrer de Baldomer Solà;Hombre;Baldomer Solà;0.0;;;;;;;1
Carrer de Balmes;Hombre;Balmes;0.0;;;;;;;
