Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Carrer de Maria Reina;Mujer;Maria Reina;;;;;;;;
Carrer de Sor Eulàlia d'Anzizu;Mujer;Sor Eulàlia d'Anzizu;1.0;;;;;;;
Via Júlia;Mujer;Júlia;;;;;;;;
Carrer de Santa Caterina de Siena;Mujer;Catalina de Siena;1.0;;religiosa dominica y doctora de la Iglesia católica.;https://es.wikipedia.org/wiki/Catalina_de_Siena;http://commons.wikimedia.org/wiki/Special:FilePath/Catherine%20of%20Siena.jpg;1347-04-02T00:00:00Z;1380-05-07T00:00:00Z;
Carrer de la Reina Amàlia;Mujer;María Amalia de Sajonia;;;Reina consorte de España (1759-1760);https://es.wikipedia.org/wiki/Mar%C3%ADa_Amalia_de_Sajonia;http://commons.wikimedia.org/wiki/Special:FilePath/Maria%20Amalia%20of%20Saxony.jpg;1724-11-24T00:00:00Z;1760-09-27T00:00:00Z;
Carrer de Rosa Sensat;Mujer;Rosa Sensat;;;Educadora y escritora española;https://es.wikipedia.org/wiki/Rosa_Sensat_i_Vila;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20Sensat%20i%20Vil%C3%A0.jpg;1873-06-16T00:00:00Z;1961-10-01T00:00:00Z;
Carrer del Portal de Santa Madrona;Mujer;Madrona de Barcelona;1.0;;santa de la Iglesia Católica Romana y de la Iglesia Ortodoxa Oriental;https://es.wikipedia.org/wiki/Madrona;http://commons.wikimedia.org/wiki/Special:FilePath/Galeriag%C3%B2ticaMadrona.jpg;0250-01-01T00:00:00Z;0300-01-01T00:00:00Z;1
Carrer de Santa Margarida;Mujer;Margarita de Antioquía;1.0;;santa cristiana;https://es.wikipedia.org/wiki/Margarita_de_Antioqu%C3%ADa;http://commons.wikimedia.org/wiki/Special:FilePath/St.Marina%20the%20Martyr%20holding%20a%20devil.jpg;0292-01-01T00:00:00Z;0307-01-01T00:00:00Z;1
Carrer de la Mare de Déu del Pilar;Mujer;Nuestra Señora del Pilar de Zaragoza;1.0;;advocación mariana;https://es.wikipedia.org/wiki/Virgen_del_Pilar;http://commons.wikimedia.org/wiki/Special:FilePath/Escultura%20de%20la%20Virgen%20del%20Pilar%2C%20en%20la%20Bas%C3%ADlica%20del%20Pilar%20de%20Zaragoza%2C%20Espa%C3%B1a%2C%20Spain.jpg;;;1
Carrer de la Mare de Déu de Montserrat;Mujer;Virgen de Montserrat;1.0;;advocación mariana venerada en el monasterio de Monserrat;https://es.wikipedia.org/wiki/Virgen_de_Montserrat;http://commons.wikimedia.org/wiki/Special:FilePath/Verge.jpg;http://www.wikidata.org/.well-known/genid/131e4631015bb6d8660e845aabd04e48;;
Carrer de Josepa Massanés;Mujer;María Josefa Massanés;;;escritora española;https://es.wikipedia.org/wiki/Mar%C3%ADa_Josefa_Massan%C3%A9s;http://commons.wikimedia.org/wiki/Special:FilePath/Maria%20Josepa%20Massan%C3%A9s%20i%20Dalmau%20%281879%29.jpg;1811-03-19T00:00:00Z;1887-07-01T00:00:00Z;
Carrer de Matilde;Mujer;Matilde;;;;;;;;
Carrer de Minerva;Mujer;Minerva;;1.0;;;;;;
carrer de Santa Carolina;Mujer;Santa Carolina;1.0;;;;;;;
Carrer de Rita Bonnat;Mujer;Rita Bonnat;;;;;;;;
