Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Abasolo kalea / Calle Abasolo;Hombre;Abasolo kalea / Calle Abasolo;0.0;;;;;;;
Calle Acebal Idigoras;Hombre;Acebal Idigoras;0.0;;;;;;;1
Agirre lehendakariaren etorbidea;Hombre;Agirre lehendakariaren etorbidea;0.0;;;;;;;
Plaza de Aguirre;Hombre;Aguirre;0.0;;;;;;;
Plaza Aita Donosti;Hombre;Aita Donosti;0.0;1.0;;;;;;
Alameda Doctor Areilza / Areiltza doktorearen zumarkalea;Hombre;Alameda Doctor Areilza / Areiltza doktorearen zumarkalea;0.0;;;;;;;1
Alameda Gregorio de la Revilla;Hombre;Alameda Gregorio de la Revilla;0.0;;;;;;;1
Alameda San Mamés;Hombre;Alameda San Mamés;1.0;;;;;;;1
Calle Alcalde Felipe Uhagón;Hombre;Alcalde Felipe Uhagón;0.0;;;;;;;1
Cantón Alejandro De La Sota;Hombre;Alejandro De La Sota;0.0;;;;;;;
Calle Alfredo Etxabe;Hombre;Alfredo Etxabe;0.0;;;;;;;
Alfredo Kraus plaza / Plaza Alfredo Kraus;Hombre;Alfredo Kraus plaza / Plaza Alfredo Kraus;0.0;;;;;;;
Calle Almirante Antonio Gaztañeta / Antonio Gaztañeta almirantearen kalea;Hombre;Almirante Antonio Gaztañeta / Antonio Gaztañeta almirantearen kalea;0.0;;;;;;;
Calle Almirantes Oquendo;Hombre;Almirantes Oquendo;0.0;;;;;;;
Amadeo Deprit kalea / Calle Amadeo Deprit;Hombre;Amadeo Deprit kalea / Calle Amadeo Deprit;0.0;;;;;;;
Amadeus Mozart plaza / Plaza Amadeus Mozart;Hombre;Amadeus Mozart plaza / Plaza Amadeus Mozart;0.0;;;;;;;
Amadeus Mozart zeharkalea / Travesía Amadeus Mozart;Hombre;Amadeus Mozart zeharkalea / Travesía Amadeus Mozart;0.0;;;;;;;
Andramari etxetaldea;Mujer;Andra Mari;1.0;;página de desambiguación de Wikimedia;https://es.wikipedia.org/wiki/Andra_Mari;;;;
Calle Andrés Eliseo de Mañaricua;Hombre;Andrés Eliseo de Mañaricua;0.0;;;;;;;
Andres Eliseo kalea;Hombre;Andres Eliseo kalea;0.0;;;;;;;
Calle Andrés Isasi;Hombre;Andrés Isasi;0.0;;;;;;;
Andrés Isasi kalea / Calle Andrés Isasi;Hombre;Andrés Isasi kalea / Calle Andrés Isasi;0.0;;;;;;;
Andrés Isasi zeharkalea / Travesía de Andrés Isasi;Hombre;Andrés Isasi zeharkalea / Travesía de Andrés Isasi;0.0;;;;;;;
Angel Ortiz Alfau kalea;Hombre;Angel Ortiz Alfau kalea;0.0;;;;;;;
Anselmo Guinea Margolariaren Kalea;Hombre;Anselmo Guinea Margolariaren Kalea;0.0;;;;;;;
Calle Antonio Eguíluz;Hombre;Antonio Eguíluz;0.0;;;;;;;
Calle Antonio Trueba;Hombre;Antonio Trueba;0.0;;;;;;;
Calle Antonio Trueba / Antonio Trueba kalea;Hombre;Antonio Trueba / Antonio Trueba kalea;0.0;;;;;;;
Arane kalea;NA;Arane kalea;0.0;;;;;;;
Artalandio kalea / Calle Artalandio;NA;Artalandio kalea / Calle Artalandio;0.0;;;;;;;
Artazu kalea;NA;Artazu kalea;0.0;;;;;;;
Artetxe kondearen zumarkalea / Alameda del Conde Artetxe;Hombre;Artetxe kondearen zumarkalea / Alameda del Conde Artetxe;0.0;;;;;;;1
Calle Arturo Campion;Hombre;Arturo Campion;0.0;;;;;;;
Calle Arturo Campión;Hombre;Arturo Campión;0.0;;;;;;;
Artxanda - Santo Domingo errepidea;Hombre;Artxanda - Santo Domingo errepidea;1.0;;;;;;;
Artxandaren igoeraren kalea;NA;Artxandaren igoeraren kalea;0.0;;;;;;;
Ascensor Artazu;NA;Ascensor Artazu;0.0;;;;;;;
Calle Aureliano Valle;Hombre;Aureliano Valle;0.0;;;;;;;1
Aurrekoetxea kalea;Hombre;Aurrekoetxea kalea;0.0;;;;;;;
