Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Abad Maluenda;Hombre;Abad Maluenda;0.0;;;;;;;1
Paseo del Abad Maluenda;Hombre;Abad Maluenda;0.0;;;;;;;
Calle Alcalde Fernando Dancausa;Hombre;Alcalde Fernando Dancausa;0.0;;;;;;;
Calle Alcalde Martín Cobos;Hombre;Alcalde Martín Cobos;0.0;;;;;;;
Avenida Alcalde Valentín Niño;Hombre;Alcalde Valentín Niño;0.0;;;;;;;
Calle Alejandro Yagüe;Hombre;Alejandro Yagüe;0.0;;;;;;;
Calle Alfonso VIII;Hombre;Alfonso VIII;0.0;;;;;;;
Calle Alfonso X el Sabio;Hombre;Alfonso X el Sabio;0.0;;;;;;;1
Calle Alfonso XI;Hombre;Alfonso XI;0.0;;;;;;;
Calle Alfonso XIII;Hombre;Alfonso XIII;0.0;;;;;;;
Calle Almirante Bonifaz;Hombre;Almirante Bonifaz;0.0;;;;;;;1
Calle Alonso de Cartagena;Hombre;Alonso de Cartagena;0.0;;;;;;;1
Plaza Alonso Martínez;Hombre;Alonso Martínez;0.0;;;;;;;1
Calle Álvar Fáñez;Hombre;Álvar Fáñez;0.0;;;;;;;1
Calle Alvar García;Hombre;Alvar García;0.0;;;;;;;1
Calle Amadís de Gaula;NA;Amadís de Gaula;0.0;1.0;;;;;;
Calle Américo Castro;Hombre;Américo Castro;0.0;;;;;;;
Calle Andrés González Palacios;Hombre;Andrés González Palacios;0.0;;;;;;;
Calle Andrés Gutiérrez de Cerezo;Hombre;Andrés Gutiérrez de Cerezo;0.0;;;;;;;
Paseo Andrés Manjón;Hombre;Andrés Manjón;0.0;;;;;;;
Calle Andrés Martínez Zatorre;Hombre;Andrés Martínez Zatorre;0.0;;;;;;;1
Calle Ángel García Bedoya;Hombre;Ángel García Bedoya;0.0;;;;;;;
Calle Anselmo Salvá;Hombre;Anselmo Salvá;0.0;;;;;;;1
Calle Antonio Acuña;Hombre;Antonio Acuña;0.0;;;;;;;
Calle Antonio de Cabezón;Hombre;Antonio de Cabezón;0.0;;;;;;;1
Calle Antonio García Martín;Hombre;Antonio García Martín;0.0;;;;;;;
Calle Antonio Machado;Hombre;Antonio Machado;0.0;;;;;;;1
Glorieta de Antonio Medrano;Hombre;Antonio Medrano;0.0;;;;;;;
Calle Antonio Valdés y Bazán;Hombre;Antonio Valdés y Bazán;0.0;;;;;;;1
Calle Aparicio y Ruiz;Hombre;Aparicio y Ruiz;0.0;;;;;;;1
Arco de San Esteban;NA;Arco de San Esteban;1.0;;;;;;;
