Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Adolfo de Castro;Hombre;Adolfo de Castro;0.0;;;;;;;
Calle Adolfo Vila Valencia;Hombre;Adolfo Vila Valencia;0.0;;;;;;;
Calle Adriano;Hombre;Adriano;0.0;;;;;;;
Paseo Alameda Marqués de Comillas;Hombre;Alameda Marqués de Comillas;0.0;;;;;;;
Calle Alcalde Blázquez;Hombre;Alcalde Blázquez;0.0;;;;;;;
Calle Alcalde Juan de Dios Molina;Hombre;Alcalde Juan de Dios Molina;0.0;;;;;;;
Calle Alcalde Manuel de la Pinta;Hombre;Alcalde Manuel de la Pinta;0.0;;;;;;;
Avenida Alcalde Sánchez Cossio;Hombre;Alcalde Sánchez Cossio;0.0;;;;;;;
Calle Alfonso Aramburu;Hombre;Alfonso Aramburu;0.0;;;;;;;
Calle Almirante Pes;Hombre;Almirante Pes;0.0;;;;;;;
Calle Almirante Vierna;Hombre;Almirante Vierna;0.0;;;;;;;
Calle Alonso Cano;Hombre;Alonso Cano;0.0;;;;;;;
Calle Amadeo Rodríguez;Hombre;Amadeo Rodríguez;0.0;;;;;;;
Calle Amilcar Barca;Hombre;Amilcar Barca;0.0;;;;;;;
Calle Andrés de Segovia;Hombre;Andrés de Segovia;0.0;;;;;;;
Calle Ángel;Hombre;Ángel;0.0;;;;;;;
Calle Antonio Accame;Hombre;Antonio Accame;0.0;;;;;;;
Calle Antonio Burgos;Hombre;Antonio Burgos;0.0;;;;;;;
Calle Antonio Jose Rivera;Hombre;Antonio Jose Rivera;0.0;;;;;;;
Calle Antonio López;Hombre;Antonio López;0.0;;;;;;;
Calle Antonio Machado;Hombre;Antonio Machado;0.0;;;;;;;
Calle Arcángel San Miguel;Hombre;Arcángel San Miguel;0.0;;;;;;;
Calle Arquitecto Acero;Hombre;Arquitecto Acero;0.0;;;;;;;
Calle Arquitecto Torcuato Cayón;Hombre;Arquitecto Torcuato Cayón;0.0;;;;;;;
Calle Artilleros Viniegra y Díaz Merello;Hombre;Artilleros Viniegra y Díaz Merello;0.0;;;;;;;
Glorieta Ascensión García Ortiz y Alberto Jiménez Becerril Víctimas del Terrorismo;Hombre;Ascensión García Ortiz y Alberto Jiménez Becerril Víctimas del Terrorismo;0.0;;;;;;;1
Calle Aurelio Sellé;Hombre;Aurelio Sellé;0.0;;;;;;;
Calle Bartolomé Benitez y Gálvez;Hombre;Bartolomé Benitez y Gálvez;0.0;;;;;;;
Calle Bartolomé Llompart;Hombre;Bartolomé Llompart;0.0;;;;;;;
Calle Batista;Hombre;Batista;0.0;;;;;;;
Calle Beato Diego;Hombre;Beato Diego;0.0;;;;;;;
Calle Beni de Cádiz;Hombre;Beni de Cádiz;0.0;;;;;;;
Calle Benito Pérez Galdós;Hombre;Benito Pérez Galdós;0.0;;;;;;;
Calle Brigadier Tofiño;Hombre;Brigadier Tofiño;0.0;;;;;;;
Calle Cal y Canto;NA;Cal y Canto;0.0;;;;;;;
Calle Calderón de la Barca;Hombre;Calderón de la Barca;0.0;;;;;;;
