Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Adriano;Hombre;Adriano;0;;;;;;;
Calle Agustín Querol;Hombre;Agustín Querol;0;;;;;;;
Alameda de San Antón;Hombre;Alameda de San Antón;1;;;;;;;1
Calle Alberto Colao;Hombre;Alberto Colao;0;;;;;;;
Calle Alcalde;Hombre;Alcalde;0;;;;;;;
Calle Alcalde Alberto Colao;Hombre;Alcalde Alberto Colao;0;;;;;;;
Calle Alcalde Amancio Muñoz;Hombre;Alcalde Amancio Muñoz;0;;;;;;;1
Calle Alcalde Ángel Moreno;Hombre;Alcalde Ángel Moreno;0;;;;;;;
Calle Alcalde Bartolomé Spottorno;Hombre;Alcalde Bartolomé Spottorno;0;;;;;;;
Calle Alcalde Blanca Viñeglas;Hombre;Alcalde Blanca Viñeglas;0;;;;;;;
Calle Alcalde Carlos Tapia;Hombre;Alcalde Carlos Tapia;0;;;;;;;
Calle Alcalde Carrión Inglés;Hombre;Alcalde Carrión Inglés;0;;;;;;;
Calle Alcalde Cazorla Rico;Hombre;Alcalde Cazorla Rico;0;;;;;;;
Plaza Alcalde Cendra Badía;Hombre;Alcalde Cendra Badía;0;;;;;;;
Calle Alcalde Cirilo Molina;Hombre;Alcalde Cirilo Molina;0;;;;;;;
Calle Alcalde Conesa Balanza;Hombre;Alcalde Conesa Balanza;0;;;;;;;
Calle Alcalde de Zalamea;Hombre;Alcalde de Zalamea;0;;;;;;;
Calle Alcalde Estanislao Rolandi;Hombre;Alcalde Estanislao Rolandi;0;;;;;;;
Calle Alcalde García Vasco;Hombre;Alcalde García Vasco;0;;;;;;;
Calle Alcalde Guardia Miro;Hombre;Alcalde Guardia Miro;0;;;;;;;
Calle Alcalde Jorquera Martínez;Hombre;Alcalde Jorquera Martínez;0;;;;;;;
Calle Alcalde Leandro Madrid;Hombre;Alcalde Leandro Madrid;0;;;;;;;
Calle Alcalde Leopoldo Cándido;Hombre;Alcalde Leopoldo Cándido;0;;;;;;;
Calle Alcalde Manuel Carmona;Hombre;Alcalde Manuel Carmona;0;;;;;;;
Calle Alcalde Martínez de Galinsoga;Hombre;Alcalde Martínez de Galinsoga;0;;;;;;;
Calle Alcalde Mas Gilabert;Hombre;Alcalde Mas Gilabert;0;;;;;;;
Calle Alcalde Mora Ripoll;Hombre;Alcalde Mora Ripoll;0;;;;;;;
Calle Alcalde Muñóz Delgado;Hombre;Alcalde Muñóz Delgado;0;;;;;;;
Calle Alcalde Roig Ruiz;Hombre;Alcalde Roig Ruiz;0;;;;;;;
Calle Alcalde S. Jorquera;Hombre;Alcalde S. Jorquera;0;;;;;;;
Calle Alcalde Sánchez Arias;Hombre;Alcalde Sánchez Arias;0;;;;;;;
Calle Alcalde Serrat Andreu;Hombre;Alcalde Serrat Andreu;0;;;;;;;
Calle Alcalde Valentín Arróniz;Hombre;Alcalde Valentín Arróniz;0;;;;;;;
Calle Alcalde Vidal Cáceres;Hombre;Alcalde Vidal Cáceres;0;;;;;;;
Calle Alcalde Zamora;Hombre;Alcalde Zamora;0;;;;;;;1
Calle Alejandro Casona;Hombre;Alejandro Casona;0;;;;;;;
Calle Alfonso Alburquerque;Hombre;Alfonso Alburquerque;0;;;;;;;
Calle Alfonso Carrión;Hombre;Alfonso Carrión;0;;;;;;;
Calle Alfonso López Aracil;Hombre;Alfonso López Aracil;0;;;;;;;
Calle Alfonso Mendoza;Hombre;Alfonso Mendoza;0;;;;;;;
Calle Alfonso Paso;Hombre;Alfonso Paso;0;;;;;;;
Calle Alfonso Pineda;Hombre;Alfonso Pineda;0;;;;;;;
Calle Alfonso Salazar;Hombre;Alfonso Salazar;0;;;;;;;
Calle Alfonso Vargas;Hombre;Alfonso Vargas;0;;;;;;;
Calle Alfonso VI;Hombre;Alfonso VI;0;;;;;;;
Calle Alfonso X el Sabio;Hombre;Alfonso X el Sabio;0;;;;;;;
Paseo de Alfonso XII;Hombre;Alfonso XII;0;;;;;;;1
Paseo Alfonso XII;Hombre;Alfonso XII;0;;;;;;;1
Calle Alfonso XIII;Hombre;Alfonso XIII;0;;;;;;;
Paseo de Alfonso XIII;Hombre;Alfonso XIII;0;;;;;;;1
Plaza Alfonso XIII;Hombre;Alfonso XIII;0;;;;;;;
Calle Almirante Baldasano;Hombre;Almirante Baldasano;0;;;;;;;
Calle Almirante Bonifaz;Hombre;Almirante Bonifaz;0;;;;;;;
Calle Almirante Elizalde;Hombre;Almirante Elizalde;0;;;;;;;
Calle Almirante Valdés;Hombre;Almirante Valdés;0;;;;;;;
Avenida Alonso Cano;Hombre;Alonso Cano;0;;;;;;;
Calle Alonso de Ojeda;Hombre;Alonso de Ojeda;0;;;;;;;
Calle Álvar Fáñez;Hombre;Álvar Fáñez;0;;;;;;;
Calle Álvar Núñez;Hombre;Álvar Núñez;0;;;;;;;
Calle Álvarez Alonso;Hombre;Álvarez Alonso;0;;;;;;;
Calle Álvarez Cabral;Hombre;Álvarez Cabral;0;;;;;;;
Calle Álvarez Quintero;Hombre;Álvarez Quintero;0;;;;;;;
Calle Álvaro de Bazán;Hombre;Álvaro de Bazán;0;;;;;;;
Calle Álvaro de Saavedra;Hombre;Álvaro de Saavedra;0;;;;;;;
Calle Amadeo Cuni;Hombre;Amadeo Cuni;0;;;;;;;
Calle Amadeo Vives;Hombre;Amadeo Vives;0;;;;;;;
Calle de Amalio Gimeno;Hombre;Amalio Gimeno;0;;;;;;;
Calle Amalio Jimeno;Hombre;Amalio Jimeno;0;;;;;;;
Calle Américo Vespucio;Hombre;Américo Vespucio;0;;;;;;;
Calle Amílcar Barca;Hombre;Amílcar Barca;0;;;;;;;
Calle Anastasio;Hombre;Anastasio;0;;;;;;;
Calle Andrés de Urbaneta;Hombre;Andrés de Urbaneta;0;;;;;;;
Calle Andrés Meca;Hombre;Andrés Meca;0;;;;;;;
Travesía Andrés Meca;Hombre;Andrés Meca;0;;;;;;;
Calle Andrés Pedreño;Hombre;Andrés Pedreño;0;;;;;;;
Calle Andrés Viana;Hombre;Andrés Viana;0;;;;;;;
Calle Ángel;Hombre;Ángel;0;;;;;;;
Plaza Ángel;Hombre;Ángel;0;;;;;;;
Prolongación Ángel Bruna;Hombre;Ángel Bruna;0;;;;;;;
Calle Ángel Bruna;Hombre;Ángel Bruna;0;;;;;;;1
Calle Ángel Celdrán;Hombre;Ángel Celdrán;0;;;;;;;
Calle Ángel Ferrant;Hombre;Ángel Ferrant;0;;;;;;;
Calle Ángel Moreno;Hombre;Ángel Moreno;0;;;;;;;
Calle Ángel Ródenas;Hombre;Ángel Ródenas;0;;;;;;;
Calle Ángel Saura;Hombre;Ángel Saura;0;;;;;;;
Plaza Ángel Zamora;Hombre;Ángel Zamora;0;;;;;;;
Calle Aníbal;Hombre;Aníbal;0;;;;;;;
Vía Aníbal;Hombre;Aníbal;0;;;;;;;
Plaza Antón Martín;Hombre;Antón Martín;0;;;;;;;
Calle Antón Martín;Hombre;Antón Martín;0;;;;;;;
Calle Antonio Alonso;Hombre;Antonio Alonso;0;;;;;;;
Plaza Antonio Asensio;Hombre;Antonio Asensio;0;;;;;;;
Plaza Antonio Brufau;Hombre;Antonio Brufau;0;;;;;;;
Calle Antonio de Cabezón;Hombre;Antonio de Cabezón;0;;;;;;;
Calle Antonio Eslava;Hombre;Antonio Eslava;0;;;;;;;
Calle Antonio Guerrero;Hombre;Antonio Guerrero;0;;;;;;;
Calle Antonio Inglés Ros;Hombre;Antonio Inglés Ros;0;;;;;;;
Calle Antonio Lauret Navarro;Hombre;Antonio Lauret Navarro;0;;;;;;;
Calle Antonio Machado;Hombre;Antonio Machado;0;;;;;;;
Plaza de Antonio Martínez;Hombre;Antonio Martínez;0;;;;;;;
Calle Antonio Oliver;Hombre;Antonio Oliver;0;;;;;;;
Calle Antonio P. Campillo;Hombre;Antonio P. Campillo;0;;;;;;;1
Calle Antonio Pascual;Hombre;Antonio Pascual;0;;;;;;;
Calle Antonio Pérez;Hombre;Antonio Pérez;0;;;;;;;
Plaza Antonio Piñana Segado;Hombre;Antonio Piñana Segado;0;;;;;;;
Calle Antonio Ramos;Hombre;Antonio Ramos;0;;;;;;;
Calle Antonio Reverte;Hombre;Antonio Reverte;0;;;;;;;
Calle Antonio Rosique;Hombre;Antonio Rosique;0;;;;;;;
Calle Antonio Rubio;Hombre;Antonio Rubio;0;;;;;;;
