Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Aguinaldo;NA;Aguinaldo;0.0;;;;;;;
Calle Alcalde Amadeo Ribó Simont;Hombre;Alcalde Amadeo Ribó Simont;0.0;;;;;;;
Calle Alcalde Antonio Ferrer i Pasqual;Hombre;Alcalde Antonio Ferrer i Pasqual;0.0;;;;;;;
Calle Alcalde Antonio Forns Sánchez;Hombre;Alcalde Antonio Forns Sánchez;0.0;;;;;;;
Calle Alcalde Benjamín Fabregat Martí;Hombre;Alcalde Benjamín Fabregat Martí;0.0;;;;;;;
Calle Alcalde Francisco Juan Ribas;Hombre;Alcalde Francisco Juan Ribas;0.0;;;;;;;
Calle del Alcalde Francisco Ruiz Cazador;Hombre;Alcalde Francisco Ruiz Cazador;0.0;;;;;;;
Calle Alcalde Gonzalo Vilar;Hombre;Alcalde Gonzalo Vilar;0.0;;;;;;;
Calle del Alcalde José Ballester;Hombre;Alcalde José Ballester;0.0;;;;;;;
Calle Alcalde Labrador Salvador Masip;Hombre;Alcalde Labrador Salvador Masip;0.0;;;;;;;1
Calle Alcalde Tárrega;Hombre;Alcalde Tárrega;0.0;;;;;;;1
Calle Alcalde Vicente Meliá Dolz;Hombre;Alcalde Vicente Meliá Dolz;0.0;;;;;;;1
Calle del Alcalde Vicente Pla Broch;Hombre;Alcalde Vicente Pla Broch;0.0;;;;;;;
Calle Alcande Antonio Ferrer i Pasqual;Hombre;Alcande Antonio Ferrer i Pasqual;0.0;;;;;;;
Avenida de Alfonso XII;Hombre;Alfonso XII;0.0;;;;;;;
Calle Almagro;NA;Almagro;0.0;;;;;;;1
Calle Almirante Cervera;Hombre;Almirante Cervera;0.0;;;;;;;
Calle de Alquierias del Niño Perdido;NA;Alquierias del Niño Perdido;0.0;;;;;;;
Calle Álvaro Bazán;Hombre;Álvaro Bazán;0.0;;;;;;;
Calle Amadeo I;Hombre;Amadeo I;0.0;;;;;;;1
