Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Catalina;Mujer;Catalina;1.0;;traductora e intermediadora mokaná;https://es.wikipedia.org/wiki/India_Catalina;http://commons.wikimedia.org/wiki/Special:FilePath/India%20Catalina%20Statue%2C%20Cartagena%2C%20Colombia%20%2824527547921%29.jpg;1495-01-01T00:00:00Z;1529-01-01T00:00:00Z;
Calle Reina Sofía;Mujer;Sofía de Grecia;;;Reina consorte de España (1975-2014);https://es.wikipedia.org/wiki/Sof%C3%ADa_de_Grecia;http://commons.wikimedia.org/wiki/Special:FilePath/Karaliene%20Sofija%20%28cropped%29.jpg;1938-11-02T00:00:00Z;;
Calle Agustina de Aragón;Mujer;Agustina de Aragón;;;Heroína española;https://es.wikipedia.org/wiki/Agustina_de_Arag%C3%B3n;http://commons.wikimedia.org/wiki/Special:FilePath/Agustina%20de%20aragon4red.jpg;1786-03-03T00:00:00Z;1857-05-29T00:00:00Z;1
Calle Juana Campoy;Mujer;Juana Campoy;;;;;;;;1
Calle Antonia Céspedes Gallego;Mujer;Antonia Céspedes Gallego;;;;;;;;1
Calle Beatriz de Silva;Mujer;Beatriz de Silva;1.0;;religiosa católica portuguesa;https://es.wikipedia.org/wiki/Beatriz_de_Silva;http://commons.wikimedia.org/wiki/Special:FilePath/BeatrizSilvaest.jpg;1424-01-01T00:00:00Z;1492-08-25T00:00:00Z;1
Plaza Virgen de la Palma;Mujer;Virgen de la Palma;1.0;;;https://es.wikipedia.org/wiki/Virgen_de_La_Palma;;;;
Calle Clara Campoamor;Mujer;Clara Campoamor;;;política española, feminista;https://es.wikipedia.org/wiki/Clara_Campoamor;http://commons.wikimedia.org/wiki/Special:FilePath/Clara%20Campoamor.png;1888-02-12T00:00:00Z;1972-04-30T00:00:00Z;
Travesía de Andrea;Mujer;Andrea;;;;;;;;1
Calle Antonia Gallego Céspedes;Mujer;Antonia Gallego Céspedes;;;;;;;;1
Calle Nuestra Señora del Mayor Dolor;Mujer;Nuestra Señora del Mayor Dolor;1.0;;;;;;;1
Calle Santa Cruz del Valle;Mujer;Santa Cruz del Valle;1.0;;;;;;;1
Calle Trabajadora Social Yamila Seddati;Mujer;Trabajadora Social Yamila Seddati;;;;;;;;
Calle Dra. Soraya;Mujer;Dra. Soraya;;;;;;;;
Calle Señorita Valderrama;Mujer;Señorita Valderrama;;;;;;;;1
Calle María Salud Tejero;Mujer;María Salud Tejero;;;;;;;;1
Calle Millan Astray;Mujer;Pilar Millán Astray;;;dramaturga y novelista española;https://es.wikipedia.org/wiki/Pilar_Mill%C3%A1n_Astray;http://commons.wikimedia.org/wiki/Special:FilePath/1922-02-04%2C%20La%20Esfera%2C%20Pilar%20Mill%C3%A1n%20Astray%2C%20Julio%20Romero%20de%20Torres%20%28cropped%29.jpg;1879-01-01T00:00:00Z;1949-05-22T00:00:00Z;1
Carretera de San Antonio;Hombre;San Antonio;1.0;;;;;;;
Avenida Juan de Borbón;Hombre;Juan de Borbón;;;;;;;;
Calle Alcalde Enrique García Ponce;Hombre;Alcalde Enrique García Ponce;;;;;;;;
Calle Alcalde Ricardo Cerni González;Hombre;Alcalde Ricardo Cerni González;;;;;;;;
Avenida San Amaro;Hombre;San Amaro;1.0;;;;;;;1
Calle José García Cosío;Hombre;José García Cosío;;;;;;;;
Fuerte Principe Alfonso;Hombre;Fuerte Principe Alfonso;;;;;;;;
Plaza de Enrique el Navegante;Hombre;Enrique el Navegante;;;;;;;;
Calle Alfonso Ojeda;Hombre;Alfonso Ojeda;;;;;;;;
Avenida de San Juan de Dios;Hombre;San Juan de Dios;1.0;;;;;;;
Avenida San Daniel;Hombre;San Daniel;;;;;;;;
Calle Carlos Villón Egea;Hombre;Carlos Villón Egea;;;;;;;;1
Avenida Juan Pablo II;Hombre;Juan Pablo II;1.0;;;;;;;1
Avenida Alcalde Goñalons;Hombre;Alcalde Goñalons;;;;;;;;1
Calle Valentin Cabillas;Hombre;Valentin Cabillas;;;;;;;;
Calle Pepe Durán;Hombre;Pepe Durán;;;;;;;;
Paseo Alcalde Sánchez Prado;Hombre;Alcalde Sánchez Prado;;;;;;;;1
Calle González Besada;Hombre;González Besada;;;;;;;;1
Calle Juan I de Portugal;Hombre;Juan I de Portugal;;;;;;;;1
Calle Luis Lopez Anglada;Hombre;Luis Lopez Anglada;;;;;;;;
Calle San Jose del Valle;Hombre;San Jose del Valle;;;;;;;;1
Calle Francisco Pizarro;Hombre;Francisco Pizarro;;;;;;;;
Calle Goya;Hombre;Goya;;;;;;;;
Juan de Juanes;Hombre;Juan de Juanes;;;;;;;;
Calle El Greco;Hombre;Greco;;;;;;;;
Avenida Miguel Arruda;Hombre;Miguel Arruda;;;;;;;;
Calle Doctor Fleming;Hombre;Doctor Fleming;;;;;;;;
Plaza de Enrique el Navegante;Hombre;Enrique el Navegante;;;;;;;;
Calle Francisco Lería y Ortiz Saracho;Hombre;Francisco Lería y Ortiz Saracho;;;;;;;;
Calle Alcalde Miaja Sánchez;Hombre;Alcalde Miaja Sánchez;;;;;;;;1
Calle Manuel Leria;Hombre;Manuel Leria;;;;;;;;1
Circunvalación del Barrio del Príncipe;Hombre;Barrio del Príncipe;;;;;;;;
Calle de Príncipe Alfonso;Hombre;Príncipe Alfonso;;;;;;;;
Calle Pérez Serrano;Hombre;Pérez Serrano;;;;;;;;
Calle San Pedro;Hombre;San Pedro;;;;;;;;
Calle Vasco Nuñez de Balboa;Hombre;Vasco Nuñez de Balboa;;;;;;;;
Calle Juan Sebastián El Cano;Hombre;Juan Sebastián El Cano;;;;;;;;
Calle Francisco de Orellana;Hombre;Francisco de Orellana;;;;;;;;
Maestro Antonio Marfil Quirantes;Hombre;Maestro Antonio Marfil Quirantes;;;;;;;;
Calle Pepe Serón;Hombre;Pepe Serón;;;;;;;;
Paseo de Colón;Hombre;Colón;;;;;;;;1
Calle Pepe Remigio;Hombre;Pepe Remigio;;;;;;;;1
Calle Martin Cebollino;Hombre;Martin Cebollino;;;;;;;;1
Calle Camoens;Hombre;Camoens;;;;;;;;1
Calle Cervantes;Hombre;Cervantes;;;;;;;;1
Calle Correa;Hombre;Correa;;;;;;;;1
Calle Manuel Olivencia Amor;Hombre;Manuel Olivencia Amor;;;;;;;;1
Calle Florentino Gómez Macedo;Hombre;Florentino Gómez Macedo;;;;;;;;
Calle Conde de Vergara;Hombre;Conde de Vergara;;;;;;;;
Calle Fray Diego Almeida;Hombre;Fray Diego Almeida;;;;;;;;
Calle Rafael Borrego;Hombre;Rafael Borrego;;;;;;;;
Avenida Doctor Abdelkrim;Hombre;Doctor Abdelkrim;;;;;;;;
Calle Rafael Orozco;Hombre;Rafael Orozco;;;;;;;;
Calle Duarte;Hombre;Duarte;;;;;;;;1
Calle García;Hombre;García;;;;;;;;1
Calle Alcalde Clemente Calvo Pecino;Hombre;Alcalde Clemente Calvo Pecino;;;;;;;;1
Calle Canalejas;Hombre;Canalejas;;;;;;;;1
Joaquin Amador Quinin;Hombre;Joaquin Amador Quinin;;;;;;;;
Calle José Roldán Carrillo;Hombre;José Roldán Carrillo;;;;;;;;
Calle Ramón Morales;Hombre;Ramón Morales;;;;;;;;
Calle Fernando de Soto;Hombre;Fernando de Soto;;;;;;;;
Calle Romero de Torres;Hombre;Romero de Torres;;;;;;;;
Calle Juan;Hombre;Juan;;;;;;;;
Calle Abdelmalik;Hombre;Abdelmalik;;;;;;;;
Calle Pedro de Meneses;Hombre;Pedro de Meneses;;;;;;;;1
Calle Machado;Hombre;Machado;;;;;;;;1
Calle Manuel Gonzalez;Hombre;Manuel Gonzalez;;;;;;;;1
Calle Agustin Muñoz;Hombre;Agustin Muñoz;;;;;;;;1
Carretera de San Antonio;Hombre;San Antonio;;;;;;;;
Calle Ramón y Cajal;Hombre;Ramón y Cajal;;;;;;;;1
Calle Mateo Álvarez;Hombre;Mateo Álvarez;;;;;;;;
Pedro Moreno Perico;Hombre;Pedro Moreno Perico;;;;;;;;
Calle Joaquín Amador Quinin;Hombre;Joaquín Amador Quinin;;;;;;;;
Carmen Rojas;Hombre;Carmen Rojas;;;;;;;;
Latino;Hombre;Latino;;;;;;;;
Ulises;Hombre;Ulises;;;;;;;;
Calle Antonio Parrado Gil;Hombre;Antonio Parrado Gil;;;;;;;;
Pasaje Ghandi;Hombre;Ghandi;;;;;;;;1
Calle del Padre Feijóo;Hombre;Padre Feijóo;;;;;;;;
Calle Conrad Álvarez;Hombre;Conrad Álvarez;;;;;;;;1
Calle Joaquin Sorolla;Hombre;Joaquin Sorolla;;;;;;;;
Calle Zuloaga;Hombre;Zuloaga;;;;;;;;
Calle Francisco de Ribalta;Hombre;Francisco de Ribalta;;;;;;;;
Calle Murillo;Hombre;Murillo;;;;;;;;
Calle Claudio Coello;Hombre;Claudio Coello;;;;;;;;
Calle Velazquez;Hombre;Velazquez;;;;;;;;
Calle Juan de la Cosa;Hombre;Juan de la Cosa;;;;;;;;
Calle Pedro de Alvarado;Hombre;Pedro de Alvarado;;;;;;;;
Calle Alcalde Joaq. Garcia de la Torre Almenara;Hombre;Alcalde Joaq. Garcia de la Torre Almenara;;;;;;;;
Calle San Vicente del Valle;Hombre;San Vicente del Valle;;;;;;;;1
Calle Profesor Gordillo Osuna;Hombre;Profesor Gordillo Osuna;;;;;;;;
Circunvalación del Barrio del Príncipe;Hombre;Barrio del Príncipe;;;;;;;;
Calle Teniente Coronel Gautier;Hombre;Teniente Coronel Gautier;;;;;;;;
Calle Diaz Flor;Hombre;Diaz Flor;;;;;;;;
Avenida Cadi Iyad;Hombre;Cadi Iyad;;;;;;;;
