Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Abad de Rute;Hombre;Abad de Rute;0.0;;;;;;;
Calle Abad Sanson;Hombre;Abad Sanson;0.0;;;;;;;
Glorieta Abbas ibn Firnas;Hombre;Abbas ibn Firnas;0.0;;;;;;;
Avenida de Abderramán I;Hombre;Abderramán I;0.0;;;;;;;
Calle Abderramán III;Hombre;Abderramán III;0.0;;;;;;;
Calle de Abel Pascual;Hombre;Abel Pascual;0.0;;;;;;;
Calle de Aben Guzmán;Hombre;Aben Guzmán;0.0;;;;;;;
Calle Abén Hazám;Hombre;Abén Hazám;0.0;;;;;;;
Calle Abén Mazarra;Hombre;Abén Mazarra;0.0;;;;;;;
Calle Abogado Enríquez Barrios;Hombre;Abogado Enríquez Barrios;0.0;;;;;;;
Calle Académico Aguilar Priego;Hombre;Académico Aguilar Priego;0.0;;;;;;;
Calle Académico Camacho;Hombre;Académico Camacho;0.0;;;;;;;
Calle Académico Gálvez Calzado;Hombre;Académico Gálvez Calzado;0.0;;;;;;;
Calle Academico Gracia Boix;Hombre;Academico Gracia Boix;0.0;;;;;;;
Calle Académico Meléndez;Hombre;Académico Meléndez;0.0;;;;;;;
Calle Académico Menendez Pidal;Hombre;Académico Menendez Pidal;0.0;;;;;;;
Calle Académico Moreno;Hombre;Académico Moreno;0.0;;;;;;;
Calle Académico Pérez Pavía;Hombre;Académico Pérez Pavía;0.0;;;;;;;
Calle Académico Saraza;Hombre;Académico Saraza;0.0;;;;;;;
Calle Acera de Alonso Gómez de Figueroa;Hombre;Acera de Alonso Gómez de Figueroa;0.0;;;;;;;
Pasaje de Aguilar de la Frontera;NA;Aguilar de la Frontera;0.0;;;;;;;
Calle Agustín de la Oliva;Hombre;Agustín de la Oliva;0.0;;;;;;;
Calle Agustín Moreno;Hombre;Agustín Moreno;0.0;;;;;;;1
Avenida Al-Nasir;Hombre;Al-Nasir;0.0;;;;;;;
Calle Alarcón López;Hombre;Alarcón López;0.0;;;;;;;1
Calle Albéniz;Hombre;Albéniz;0.0;;;;;;;
Calle del Alcaide de los Donceles;Hombre;Alcaide de los Donceles;0.0;;;;;;;
Calle Alcalde Antonio Guerra Puerta;Hombre;Alcalde Antonio Guerra Puerta;0.0;;;;;;;
Calle Alcalde Aparicio y Marín;Hombre;Alcalde Aparicio y Marín;0.0;;;;;;;
Calle Alcalde de la Cruz ceballos;Hombre;Alcalde de la Cruz ceballos;0.0;;;;;;;
Calle Alcalde Fernández de Mesa Porras;Hombre;Alcalde Fernández de Mesa Porras;0.0;;;;;;;
Calle Alcalde Francisco Serrano;Hombre;Alcalde Francisco Serrano;0.0;;;;;;;
Calle Alcalde Guzmán Reina;Hombre;Alcalde Guzmán Reina;0.0;;;;;;;
Calle Alcalde José Carrasco Pavón;Hombre;Alcalde José Carrasco Pavón;0.0;;;;;;;
Calle Alcalde Pineda de las Infantas y Castillejo;Hombre;Alcalde Pineda de las Infantas y Castillejo;0.0;;;;;;;
Calle Alcalde Sánchez Badajoz;Hombre;Alcalde Sánchez Badajoz;0.0;;;;;;;
Calle Alcalde Sanz Noguer;Hombre;Alcalde Sanz Noguer;0.0;;;;;;;
Calle Alcalde Velasco Navarro;Hombre;Alcalde Velasco Navarro;0.0;;;;;;;
Calle Alcalde Vicente López;Hombre;Alcalde Vicente López;0.0;;;;;;;
Calle Alfonso Prieto El Chiqui;Hombre;Alfonso Prieto El Chiqui;0.0;;;;;;;
Calle Alfonso Séptimo;Hombre;Alfonso Séptimo;0.0;;;;;;;
Calle Alfonso XII;Hombre;Alfonso XII;0.0;;;;;;;1
Calle de Alfonso XIII;Hombre;Alfonso XIII;0.0;;;;;;;1
Calle Alfonso XIII;Hombre;Alfonso XIII;0.0;;;;;;;
Calle Alfredo Kraus;Hombre;Alfredo Kraus;0.0;;;;;;;
Calle de Alonso Aguilar;Hombre;Alonso Aguilar;0.0;;;;;;;1
Calle Alonso de Burgos;Hombre;Alonso de Burgos;0.0;;;;;;;1
Calle Alonso El Sabio;Hombre;Alonso El Sabio;0.0;;;;;;;1
Calle Alonso Gómez de Sandoval;Hombre;Alonso Gómez de Sandoval;0.0;;;;;;;1
Calle Alvar Rodríguez;Hombre;Alvar Rodríguez;0.0;;;;;;;1
Calle de Álvarez de los Ángeles;Hombre;Álvarez de los Ángeles;0.0;;;;;;;1
Calle Alvaro Paulo;Hombre;Alvaro Paulo;0.0;;;;;;;
