Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Rúa Abegondo;Hombre;Abegondo;0;;;;;;;
Plaza Agustín Díaz;Hombre;Agustín Díaz;0;;;;;;;
Praza Agustín Díaz;Hombre;Agustín Díaz;0;;;;;;;
Rúa Albert Camus;Hombre;Albert Camus;0;;;;;;;
Calle Alberto Datas Panero;Hombre;Alberto Datas Panero;0;;;;;;;
Rúa Alberto Garaizabal Macazaga;Hombre;Alberto Garaizabal Macazaga;0;;;;;;;
Avenida Alberto García Ferreiro;Hombre;Alberto García Ferreiro;0;;;;;;;
Rúa Alberto Martí;Hombre;Alberto Martí;0;;;;;;;
Rúa Alcalde Abad Conde;Hombre;Alcalde Abad Conde;0;;;;;;;
Calle Alcalde Abella;Hombre;Alcalde Abella;0;;;;;;;1
Avenida Alcalde Alfonso Molina;Hombre;Alcalde Alfonso Molina;0;;;;;;;
Avenida del Alcalde Alfonso Molina;Hombre;Alcalde Alfonso Molina;0;;;;;;;
Calle Alcalde Asúnsolo;Hombre;Alcalde Asúnsolo;0;;;;;;;
Calle Alcalde Canuto Berea;Hombre;Alcalde Canuto Berea;0;;;;;;;1
Praza Alcalde Domingos Merino;Hombre;Alcalde Domingos Merino;0;;;;;;;
Calle Alcalde Fermín Casares Teijeiro;Hombre;Alcalde Fermín Casares Teijeiro;0;;;;;;;
Calle Alcalde Folla Yordi;Hombre;Alcalde Folla Yordi;0;;;;;;;1
Paseo Alcalde Francisco Vázquez;Hombre;Alcalde Francisco Vázquez;0;;;;;;;1
Praza Alcalde Iglesias Corral;Hombre;Alcalde Iglesias Corral;0;;;;;;;
Rúa Alcalde Jaime Hervada;Hombre;Alcalde Jaime Hervada;0;;;;;;;
Plaza Alcalde José Crespo López Mora;Hombre;Alcalde José Crespo López Mora;0;;;;;;;
Calle Alcalde Lens;Hombre;Alcalde Lens;0;;;;;;;
Calle Alcalde Liaño Flores;Hombre;Alcalde Liaño Flores;0;;;;;;;
Praza Alcalde López Menéndez;Hombre;Alcalde López Menéndez;0;;;;;;;
Calle Alcalde Manuel Casas;Hombre;Alcalde Manuel Casas;0;;;;;;;1
Calle Alcalde Marchesi;Hombre;Alcalde Marchesi;0;;;;;;;
Praza Alcalde Ozores Arraiz;Hombre;Alcalde Ozores Arraiz;0;;;;;;;
Rúa Alcalde Peñamaría de Llano;Hombre;Alcalde Peñamaría de Llano;0;;;;;;;
Avenida Alcalde Pérez Ardá;Hombre;Alcalde Pérez Ardá;0;;;;;;;
Rúa Alcalde Puga y Parga;Hombre;Alcalde Puga y Parga;0;;;;;;;
Rúa Alcalde Salorio Suárez;Hombre;Alcalde Salorio Suárez;0;;;;;;;
Calle Alcalde Sanjurjo Carricarte;Hombre;Alcalde Sanjurjo Carricarte;0;;;;;;;
Calle Alcalde Santiago Casares Paz;Hombre;Alcalde Santiago Casares Paz;0;;;;;;;
Rúa Alcalde Soto González;Hombre;Alcalde Soto González;0;;;;;;;
Calle Alcalde Suárez Ferrín;Hombre;Alcalde Suárez Ferrín;0;;;;;;;
Rúa Alejandro Barreiro Noya;Hombre;Alejandro Barreiro Noya;0;;;;;;;
Calle Alejandro Barreiro Noya;Hombre;Alejandro Barreiro Noya;0;;;;;;;
Rúa Alexander Von Humboldt;Hombre;Alexander Von Humboldt;0;;;;;;;
Paseo de Alexandre Bóveda;Hombre;Alexandre Bóveda;0;;;;;;;
Calle de Alfonso IX;Hombre;Alfonso IX;0;;;;;;;1
"""Avenida de Alfonso Molina";"""Alfonso Molina";" Fernández Latorre""";" Fernández Latorre""";Hombre;;;;;;
Calle Alfonso Rodríguez Castelao;Hombre;Alfonso Rodríguez Castelao;0;;;;;;;
Calle Alfonso VII;Hombre;Alfonso VII;0;;;;;;;
Plaza Alfonso XIII;Hombre;Alfonso XIII;0;;;;;;;
Rúa Alfredo Kraus;Hombre;Alfredo Kraus;0;;;;;;;
Rúa Alfredo Tella;Hombre;Alfredo Tella;0;;;;;;;
Calle Alfredo Vicenti;Hombre;Alfredo Vicenti;0;;;;;;;
Calle Almirante Cadarso;Hombre;Almirante Cadarso;0;;;;;;;
Calle Almirante Eulate;Hombre;Almirante Eulate;0;;;;;;;
Travesía Almirante Eulate;Hombre;Almirante Eulate;0;;;;;;;
Calle Almirante Lángara;Hombre;Almirante Lángara;0;;;;;;;
Rúa Almirante Mourelle;Hombre;Almirante Mourelle;0;;;;;;;
Calle Almirante Mourelle;Hombre;Almirante Mourelle;0;;;;;;;
Plaza Almirante Romay;Hombre;Almirante Romay;0;;;;;;;
Calle Almirante Romay;Hombre;Almirante Romay;0;;;;;;;
Rúa Álvaro Cebreiro;Hombre;Álvaro Cebreiro;0;;;;;;;1
Calle Álvaro Cebreiro;Hombre;Álvaro Cebreiro;0;;;;;;;1
Calle Álvaro Cunqueiro;Hombre;Álvaro Cunqueiro;0;;;;;;;
Rúa Álvaro Cunqueiro;Hombre;Álvaro Cunqueiro;0;;;;;;;
Calle Ambrosio Feijoo;Hombre;Ambrosio Feijoo;0;;;;;;;1
Calle Andrés Antelo;Hombre;Andrés Antelo;0;;;;;;;1
Rúa Andrés Gaos;Hombre;Andrés Gaos;0;;;;;;;
Calle Andrés Martínez Salazar;Hombre;Andrés Martínez Salazar;0;;;;;;;
Rúa Andrés Martínez Salazar;Hombre;Andrés Martínez Salazar;0;;;;;;;
Calle Ángel;Hombre;Ángel;0;;;;;;;1
Calle Ángel del Castillo;Hombre;Ángel del Castillo;0;;;;;;;
Rúa Ángel Gómez Hervada;Hombre;Ángel Gómez Hervada;0;;;;;;;
Calle Ángel Rebollo;Hombre;Ángel Rebollo;0;;;;;;;1
Plaza Ángel Ron Fraga;Hombre;Ángel Ron Fraga;0;;;;;;;
Calle Ángel Senra;Hombre;Ángel Senra;0;;;;;;;
Calle Antón Vilar Ponte;Hombre;Antón Vilar Ponte;0;;;;;;;
Rúa Antonio Carballo;Hombre;Antonio Carballo;0;;;;;;;
Rúa Antonio Casares Rodríguez;Hombre;Antonio Casares Rodríguez;0;;;;;;;
Rúa Antonio Durán Cao;Hombre;Antonio Durán Cao;0;;;;;;;
Rúa Antonio Fernández López;Hombre;Antonio Fernández López;0;;;;;;;
Rúa Antonio Insua Rivas;Hombre;Antonio Insua Rivas;0;;;;;;;
Rúa Antonio Machado;Hombre;Antonio Machado;0;;;;;;;
Rúa Antonio Noche López;Hombre;Antonio Noche López;0;;;;;;;
Calle Antonio Noche López;Hombre;Antonio Noche López;0;;;;;;;
Rúa Antonio Pedreira Ríos;Hombre;Antonio Pedreira Ríos;0;;;;;;;
