Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Ronda Adolfo Suárez;Hombre;Adolfo Suárez;0.0;;;;;;;
Avenida Adolfo Suárez;Hombre;Adolfo Suárez;0.0;;;;;;;
Calle Adriano;Hombre;Adriano;0.0;;;;;;;
Calle Álamo Blanco;Hombre;Álamo Blanco;0.0;;;;;;;
Calle Álamo Carolino;Hombre;Álamo Carolino;0.0;;;;;;;
Álamo Gris;Hombre;Álamo Gris;0.0;;;;;;;
Calle Albéniz;Hombre;Albéniz;0.0;;;;;;;1
Pasaje de Albert Einstein;Hombre;Albert Einstein;0.0;;;;;;;1
Plaza Alcalde Manuel Benítez Rufo;Hombre;Alcalde Manuel Benítez Rufo;0.0;;;;;;;1
Calle Alcalde Tierno Galván;Hombre;Alcalde Tierno Galván;0.0;;;;;;;1
Calle Alejandro Collantes;Hombre;Alejandro Collantes;0.0;;;;;;;1
Calle Alfonso de Alvarado;Hombre;Alfonso de Alvarado;0.0;;;;;;;
Calle Alfred Nobel;Hombre;Alfred Nobel;0.0;;;;;;;
Calle Alfredo Kraus;Hombre;Alfredo Kraus;0.0;;;;;;;1
Calle Almirante Bonifaz;Hombre;Almirante Bonifaz;0.0;;;;;;;
Calle Alonso Cano;Hombre;Alonso Cano;0.0;;;;;;;1
Calle Alonso de Ercilla;Hombre;Alonso de Ercilla;0.0;;;;;;;
Avenida Alonso Quijano;Hombre;Alonso Quijano;0.0;;;;;;;
Calle Álvarez Quintero;Hombre;Álvarez Quintero;0.0;;;;;;;1
Pasaje de Alvaro Cunqueiro;Hombre;Alvaro Cunqueiro;0.0;;;;;;;
Pasaje Amadís de Gaula;Hombre;Amadís de Gaula;0.0;;;;;;;
Calle Amador Cañada Tirado;Hombre;Amador Cañada Tirado;0.0;;;;;;;
Calle Amancio Renes;Hombre;Amancio Renes;0.0;;;;;;;1
Calle Américo Vespucio;Hombre;Américo Vespucio;0.0;;;;;;;
Calle Andrés Hernández el Ciego;Hombre;Andrés Hernández el Ciego;0.0;;;;;;;1
Calle Ángel Díaz Huertas;Hombre;Ángel Díaz Huertas;0.0;;;;;;;
Calle Ángel López López;Hombre;Ángel López López;0.0;;;;;;;
Calle Ángel Rodríguez Castilla;Hombre;Ángel Rodríguez Castilla;0.0;;;;;;;
Calle Aníbal González;Hombre;Aníbal González;0.0;;;;;;;1
Calle Antoni Ros Marbà;Hombre;Antoni Ros Marbà;0.0;;;;;;;1
Pasaje Antonino;Hombre;Antonino;0.0;;;;;;;
Pasaje Antonio Ariza Luna;Hombre;Antonio Ariza Luna;0.0;;;;;;;
Calle Antonio Cano;Hombre;Antonio Cano;0.0;;;;;;;1
Calle Antonio Delgado Roig;Hombre;Antonio Delgado Roig;0.0;;;;;;;1
Calle Antonio Illanes Rodríguez;Hombre;Antonio Illanes Rodríguez;0.0;;;;;;;1
Calle Antonio Machado;Hombre;Antonio Machado;0.0;;;;;;;
Pasaje Antonio Villegas;Hombre;Antonio Villegas;0.0;;;;;;;
Calle Apolo;Hombre;Apolo;0.0;1.0;;;;;;1
Calle Arcipreste de Hita;Hombre;Arcipreste de Hita;0.0;;;;;;;
Calle de Asís;Hombre;Asís;0.0;;;;;;;
Calle Ataulfo Argenta;Hombre;Ataulfo Argenta;0.0;;;;;;;1
Paseo Baltasar Gracián;Hombre;Baltasar Gracián;0.0;;;;;;;
Calle Bécquer;Hombre;Bécquer;0.0;;;;;;;1
Calle Beethoven;Hombre;Beethoven;0.0;;;;;;;1
Calle Bernal Díaz del Castillo;Hombre;Bernal Díaz del Castillo;0.0;;;;;;;
Calle Bernardo de Grimaldo;Hombre;Bernardo de Grimaldo;0.0;;;;;;;
Calle Blas de Leso;Hombre;Blas de Leso;0.0;;;;;;;
Pasaje Blas de Otero;Hombre;Blas de Otero;0.0;;;;;;;
Plaza Blas Infante;Hombre;Blas Infante;0.0;;;;;;;1
Calle Braulio Ruiz;Hombre;Braulio Ruiz;0.0;;;;;;;
Calle Calderón de la Barca;Hombre;Calderón de la Barca;0.0;;;;;;;1
Calle Canónigo;Hombre;Canónigo;0.0;;;;;;;1
Calle Capataz Curro Vicario;Hombre;Capataz Curro Vicario;0.0;;;;;;;
Pasaje Cardenio;Hombre;Cardenio;0.0;;;;;;;
Calle Carlos Benítez Saurel;Hombre;Carlos Benítez Saurel;0.0;;;;;;;
Calle Carlos I;Hombre;Carlos I;0.0;;;;;;;1
Avenida Casimiro Rivas Cordero;Hombre;Casimiro Rivas Cordero;0.0;;;;;;;
Calle Cervantes;Hombre;Cervantes;0.0;;;;;;;1
Calle César Augusto;Hombre;César Augusto;0.0;;;;;;;
Calle Cesar Milstein;Hombre;Cesar Milstein;0.0;;;;;;;
Calle Cicerón;Hombre;Cicerón;0.0;;;;;;;
Pasaje Ciclamen;NA;Ciclamen;0.0;;;;;;;
Calle Compositor Carmelo;Hombre;Compositor Carmelo;0.0;;;;;;;1
Calle Condes de Ibarra;Hombre;Condes de Ibarra;0.0;;;;;;;
Calle Conductor Venancio Martínez;Hombre;Conductor Venancio Martínez;0.0;;;;;;;1
Carretera del Copero;NA;Copero;0.0;;;;;;;
Calle Correa de Araujo;Hombre;Correa de Araujo;0.0;;;;;;;
Calle Cristo de la Veracruz;Hombre;Cristo de la Veracruz;1.0;;;;;;;1
