Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Carrer Abdet;NA;Abdet;0.0;;;;;;;
carrer Adolfo Marsillach;Hombre;Adolfo Marsillach;0.0;;;;;;;
Carrer Albello;NA;Albello;0.0;;;;;;;
carrer Alberique;NA;Alberique;0.0;;;;;;;
carrer Alberto Asencio Gonzálvez;Hombre;Alberto Asencio Gonzálvez;0.0;;;;;;;
Calle Alberto Sols;Hombre;Alberto Sols;0.0;;;;;;;
Carrer Alcalde Juan Hernández Rizo;Hombre;Alcalde Juan Hernández Rizo;0.0;;;;;;;
avinguda Alcalde Ramón Pastor;Hombre;Alcalde Ramón Pastor;0.0;;;;;;;
avinguda Alcalde Vicente Quiles;Hombre;Alcalde Vicente Quiles;0.0;;;;;;;1
carrer Alcàsser;NA;Alcàsser;0.0;;;;;;;
passatge Alejandro Ramos Folqués;Hombre;Alejandro Ramos Folqués;0.0;;;;;;;
carrer Alférez Cosidó;Hombre;Alférez Cosidó;0.0;;;;;;;1
carrer Alfons XII;Hombre;Alfons XII;0.0;;;;;;;1
carrer Alfonso X el Sabio;Hombre;Alfonso X el Sabio;0.0;;;;;;;1
carrer Alfonso XIII;Hombre;Alfonso XIII;0.0;;;;;;;1
carrer Alfredo Llopis;Hombre;Alfredo Llopis;0.0;;;;;;;1
carrer Alfredo Marquerie;Hombre;Alfredo Marquerie;0.0;;;;;;;
carrer Alfredo Mira Gran;Hombre;Alfredo Mira Gran;0.0;;;;;;;
carrer Alfredo Sánchez Torres;Hombre;Alfredo Sánchez Torres;0.0;;;;;;;
Calle Almagro;Hombre;Almagro;0.0;;;;;;;
Carrer Almagro;Hombre;Almagro;0.0;;;;;;;
Carrer Almansa;NA;Almansa;0.0;;;;;;;
Plaça Almoradí;NA;Almoradí;0.0;;;;;;;
camí de Alonso;Hombre;Alonso;0.0;;;;;;;
carrer Ametler;NA;Ametler;0.0;;;;;;;
