Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle de Anaís Nin;Mujer;Anaïs Nin;0.0;;escritora francesa (1903-1977);https://es.wikipedia.org/wiki/Ana%C3%AFs_Nin;http://commons.wikimedia.org/wiki/Special:FilePath/Anais%20Nin.jpg;1903-02-21T00:00:00Z;1977-01-14T00:00:00Z;
Calle de Antonio Gaudí;Hombre;Antonio Gaudí;0.0;;;;;;;1
Calle de Antonio Machado;Hombre;Antonio Machado;0.0;;;;;;;
Calle de Arquímedes;Hombre;Arquímedes;0.0;;;;;;;
Calle Arquímedes;Hombre;Arquímedes;0.0;;;;;;;
Calle de Benito Pérez Galdós;Hombre;Benito Pérez Galdós;0.0;;;;;;;
Calle de Calderón de la Barca;Hombre;Calderón de la Barca;0.0;;;;;;;
Calle de Concepción Arenal;Mujer;Concepción Arenal;0.0;;escritora, abogada y proto-trabajadora social española;https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal;http://commons.wikimedia.org/wiki/Special:FilePath/Concepcion%20Arenal%201.jpg;1820-01-31T00:00:00Z;1893-02-04T00:00:00Z;
Calle Doctor Fleming;Hombre;Doctor Fleming;0.0;;;;;;;
Plaza del Doctor José Fernández Ocaña;Hombre;Doctor José Fernández Ocaña;0.0;;;;;;;1
Calle del Doctor Miguel Aguado;Hombre;Doctor Miguel Aguado;0.0;;;;;;;1
Paseo del Doctor Severo Ochoa;Hombre;Doctor Severo Ochoa;0.0;;;;;;;1
Calle de Don Adrián;Hombre;Don Adrián;0.0;;;;;;;1
Calle de Eduardo Marconi;Hombre;Eduardo Marconi;0.0;;;;;;;
Calle de eduardo Torroja;Hombre;eduardo Torroja;0.0;;;;;;;1
Calle de Ernest Lluch;Hombre;Ernest Lluch;0.0;;;;;;;
"""Calle de Ernesto """"Che"""" Guevara""";Hombre;"""Ernesto """"Che"""" Guevara""";0.0;;;;;;;
Calle de Federico García Lorca;Hombre;Federico García Lorca;0.0;;;;;;;
Calle de Felipe Asenjo;Hombre;Felipe Asenjo;0.0;;;;;;;
Calle de Fernán Caballero;Hombre;Fernán Caballero;0.0;;;;;;;
Calle de Fonseca;Hombre;Fonseca;0.0;;;;;;;1
Calle de Francisco de Quevedo;Hombre;Francisco de Quevedo;0.0;;;;;;;
Plaza de Francisco Escolar;Hombre;Francisco Escolar;0.0;;;;;;;1
Avenida de Francisco Javier Sauquillo;Hombre;Francisco Javier Sauquillo;0.0;;;;;;;1
Calle de Gabriel Falopio;Hombre;Gabriel Falopio;0.0;;;;;;;
Calle de Galileo;Hombre;Galileo;0.0;;;;;;;1
Calle Garcilaso de la Vega;Hombre;Garcilaso de la Vega;0.0;;;;;;;
Calle de Gregor Mendel;Hombre;Gregor Mendel;0.0;;;;;;;
Calle de Gregorio Marañón;Hombre;Gregorio Marañón;0.0;;;;;;;
Avenida de Gustavo Adolfo Bécquer;Hombre;Gustavo Adolfo Bécquer;0.0;;;;;;;
Calle de Hinojosa del Duque;NA;Hinojosa del Duque;0.0;;;;;;;
Calle de Hipócrates;Hombre;Hipócrates;0.0;;;;;;;
Calle de Isaac Peral;Hombre;Isaac Peral;0.0;;;;;;;
