Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Carrer d'Adri;NA;Adri;0;;;;;;;
Carrer d'Agustí Riera i Pau;Hombre;Agustí Riera i Pau;0;;;;;;;
Carrer d'Aiguaviva;NA;Aiguaviva;0;;;;;;;
Carrer d'Alfons Moré;Hombre;Alfons Moré;0;;;;;;;
Carrer d'Alfred Nobel;Hombre;Alfred Nobel;0;;;;;;;
Carrer d'Andreu Tuyet i Santamaria;Hombre;Andreu Tuyet i Santamaria;0;;;;;;;1
Carrer d'Àngel Marsà i Beca;Hombre;Àngel Marsà i Beca;0;;;;;;;
Carrer d'Àngel Serradell i Pérez;Hombre;Àngel Serradell i Pérez;0;;;;;;;
Carrer d'Anselm Clavé;Hombre;Anselm Clavé;0;;;;;;;1
Carrer d'Anselm Clavé i Camps;Hombre;Anselm Clavé i Camps;0;;;;;;;1
Carrer d'Antic Roca;Hombre;Antic Roca;0;;;;;;;1
Carrer d'Anton Agullana;Hombre;Anton Agullana;0;;;;;;;
Carrer d'Antoni Barnés i Gultresa;Hombre;Antoni Barnés i Gultresa;0;;;;;;;
Carrer d'Antoni Canet;Hombre;Antoni Canet;0;;;;;;;
Carrer d'Antoni Gaudí i Cornet;Hombre;Antoni Gaudí i Cornet;0;;;;;;;1
Carrer d'Antoni Rovira i Virgili;Hombre;Antoni Rovira i Virgili;0;;;;;;;1
Carrer d'Antoni Varés i Martinell;Hombre;Antoni Varés i Martinell;0;;;;;;;
Passatge d'Aristides Maillol;Hombre;Aristides Maillol;0;;;;;;;
"""Carrer d'Avel·lí Artís i Gener";"""Avel·lí Artís i Gener";" """"Tísner""""""";" """"Tísner""""""";Hombre;;;;;;
Carrer de Berenguer Carnicer;Hombre;Berenguer Carnicer;0;;;;;;;1
Carrer de Berenguer de Palol;Hombre;Berenguer de Palol;0;;;;;;;
Carrer de Bernat Bacià;Hombre;Bernat Bacià;0;;;;;;;1
Carrer de Bernat Boades;Hombre;Bernat Boades;0;;;;;;;1
Carrer de Bisbe Cartañà;NA;Bisbe Cartañà;0;;;;;;;1
Carrer de Bisbe Sivilla;NA;Bisbe Sivilla;0;;;;;;;1
Carrer de Bonastruc de Porta;Hombre;Bonastruc de Porta;0;;;;;;;1
Carrer de Bonaventura Carreras i Peralta;Hombre;Bonaventura Carreras i Peralta;0;;;;;;;1
