Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Abenarabi;Hombre;Abenarabi;0.0;;;;;;;
Plaza Abogados de Atocha;Hombre;Abogados de Atocha;0.0;;;;;;;1
Calle Adolfo Marsillach;Hombre;Adolfo Marsillach;0.0;;;;;;;
Avenida de Adolfo Suárez;Hombre;Adolfo Suárez;0.0;;;;;;;1
Calle Agustín Betancourt;Hombre;Agustín Betancourt;0.0;;;;;;;
Calle Albéniz;Hombre;Albéniz;0.0;;;;;;;1
Calle de Albert Camus;Hombre;Albert Camus;0.0;;;;;;;
Calle Albinoni;Hombre;Albinoni;0.0;;;;;;;
Calle Alcalde Ángel Arroyo;Hombre;Alcalde Ángel Arroyo;0.0;;;;;;;1
Calle de Alcalde Jesús Prieto;Hombre;Alcalde Jesús Prieto;0.0;;;;;;;
Plaza Alcalde Juan de Vergara;Hombre;Alcalde Juan de Vergara;0.0;;;;;;;1
Calle Alfonso Benavente;Hombre;Alfonso Benavente;0.0;;;;;;;
Calle Alhaquén;Hombre;Alhaquén;0.0;;;;;;;
Calle Alonso Cano;Hombre;Alonso Cano;0.0;;;;;;;1
Calle Alonso de Covarrubias;Hombre;Alonso de Covarrubias;0.0;;;;;;;1
Calle Alonso de Mendoza;Hombre;Alonso de Mendoza;0.0;;;;;;;1
Calle Alonso Mudarra;Hombre;Alonso Mudarra;0.0;;;;;;;
Calle Alvarado;Hombre;Alvarado;0.0;;;;;;;1
Calle de Álvaro de Bazán;Hombre;Álvaro de Bazán;0.0;;;;;;;1
Calle de Amadís de Gaula;Hombre;Amadís de Gaula;0.0;1.0;;;;;;
Calle Amado Argad;Hombre;Amado Argad;0.0;;;;;;;
Calle Andreu Nin;Hombre;Andreu Nin;0.0;;;;;;;
Plaza de Antonio Egas Moniz;Hombre;Antonio Egas Moniz;0.0;;;;;;;
Calle Antonio Gades;Hombre;Antonio Gades;0.0;;;;;;;
Calle Antonio Machado;Hombre;Antonio Machado;0.0;;;;;;;
Calle Antonio Mije;Hombre;Antonio Mije;0.0;;;;;;;
Calle Antonio Soler;Hombre;Antonio Soler;0.0;;;;;;;
Calle Apolo;Hombre;Apolo;0.0;1.0;;;;;;
Calle Arquímedes;Hombre;Arquímedes;0.0;;;;;;;
Calle Arthur Arden;Hombre;Arthur Arden;0.0;;;;;;;
Paseo Augusto Barcia;Hombre;Augusto Barcia;0.0;;;;;;;
Calle Averroes;Hombre;Averroes;0.0;;;;;;;
Calle Aviador de Francisco;Hombre;Aviador de Francisco;0.0;;;;;;;1
Calle Avicena;Hombre;Avicena;0.0;;;;;;;
Calle Azorín;Hombre;Azorín;0.0;;;;;;;1
Calle Bachiller Alonso López;Hombre;Bachiller Alonso López;0.0;;;;;;;
Calle Becquerel;Hombre;Becquerel;0.0;;;;;;;
Calle Beethoven;Hombre;Beethoven;0.0;;;;;;;
Calle Bell;Hombre;Bell;0.0;;;;;;;
Plaza de Benjamín Palencia;Hombre;Benjamín Palencia;0.0;;;;;;;1
Calle Blas de Otero;Hombre;Blas de Otero;0.0;;;;;;;
Avenida Buenaventura Durruti;Hombre;Buenaventura Durruti;0.0;;;;;;;
Calle Buhigas;Hombre;Buhigas;0.0;;;;;;;
Calle Caballero Andante;Hombre;Caballero Andante;0.0;1.0;;;;;;
Avenida Caballero de la Triste Figura;Hombre;Caballero de la Triste Figura;0.0;1.0;;;;;;
Calle Calderón de la Barca;Hombre;Calderón de la Barca;0.0;;;;;;;1
Calle de Camilo Golgi;Hombre;Camilo Golgi;0.0;;;;;;;
Cañada de San Marcos;Hombre;Cañada de San Marcos;1.0;;;;;;;
Calle Capitán Carlos Haya;Hombre;Capitán Carlos Haya;0.0;;;;;;;1
Calle Castro;Hombre;Castro;0.0;;;;;;;
Calle Cerro de San Pedro;Hombre;Cerro de San Pedro;1.0;;;;;;;
Calle Cervantes;Hombre;Cervantes;0.0;;;;;;;1
Calle César Navarro;Hombre;César Navarro;0.0;;;;;;;
Calle Chamberlain;Hombre;Chamberlain;0.0;;;;;;;
Calle Chopin;Hombre;Chopin;0.0;;;;;;;
Calle Churruca;Hombre;Churruca;0.0;;;;;;;1
Calle Cipriano Díaz El Herrero;Hombre;Cipriano Díaz El Herrero;0.0;;;;;;;
Avenida Comandante José Manuel Ripollés;Hombre;Comandante José Manuel Ripollés;0.0;;;;;;;
Calle Cronos;Hombre;Cronos;0.0;1.0;;;;;;
Calle Daoíz;Hombre;Daoíz;0.0;;;;;;;1
Calle Darío Fo;Hombre;Darío Fo;0.0;;;;;;;
Paseo Diego Martínez Barrio;Hombre;Diego Martínez Barrio;0.0;;;;;;;
