Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Parque Rafaela Lozana;Mujer;Rafaela Lozana;;;;;;;;
Calle Victoria Kent;Mujer;Victoria Kent;;;política española;https://es.wikipedia.org/wiki/Victoria_Kent;http://commons.wikimedia.org/wiki/Special:FilePath/Victoria%20Kent.png;1892-02-09T00:00:00Z;1987-09-25T00:00:00Z;
Calle Dorotea;Mujer;Dorotea;1.0;1.0;;https://es.wikipedia.org/wiki/Dorotea_(santa);;;;
Calle María Dolores Muñíz Junquera;Mujer;María Dolores Muñíz Junquera;;;;;;;;
Calle Federica Montseny;Mujer;Federica Montseny;;;política, sindicalista anarquista y escritora española;https://es.wikipedia.org/wiki/Federica_Montseny;http://commons.wikimedia.org/wiki/Special:FilePath/Federica%20Montseny.jpg;1905-02-12T00:00:00Z;1994-01-14T00:00:00Z;
Calle Betty Friedan;Mujer;Betty Friedan;;;teórica y activista feminista estadounidense;https://es.wikipedia.org/wiki/Betty_Friedan;http://commons.wikimedia.org/wiki/Special:FilePath/Betty%20Friedan%201960.jpg;1921-02-04T00:00:00Z;2006-02-04T00:00:00Z;
Calle María Zambrano;Mujer;María Zambrano;;;pensadora, filósofa y ensayista española;https://es.wikipedia.org/wiki/Mar%C3%ADa_Zambrano;http://commons.wikimedia.org/wiki/Special:FilePath/Mural%20feminista%20Gandia%20-%20Maria%20Zambrano.jpg;1904-04-22T00:00:00Z;1991-02-06T00:00:00Z;
Calle Margarita Xirgu;Mujer;Margarita Xirgu;;;Actriz y directora teatral española;https://es.wikipedia.org/wiki/Margarita_Xirgu;http://commons.wikimedia.org/wiki/Special:FilePath/Margarita%20Xirgu%20en%201910.JPG;1888-07-18T00:00:00Z;1969-04-25T00:00:00Z;
Calle Paulina Canga;Mujer;Paulina Canga;;;;;;;;
Calle Cecilia;Mujer;Cecilia;;;cantautora española;https://es.wikipedia.org/wiki/Cecilia_(cantautora);http://commons.wikimedia.org/wiki/Special:FilePath/Monumento%20Cecilia%20Colinas%20de%20Trasmonte.jpg;1948-10-11T00:00:00Z;1976-08-02T00:00:00Z;
Calle Aida Lafuente;Mujer;Aida De La Fuente;;;política española;https://es.wikipedia.org/wiki/Aida_Lafuente;http://commons.wikimedia.org/wiki/Special:FilePath/Aida%20de%20la%20Fuente%20%281918-Oviedo%29%20%288715040588%29.jpg;1915-02-25T00:00:00Z;1934-10-13T00:00:00Z;
Calle Tina Modotti;Mujer;Tina Modotti;;;Fotógrafa y activista italiana;https://es.wikipedia.org/wiki/Tina_Modotti;http://commons.wikimedia.org/wiki/Special:FilePath/Tina%20Modotti%20-%20Edward%20Weston.jpg;1896-08-17T00:00:00Z;1942-01-05T00:00:00Z;
Calle Pintora Pepa Osorio;Mujer;Pepa Osorio;;;pintora española;https://es.wikipedia.org/wiki/Pepa_Osorio;;1923-01-01T00:00:00Z;2005-07-27T00:00:00Z;
Calle Macarena;Mujer;Macarena;;;;;;;;
Calle Verónica;Mujer;Verónica;;;santa cristiana;https://es.wikipedia.org/wiki/Ver%C3%B3nica_(santa);http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Memling%20026.jpg;0001-01-01T00:00:00Z;0001-01-01T00:00:00Z;
Camin de Casa Adela;Mujer;Camin de Casa Adela;;;;;;;;
Camin de Casa Lencia;Mujer;Camin de Casa Lencia;;;;;;;;
Calle Carmen Leal Mata;Mujer;Carmen Leal Mata;;;;;;;;
Calle Mercedes Villazón Tuya;Mujer;Mercedes Villazón Tuya;;;;;;;;
Calle Consuelo Busto;Mujer;Consuelo Busto;;;;;;;;
Calle María de Echarri;Mujer;María de Echarri;;;publicista y activista feminista española;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_Echarri;http://commons.wikimedia.org/wiki/Special:FilePath/Firma%20de%20Mar%C3%ADa%20de%20Echarri.svg;1878-09-09T00:00:00Z;1955-01-01T00:00:00Z;
Calle Virginia González;Mujer;Virginia González Polo;;;política y sindicalista española;https://es.wikipedia.org/wiki/Virginia_Gonz%C3%A1lez_Polo;http://commons.wikimedia.org/wiki/Special:FilePath/Virginia%20Gonz%C3%A1lez%20%28Vida%20Socialista%2C%201911%29.jpg;1873-04-02T00:00:00Z;1923-08-15T00:00:00Z;
Calle Virginia Gonzalez;Mujer;Virginia González Polo;;;política y sindicalista española;https://es.wikipedia.org/wiki/Virginia_Gonz%C3%A1lez_Polo;http://commons.wikimedia.org/wiki/Special:FilePath/Virginia%20Gonz%C3%A1lez%20%28Vida%20Socialista%2C%201911%29.jpg;1873-04-02T00:00:00Z;1923-08-15T00:00:00Z;
Calle Esther Sastre;Mujer;Esther Sastre;;;;;;;;
Grupo Victoria Kent;Mujer;Victoria Kent;;;política española;https://es.wikipedia.org/wiki/Victoria_Kent;http://commons.wikimedia.org/wiki/Special:FilePath/Victoria%20Kent.png;1892-02-09T00:00:00Z;1987-09-25T00:00:00Z;
Calle Gabriela Mistral;Mujer;Gabriela Mistral;;;poetisa, diplomática y profesora chilena;https://es.wikipedia.org/wiki/Gabriela_Mistral;http://commons.wikimedia.org/wiki/Special:FilePath/Gabriela%20Mistral%201945.jpg;1889-04-07T00:00:00Z;1957-01-10T00:00:00Z;
Plaza de La Soledad;Mujer;Nuestra Señora de la Soledad;1.0;;advocación mariana;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_la_Soledad;http://commons.wikimedia.org/wiki/Special:FilePath/Nossa%20Senhora%20da%20Soledade.jpg;;;1
Glorieta de Corin Tellado;Mujer;Corín Tellado;;;escritora española;https://es.wikipedia.org/wiki/Cor%C3%ADn_Tellado;http://commons.wikimedia.org/wiki/Special:FilePath/Corin%20Tellado%20cropped2.jpg;1927-04-25T00:00:00Z;2009-04-11T00:00:00Z;
Calle La Merced;Mujer;Virgen de la Merced o de la Misericordia;1.0;;advocación de la Virgen;https://es.wikipedia.org/wiki/Virgen_de_la_Merced;http://commons.wikimedia.org/wiki/Special:FilePath/Soho%2C%20Notre%20Dame%20De%20France%20Church%2C%20Statue%20of%20Our%20Lady%20of%20Mercy.jpg;;;1
Calle Begoña;Mujer;Nuestra Señora de Begoña;;;Advocación mariana;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Bego%C3%B1a;http://commons.wikimedia.org/wiki/Special:FilePath/Tallabegona.jpg;;;1
Plaza de El Carmen;Mujer;Virgen del Carmen;1.0;;advocación de la Virgen María;https://es.wikipedia.org/wiki/Virgen_del_Carmen;http://commons.wikimedia.org/wiki/Special:FilePath/HuitzoCarmen.jpg;;;1
Calle Corín Tellado;Mujer;Corín Tellado;;;escritora española;https://es.wikipedia.org/wiki/Cor%C3%ADn_Tellado;http://commons.wikimedia.org/wiki/Special:FilePath/Corin%20Tellado%20cropped2.jpg;1927-04-25T00:00:00Z;2009-04-11T00:00:00Z;
Calle María Asunción Catalá (Astrónoma);Mujer;María Asunción Català;;;matemática y astrónoma española;https://es.wikipedia.org/wiki/Mar%C3%ADa_Asunci%C3%B3n_Catal%C3%A0;http://commons.wikimedia.org/wiki/Special:FilePath/Maria%20Assumpci%C3%B3%20Catal%C3%A0%20i%20Poch%20%28MUNCYT%2C%20Eulogia%20Merle%29.jpg;1925-07-14T00:00:00Z;2009-07-03T00:00:00Z;
Jimena Fernandez de la Vega (Genestista);Mujer;Jimena Fernández de la Vega;;;científica española;https://es.wikipedia.org/wiki/Jimena_Fern%C3%A1ndez_de_la_Vega;http://commons.wikimedia.org/wiki/Special:FilePath/Jimena-Fernandez-de-la-Vega.jpg;1895-01-01T00:00:00Z;1984-01-01T00:00:00Z;
Calle Santa Elena;Mujer;Helena de Constantinopla;1.0;;madre del emperador Constantino, santa cristiana;https://es.wikipedia.org/wiki/Helena_de_Constantinopla;http://commons.wikimedia.org/wiki/Special:FilePath/Brosen%20icon%20constantine%20helena.jpg;0250-01-01T00:00:00Z;0330-08-19T00:00:00Z;1
Calle Santa Rosa;Mujer;Rosa de Lima;1.0;;mística religiosa peruana;https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa);http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Rosa%20de%20Lima%20Ebrafol.jpg;1586-04-20T00:00:00Z;1617-08-24T00:00:00Z;1
Paseo de Begoña;Mujer;Nuestra Señora de Begoña;;;Advocación mariana;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Bego%C3%B1a;http://commons.wikimedia.org/wiki/Special:FilePath/Tallabegona.jpg;;;1
Calle Robustiana Armiño;Mujer;Robustiana Armiño;;;poetisa española del Romanticismo;https://es.wikipedia.org/wiki/Robustiana_Armi%C3%B1o;;1821-08-20T00:00:00Z;1890-06-17T00:00:00Z;1
Calle de Covadonga;Mujer;Covadonga;1.0;;;https://es.wikipedia.org/wiki/Virgen_de_Covadonga;;;;1
Calle Adosinda;Mujer;Adosinda;;;Reina consorte de Asturias (774-783);https://es.wikipedia.org/wiki/Adosinda;http://commons.wikimedia.org/wiki/Special:FilePath/Ozenda%2C%20reina%20consorte%20de%20Asturias%20%28Museo%20del%20Prado%29.jpg;0728-01-01T00:00:00Z;http://www.wikidata.org/.well-known/genid/8c2c06c4c02136b9e57623c7196b35c0;1
Calle Concepción Arenal;Mujer;Concepción Arenal;;;escritora, abogada y proto-trabajadora social española;https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal;http://commons.wikimedia.org/wiki/Special:FilePath/Concepcion%20Arenal%201.jpg;1820-01-31T00:00:00Z;1893-02-04T00:00:00Z;1
Calle Dolores Ibárruri;Mujer;Dolores Ibárruri;;;política española;https://es.wikipedia.org/wiki/Dolores_Ib%C3%A1rruri;http://commons.wikimedia.org/wiki/Special:FilePath/Dolores002.jpg;1895-12-09T00:00:00Z;1989-11-12T00:00:00Z;
Calle Blanca de los Ríos;Mujer;Blanca de los Ríos;;;escritora española;https://es.wikipedia.org/wiki/Blanca_de_los_R%C3%ADos;http://commons.wikimedia.org/wiki/Special:FilePath/Blanca%20de%20los%20R%C3%ADos.png;1859-08-15T00:00:00Z;1956-04-13T00:00:00Z;1
Calle Gloria Fuertes;Mujer;Gloria Fuertes;;;poeta española;https://es.wikipedia.org/wiki/Gloria_Fuertes;http://commons.wikimedia.org/wiki/Special:FilePath/GloriaFuertes.jpg;1917-07-28T00:00:00Z;1998-11-27T00:00:00Z;
Parque de Isabel la Católica;Mujer;Isabel I de Castilla;;;reina de la Corona Castellana (Castilla-León);https://es.wikipedia.org/wiki/Isabel_I_de_Castilla;http://commons.wikimedia.org/wiki/Special:FilePath/IsabellaofCastile03.jpg;1451-05-01T00:00:00Z;1504-12-06T00:00:00Z;
Grupo Santa Olaya;Mujer;Santa Eulalia;1.0;;página de desambiguación de Wikimedia;https://es.wikipedia.org/wiki/Santa_Eulalia;;;;
Calle Rosalía de Castro;Mujer;Rosalía de Castro;;;poetisa y novelista gallega;https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Castro;http://commons.wikimedia.org/wiki/Special:FilePath/Rosal%C3%ADa%20Castro%20de%20Murgu%C3%ADa%20por%20Luis%20Sellier.jpg;1838-02-23T00:00:00Z;1885-07-15T00:00:00Z;
Calle Aurora de Albornoz;Mujer;Aurora de Albornoz;;;Escritora y poetisa española;https://es.wikipedia.org/wiki/Aurora_de_Albornoz;http://commons.wikimedia.org/wiki/Special:FilePath/Aurora%20de%20Albornoz.jpg;1926-01-22T00:00:00Z;1990-06-06T00:00:00Z;
Pasaje de Begoña;Mujer;Nuestra Señora de Begoña;;;Advocación mariana;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Bego%C3%B1a;http://commons.wikimedia.org/wiki/Special:FilePath/Tallabegona.jpg;;;1
Calle Marie Curie;Mujer;Marie Curie;;;física y química polaco-francesa;https://es.wikipedia.org/wiki/Marie_Curie;http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Curie%20c.%201920s.jpg;1867-11-07T00:00:00Z;1934-07-04T00:00:00Z;
Calle Santa Justa;Mujer;Santa Justa;1.0;;;https://es.wikipedia.org/wiki/Justa_y_Rufina;;;;1
Calle Santa Teresa de Jesús;Mujer;Teresa de Jesús;1.0;;religiosa castellana;https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs;http://commons.wikimedia.org/wiki/Special:FilePath/Teresa%20de%20Jes%C3%BAs%20%28cropped%29.jpg;1515-04-07T00:00:00Z;1582-10-15T00:00:00Z;
Calle María Moliner;Mujer;María Moliner;;;bibliotecaria, filóloga y lexicógrafa española;https://es.wikipedia.org/wiki/Mar%C3%ADa_Moliner;http://commons.wikimedia.org/wiki/Special:FilePath/MariaMoliner-Paniza.jpg;1900-03-30T00:00:00Z;1981-01-22T00:00:00Z;
Plaza de Clara Ferrer;Mujer;Clara Ferrer;;;;;;;;
Calle Santa Inés;Mujer;Santa Inés;1.0;;;https://es.wikipedia.org/wiki/In%C3%A9s_de_As%C3%ADs;;;;1
Calle Santa Ana;Mujer;Ana;1.0;;madre de la Virgen María;https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa);http://commons.wikimedia.org/wiki/Special:FilePath/Faras%20Saint%20Anne%20%28detail%29.jpg;-0054-01-01T00:00:00Z;0012-01-01T00:00:00Z;1
Calle María Bandujo;Mujer;María Bandujo;;;;;;;;1
Calle Santa Cándida;Mujer;Cándida María de Jesús;1.0;;Religiosa católica española;https://es.wikipedia.org/wiki/C%C3%A1ndida_Mar%C3%ADa_de_Jes%C3%BAs;http://commons.wikimedia.org/wiki/Special:FilePath/MadreCandida.jpg;1845-05-31T00:00:00Z;1912-08-09T00:00:00Z;1
Calle Ave María;Mujer;María;1.0;;madre de Jesús de Nazaret;https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs);http://commons.wikimedia.org/wiki/Special:FilePath/Duccio%20The-Madonna-and-Child-128.jpg;-0100-01-01T00:00:00Z;0100-01-01T00:00:00Z;1
Calle Les Maestrines;Mujer;Les Maestrines;;;;;;;;1
Calle Isabel la Católica;Mujer;Isabel I de Castilla;;;reina de la Corona Castellana (Castilla-León);https://es.wikipedia.org/wiki/Isabel_I_de_Castilla;http://commons.wikimedia.org/wiki/Special:FilePath/IsabellaofCastile03.jpg;1451-05-01T00:00:00Z;1504-12-06T00:00:00Z;
Calle María Cristina;Mujer;María Cristina de Saboya;;;Reina consorte de las Dos Sicilias (1832-1836);https://es.wikipedia.org/wiki/Mar%C3%ADa_Cristina_de_Saboya;http://commons.wikimedia.org/wiki/Special:FilePath/1812%20M.Christine.jpg;1812-11-14T00:00:00Z;1836-01-21T00:00:00Z;
Calle Recoletas;Mujer;Recoletas;1.0;;;https://es.wikipedia.org/wiki/Orden_de_Monjas_Agustinas_Recoletas;;;;1
Calle de La Soledad;Mujer;Nuestra Señora de la Soledad;;;advocación mariana;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_la_Soledad;http://commons.wikimedia.org/wiki/Special:FilePath/Nossa%20Senhora%20da%20Soledade.jpg;;;1
Calle Margarita Salas;Mujer;Margarita Salas;;;bioquímica española;https://es.wikipedia.org/wiki/Margarita_Salas;http://commons.wikimedia.org/wiki/Special:FilePath/Margarita%20Salas%20y%20Santiago%20Grisol%C3%ADa%20Doctores%20Honoris%20Causa%20UNED%20%282%29.jpg;1938-11-30T00:00:00Z;2019-11-07T00:00:00Z;
Calle Fortuna Balnearia;NA;Fortuna Balnearia;;1.0;;;;;;
Plaza de las Madres de la Plaza de Mayo;Mujer;Madres de Plaza de Mayo;;;asociación argentina formada durante la última dictadura militar;https://es.wikipedia.org/wiki/Madres_de_Plaza_de_Mayo;http://commons.wikimedia.org/wiki/Special:FilePath/2%C2%AA%20Marcha%20de%20la%20Resistencia%209%20y%2010%20diciembre%201982.jpg;;;
Calle Santa María;Mujer;María;1.0;;madre de Jesús de Nazaret;https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs);http://commons.wikimedia.org/wiki/Special:FilePath/Duccio%20The-Madonna-and-Child-128.jpg;-0100-01-01T00:00:00Z;0100-01-01T00:00:00Z;
Calle Enriqueta Ceñal;Mujer;Enriqueta Ceñal;;;;;;;;
Calle Santa Rosalía;Mujer;Rosalía de Palermo;1.0;;virgen y ermitaña;https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Palermo;http://commons.wikimedia.org/wiki/Special:FilePath/Anthonis%20van%20Dyck%20084.jpg;1130-01-01T00:00:00Z;1166-01-01T00:00:00Z;
Calle Ana María;Mujer;Ana María;;;;;;;;
Calle María Josefa;Mujer;María Josefa Canellada;;;romanista, dialectòloga, folclorista i narradora espanyola;https://es.wikipedia.org/wiki/Mar%C3%ADa_Josefa_Canellada;;1912-01-01T00:00:00Z;1995-05-07T00:00:00Z;
Calle Eulalia Álvarez;Mujer;Eulalia Álvarez;;;;;;;;
Calle Zoila;Mujer;Zoila;;;;;;;;
Calle Consolación;Mujer;Virgen de Consolación;1.0;;santuario y templo de nuestra señora de Consolación de Utrera;https://es.wikipedia.org/wiki/Virgen_de_Consolaci%C3%B3n;http://commons.wikimedia.org/wiki/Special:FilePath/Marienstatue%20-Tr%C3%B6sterin%20der%20Betr%C3%BCbten-%2C%20Stefan%20Kaiser%2C%20Helios-Klinikum%20Bonn-Rhein-Sieg-1950.jpg;;;
Calle Dolores;Mujer;Nuestra Señora de los Dolores;1.0;;advocación mariana;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_los_Dolores;http://commons.wikimedia.org/wiki/Special:FilePath/Mater%20Dolorosa%20with%20open%20hands.jpg;;;
Calle Santa Eladia;Mujer;Santa Eladia;1.0;;;;;;;
Calle María Elvira Muñíz;Mujer;María Elvira Muñiz;;;escritora cubana, afincada en Gijón (Asturias);https://es.wikipedia.org/wiki/Mar%C3%ADa_Elvira_Mu%C3%B1iz;;1923-03-11T00:00:00Z;2016-10-29T00:00:00Z;
Plaza Sara Suárez Solís;Mujer;Sara Suárez Solís;;;escritora española;https://es.wikipedia.org/wiki/Sara_Su%C3%A1rez_Sol%C3%ADs;;1925-01-01T00:00:00Z;2000-05-15T00:00:00Z;
Calle Clara Campoamor;Mujer;Clara Campoamor;;;política española, feminista;https://es.wikipedia.org/wiki/Clara_Campoamor;http://commons.wikimedia.org/wiki/Special:FilePath/Clara%20Campoamor.png;1888-02-12T00:00:00Z;1972-04-30T00:00:00Z;
Calle Pilar;Mujer;Nuestra Señora del Pilar de Zaragoza;1.0;;advocación mariana;https://es.wikipedia.org/wiki/Virgen_del_Pilar;http://commons.wikimedia.org/wiki/Special:FilePath/Escultura%20de%20la%20Virgen%20del%20Pilar%2C%20en%20la%20Bas%C3%ADlica%20del%20Pilar%20de%20Zaragoza%2C%20Espa%C3%B1a%2C%20Spain.jpg;;;
Calle María Dolores;Mujer;María Dolores;;;;;;;;
Calle Irene Fernández Perera;Mujer;Irene Fernández Perera;;;;;;;;
Calle Santa Amelia;Mujer;Santa Amelia;1.0;;;https://es.wikipedia.org/wiki/Amalberga_de_Maubeuge;;;;
Paseo de Dolores Medio;Mujer;Dolores Medio;;;escritora española;https://es.wikipedia.org/wiki/Dolores_Medio;http://commons.wikimedia.org/wiki/Special:FilePath/Dolores%20Medio%2C%20Oviedo%20%282%29.jpg;1911-12-16T00:00:00Z;1996-01-01T00:00:00Z;
Paseo de Rigoberta Menchú;Mujer;Rigoberta Menchú;;;líder indígena quiche, Guatemala;https://es.wikipedia.org/wiki/Rigoberta_Mench%C3%BA;http://commons.wikimedia.org/wiki/Special:FilePath/Rigoberta%20Menchu%202009%20cropped.jpg;1959-01-09T00:00:00Z;;
Calle María de las Alas Pumariño;Mujer;María de las Alas Pumariño;;;;;;;;
Calle Carmen Martín Gaite;Mujer;Carmen Martín Gaite;;;Escritora, poetisa, maestra, y ensayista española;https://es.wikipedia.org/wiki/Carmen_Mart%C3%ADn_Gaite;http://commons.wikimedia.org/wiki/Special:FilePath/Carmen%20Mart%C3%ADn%20Gaite.jpg;1925-12-08T00:00:00Z;2000-07-22T00:00:00Z;
Calle Esmeralda Maseda;Mujer;Esmeralda Maseda;;;;;;;;
Calle Les Cigarreres;Mujer;Les Cigarreres;;;;;;;;
Calle Matilde de la Torre;Mujer;Matilde de la Torre;;;periodista y política española;https://es.wikipedia.org/wiki/Matilde_de_la_Torre;;1884-03-14T00:00:00Z;1946-03-19T00:00:00Z;
Calle Sor Juana Inés de la Cruz;Mujer;Sor Juana Inés de la Cruz;1.0;;monja, académica y poetisa novohispana;https://es.wikipedia.org/wiki/Sor_Juana_In%C3%A9s_de_la_Cruz;http://commons.wikimedia.org/wiki/Special:FilePath/Sor%20Juana%20In%C3%A9s%20de%20la%20Cruz%2C%201732%20-%20Fray%20Miguel%20de%20Herrera.jpg;1651-11-12T00:00:00Z;1695-04-17T00:00:00Z;
Calle Luisa Balanzat;Mujer;Luisa Balanzat;;;;;;;;
Calle Eulalia de Llanos y Noriega;Mujer;Eulalia de Llanos;;;escritora del Romanticismo español;https://es.wikipedia.org/wiki/Eulalia_de_Llanos;;1809-01-01T00:00:00Z;1865-01-01T00:00:00Z;
Calle Carmen Amaya;Mujer;Carmen Amaya Amaya;;;bailaora y cantaora de flamenco española;https://es.wikipedia.org/wiki/Carmen_Amaya;http://commons.wikimedia.org/wiki/Special:FilePath/Jardins%20de%20Joan%20Brossa%20-%20Barcelona%2008.JPG;1913-11-18T00:00:00Z;1963-11-02T00:00:00Z;
Calle María Guerrero;Mujer;María Guerrero;;;actriz española;https://es.wikipedia.org/wiki/Mar%C3%ADa_Guerrero;http://commons.wikimedia.org/wiki/Special:FilePath/Mar%C3%ADa%20Guerrero%201912.png;1867-04-17T00:00:00Z;1928-01-23T00:00:00Z;
Calle Las Mercedes;Mujer;Virgen de la Merced o de la Misericordia;1.0;;advocación de la Virgen;https://es.wikipedia.org/wiki/Virgen_de_la_Merced;http://commons.wikimedia.org/wiki/Special:FilePath/Soho%2C%20Notre%20Dame%20De%20France%20Church%2C%20Statue%20of%20Our%20Lady%20of%20Mercy.jpg;;;
Calle María Teresa León;Mujer;María Teresa León;;;Escritora española (1903-1988);https://es.wikipedia.org/wiki/Mar%C3%ADa_Teresa_Le%C3%B3n;http://commons.wikimedia.org/wiki/Special:FilePath/Maria-teresa-goyri1.jpg;1903-10-31T00:00:00Z;1988-12-13T00:00:00Z;
