Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Placeta de Abad;Hombre;Abad;0.0;;;;;;;
Calle Abderrahman;Hombre;Abderrahman;0.0;;;;;;;1
Calle Abén Humeya;Hombre;Abén Humeya;0.0;;;;;;;1
Calle Abu Isaac;Hombre;Abu Isaac;0.0;;;;;;;1
Calle Adriano;Hombre;Adriano;0.0;;;;;;;
Calle Agustín Lara;Hombre;Agustín Lara;0.0;;;;;;;
Calle Alamillos de San Cecilio;Hombre;Alamillos de San Cecilio;0.0;;;;;;;1
Plaza Albert Einstein;Hombre;Albert Einstein;0.0;;;;;;;1
Calle Alcalde Alonso Arias de Herrera;Hombre;Alcalde Alonso Arias de Herrera;0.0;;;;;;;
Calle Alcalde Alonso Enríquez;Hombre;Alcalde Alonso Enríquez;0.0;;;;;;;
Calle Alcalde Antonio de la Cueva;Hombre;Alcalde Antonio de la Cueva;0.0;;;;;;;
Plaza Alcalde Fernández Montesinos;Hombre;Alcalde Fernández Montesinos;0.0;;;;;;;
Calle Alcalde Fernando Carrillo de Mendoza;Hombre;Alcalde Fernando Carrillo de Mendoza;0.0;;;;;;;
Pasaje Alcalde Francisco Arevalo;Hombre;Alcalde Francisco Arevalo;0.0;;;;;;;
Pasaje Alcalde Francisco de Carvajal;Hombre;Alcalde Francisco de Carvajal;0.0;;;;;;;
Pasaje Alcalde García Suárez de Carvajal;Hombre;Alcalde García Suárez de Carvajal;0.0;;;;;;;
Calle Alcalde Gutierre Goméz de Fuensalida;Hombre;Alcalde Gutierre Goméz de Fuensalida;0.0;;;;;;;
Calle Alcalde Iñigo Manrique;Hombre;Alcalde Iñigo Manrique;0.0;;;;;;;
Calle Alcalde Juan Vázquez Coronado;Hombre;Alcalde Juan Vázquez Coronado;0.0;;;;;;;
Calle Alcalde Mosén Rubí de Bracamonte;Hombre;Alcalde Mosén Rubí de Bracamonte;0.0;;;;;;;
Calle Alcalde Rodrigo Pacheco;Hombre;Alcalde Rodrigo Pacheco;0.0;;;;;;;
Calle Alcalde Yoldi Bereau;Hombre;Alcalde Yoldi Bereau;0.0;;;;;;;
Calle Alejandro Dumas;Hombre;Alejandro Dumas;0.0;;;;;;;
Placeta Alfonso X El Sabio;Hombre;Alfonso X El Sabio;0.0;;;;;;;
Calle Alonso Cano;Hombre;Alonso Cano;0.0;;;;;;;1
Calle Alonso de Mena;Hombre;Alonso de Mena;0.0;;;;;;;
Calle Alonso Lobo;Hombre;Alonso Lobo;0.0;;;;;;;
Calle Alonso Quijano;Hombre;Alonso Quijano;0.0;;;;;;;
Calle Álvarez de Castro;Hombre;Álvarez de Castro;0.0;;;;;;;1
Calle Álvarez Pelayo;Hombre;Álvarez Pelayo;0.0;;;;;;;
Calle Alvaro Aparicio;Hombre;Alvaro Aparicio;0.0;;;;;;;
Calle Álvaro de Bazán;Hombre;Álvaro de Bazán;0.0;;;;;;;1
Calle Ambrosio de Vico;Hombre;Ambrosio de Vico;0.0;;;;;;;
Calle Ambrosio Martínez de Bustos;Hombre;Ambrosio Martínez de Bustos;0.0;;;;;;;
Calle Américo Castro;Hombre;Américo Castro;0.0;;;;;;;
Calle Andrea Navagiero;Hombre;Andrea Navagiero;0.0;;;;;;;
Calle Andrés Calderón;Hombre;Andrés Calderón;0.0;;;;;;;
Calle Andrés Narváez;Hombre;Andrés Narváez;0.0;;;;;;;
