Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Carrer d'Albéniz;Hombre;Albéniz;0.0;;;;;;;
Avinguda d'Albert Bastardas;Hombre;Albert Bastardas;0.0;;;;;;;
Carrer d'Albiol;Hombre;Albiol;0.0;;;;;;;
Carrer d'Almadén;NA;Almadén;0.0;;;;;;;1
Avinguda d'Álvarez de Castro;Hombre;Álvarez de Castro;0.0;;;;;;;1
Avinguda d'Amadeu Torner;Hombre;Amadeu Torner;0.0;;;;;;;
Carrer d'Amadeu Vives;Hombre;Amadeu Vives;0.0;;;;;;;
Carrer d'Àngel Guimerà;Hombre;Àngel Guimerà;0.0;;;;;;;
Carrer d'Antonio Machado;Hombre;Antonio Machado;0.0;;;;;;;
Carrer d'Arquimedes;Hombre;Arquimedes;0.0;;;;;;;
Carrer del Baró de Maldà;Hombre;Baró de Maldà;0.0;;;;;;;1
Carrer de Bernini;Hombre;Bernini;0.0;;;;;;;1
Carrer de la Bisbal;Hombre;Bisbal;0.0;;;;;;;1
Carrer de Blas Fernández Lirola;Hombre;Blas Fernández Lirola;0.0;;;;;;;
Plaça de Blas Infante;Hombre;Blas Infante;0.0;;;;;;;
Camí de Cal Pau Redó;Hombre;Cal Pau Redó;0.0;;;;;;;
Carrer de Calderón de la Barca;Hombre;Calderón de la Barca;0.0;;;;;;;
Plaça de Camilo José Cela;Hombre;Camilo José Cela;0.0;;;;;;;
Carrer de Campoamor;Hombre;Campoamor;0.0;;;;;;;
Carrer de Can Pi;NA;Can Pi;0.0;;;;;;;
Passatge de Can Polític;NA;Can Polític;0.0;;;;;;;1
Carrer de Can Pujadas;NA;Can Pujadas;0.0;;;;;;;
Avinguda de Can Serra;NA;Can Serra;0.0;;;;;;;1
Plaça de Can Trinxet;NA;Can Trinxet;0.0;;;;;;;
Passatge de Can Xerricó;NA;Can Xerricó;0.0;;;;;;;1
Carrer de Carles Ferrer Salat;Hombre;Carles Ferrer Salat;0.0;;;;;;;
Carrer de Carles Martí Feced;Hombre;Carles Martí Feced;0.0;;;;;;;1
Carrer de Carrasco i Formiguera;Hombre;Carrasco i Formiguera;0.0;;;;;;;
Carrer de Castelao;Hombre;Castelao;0.0;;;;;;;
Carrer del Cavall Bernat;Hombre;Cavall Bernat;0.0;;;;;;;
Carrer de Cervantes;Hombre;Cervantes;0.0;;;;;;;
Carrer de Claret;Hombre;Claret;0.0;;;;;;;
Carrer del Clotet;Hombre;Clotet;0.0;;;;;;;
Passatge de Colom;Hombre;Colom;0.0;;;;;;;
Carrer de Colom;Hombre;Colom;0.0;;;;;;;
Carrer de Cornellà;Hombre;Cornellà;0.0;;;;;;;
Carrer de Corominas;Hombre;Corominas;0.0;;;;;;;
Carrer de Digoine;Hombre;Digoine;0.0;;;;;;;1
Carrer del Doctor Fleming;Hombre;Doctor Fleming;0.0;;;;;;;
Carrer del Doctor Gregorio Marañón;Hombre;Doctor Gregorio Marañón;0.0;;;;;;;
Carrer del Doctor Jaume Ferran i Clua;Hombre;Doctor Jaume Ferran i Clua;0.0;;;;;;;
Carrer del Doctor Martí i Julià;Hombre;Doctor Martí i Julià;0.0;;;;;;;
Avinguda del Doctor Ramon Solanich i Riera;Hombre;Doctor Ramon Solanich i Riera;0.0;;;;;;;
Carrer d'Enric Morera;Hombre;Enric Morera;0.0;;;;;;;
Carrer d'Enric Prat de la Riba;Hombre;Enric Prat de la Riba;0.0;;;;;;;1
carrer d'Enric Prat de la Riba;Hombre;Enric Prat de la Riba;0.0;;;;;;;
Carrer d'Ernest Lluch;Hombre;Ernest Lluch;0.0;;;;;;;
Plaça d'Ernest Lluch;Hombre;Ernest Lluch;0.0;;;;;;;
Carrer d'Esteve Grau;Hombre;Esteve Grau;0.0;;;;;;;
Carrer d'Estruch;Hombre;Estruch;0.0;;;;;;;
Carrer de Faus;Hombre;Faus;0.0;;;;;;;1
Carrer de Felip Pedrell;Hombre;Felip Pedrell;0.0;;;;;;;
Carrer de Ferré;Hombre;Ferré;0.0;;;;;;;
Carrer de Ferrer i Guàrdia;Hombre;Ferrer i Guàrdia;0.0;;;;;;;
Carrer de Font;Hombre;Font;0.0;;;;;;;
Carrer de Francesc Layret;Hombre;Francesc Layret;0.0;;;;;;;
Plaça de Francesc Macià i Llussà;Hombre;Francesc Macià i Llussà;0.0;;;;;;;
Carrer de Francesc Moragas;Hombre;Francesc Moragas;0.0;;;;;;;1
Carrer de Frederic Prats;Hombre;Frederic Prats;0.0;;;;;;;1
Carrer de Galvani;Hombre;Galvani;0.0;;;;;;;1
Carrer del General Manso;Hombre;General Manso;0.0;;;;;;;
Carrer del General Prim;Hombre;General Prim;0.0;;;;;;;
Carrer de Gonçal Pons;Hombre;Gonçal Pons;0.0;;;;;;;
Carrer de Goya;Hombre;Goya;0.0;;;;;;;
Carrer d'Herrero;Hombre;Herrero;0.0;;;;;;;
Carrer d'Isaac Peral;Hombre;Isaac Peral;0.0;;;;;;;
Carrer de Jacint Verdaguer;Hombre;Jacint Verdaguer;0.0;;;;;;;
Passatge de Jaume Blanchart;Hombre;Jaume Blanchart;0.0;;;;;;;1
Carrer de Jaume Ventura i Tort;Hombre;Jaume Ventura i Tort;0.0;;;;;;;
Plaça de Joan Brossa;Hombre;Joan Brossa;0.0;;;;;;;
Avinguda de Joan Carles I;Hombre;Joan Carles I;0.0;;;;;;;
Carrer de Joan de Joanes;Hombre;Joan de Joanes;0.0;;;;;;;
Carrer de Joan Maragall;Hombre;Joan Maragall;0.0;;;;;;;1
Carrer de Joan N. García-Nieto;Hombre;Joan N. García-Nieto;0.0;;;;;;;1
Carrer de Joan Pallarès;Hombre;Joan Pallarès;0.0;;;;;;;1
Carrer de Joan XXIII;Hombre;Joan XXIII;0.0;;;;;;;
Carrer de José Agustín Goytisolo;Hombre;José Agustín Goytisolo;0.0;;;;;;;
Carrer de Josep Anselm Clavé;Hombre;Josep Anselm Clavé;0.0;;;;;;;
Carrer de Josep Irla i Bosch;Hombre;Josep Irla i Bosch;0.0;;;;;;;1
Carrer de Josep Maria de Sagarra;Hombre;Josep Maria de Sagarra;0.0;;;;;;;1
Avinguda de Josep Molins;Hombre;Josep Molins;0.0;;;;;;;
Carrer de Josep Muntané i Almirall;Hombre;Josep Muntané i Almirall;0.0;;;;;;;1
Carrer de Josep Pla;Hombre;Josep Pla;0.0;;;;;;;1
Carrer de Josep Prats;Hombre;Josep Prats;0.0;;;;;;;1
Carrer de Josep Sunyol i Garriga;Hombre;Josep Sunyol i Garriga;0.0;;;;;;;
Avinguda de Josep Tarradellas i Joan;Hombre;Josep Tarradellas i Joan;0.0;;;;;;;1
Carrer de Juan de Toledo;Hombre;Juan de Toledo;0.0;;;;;;;1
Carrer de Juan Gris;Hombre;Juan Gris;0.0;;;;;;;
Carrer de Juan Ramón Jiménez;Hombre;Juan Ramón Jiménez;0.0;;;;;;;
Rambla de Just Oliveras;Hombre;Just Oliveras;0.0;;;;;;;1
Carrer de l'Emigrant;NA;l'Emigrant;0.0;;;;;;;
Carrer de l'Enginyer Moncunill;Hombre;l'Enginyer Moncunill;0.0;;;;;;;
Carrer de Leonardo da Vinci;Hombre;Leonardo da Vinci;0.0;;;;;;;1
Carrer de Lleó;Hombre;Lleó;0.0;;;;;;;1
Carrer de Maluquer;Hombre;Maluquer;0.0;;;;;;;
Avinguda de Manuel Azaña;Hombre;Manuel Azaña;0.0;;;;;;;
Avinguda Manuel Azaña;Hombre;Manuel Azaña;0.0;;;;;;;
Carrer de Marcel·lí Esquius;Hombre;Marcel·lí Esquius;0.0;;;;;;;
Carrer de Martí i Blasi;Hombre;Martí i Blasi;0.0;;;;;;;
Carrer de Martí-Codolar;Hombre;Martí-Codolar;0.0;;;;;;;
Carrer de Menéndez Pidal;Hombre;Menéndez Pidal;0.0;;;;;;;1
Carrer de Mercader;Hombre;Mercader;0.0;;;;;;;
Carrer del Mestre Candi;NA;Mestre Candi;0.0;;;;;;;1
Carrer del Mestre Carbó;Hombre;Mestre Carbó;0.0;;;;;;;
Plaça del Mestre Clavé;Hombre;Mestre Clavé;0.0;;;;;;;1
Carrer del Mestre Serrano;Hombre;Mestre Serrano;0.0;;;;;;;
Carrer de Miguel Hernández;Hombre;Miguel Hernández;0.0;;;;;;;
Carrer de Miquel Peiró i Victori;Hombre;Miquel Peiró i Victori;0.0;;;;;;;1
Carrer de Miquel Romeu;Hombre;Miquel Romeu;0.0;;;;;;;1
Plaça de Mossèn Homar;Hombre;Mossèn Homar;0.0;;;;;;;1
Carrer de Mossèn Jaume Busquet;Hombre;Mossèn Jaume Busquet;0.0;;;;;;;
Carrer de Mossèn Lluís Pañella;Hombre;Mossèn Lluís Pañella;0.0;;;;;;;1
Carrer de Mossèn Santiago Oliveras;Hombre;Mossèn Santiago Oliveras;0.0;;;;;;;1
Carrer de Muns;Hombre;Muns;0.0;;;;;;;
Carrer de Narcís Monturiol;Hombre;Narcís Monturiol;0.0;;;;;;;
Carrer de Pablo Iglesias;Hombre;Pablo Iglesias;0.0;;;;;;;
Carrer del Pare Marchena;Hombre;Pare Marchena;0.0;;;;;;;1
Avinguda de Pau Casals;Hombre;Pau Casals;0.0;;;;;;;1
Carrer de Pau Sans;Hombre;Pau Sans;0.0;;;;;;;
Carrer de Pere Pelegrí;Hombre;Pere Pelegrí;0.0;;;;;;;1
Carrer de Pérez Galdós;Hombre;Pérez Galdós;0.0;;;;;;;
Carrer de Pi i Margall;Hombre;Pi i Margall;0.0;;;;;;;
Carrer de Piera;Hombre;Piera;0.0;;;;;;;
Carrer del Pintor Mestre i Castellví;Hombre;Pintor Mestre i Castellví;0.0;;;;;;;
Carrer del Pintor Sorolla;Hombre;Pintor Sorolla;0.0;;;;;;;
Plaza de Pío XII;Hombre;Pío XII;0.0;;;;;;;
Plaça de Pius XII;Hombre;Pius XII;0.0;;;;;;;
Carrer de Plini;Hombre;Plini;0.0;;;;;;;
Carrer del Poeta Llombart;Hombre;Poeta Llombart;0.0;;;;;;;1
Carrer de Pompeu Fabra;Hombre;Pompeu Fabra;0.0;;;;;;;
Passatge de Pons;Hombre;Pons;0.0;;;;;;;
Carrer de Ponsich;Hombre;Ponsich;0.0;;;;;;;
Carrer del Primer de Maig;Hombre;Primer de Maig;0.0;;;;;;;
Carrer del Príncep de Bergara;Hombre;Príncep de Bergara;0.0;;;;;;;1
Carrer de Rafael Barradas;Hombre;Rafael Barradas;0.0;;;;;;;
Carrer de Rafael Campalans;Hombre;Rafael Campalans;0.0;;;;;;;
Carrer de Rafael de Campalans;Hombre;Rafael de Campalans;0.0;;;;;;;
Avinguda de Ramon Frontera;Hombre;Ramon Frontera;0.0;;;;;;;1
Carrer del Rei En Jaume;Hombre;Rei En Jaume;0.0;;;;;;;1
Plaça del Repartidor;Hombre;Repartidor;0.0;;;;;;;1
Carrer de Rius i Carrió;Hombre;Rius i Carrió;0.0;;;;;;;
Carrer de Roca i Umbert;Hombre;Roca i Umbert;0.0;;;;;;;1
Carrer de Rosell;Hombre;Rosell;0.0;;;;;;;
Carrer de Rosich;Hombre;Rosich;0.0;;;;;;;
Carrer del Rosselló;Hombre;Rosselló;0.0;;;;;;;
Carrer de Rossend Arús;Hombre;Rossend Arús;0.0;;;;;;;1
Carrer de Salvador;Hombre;Salvador;0.0;;;;;;;
Passatge de Salvador;Hombre;Salvador;0.0;;;;;;;
Carrer de Salvador Espriu;Hombre;Salvador Espriu;0.0;;;;;;;
Carrer de Salvador Seguí;Hombre;Salvador Seguí;0.0;;;;;;;
Carrer de Sanfeliu;Hombre;Sanfeliu;0.0;;;;;;;1
Carrer Sant Antoni;Hombre;Sant Antoni;1.0;;;;;;;1
Carrer de Sant Antoni;Hombre;Sant Antoni;1.0;;;;;;;1
Carrer de Sant Carles;Hombre;Sant Carles;1.0;;;;;;;1
Carrer de Sant Eugeni;Hombre;Sant Eugeni;1.0;;;;;;;
Carrer de Sant Francesc Xavier;Hombre;Sant Francesc Xavier;1.0;;;;;;;
Plaça de Sant Isidre;Hombre;Sant Isidre;1.0;;;;;;;
Carrer de Sant Joan;Hombre;Sant Joan;1.0;;;;;;;1
Plaça de Sant Jordi;Hombre;Sant Jordi;1.0;;;;;;;
Carrer de Sant Josep;Hombre;Sant Josep;1.0;;;;;;;1
Carrer de Sant Mateu;Hombre;Sant Mateu;1.0;;;;;;;
Carrer de Sant Pere;Hombre;Sant Pere;1.0;;;;;;;1
Carrer de Sant Pius X;Hombre;Sant Pius X;1.0;;;;;;;
Carrer de Sant Rafael;Hombre;Sant Rafael;1.0;;;;;;;
Carrer de Sant Ramon;Hombre;Sant Ramon;1.0;;;;;;;
Carrer de Sant Roc;Hombre;Sant Roc;1.0;;;;;;;1
Carretera de Sant Roc;Hombre;Sant Roc;1.0;;;;;;;1
Carrer de Santiago Apòstol;Hombre;Santiago Apòstol;0.0;;;;;;;
Carrer de Santiago de Compostel·la;NA;Santiago de Compostel·la;0.0;;;;;;;1
Carrer de Santiago Ramón y Cajal;Hombre;Santiago Ramón y Cajal;0.0;;;;;;;
Carrer de Santiago Rusiñol;Hombre;Santiago Rusiñol;0.0;;;;;;;
Carrer de Saurí;Hombre;Saurí;0.0;;;;;;;1
Avinguda de Severo Ochoa;Hombre;Severo Ochoa;0.0;;;;;;;
Avinguda de Severo Ochoa - Avinguda del Torrent;Hombre;Severo Ochoa - Avinguda del Torrent;0.0;;;;;;;
Avinguda de Tomás Giménez;Hombre;Tomás Giménez;0.0;;;;;;;
Carrer del Transformador;NA;Transformador;0.0;;;;;;;
Avinguda de Ventura Gassol;Hombre;Ventura Gassol;0.0;;;;;;;1
Carrer de Vinaròs;Hombre;Vinaròs;0.0;;;;;;;
Avinguda de Carmen Amaya;Mujer;Carmen Amaya Amaya;0.0;;bailaora y cantaora de flamenco española;https://es.wikipedia.org/wiki/Carmen_Amaya;http://commons.wikimedia.org/wiki/Special:FilePath/Jardins%20de%20Joan%20Brossa%20-%20Barcelona%2008.JPG;1913-11-18T00:00:00Z;1963-11-02T00:00:00Z;
Carrer de Caterina Albert;Mujer;Caterina Albert;0.0;;escritora catalana;https://es.wikipedia.org/wiki/Caterina_Albert;http://commons.wikimedia.org/wiki/Special:FilePath/Victor%20Catala%200923.JPG;1869-09-11T00:00:00Z;1966-01-27T00:00:00Z;
Carrer de Clara Campoamor;Mujer;Clara Campoamor;0.0;;política española, feminista;https://es.wikipedia.org/wiki/Clara_Campoamor;http://commons.wikimedia.org/wiki/Special:FilePath/Clara%20Campoamor.png;1888-02-12T00:00:00Z;1972-04-30T00:00:00Z;
Carrer de Dolors Aleu;Mujer;Dolors Aleu Riera;0.0;;médico española;https://es.wikipedia.org/wiki/Dolores_Aleu_Riera;http://commons.wikimedia.org/wiki/Special:FilePath/Dolores%20Aleu%202.jpg;1857-04-07T00:00:00Z;1913-02-19T00:00:00Z;
Carrer de la Física;NA;Física;0.0;;;;;;;
Carrer de Hannah Arendt;Mujer;Hannah Arendt;0.0;;filósofa política alemana y posteriormente estadounidense;https://es.wikipedia.org/wiki/Hannah_Arendt;http://commons.wikimedia.org/wiki/Special:FilePath/Hannah%20Arendt%20auf%20dem%201.%20Kulturkritikerkongress%2C%20Barbara%20Niggl%20Radloff%2C%20FM-2019-1-5-9-16.jpg;1906-10-14T00:00:00Z;1975-12-04T00:00:00Z;
Avinguda d'Isabel la Catòlica;Mujer;Isabel I de Castilla;0.0;;reina de la Corona Castellana (Castilla-León);https://es.wikipedia.org/wiki/Isabel_I_de_Castilla;http://commons.wikimedia.org/wiki/Special:FilePath/IsabellaofCastile03.jpg;1451-05-01T00:00:00Z;1504-12-06T00:00:00Z;1
Carrer de Justa Goicoechea;Mujer;Justa Goicoechea i Mayayo;0.0;;política española;https://ca.wikipedia.org/wiki/Justa_Goicoechea_i_Mayayo;;1896-09-04T00:00:00Z;1973-11-23T00:00:00Z;
Carrer de l'Aprestadora;Mujer;l'Aprestadora;0.0;;;;;;;
Plaça de les Germanes Ocaña;Mujer;les Germanes Ocaña;0.0;;;;;;;
Carrer de les Muses;NA;les Muses;0.0;1.0;;;;;;
Plaça de Lola Anglada;Mujer;Lola Anglada;0.0;;escritora, ilustradora e historietista española;https://es.wikipedia.org/wiki/Lola_Anglada;http://commons.wikimedia.org/wiki/Special:FilePath/Lola%20Anglada.png;1892-10-28T00:00:00Z;1984-01-01T00:00:00Z;
Avinguda Mare de Deu de Bellvitge;Mujer;Mare de Deu de Bellvitge;1.0;;;https://ca.wikipedia.org/wiki/Mare_de_D%C3%A9u_de_Bellvitge;;;;
Avinguda de la Mare de Déu de Bellvitge;Mujer;Mare de Déu de Bellvitge;1.0;;;https://ca.wikipedia.org/wiki/Mare_de_D%C3%A9u_de_Bellvitge;;;;1
Carrer de la Mare de Déu de la Llum;Mujer;Mare de Déu de la Llum;1.0;;;;;;;
Carrer de la Mare de Déu de la Mercè;Mujer;Virgen de la Merced o de la Misericordia;1.0;;advocación de la Virgen;https://es.wikipedia.org/wiki/Virgen_de_la_Merced;http://commons.wikimedia.org/wiki/Special:FilePath/Soho%2C%20Notre%20Dame%20De%20France%20Church%2C%20Statue%20of%20Our%20Lady%20of%20Mercy.jpg;;;
Plaça de la Mare de Déu de Montserrat;Mujer;Virgen de Montserrat;1.0;;advocación mariana venerada en el monasterio de Monserrat;https://es.wikipedia.org/wiki/Virgen_de_Montserrat;http://commons.wikimedia.org/wiki/Special:FilePath/Verge.jpg;http://www.wikidata.org/.well-known/genid/131e4631015bb6d8660e845aabd04e48;;1
Carrer de la Mare de Déu de Núria;Mujer;Mare de Déu de Núria;1.0;;;https://ca.wikipedia.org/wiki/Mare_de_D%C3%A9u_de_N%C3%BAria;;;;
Carrer de la Mare de Déu de Puigcerver;Mujer;Mare de Déu de Puigcerver;1.0;;;;;;;
Carrer de la Mare de Déu del Carme;Mujer;Virgen del Carmen;1.0;;advocación de la Virgen María;https://ca.wikipedia.org/wiki/Mare_de_D%C3%A9u_del_Carme;http://commons.wikimedia.org/wiki/Special:FilePath/HuitzoCarmen.jpg;;;
Plaça de la Mare de Déu del Pilar;Mujer;Nuestra Señora del Pilar de Zaragoza;1.0;;advocación mariana;https://es.wikipedia.org/wiki/Virgen_del_Pilar;http://commons.wikimedia.org/wiki/Special:FilePath/Escultura%20de%20la%20Virgen%20del%20Pilar%2C%20en%20la%20Bas%C3%ADlica%20del%20Pilar%20de%20Zaragoza%2C%20Espa%C3%B1a%2C%20Spain.jpg;;;
Carrer de la Mare de Déu dels Desemparats;Mujer;Virgen de los Desamparados;1.0;;advocación mariana patrona de Valencia;https://es.wikipedia.org/wiki/Virgen_de_los_Desamparados;http://commons.wikimedia.org/wiki/Special:FilePath/Est%C3%A0tua%20de%20la%20mare%20de%20D%C3%A9u%20dels%20Desemparats%20a%20la%20seua%20bas%C3%ADlica%20de%20Val%C3%A8ncia.JPG;;;
Plaça de Maria Artigal;Mujer;Maria Artigal;0.0;;;;;;;
Plaça de Marie Curie;Mujer;Marie Curie;0.0;;física y química polaco-francesa;https://es.wikipedia.org/wiki/Marie_Curie;http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Curie%20c.%201920s.jpg;1867-11-07T00:00:00Z;1934-07-04T00:00:00Z;
Rambla de la Marina;NA;Marina;0.0;;;;;;;1
Plaça de Milagros Consarnau i Sabaté;Mujer;Milagros Consarnau i Sabaté;0.0;;;;;;;
Carrer de Mileva Maric;Mujer;Mileva Marić;0.0;;matemática serbia;https://es.wikipedia.org/wiki/Mileva_Mari%C4%87;http://commons.wikimedia.org/wiki/Special:FilePath/Mileva%20Maric%201912.jpg;1875-12-19T00:00:00Z;1948-08-04T00:00:00Z;
Carrer de Montserrat;NA;Montserrat;0.0;;;;;;;1
Passatge de Montserrat Isern;Mujer;Montserrat Isern Rabascall;0.0;;empresaria difusora del arte de vanguardia;https://ca.wikipedia.org/wiki/Montserrat_Isern_Rabascall;;1900-01-01T00:00:00Z;1986-01-01T00:00:00Z;
Carrer de Montserrat Roig;Mujer;Montserrat Roig;0.0;;escritora y periodista española;https://es.wikipedia.org/wiki/Montserrat_Roig;http://commons.wikimedia.org/wiki/Special:FilePath/Montserrat%20Roig%20%28cropped%29.jpg;1946-06-13T00:00:00Z;1991-11-10T00:00:00Z;
Passatge de Paca Soler;Mujer;Francisca Soler;0.0;;actriz española;https://ca.wikipedia.org/wiki/Francisca_Soler_de_Ros;http://commons.wikimedia.org/wiki/Special:FilePath/Napoleon-FranciscaSoler-1869.jpg;1833-12-03T00:00:00Z;1884-01-31T00:00:00Z;
Passatge de Paquita;Mujer;Paquita;0.0;;;;;;;1
Carrer de la Rosa d'Alexandria;Mujer;Rosa d'Alexandria;0.0;;;;;;;
Carrer de Rosalía de Castro;Mujer;Rosalía de Castro;0.0;;poetisa y novelista gallega;https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Castro;http://commons.wikimedia.org/wiki/Special:FilePath/Rosal%C3%ADa%20Castro%20de%20Murgu%C3%ADa%20por%20Luis%20Sellier.jpg;1838-02-23T00:00:00Z;1885-07-15T00:00:00Z;
Carrer Rosalía de Castro;Mujer;Rosalía de Castro;0.0;;poetisa y novelista gallega;https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Castro;http://commons.wikimedia.org/wiki/Special:FilePath/Rosal%C3%ADa%20Castro%20de%20Murgu%C3%ADa%20por%20Luis%20Sellier.jpg;1838-02-23T00:00:00Z;1885-07-15T00:00:00Z;
Carrer de Santa Anna;Mujer;Santa Anna;1.0;;;;;;;1
Carrer Santa Bàrbara;Mujer;Bárbara de Nicomedia;1.0;;santa y mártir cristiana libanesa (273-306);https://es.wikipedia.org/wiki/B%C3%A1rbara_de_Nicomedia;http://commons.wikimedia.org/wiki/Special:FilePath/RAFAEL%20-%20Madonna%20Sixtina%20%28Gem%C3%A4ldegalerie%20Alter%20Meister%2C%20Dresden%2C%201513-14.%20%C3%93leo%20sobre%20lienzo%2C%20265%20x%20196%20cm%29%20%28cropped%29.jpg;0273-01-01T00:00:00Z;0306-01-01T00:00:00Z;
Carrer de Santa Bàrbara;Mujer;Bárbara de Nicomedia;1.0;;santa y mártir cristiana libanesa (273-306);https://es.wikipedia.org/wiki/B%C3%A1rbara_de_Nicomedia;http://commons.wikimedia.org/wiki/Special:FilePath/RAFAEL%20-%20Madonna%20Sixtina%20%28Gem%C3%A4ldegalerie%20Alter%20Meister%2C%20Dresden%2C%201513-14.%20%C3%93leo%20sobre%20lienzo%2C%20265%20x%20196%20cm%29%20%28cropped%29.jpg;0273-01-01T00:00:00Z;0306-01-01T00:00:00Z;1
Carrer de Santa Eulàlia;Mujer;Eulalia de Barcelona;1.0;;santa española;https://es.wikipedia.org/wiki/Eulalia_de_Barcelona;http://commons.wikimedia.org/wiki/Special:FilePath/Barcelona%20Cathedral%20Interior%20-%20Saint%20Eulalia%20of%20Barcelona%20by%20Pedro%20Garc%C3%ADa%20de%20Benavarre.jpg;0290-01-01T00:00:00Z;0303-01-01T00:00:00Z;
Carrer de Santa Rosa;Mujer;Rosa de Lima;1.0;;mística religiosa peruana;https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa);http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Rosa%20de%20Lima%20Ebrafol.jpg;1586-04-20T00:00:00Z;1617-08-24T00:00:00Z;1
Carrer de Tecla Sala;Mujer;Tecla Sala;0.0;;;https://es.wikipedia.org/wiki/Tecla_Sala;;;;1
Carrer de Victoria Kent;Mujer;Victoria Kent;0.0;;política española;https://es.wikipedia.org/wiki/Victoria_Kent;http://commons.wikimedia.org/wiki/Special:FilePath/Victoria%20Kent.png;1892-02-09T00:00:00Z;1987-09-25T00:00:00Z;
Carrer d'Alacant;NA;Alacant;0.0;;;;;;;
Carrer d'Albareda;NA;Albareda;0.0;;;;;;;
Carrer d'Almeria;NA;Almeria;0.0;;;;;;;
Carrer Alt;NA;Alt;0.0;;;;;;;1
Plaça d'Amalvígia;NA;Amalvígia;0.0;;;;;;;1
Passatge d'Amat;NA;Amat;0.0;;;;;;;
Avinguda d'Amèrica;NA;Amèrica;0.0;;;;;;;
Carrer d'Andorra;NA;Andorra;0.0;;;;;;;1
Carretera Antiga del Prat;NA;Antiga del Prat;0.0;;;;;;;
Aparcament Hospital de Bellvitge PARKIA;NA;Aparcament Hospital de Bellvitge PARKIA;0.0;;;;;;;
Autovía del Nordeste;NA;Autovía del Nordeste;0.0;;;;;;;
Plaça dels Avis;NA;Avis;0.0;;;;;;;
Carrer de Bacardí;NA;Bacardí;0.0;;;;;;;
Carrer de Badajoz;NA;Badajoz;0.0;;;;;;;1
Carrer de Badalona;NA;Badalona;0.0;;;;;;;
Carrer de Barcelona;NA;Barcelona;0.0;;;;;;;1
Carrer de Batllori;NA;Batllori;0.0;;;;;;;
Carrer de Belchite;NA;Belchite;0.0;;;;;;;
Carrer de Bellavista;NA;Bellavista;0.0;;;;;;;1
Passeig de Bellvitge;NA;Bellvitge;0.0;;;;;;;
Carrer de Besa;NA;Besa;0.0;;;;;;;
Plaça dels Blocs de la Florida;NA;Blocs de la Florida;0.0;;;;;;;
Plaça de la Bòbila;NA;Bòbila;0.0;;;;;;;
Passatge de Bonvehí;NA;Bonvehí;0.0;;;;;;;
Avinguda del Bosc;NA;Bosc;0.0;;;;;;;
Carrer de la Botànica;NA;Botànica;0.0;;;;;;;
Carrer del Bruc;NA;Bruc;0.0;;;;;;;1
Carrer de Buenos Aires;NA;Buenos Aires;0.0;;;;;;;
Carrer de Ca n'Alòs;NA;Ca n'Alòs;0.0;;;;;;;
Passatge de Ca n'Alòs;NA;Ca n'Alòs;0.0;;;;;;;
Plaça del Cadí;NA;Cadí;0.0;;;;;;;
