Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza de San Pedro;Hombre;San Pedro;1.0;;;;;;;1
Plaza de José María Labrador;Hombre;José María Labrador;0.0;;;;;;;
Plaza del Tallista Miguel Hierro Barreda;Hombre;Tallista Miguel Hierro Barreda;0.0;;;;;;;
Plaza Sancho Panza;Hombre;Sancho Panza;0.0;1.0;;;;;;
Plaza Don Quijote de La Mancha;Hombre;Don Quijote de La Mancha;0.0;1.0;;;;;;
Plaza de Alonso Quijano;Hombre;Alonso Quijano;0.0;1.0;;;;;;
Plaza de Elio Antonio de Nebrija;Hombre;Elio Antonio de Nebrija;0.0;;;;;;;
Plaza del Cardenal Spínola;Hombre;Cardenal Spínola;0.0;;;;;;;
Plaza de los Hermanos Capuchinos;Hombre;Hermanos Capuchinos;0.0;;;;;;;
Plaza de Eugenio Hermoso;Hombre;Eugenio Hermoso;0.0;;;;;;;
Plaza de Paco Toronjo;Hombre;Paco Toronjo;0.0;;;;;;;1
Plaza de Cristóbal Quintero;Hombre;Cristóbal Quintero;0.0;;;;;;;1
Plaza del Doctor José Arenas Ortiz;Hombre;Doctor José Arenas Ortiz;0.0;;;;;;;1
Plaza de José María Morón;Hombre;José María Morón;0.0;;;;;;;
Plaza del Doctor Eloy Picón;Hombre;Doctor Eloy Picón;0.0;;;;;;;
Plaza del Alcalde Coto Mora;Hombre;Alcalde Coto Mora;0.0;;;;;;;1
Plaza de los Hermanos Costaleros;Hombre;Hermanos Costaleros;0.0;;;;;;;1
Plaza de Don Miguel Raya;Hombre;Don Miguel Raya;0.0;;;;;;;1
Plaza de Manuel Macías;Hombre;Manuel Macías;0.0;;;;;;;
Plaza Monseñor José María Escrivá de Balaguer;Hombre;Monseñor José María Escrivá de Balaguer;0.0;;;;;;;
Plaza Juan Pablo II;Hombre;Juan Pablo II;0.0;;;;;;;
Plaza Joaquín Bustamante;Hombre;Joaquín Bustamante;0.0;;;;;;;
Plaza Alejandro Malaspina;Hombre;Alejandro Malaspina;0.0;;;;;;;
Plaza Santiago Liniers;Hombre;Santiago Liniers;0.0;;;;;;;
Plaza Pascual Cervera;Hombre;Pascual Cervera;0.0;;;;;;;
Plaza Juan Bautista Antequera;Hombre;Juan Bautista Antequera;0.0;;;;;;;
Plaza Ignacio María Ávala;Hombre;Ignacio María Ávala;0.0;;;;;;;
Plaza Cayetano Valdés;Hombre;Cayetano Valdés;0.0;;;;;;;
Plaza Antonio Barceló;Hombre;Antonio Barceló;0.0;;;;;;;
Plaza Alcalá Galiano;Hombre;Alcalá Galiano;0.0;;;;;;;
Plaza Jorge Juan;Hombre;Jorge Juan;0.0;;;;;;;
Plaza Blas de Lezo;Hombre;Blas de Lezo;0.0;;;;;;;
Plaza Álvaro de Bazán;Hombre;Álvaro de Bazán;0.0;;;;;;;
Plaza Roger de Lauria;Hombre;Roger de Lauria;0.0;;;;;;;
Plaza Ramón de Bonifaz;Hombre;Ramón de Bonifaz;0.0;;;;;;;
Plaza Jofre Tenorio;Hombre;Jofre Tenorio;0.0;;;;;;;
Plaza del Doctor Eduardo José García Fernández;Hombre;Doctor Eduardo José García Fernández;0.0;;;;;;;
Plaza del Nardo;NA;Nardo;0.0;;;;;;;
Plaza de Luis Buñuel;Hombre;Luis Buñuel;0.0;;;;;;;
Plaza del Pintor Enrique Montenegro;Hombre;Pintor Enrique Montenegro;0.0;;;;;;;
Plaza Doctor Quintero Guerrero;Hombre;Doctor Quintero Guerrero;0.0;;;;;;;1
Avenida de Manuel Siurot;Hombre;Manuel Siurot;0.0;;;;;;;1
Calle Ricardo Terrades;Hombre;Ricardo Terrades;0.0;;;;;;;1
Calle Fray Junípero Serra;Hombre;Fray Junípero Serra;0.0;;;;;;;1
Calle Pedro Gómez;Hombre;Pedro Gómez;0.0;;;;;;;1
Calle Pepe Ramos;Hombre;Pepe Ramos;0.0;;;;;;;1
Calle Ramón Menéndez Pidal;Hombre;Ramón Menéndez Pidal;0.0;;;;;;;1
Calle Doctor Juan Nicolás Márquez Domínguez;Hombre;Doctor Juan Nicolás Márquez Domínguez;0.0;;;;;;;
Avenida del Alcalde Federico Molina Orta;Hombre;Alcalde Federico Molina Orta;0.0;;;;;;;1
Calle de Vasco Núñez de Balboa;Hombre;Vasco Núñez de Balboa;0.0;;;;;;;1
Avenida de Cristóbal Colón;Hombre;Cristóbal Colón;0.0;;;;;;;1
Calle San Sebastián;Hombre;San Sebastián;0.0;;;;;;;1
Calle Alonso Barba;Hombre;Alonso Barba;0.0;;;;;;;1
"""Calle José Muñoz Leandro """"Pirfo""""""";Hombre;"""José Muñoz Leandro """"Pirfo""""""";0.0;;;;;;;
Calle Vicente Ferrer;Hombre;Vicente Ferrer;0.0;;;;;;;
Avenida Pio XII;Hombre;Pio XII;0.0;;;;;;;1
Calle Rubén Darío;Hombre;Rubén Darío;0.0;;;;;;;
Calle Antonio Machado;Hombre;Antonio Machado;0.0;;;;;;;
Calle Alanís de la Sierra;Hombre;Alanís de la Sierra;0.0;;;;;;;
Avenida de Francisco Montenegro;Hombre;Francisco Montenegro;0.0;;;;;;;
Calle Presidente Adolfo Suárez;Hombre;Presidente Adolfo Suárez;0.0;;;;;;;1
Calle Doctor Celestino Verdier;Hombre;Doctor Celestino Verdier;0.0;;;;;;;1
Calle Alonso de Ojeda;Hombre;Alonso de Ojeda;0.0;;;;;;;
Avenida de Diego Morón;Hombre;Diego Morón;0.0;;;;;;;
Avenida de San Antonio;Hombre;San Antonio;1.0;;;;;;;1
Calle Juan Sebastián Elcano;Hombre;Juan Sebastián Elcano;0.0;;;;;;;1
Calle Santiago Apóstol;Hombre;Santiago Apóstol;0.0;;;;;;;1
Avenida de Pío XII;Hombre;Pío XII;0.0;;;;;;;1
