Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Doctor Eduardo Balgueiras;Hombre;Doctor Eduardo Balgueiras;0;;;;;;;
Calle Notario Alfonso Luis Sánchez Fernández;Hombre;Notario Alfonso Luis Sánchez Fernández;0;;;;;;;
Calle Bélmez de la Moraleda;Hombre;Bélmez de la Moraleda;0;;;;;;;
Calle Ortega Nieto;Hombre;Ortega Nieto;0;;;;;;;
Calle del Alcalde Emilio Arroyo López;Hombre;Alcalde Emilio Arroyo López;0;;;;;;;
Calle Julian Torres;Hombre;Julian Torres;0;;;;;;;
Plaza de San Isidro;Hombre;San Isidro;1;;;;;;;
Calle Miguel Hermoso Díaz;Hombre;Miguel Hermoso Díaz;0;;;;;;;
Calle Francisco del Moral;Hombre;Francisco del Moral;0;;;;;;;
Calle Río Víboras;NA;Río Víboras;0;;;;;;;
Calle Río Guadalentín;NA;Río Guadalentín;0;;;;;;;
Calle Río Borosa;NA;Río Borosa;0;;;;;;;
Calle Río Jándula;Hombre;Río Jándula;0;;;;;;;
Calle Río Cerezuelo;NA;Río Cerezuelo;0;;;;;;;
Calle Río Guadalmena;NA;Río Guadalmena;0;;;;;;;
Calle Río Eliche;NA;Río Eliche;0;;;;;;;
Calle Río Guadalén;NA;Río Guadalén;0;;;;;;;
Calle Río Guadalimar;NA;Río Guadalimar;0;;;;;;;
Calle Santo Rostro;Hombre;Santo Rostro;1;;;;;;;
Calle San Lucas;Hombre;San Lucas;1;;;;;;;
Plaza de San Juan;Hombre;San Juan;1;;;;;;;1
Plaza Cervantes;Hombre;Cervantes;0;;;;;;;1
Avenida de Ruiz Jiménez;Hombre;Ruiz Jiménez;0;;;;;;;1
Carretera al Parador;Hombre;Parador;0;;;;;;;
Calle Egido de la Alcantarilla;Hombre;Egido de la Alcantarilla;0;;;;;;;1
Calle Ramón y Cajal;Hombre;Ramón y Cajal;0;;;;;;;1
Calle Carrera de Jesús;Hombre;Carrera de Jesús;0;;;;;;;1
Calle de Goya;Hombre;Goya;0;;;;;;;1
Calle Doctor García Jiménez;Hombre;Doctor García Jiménez;0;;;;;;;1
Calle Pintor Francisco Quero de Miguel;Hombre;Pintor Francisco Quero de Miguel;0;;;;;;;1
Calle Ramón Espantaleón;Hombre;Ramón Espantaleón;0;;;;;;;
Glorieta de Blas Infante;Hombre;Blas Infante;0;;;;;;;
Calle Paco Manzaneda;Hombre;Paco Manzaneda;0;;;;;;;
Ronda del Juez Juan Ruiz Rico;Hombre;Juez Juan Ruiz Rico;0;;;;;;;
Calle de San Lucas;Hombre;San Lucas;1;;;;;;;
Calle Jacinto Higueras;Hombre;Jacinto Higueras;0;;;;;;;1
Calle Padre Ignacio Ellacuría;Hombre;Padre Ignacio Ellacuría;0;;;;;;;1
Calle de Juan Pedro Gutiérrez Higueras;Hombre;Juan Pedro Gutiérrez Higueras;0;;;;;;;1
Plaza Jaén Por la Paz;NA;Jaén Por la Paz;0;;;;;;;1
Calle de Federico Mayor Zaragoza;Hombre;Federico Mayor Zaragoza;0;;;;;;;
Calle de Ben Saprut;Hombre;Ben Saprut;0;;;;;;;
Calle de Juanito Valderrama;Hombre;Juanito Valderrama;0;;;;;;;1
Calle Condestable Iranzo;Hombre;Condestable Iranzo;0;;;;;;;1
Calle Obispo Basulto;Hombre;Obispo Basulto;0;;;;;;;1
Calle Almendros Aguilar;Hombre;Almendros Aguilar;0;;;;;;;1
Calle Capitán Aranda Alta;Hombre;Capitán Aranda Alta;0;;;;;;;1
Ronda del astrónomo Al-Jayyani;Hombre;astrónomo Al-Jayyani;0;;;;;;;
Calle Juan Montilla;Hombre;Juan Montilla;0;;;;;;;
Calle de Antonio Muñoz Molina;Hombre;Antonio Muñoz Molina;0;;;;;;;
Calle del Pintor Rafael Hidalgo de Caviedes;Hombre;Pintor Rafael Hidalgo de Caviedes;0;;;;;;;
Calle Esteban Ramírez Martínez;Hombre;Esteban Ramírez Martínez;0;;;;;;;
Calle Pintor Cristóbal Ruiz;Hombre;Pintor Cristóbal Ruiz;0;;;;;;;
Calle del Doctor Bueno Fajardo;Hombre;Doctor Bueno Fajardo;0;;;;;;;
Calle del Pintor Fausto Olivares;Hombre;Pintor Fausto Olivares;0;;;;;;;
Glorieta de Esteban Ramírez Martínez;Hombre;Esteban Ramírez Martínez;0;;;;;;;
Calle Fotógrafo Jaime Roselló;Hombre;Fotógrafo Jaime Roselló;0;;;;;;;
Calle de Juan Eslava Galán;Hombre;Juan Eslava Galán;0;;;;;;;
Obispo Alonso Suárez;Hombre;Obispo Alonso Suárez;0;;;;;;;1
Calle de Manuel Caballero Venzalá;Hombre;Manuel Caballero Venzalá;0;;;;;;;1
Calle Andrés Segovia;Hombre;Andrés Segovia;0;;;;;;;1
Doctor Eduardo García-Triviño López;Hombre;Doctor Eduardo García-Triviño López;0;;;;;;;1
Calle Jorge Morales;Hombre;Jorge Morales;0;;;;;;;1
Calle Capitán Aranda Baja;Hombre;Capitán Aranda Baja;0;;;;;;;1
Calle Ignacio Figueroa;Hombre;Ignacio Figueroa;0;;;;;;;1
Calle Vicente Montuno;Hombre;Vicente Montuno;0;;;;;;;1
Calle Juan Rincón;Hombre;Juan Rincón;0;;;;;;;1
Calle Lope de Sosa;Hombre;Lope de Sosa;0;;;;;;;1
Calle San Juan de la Cruz;Hombre;San Juan de la Cruz;1;;;;;;;1
Calle Doctor Ramiro Rivera;Hombre;Doctor Ramiro Rivera;0;;;;;;;1
Calle Menéndez Pelayo;Hombre;Menéndez Pelayo;0;;;;;;;1
Calle Doctor Sagaz Zubelzu;Hombre;Doctor Sagaz Zubelzu;0;;;;;;;1
Calle Obispo Aguilar;Hombre;Obispo Aguilar;0;;;;;;;1
Calle Melchor Cobo Medina;Hombre;Melchor Cobo Medina;0;;;;;;;1
Calle Doctor Juan Nogales;Hombre;Doctor Juan Nogales;0;;;;;;;1
Calle Maestro Cebrián;Hombre;Maestro Cebrián;0;;;;;;;1
Calle Ciclista Manuel Beltrán;Hombre;Ciclista Manuel Beltrán;0;;;;;;;1
Calle San José;Hombre;San José;1;;;;;;;1
Calle Antonio Delgado Anguita;Hombre;Antonio Delgado Anguita;0;;;;;;;1
Calle Hurtado;Hombre;Hurtado;0;;;;;;;1
Calle General Castaños;Hombre;General Castaños;0;;;;;;;1
Calle Hermanos Álamo Berzosa;Hombre;Hermanos Álamo Berzosa;0;;;;;;;1
Calle Severo Ochoa;Hombre;Severo Ochoa;0;;;;;;;
Calle Obispo Romero Mengibar;Hombre;Obispo Romero Mengibar;0;;;;;;;1
Calle Doctor Gómez Durán;Hombre;Doctor Gómez Durán;0;;;;;;;
Calle Antonio Almendros Soto;Hombre;Antonio Almendros Soto;0;;;;;;;1
Calle San Joaquín;Hombre;San Joaquín;1;;;;;;;1
Calle Pizarro;Hombre;Pizarro;0;;;;;;;
Calle Antonio Vallés Perdrix;Hombre;Antonio Vallés Perdrix;0;;;;;;;
Calle Isaac Albéniz;Hombre;Isaac Albéniz;0;;;;;;;1
Calle Gran Capitán;Hombre;Gran Capitán;0;;;;;;;
Calle Antonio Valles Pedrix;Hombre;Antonio Valles Pedrix;0;;;;;;;
Calle Enrique Ponce;Hombre;Enrique Ponce;0;;;;;;;1
Calle Pintor Manuel Ángeles Ortiz;Hombre;Pintor Manuel Ángeles Ortiz;0;;;;;;;1
Calle José María Padilla;Hombre;José María Padilla;0;;;;;;;
Calle Pintor Miguel Ayala;Hombre;Pintor Miguel Ayala;0;;;;;;;1
Calle Francisco López Huertas;Hombre;Francisco López Huertas;0;;;;;;;
Calle Padre Grass;Hombre;Padre Grass;0;;;;;;;1
Calle Poeta Ángel González;Hombre;Poeta Ángel González;0;;;;;;;
Calle Cándido Méndez;Hombre;Cándido Méndez;0;;;;;;;1
Calle Músico Damián Martínez Linde;Hombre;Músico Damián Martínez Linde;0;;;;;;;
Calle de San Francisco Javier;Hombre;San Francisco Javier;1;;;;;;;1
"""Calle de Antonio Lara Gavilán """"Tono""""""";Hombre;"""Antonio Lara Gavilán """"Tono""""""";0;;;;;;;
Calle Pintor Pablo Martín del Castillo;Hombre;Pintor Pablo Martín del Castillo;0;;;;;;;
Calle Vicente García de la Puerta;Hombre;Vicente García de la Puerta;0;;;;;;;
Calle Tallista Vicente Castillo Gutiérrez;Hombre;Tallista Vicente Castillo Gutiérrez;0;;;;;;;
Calle Francisco Ayala García Duarte;Hombre;Francisco Ayala García Duarte;0;;;;;;;
Travesía Salvador Vicente de la Torre;Hombre;Salvador Vicente de la Torre;0;;;;;;;
Calle Rey Alí;Hombre;Rey Alí;0;;;;;;;1
Calle Núñez de Balboa;Hombre;Núñez de Balboa;0;;;;;;;1
Calle José López Tafall;Hombre;José López Tafall;0;;;;;;;1
Calle de Luis Braille;Hombre;Luis Braille;0;;;;;;;1
Calle Cruz de la Magdalena;Hombre;Cruz de la Magdalena;0;;;;;;;1
Calle San Rafael;Hombre;San Rafael;1;;;;;;;
Calle de Fernando IV;Hombre;Fernando IV;0;;;;;;;1
Calle Concepción Vieja;Hombre;Concepción Vieja;0;;;;;;;1
Calle Gregorio Murcia;Hombre;Gregorio Murcia;0;;;;;;;1
Calle Manuel Ruiz Córdoba;Hombre;Manuel Ruiz Córdoba;0;;;;;;;1
Calle San Andrés;Hombre;San Andrés;1;;;;;;;1
Calle de Fermín Palma;Hombre;Fermín Palma;0;;;;;;;1
Calle Baltasar de Alcazar;Hombre;Baltasar de Alcazar;0;;;;;;;1
Calle Sebastián Martínez;Hombre;Sebastián Martínez;0;;;;;;;1
Ángel María de Arregui;Hombre;Ángel María de Arregui;0;;;;;;;1
Calle San Roque;Hombre;San Roque;1;;;;;;;1
Calle del Pintor Zabaleta;Hombre;Pintor Zabaleta;0;;;;;;;1
Calle del Pintor Francisco Baños;Hombre;Pintor Francisco Baños;0;;;;;;;
Calle Marqués de la Ensenada;Hombre;Marqués de la Ensenada;0;;;;;;;
Calle Cardenal Marcelo Espínola;Hombre;Cardenal Marcelo Espínola;0;;;;;;;
Calle Jesús de Nazaret;Hombre;Jesús de Nazaret;0;;;;;;;
Calle del Pintor Francisco Cerezo Moreno;Hombre;Pintor Francisco Cerezo Moreno;0;;;;;;;
Calle Alcalde Velasco Pro;Hombre;Alcalde Velasco Pro;0;;;;;;;
Calle Alcalde Morales Robles;Hombre;Alcalde Morales Robles;0;;;;;;;
Calle Marqués de Suances;Hombre;Marqués de Suances;0;;;;;;;
Calle Pintor Lorenzo Goñi;Hombre;Pintor Lorenzo Goñi;0;;;;;;;
Calle Alcalde Fiestas Rodríguez;Hombre;Alcalde Fiestas Rodríguez;0;;;;;;;
Calle de Felipe Olla Rodríguez;Hombre;Felipe Olla Rodríguez;0;;;;;;;
Calle Doctor Luzón;Hombre;Doctor Luzón;0;;;;;;;1
Calle Manuel Briceño;Hombre;Manuel Briceño;0;;;;;;;
Pasaje Alcalde Cancio Uribe;Hombre;Alcalde Cancio Uribe;0;;;;;;;
Calle San Ramón;Hombre;San Ramón;1;;;;;;;
Calle García Morente;Hombre;García Morente;0;;;;;;;
Calle Alfredo Ruiz Guerrero;Hombre;Alfredo Ruiz Guerrero;0;;;;;;;
Calle San Fernando;Hombre;San Fernando;1;;;;;;;1
Calle Carlos V;Hombre;Carlos V;0;;;;;;;
Calle Francisco Coello;Hombre;Francisco Coello;0;;;;;;;1
Calle Príncipe Alfonso;Hombre;Príncipe Alfonso;0;;;;;;;1
Calle Montero Moya;Hombre;Montero Moya;0;;;;;;;1
Calle García Requena;Hombre;García Requena;0;;;;;;;
Calle Horno Puerta de Granada;NA;Horno Puerta de Granada;0;;;;;;;
Calle Julio Ángel;Hombre;Julio Ángel;0;;;;;;;1
Calle El Greco;Hombre;Greco;0;;;;;;;
Calle San Sebastián;Hombre;San Sebastián;1;;;;;;;
Calle Dean de la Fuente González;Hombre;Dean de la Fuente González;0;;;;;;;
Calle Pedro del Alcalde;Hombre;Pedro del Alcalde;0;;;;;;;
Calle Maestro Manuel Moya;Hombre;Maestro Manuel Moya;0;;;;;;;
Calle Juan Ramón Jiménez;Hombre;Juan Ramón Jiménez;0;;;;;;;
