Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza de Felipe de Cos;Hombre;Felipe de Cos;0.0;;;;;;;
Plaza del Señor de la Entrega;Hombre;Señor de la Entrega;0.0;;;;;;;
Plaza de Juan Pablo II;Hombre;Juan Pablo II;0.0;;;;;;;
Calle Alcalde Domingo Ruiz;Hombre;Alcalde Domingo Ruiz;0.0;;;;;;;
Calle San Isidro;Hombre;San Isidro;1.0;;;;;;;
Calle San Enrique;Hombre;San Enrique;1.0;;;;;;;
Calle Antonio Guzmán Aquino;Hombre;Antonio Guzmán Aquino;0.0;;;;;;;
Calle Martín Ferrador;Hombre;Martín Ferrador;0.0;;;;;;;
Calle José Cádiz Salvatierra;Hombre;José Cádiz Salvatierra;0.0;;;;;;;
Calle Santo Domingo;Hombre;Santo Domingo;1.0;;;;;;;1
Avenida Alcalde Álvaro Domecq;Hombre;Alcalde Álvaro Domecq;0.0;;;;;;;
Avenida San Juan Bosco;Hombre;San Juan Bosco;1.0;;;;;;;
Calle Marqués de Cádiz;Hombre;Marqués de Cádiz;0.0;;;;;;;
Calle Maestro Álvarez Beigbeder;Hombre;Maestro Álvarez Beigbeder;0.0;;;;;;;
Prolongación de Calle Pizarro;Hombre;Calle Pizarro;0.0;;;;;;;
Calle Federico Gracia Lorca;Hombre;Federico Gracia Lorca;0.0;;;;;;;
Calle Manuel Bellido;Hombre;Manuel Bellido;0.0;;;;;;;
Calle Sarmiento;Hombre;Sarmiento;0.0;;;;;;;
Calle Santísimo Cristo de la Clemecia;Hombre;Santísimo Cristo de la Clemecia;1.0;;;;;;;
Avenida José Leon de Carranza;Hombre;José Leon de Carranza;0.0;;;;;;;
Avenida José León de Carranza;Hombre;José León de Carranza;0.0;;;;;;;
Calle Pizarro;Hombre;Pizarro;0.0;;;;;;;
Avenida Duques de Abrantes;Hombre;Duques de Abrantes;0.0;;;;;;;
Calle Marianista Ciriaco Alzola;Hombre;Marianista Ciriaco Alzola;0.0;;;;;;;
Calle Antonio Machado;Hombre;Antonio Machado;0.0;;;;;;;
Calle Marqués de Bonanza;Hombre;Marqués de Bonanza;0.0;;;;;;;
Calle González Gordon;Hombre;González Gordon;0.0;;;;;;;
Avenida San Joaquín;Hombre;San Joaquín;1.0;;;;;;;
Calle Manuel Alejandro;Hombre;Manuel Alejandro;0.0;;;;;;;
Avenida San Juan de Ávila;Hombre;San Juan de Ávila;1.0;;;;;;;
Calle Miguel de Unamuno;Hombre;Miguel de Unamuno;0.0;;;;;;;
Glorieta Miguel Primo de Rivera;Hombre;Miguel Primo de Rivera;0.0;;;;;;;
Avenida Tío Pepe;NA;Tío Pepe;0.0;;;;;;;
Calle Pablo Neruda;Hombre;Pablo Neruda;0.0;;;;;;;
Calle Rafael Alberti;Hombre;Rafael Alberti;0.0;;;;;;;
Calle Poeta Juan Ruiz Peña;Hombre;Poeta Juan Ruiz Peña;0.0;;;;;;;
Calle Doctor Arruga;Hombre;Doctor Arruga;0.0;;;;;;;
Calle Doctor Marañón;Hombre;Doctor Marañón;0.0;;;;;;;
Avenida Tomás García Figueras;Hombre;Tomás García Figueras;0.0;;;;;;;
Calle Arcipreste Corona;Hombre;Arcipreste Corona;0.0;;;;;;;
Calle Doctor Fleming;Hombre;Doctor Fleming;0.0;;;;;;;
Calle Einstein;Hombre;Einstein;0.0;;;;;;;
Calle Newton;Hombre;Newton;0.0;;;;;;;
Calle Edison;Hombre;Edison;0.0;;;;;;;
Calle El Greco;Hombre;Greco;0.0;;;;;;;
Calle Zurbarán;Hombre;Zurbarán;0.0;;;;;;;
Avenida Chema Rodríguez;Hombre;Chema Rodríguez;0.0;;;;;;;
Calle San Marino;Hombre;San Marino;1.0;;;;;;;
Calle Antonio González Flores;Hombre;Antonio González Flores;0.0;;;;;;;
Calle Francisco Riba;Hombre;Francisco Riba;0.0;;;;;;;
Calle Fermín Aranda;Hombre;Fermín Aranda;0.0;;;;;;;
Calle Fernando de la Cuadra;Hombre;Fernando de la Cuadra;0.0;;;;;;;
Calle Arturo Paz Varela;Hombre;Arturo Paz Varela;0.0;;;;;;;
Calle Paraíso;NA;Paraíso;0.0;;;;;;;
Calle Juan Rodríguez Jiménez;Hombre;Juan Rodríguez Jiménez;0.0;;;;;;;
Calle Germán Álvarez Algecir;Hombre;Germán Álvarez Algecir;0.0;;;;;;;
Calle Álvaro Mirón y Duque;Hombre;Álvaro Mirón y Duque;0.0;;;;;;;
Calle Juan Comba García;Hombre;Juan Comba García;0.0;;;;;;;
Calle Salvador Sánchez Barbudo;Hombre;Salvador Sánchez Barbudo;0.0;;;;;;;
Calle José Gallegos Arnosa;Hombre;José Gallegos Arnosa;0.0;;;;;;;
Calle José Camacho Gómez;Hombre;José Camacho Gómez;0.0;;;;;;;
Calle José Cala Moya;Hombre;José Cala Moya;0.0;;;;;;;
Calle Juan Pablo II;Hombre;Juan Pablo II;0.0;;;;;;;
Calle José Ortega y Gasset;Hombre;José Ortega y Gasset;0.0;;;;;;;
Calle Marco;Hombre;Marco;0.0;;;;;;;
Calle San Juan de la Cruz;Hombre;San Juan de la Cruz;1.0;;;;;;;
Calle Miguel Hernández;Hombre;Miguel Hernández;0.0;;;;;;;
Avenida Ingeniero Angel Mayo;Hombre;Ingeniero Angel Mayo;0.0;;;;;;;
Calle Santiago de Chile;Hombre;Santiago de Chile;0.0;;;;;;;
Calle Joaquín Manuel Fdez. Cruzado;Hombre;Joaquín Manuel Fdez. Cruzado;0.0;;;;;;;
Calle San Jerónimo;Hombre;San Jerónimo;1.0;;;;;;;
Calle Limonero;NA;Limonero;0.0;;;;;;;
Calle Nardo;NA;Nardo;0.0;;;;;;;
Avenida Fernando Portillo;Hombre;Fernando Portillo;0.0;;;;;;;
Avenida del Rey Juan Carlos I;Hombre;Rey Juan Carlos I;0.0;;;;;;;
Avenida José Manuel Caballero Bonald;Hombre;José Manuel Caballero Bonald;0.0;;;;;;;
Calle Salvador Dalí;Hombre;Salvador Dalí;0.0;;;;;;;
Calle Romero de Torres;Hombre;Romero de Torres;0.0;;;;;;;
Calle Platón;Hombre;Platón;0.0;;;;;;;
Calle Aristóteles;Hombre;Aristóteles;0.0;;;;;;;
Calle Ramón Lull;Hombre;Ramón Lull;0.0;;;;;;;
Calle José Luis López-Aranguren;Hombre;José Luis López-Aranguren;0.0;;;;;;;
Calle Sócrates;Hombre;Sócrates;0.0;;;;;;;
Avenida Voltaire;Hombre;Voltaire;0.0;;;;;;;
Calle San Juan Bosco;Hombre;San Juan Bosco;1.0;;;;;;;
"""Calle José Lorenzo Gallego """"Jologa""""""";Hombre;"""José Lorenzo Gallego """"Jologa""""""";0.0;;;;;;;
