Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Patricia Guerra Cabrera;Mujer;Patricia Guerra Cabrera;;;;https://es.wikipedia.org/wiki/Patricia_Guerra;;;;
Calle Carmen Laforet;Mujer;Carmen Laforet;;;escritora española (1921-2004);https://es.wikipedia.org/wiki/Carmen_Laforet;http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20Carmen%20Laforet.jpg;1921-09-06T00:00:00Z;2004-02-28T00:00:00Z;
María Teresa Prats De Laplace (escritora);Mujer;María Teresa Prats;;;dramaturga y ensayista española;https://es.wikipedia.org/wiki/Mar%C3%ADa_Teresa_Prats;;1913-08-13T00:00:00Z;2004-04-29T00:00:00Z;
"""Pasaje María Villegas";" Comerciante""";"""Pasaje María Villegas";Mujer;;;;;;;
Yolanda Graziani (Pintora);Mujer;Yolanda Graziani;;;pintora autodidacta española;https://es.wikipedia.org/wiki/Yolanda_Graziani;;1926-01-01T00:00:00Z;;
Urbanización Flor Sirera;Mujer;Flors Sirera;;;enfermera española asesinada en Ruanda;https://es.wikipedia.org/wiki/Flors_Sirera;;1963-04-25T00:00:00Z;1997-01-18T00:00:00Z;
Calle Princesa Guayarmina;Mujer;Princesa Guayarmina;;;;https://es.wikipedia.org/wiki/Guayarmina;;;;
Calle Mariana Pineda;Mujer;Mariana Pineda;;;Liberal española del siglo XIX;https://es.wikipedia.org/wiki/Mariana_Pineda;http://commons.wikimedia.org/wiki/Special:FilePath/Mariana%20pineda5.JPG;1804-09-01T00:00:00Z;1831-05-26T00:00:00Z;
Calle Santa Luisa de Marillac;Mujer;Santa Luisa de Marillac;1;;;https://es.wikipedia.org/wiki/Luisa_de_Marillac;;;;
Calle María Dolorosa;Mujer;Nuestra Señora de los Dolores;1;;advocación mariana;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_los_Dolores;http://commons.wikimedia.org/wiki/Special:FilePath/Mater%20Dolorosa%20with%20open%20hands.jpg;;;
Calle Agustina de Aragón;Mujer;Agustina de Aragón;;;Heroína española;https://es.wikipedia.org/wiki/Agustina_de_Arag%C3%B3n;http://commons.wikimedia.org/wiki/Special:FilePath/Agustina%20de%20aragon4red.jpg;1786-03-03T00:00:00Z;1857-05-29T00:00:00Z;
Calle María Victoria;Mujer;María Victoria;;;;;;;;
Calle María Egipciaca;Mujer;María Egipciaca;1;;;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_Egipto;;;;
Calle Virgen de Los Volcanes;Mujer;Virgen de los Dolores;1;;advocación mariana de Lanzarote, España;https://es.wikipedia.org/wiki/Virgen_de_los_Dolores_(Lanzarote);;;;
