Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza de San Nicasio;Hombre;San Nicasio;1.0;;;;;;;1
Pz San Antonio de la Florida;Hombre;Pz San Antonio de la Florida;0.0;;;;;;;
Calle San Bernardo;Hombre;San Bernardo;1.0;;;;;;;
Calle San Amado;Hombre;San Amado;1.0;;;;;;;
Calle de San José;Hombre;San José;1.0;;;;;;;
Calle San Luis;Hombre;San Luis;1.0;;;;;;;
Calle San Pedro;Hombre;San Pedro;1.0;;;;;;;
Calle Santo Domingo;Hombre;Santo Domingo;1.0;;;;;;;
Calle San Fernando;Hombre;San Fernando;1.0;;;;;;;
Calle de Jesús;Hombre;Jesús;0.0;;;;;;;
Calle San Alfonso;Hombre;San Alfonso;1.0;;;;;;;
Calle Juan Pablo II;Hombre;Juan Pablo II;0.0;;;;;;;
Calle San Felipe;Hombre;San Felipe;1.0;;;;;;;
Calle San Florentino;Hombre;San Florentino;1.0;;;;;;;
Calle San Melchor;Hombre;San Melchor;1.0;;;;;;;
Calle San Antonio de la Florida;Hombre;San Antonio de la Florida;1.0;;;;;;;
Calle San Julio;Hombre;San Julio;1.0;;;;;;;
Calle San Juan Bosco;Hombre;San Juan Bosco;1.0;;;;;;;
Calle San Justo;Hombre;San Justo;1.0;;;;;;;
Calle San Rufino;Hombre;San Rufino;1.0;;;;;;;
Calle Zurbarán;Hombre;Zurbarán;0.0;;;;;;;
Avenida de Salvador Allende;Hombre;Salvador Allende;0.0;;;;;;;
Avenida Juan XXIII;Hombre;Juan XXIII;0.0;;;;;;;
Avenida Vicente Ferrer;Hombre;Vicente Ferrer;0.0;;;;;;;
Calle de San Juan;Hombre;San Juan;1.0;;;;;;;
Avenida del Doctor Mendiguchia Carriche;Hombre;Doctor Mendiguchia Carriche;0.0;;;;;;;1
Calle El Greco;Hombre;Greco;0.0;;;;;;;
Calle Velázquez;Hombre;Velázquez;0.0;;;;;;;
Calle Murillo;Hombre;Murillo;0.0;;;;;;;
Calle Goya;Hombre;Goya;0.0;;;;;;;
Calle Sancho Panza;Hombre;Sancho Panza;0.0;;;;;;;
Calle Maese Nicolás;Hombre;Maese Nicolás;0.0;;;;;;;
Calle Sansón Carrasco;Hombre;Sansón Carrasco;0.0;;;;;;;
Calle San Valentín;Hombre;San Valentín;1.0;;;;;;;
Calle San Agustín;Hombre;San Agustín;1.0;;;;;;;
Calle San Juan;Hombre;San Juan;1.0;;;;;;;
Plaza de Gumersindo Repullo Écija;Hombre;Gumersindo Repullo Écija;0.0;;;;;;;1
Calle Francisco Ribera;Hombre;Francisco Ribera;0.0;;;;;;;
Plaza José Luis López de Aranguren;Hombre;José Luis López de Aranguren;0.0;;;;;;;1
Calle de Pablo Freire;Hombre;Pablo Freire;0.0;;;;;;;
Plaza de Ventura Rodríguez;Hombre;Ventura Rodríguez;0.0;;;;;;;1
Avenida del Rey Juan Carlos I;Hombre;Rey Juan Carlos I;0.0;;;;;;;1
Calle Miguel Catalá;Hombre;Miguel Catalá;0.0;;;;;;;
Calle de San Nicasio;Hombre;San Nicasio;1.0;;;;;;;1
Calle de San Diego;Hombre;San Diego;1.0;;;;;;;1
Calle de San Ignacio;Hombre;San Ignacio;1.0;;;;;;;1
Calle de Fray Melchor Cano;Hombre;Fray Melchor Cano;0.0;;;;;;;1
Calle del Nuncio;Hombre;Nuncio;0.0;;;;;;;1
Calle de San Nicolás;Hombre;San Nicolás;1.0;;;;;;;1
Calle de San Clemente;Hombre;San Clemente;1.0;;;;;;;1
Calle de San Mateo;Hombre;San Mateo;1.0;;;;;;;1
Benjamín Outram;Hombre;Benjamín Outram;0.0;;;;;;;
Calle de Jesús Miguel Haddad Blanco;Hombre;Jesús Miguel Haddad Blanco;0.0;;;;;;;1
Calle de San Cristóbal;Hombre;San Cristóbal;1.0;;;;;;;1
Calle de San Francisco;Hombre;San Francisco;1.0;;;;;;;1
Calle de San Lorenzo;Hombre;San Lorenzo;1.0;;;;;;;1
Calle de San Pablo;Hombre;San Pablo;1.0;;;;;;;1
Calle de San Esteban;Hombre;San Esteban;1.0;;;;;;;1
Calle de Santo Ángel;Hombre;Santo Ángel;1.0;;;;;;;1
Calle de San Dionisio;Hombre;San Dionisio;1.0;;;;;;;1
Calle San Antonio de Padua;Hombre;San Antonio de Padua;1.0;;;;;;;1
Calle de San Valeriano;Hombre;San Valeriano;1.0;;;;;;;1
Calle de San Jorge;Hombre;San Jorge;1.0;;;;;;;1
Calle de San Enrique;Hombre;San Enrique;1.0;;;;;;;1
Calle de Rey Pastor;NA;Rey Pastor;0.0;;;;;;;
Calle de Miguel Catalá;Hombre;Miguel Catalá;0.0;;;;;;;
Calle del Cid;Hombre;Cid;0.0;;;;;;;1
Calle de Juan Muñoz;Hombre;Juan Muñoz;0.0;;;;;;;1
Calle de Ordóñez;Hombre;Ordóñez;0.0;;;;;;;1
Calle de San Andrés;Hombre;San Andrés;1.0;;;;;;;1
Calle de San Vicente;Hombre;San Vicente;1.0;;;;;;;1
Calle Pedro Lara;Hombre;Pedro Lara;0.0;;;;;;;
Calle Benjamín Outram;Hombre;Benjamín Outram;0.0;;;;;;;
Avenida Gregorio Peces Barba;Hombre;Gregorio Peces Barba;0.0;;;;;;;
Avenida Juan Caramuel;Hombre;Juan Caramuel;0.0;;;;;;;
Calle de Carlos III;Hombre;Carlos III;0.0;;;;;;;1
Calle San Carlos Borromeo;Hombre;San Carlos Borromeo;1.0;;;;;;;1
Calle de San Anastasio;Hombre;San Anastasio;1.0;;;;;;;1
Calle San Cesáreo;Hombre;San Cesáreo;1.0;;;;;;;1
Calle de San Justiniano;Hombre;San Justiniano;1.0;;;;;;;1
Calle Diego Marín Aguilera;Hombre;Diego Marín Aguilera;0.0;;;;;;;
Calle San Nicasio;Hombre;San Nicasio;1.0;;;;;;;1
Calle Francisco Rabal;Hombre;Francisco Rabal;0.0;;;;;;;
Plaza Cervantes;Hombre;Cervantes;0.0;;;;;;;1
Calle de San Gregorio;Hombre;San Gregorio;1.0;;;;;;;1
Calle de San Damián;Hombre;San Damián;1.0;;;;;;;1
Calle Juan de la Cierva;Hombre;Juan de la Cierva;0.0;;;;;;;
Callejón de Ordóñez;Hombre;Ordóñez;0.0;;;;;;;
Avenida del Doctor Martín Vegue Jaudenes;Hombre;Doctor Martín Vegue Jaudenes;0.0;;;;;;;1
Travesía del Cid;Hombre;Cid;0.0;;;;;;;1
Calle del Maestro;Hombre;Maestro;0.0;;;;;;;1
Calle San Roque;Hombre;San Roque;1.0;;;;;;;1
Calle de Adolfo Marsillach;Hombre;Adolfo Marsillach;0.0;;;;;;;
Calle de Ramón y Cajal;Hombre;Ramón y Cajal;0.0;;;;;;;
Plaza Pablo Casals;Hombre;Pablo Casals;0.0;;;;;;;1
Plaza Alcalde José Manuel Matheo Luaces;Hombre;Alcalde José Manuel Matheo Luaces;0.0;;;;;;;
Calle del Alcalde Francisco Moreno Menéndez;Hombre;Alcalde Francisco Moreno Menéndez;0.0;;;;;;;
Calle Alcalde Pablo Durán y Pérez de Castro;Hombre;Alcalde Pablo Durán y Pérez de Castro;0.0;;;;;;;
Calle Francisco Largo Caballero;Hombre;Francisco Largo Caballero;0.0;;;;;;;
Avenida del Conde de Barcelona;Hombre;Conde de Barcelona;0.0;;;;;;;
Calle Lehendakari Aguirre;Hombre;Lehendakari Aguirre;0.0;;;;;;;
Calle Antonio Cánovas del Castillo;Hombre;Antonio Cánovas del Castillo;0.0;;;;;;;
Calle Jiménez de Asúa;Hombre;Jiménez de Asúa;0.0;;;;;;;
Calle Niceto Alcalá Zamora;Hombre;Niceto Alcalá Zamora;0.0;;;;;;;
Calle Antonio Gramsci;Hombre;Antonio Gramsci;0.0;;;;;;;
Calle Miguel Maura;Hombre;Miguel Maura;0.0;;;;;;;
Calle Olof Palme;Hombre;Olof Palme;0.0;;;;;;;
Calle de Pi y Margall;Hombre;Pi y Margall;0.0;;;;;;;
Calle Salvador de Madariaga;Hombre;Salvador de Madariaga;0.0;;;;;;;
Calle de Juan Negrín;Hombre;Juan Negrín;0.0;;;;;;;
Calle de Nicolás Salmerón;Hombre;Nicolás Salmerón;0.0;;;;;;;
Calle de Tomás Meabe;Hombre;Tomás Meabe;0.0;;;;;;;
Calle Indalecio Prieto;Hombre;Indalecio Prieto;0.0;;;;;;;
Avenida de Pablo Iglesias;Hombre;Pablo Iglesias;0.0;;;;;;;
Calle Josep Tarradellas;Hombre;Josep Tarradellas;0.0;;;;;;;
Calle Casares Quiroga;Hombre;Casares Quiroga;0.0;;;;;;;
Calle Melquiades Álvarez;Hombre;Melquiades Álvarez;0.0;;;;;;;
Calle Diego Martínez Barrio;Hombre;Diego Martínez Barrio;0.0;;;;;;;
Calle José Canalejas;Hombre;José Canalejas;0.0;;;;;;;
Calle de San Fernando de Henares;Hombre;San Fernando de Henares;1.0;;;;;;;
Calle Alcalde Eleuterio Durán Barrera;Hombre;Alcalde Eleuterio Durán Barrera;0.0;;;;;;;
Calle de César García Contonente;Hombre;César García Contonente;0.0;;;;;;;
Calle del Alcalde Saturnino del Yerro Alonso;Hombre;Alcalde Saturnino del Yerro Alonso;0.0;;;;;;;
Calle del Alcalde José María Durán y Pelayo;Hombre;Alcalde José María Durán y Pelayo;0.0;;;;;;;
Calle del Alcalde Manuel Gómez Casado;Hombre;Alcalde Manuel Gómez Casado;0.0;;;;;;;
Calle del Alcalde Alfredo de Castro;Hombre;Alcalde Alfredo de Castro;0.0;;;;;;;
Calle José María Durán Braña;Hombre;José María Durán Braña;0.0;;;;;;;
Calle Alcalde Julián del Yerro Díaz;Hombre;Alcalde Julián del Yerro Díaz;0.0;;;;;;;
Calle Alcalde Juan Maroto;Hombre;Alcalde Juan Maroto;0.0;;;;;;;
Calle Alcalde Juan Durán y Pelayo;Hombre;Alcalde Juan Durán y Pelayo;0.0;;;;;;;
Calle Alcalde José Domingo Martínez Olazábal;Hombre;Alcalde José Domingo Martínez Olazábal;0.0;;;;;;;
Calle Alcalde Justo Maroto Martín;Hombre;Alcalde Justo Maroto Martín;0.0;;;;;;;
Calle Ricardo Tormo;Hombre;Ricardo Tormo;0.0;;;;;;;
Calle Alcalde Francisco Moreno Menéndez;Hombre;Alcalde Francisco Moreno Menéndez;0.0;;;;;;;
Calle del Alcalde Pedro González González;Hombre;Alcalde Pedro González González;0.0;;;;;;;
Calle de Andrés de Ahumada;Hombre;Andrés de Ahumada;0.0;;;;;;;
Calle Alcalde Pelayo Durán González;Hombre;Alcalde Pelayo Durán González;0.0;;;;;;;
Calle Alcalde Ramón del Yerro Ordóñez;Hombre;Alcalde Ramón del Yerro Ordóñez;0.0;;;;;;;
Calle Dani Pedrosa;Hombre;Dani Pedrosa;0.0;;;;;;;
Calle Julián Grimau;Hombre;Julián Grimau;0.0;;;;;;;
Calle Manuel Bartolomé Cossío;Hombre;Manuel Bartolomé Cossío;0.0;;;;;;;
Calle Sagasta;Hombre;Sagasta;0.0;;;;;;;
Avenida de Manuel Azaña;Hombre;Manuel Azaña;0.0;;;;;;;
Calle Arquímedes;Hombre;Arquímedes;0.0;;;;;;;
Calle Emilio Alzamora;Hombre;Emilio Alzamora;0.0;;;;;;;
Calle Pedro Martínez de la Rosa;Hombre;Pedro Martínez de la Rosa;0.0;;;;;;;
Calle Marc Gené;Hombre;Marc Gené;0.0;;;;;;;
Calle Niki Lauda;Hombre;Niki Lauda;0.0;;;;;;;
Calle Jordi Tarrés;Hombre;Jordi Tarrés;0.0;;;;;;;
Calle Luis Moya;Hombre;Luis Moya;0.0;;;;;;;
Calle Juan Ponce de León;Hombre;Juan Ponce de León;0.0;;;;;;;1
Calle José Díaz;Hombre;José Díaz;0.0;;;;;;;
Calle de Blas Infante;Hombre;Blas Infante;0.0;;;;;;;
Calle de Hernán Cortés;Hombre;Hernán Cortés;0.0;;;;;;;1
Calle Emilio Castelar;Hombre;Emilio Castelar;0.0;;;;;;;
Calle Alcalde José Fernández Cuervo Sánchez;Hombre;Alcalde José Fernández Cuervo Sánchez;0.0;;;;;;;
Calle Velilla de San Antonio;Hombre;Velilla de San Antonio;0.0;;;;;;;
Calle Alcalde Pablo Mont;Hombre;Alcalde Pablo Mont;0.0;;;;;;;
Calle San Martín de Valdeiglesias;Hombre;San Martín de Valdeiglesias;1.0;;;;;;;
Calle Alcalde Vicente de la Barrera Cano;Hombre;Alcalde Vicente de la Barrera Cano;0.0;;;;;;;
Calle Félix Rodríguez de la Fuente;Hombre;Félix Rodríguez de la Fuente;0.0;;;;;;;
Calle Newton;Hombre;Newton;0.0;;;;;;;
Calle Pascal;Hombre;Pascal;0.0;;;;;;;
Calle Einstein;Hombre;Einstein;0.0;;;;;;;
Calle Galileo;Hombre;Galileo;0.0;;;;;;;
Plaza Emilio Simón;Hombre;Emilio Simón;0.0;;;;;;;1
Calle Fernando Alonso;Hombre;Fernando Alonso;0.0;;;;;;;
