Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle General Gutiérrez Mellado;Hombre;General Gutiérrez Mellado;0.0;;;;;;;
Avenida de los Reyes Leoneses;Hombre;Reyes Leoneses;0.0;;;;;;;
Calle Padre Gregorio;Hombre;Padre Gregorio;0.0;;;;;;;
Avenida Reyes Leoneses;Hombre;Reyes Leoneses;0.0;;;;;;;1
Avenida del Padre Isla;Hombre;Padre Isla;0.0;;;;;;;1
Calle Pablo Díez;Hombre;Pablo Díez;0.0;;;;;;;
Calle Relojero Losada;Hombre;Relojero Losada;0.0;;;;;;;
Avenida San Andrés;Hombre;San Andrés;1.0;;;;;;;
Glorieta de Carlos Pinilla;Hombre;Carlos Pinilla;0.0;;;;;;;
Plaza Martín Granizo;Hombre;Martín Granizo;0.0;;;;;;;
Calle Cruz Roja de León;Hombre;Cruz Roja de León;0.0;;;;;;;1
Avenida Doctor Fleming;Hombre;Doctor Fleming;0.0;;;;;;;
Calle Comandante Cortizo;Hombre;Comandante Cortizo;0.0;;;;;;;
Glorieta del Ministro José Antonio Alonso;Hombre;Ministro José Antonio Alonso;0.0;;;;;;;
Avenida Quevedo;Hombre;Quevedo;0.0;;;;;;;
Puente de San Marcos;Hombre;San Marcos;1.0;;;;;;;
Calle Pablo Iglesias;Hombre;Pablo Iglesias;0.0;;;;;;;
Calle Santos Ovejero;Hombre;Santos Ovejero;0.0;;;;;;;
Calle Padre Llorente;Hombre;Padre Llorente;0.0;;;;;;;
Calle Cronista Luis Pastrana;Hombre;Cronista Luis Pastrana;0.0;;;;;;;
Calle Pintor Vela Zanetti;Hombre;Pintor Vela Zanetti;0.0;;;;;;;
"""Calle Gregorio Pérez de María """"El Cainejo""""""";Hombre;"""Gregorio Pérez de María """"El Cainejo""""""";0.0;;;;;;;
Calle Marcelino Elosúa;Hombre;Marcelino Elosúa;0.0;;;;;;;
Avenida Párroco Heriberto Ampudia Caballero;Hombre;Párroco Heriberto Ampudia Caballero;0.0;;;;;;;
Calle Bonifacio Rodríguez;Hombre;Bonifacio Rodríguez;0.0;;;;;;;
Calle Abad Viñayo;Hombre;Abad Viñayo;0.0;;;;;;;
Calle Gordón Ordás;Hombre;Gordón Ordás;0.0;;;;;;;
Calle Abad de Santullán;Hombre;Abad de Santullán;0.0;;;;;;;
Calle Primero de Mayo;Hombre;Primero de Mayo;0.0;;;;;;;
Calle Pardo Bazán;Hombre;Pardo Bazán;0.0;;;;;;;
Calle Antonio Nebrija;Hombre;Antonio Nebrija;0.0;;;;;;;
Calle Juan de Ribera;Hombre;Juan de Ribera;0.0;;;;;;;
Calle Pérez Galdós;Hombre;Pérez Galdós;0.0;;;;;;;
Calle Hermanos Machado;Hombre;Hermanos Machado;0.0;;;;;;;
Calle Obispo Álvarez Miranda;Hombre;Obispo Álvarez Miranda;0.0;;;;;;;
Calle San José;Hombre;San José;1.0;;;;;;;
Avenida Carlos Pinilla;Hombre;Carlos Pinilla;0.0;;;;;;;
Calle Miguel de Unamuno;Hombre;Miguel de Unamuno;0.0;;;;;;;
Calle Gómez Salazar;Hombre;Gómez Salazar;0.0;;;;;;;
Calle Rey Emperador;Hombre;Rey Emperador;0.0;;;;;;;
Calle de Demetrio Monteserín;Hombre;Demetrio Monteserín;0.0;;;;;;;
Calle Ramón Calabozo;Hombre;Ramón Calabozo;0.0;;;;;;;
Calle Juan Ramón Jiménez;Hombre;Juan Ramón Jiménez;0.0;;;;;;;
Calle Germán Alonso;Hombre;Germán Alonso;0.0;;;;;;;
Calle Antonio de Nebrija;Hombre;Antonio de Nebrija;0.0;;;;;;;
Calle Pablo Ruiz Picasso;Hombre;Pablo Ruiz Picasso;0.0;;;;;;;
Calle Justino Azcárate;Hombre;Justino Azcárate;0.0;;;;;;;
Calle del Río Moro;Hombre;Río Moro;0.0;;;;;;;
Calle Río Cueza;Hombre;Río Cueza;0.0;;;;;;;
Calle Francisco Giner de los Ríos;Hombre;Francisco Giner de los Ríos;0.0;;;;;;;
Calle Río Iyarga;Hombre;Río Iyarga;0.0;;;;;;;
Calle del Río Camba;Hombre;Río Camba;0.0;;;;;;;
Calle Julio Prieto Tascón;Hombre;Julio Prieto Tascón;0.0;;;;;;;
Calle del Río Moruelo;Hombre;Río Moruelo;0.0;;;;;;;
Calle Manuel Bartolomé Cossío;Hombre;Manuel Bartolomé Cossío;0.0;;;;;;;
Calle Pío Álvarez;Hombre;Pío Álvarez;0.0;;;;;;;
Calle Pérez Herrero;Hombre;Pérez Herrero;0.0;;;;;;;
Calle de Agustín Alfageme;Hombre;Agustín Alfageme;0.0;;;;;;;
Calle Cardenal Cisneros;Hombre;Cardenal Cisneros;0.0;;;;;;;
Calle de Azorín;Hombre;Azorín;0.0;;;;;;;
Calle Laureano Díez Canseco;Hombre;Laureano Díez Canseco;0.0;;;;;;;
Calle de Conzalo Rey Amez y Esposa;Hombre;Conzalo Rey Amez y Esposa;0.0;;;;;;;
Calle Río Valdueza;NA;Río Valdueza;0.0;;;;;;;
Calle Justiniano Rodríguez;Hombre;Justiniano Rodríguez;0.0;;;;;;;
Calle Juan de la Cosa;Hombre;Juan de la Cosa;0.0;;;;;;;
Calle Profesor Fernando de Castro;Hombre;Profesor Fernando de Castro;0.0;;;;;;;
Calle Anselmo Carretero;Hombre;Anselmo Carretero;0.0;;;;;;;
Calle Pablo de Azcárate y Flórez;Hombre;Pablo de Azcárate y Flórez;0.0;;;;;;;
"""Calle José García Borja """"Tío Caquichu""""""";Hombre;"""José García Borja """"Tío Caquichu""""""";0.0;;;;;;;
Calle Jesús Alfredo Negro López;Hombre;Jesús Alfredo Negro López;0.0;;;;;;;
Calle Doctor Fernández Picón;Hombre;Doctor Fernández Picón;0.0;;;;;;;
Calle Río Valdellorma;NA;Río Valdellorma;0.0;;;;;;;
Calle Maestros Hermanos Alvarado;Hombre;Maestros Hermanos Alvarado;0.0;;;;;;;
Calle Marqués de Santillana;Hombre;Marqués de Santillana;0.0;;;;;;;
Calle el Príncipe;NA;Príncipe;0.0;;;;;;;
Avenida San Ignacio de Loyola;Hombre;San Ignacio de Loyola;1.0;;;;;;;
Travesía del General Gutiérrez Mellado;Hombre;General Gutiérrez Mellado;0.0;;;;;;;
Plaza Vizconde;NA;Vizconde;0.0;;;;;;;1
Plaza de San Martín;Hombre;San Martín;1.0;;;;;;;1
Rincón del Conde Rebolledo;Hombre;Rincón del Conde Rebolledo;0.0;;;;;;;1
Plaza Don Gutierre;Hombre;Don Gutierre;0.0;;;;;;;1
Plaza Santo Martino;Hombre;Santo Martino;1.0;;;;;;;1
Plaza de Jacinto Benavente;Hombre;Jacinto Benavente;0.0;;;;;;;1
Pasaje de Santo Domingo;Hombre;Santo Domingo;1.0;;;;;;;1
Plaza Cid;Hombre;Cid;0.0;;;;;;;1
Plaza del Maestro Odón Alonso;Hombre;Maestro Odón Alonso;0.0;;;;;;;1
Plaza Padre Severino Ibáñez;Hombre;Padre Severino Ibáñez;0.0;;;;;;;1
Plaza de Santo Domingo;Hombre;Santo Domingo;1.0;;;;;;;1
Gran Vía de San Marcos;Hombre;Gran Vía de San Marcos;0.0;;;;;;;1
Glorieta de Guzmán el Bueno;Hombre;Guzmán el Bueno;0.0;;;;;;;1
