Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Carrer Major;NA;Major;0;;;;;;;1
Carrer del Mestre;Hombre;Mestre;0;;;;;;;
Travessia de Sant Jordi;Hombre;Travessia de Sant Jordi;1;;;;;;;
Carrer de Sant Jordi;Hombre;Sant Jordi;1;;;;;;;
Carrer del Chardonnay;Hombre;Chardonnay;0;;;;;;;
Carrer de Sant Antoni;Hombre;Sant Antoni;1;;;;;;;1
Carrer de Sant Francesc;Hombre;Sant Francesc;1;;;;;;;
Carrer de Sant Isidre Llaurador;Hombre;Sant Isidre Llaurador;1;;;;;;;
Pas del Gabriel;Hombre;Pas del Gabriel;0;;;;;;;
Carrer de José Luis González Mínguez;Hombre;José Luis González Mínguez;0;;;;;;;
Passeig de Manuel Raventós;Hombre;Manuel Raventós;0;;;;;;;
Plaça de Francesc Viadiu;Hombre;Francesc Viadiu;0;;;;;;;
Plaça de Sant Pere;Hombre;Sant Pere;1;;;;;;;
Plaça de Josep Piñol;Hombre;Josep Piñol;0;;;;;;;
Plaça d'Orvepard;Hombre;Orvepard;0;;;;;;;
Plaça de Joan Santamaria;Hombre;Joan Santamaria;0;;;;;;;
Plaça de Miguel Servet;Hombre;Miguel Servet;0;;;;;;;
Plaça de Miquel Costa Ortega;Hombre;Miquel Costa Ortega;0;;;;;;;
Plaça de Miquel Roig;Hombre;Miquel Roig;0;;;;;;;
Plaça de Manuel Giró;Hombre;Manuel Giró;0;;;;;;;
Plaça d'Emili Subías;Hombre;Emili Subías;0;;;;;;;
Avinguda Alcalde Porqueres;Hombre;Alcalde Porqueres;0;;;;;;;
Carrer de Xavier Puig i Andreu;Hombre;Xavier Puig i Andreu;0;;;;;;;
Carrer de Josep Pallach;Hombre;Josep Pallach;0;;;;;;;
Carrer del Baró de Maials;Hombre;Baró de Maials;0;;;;;;;
Carrer de Vidal i Codina;Hombre;Vidal i Codina;0;;;;;;;
Carrer de Prudenci Murillo;Hombre;Prudenci Murillo;0;;;;;;;
Carrer dels Comtes d'Urgell;Hombre;Comtes d'Urgell;0;;;;;;;1
Carrer del Corregidor Escofet;Hombre;Corregidor Escofet;0;;;;;;;
Avinguda de l'Alcalde Porqueres;Hombre;l'Alcalde Porqueres;0;;;;;;;1
Carrer del Beat Francesc Castelló Aleu;Hombre;Beat Francesc Castelló Aleu;0;;;;;;;
Avinguda de l'Alcalde Rovira Roure;Hombre;l'Alcalde Rovira Roure;0;;;;;;;1
Glorieta de Font i Quer;Hombre;Font i Quer;0;;;;;;;
Carrer d'en Ramon Argilés;Hombre;en Ramon Argilés;0;;;;;;;
Carrer de Sant Pere Claver;Hombre;Sant Pere Claver;1;;;;;;;
Carrer de Pere de Sant Climent;Hombre;Pere de Sant Climent;0;;;;;;;
Carrer de Miquel de Cortiada;Hombre;Miquel de Cortiada;0;;;;;;;
Carrer d'Anastasi Pinós;Hombre;Anastasi Pinós;0;;;;;;;
Avinguda de Pearson;Hombre;Pearson;0;;;;;;;
Carrer de Vicenç Ximenis;Hombre;Vicenç Ximenis;0;;;;;;;
Avinguda Alcalde Rovira Roure;Hombre;Alcalde Rovira Roure;0;;;;;;;
Carrer de l'Enginyer Mas;Hombre;l'Enginyer Mas;0;;;;;;;
Carrer d'Euskadi;NA;Euskadi;0;;;;;;;
Carrer de l'Arquitecte Gomà;Hombre;l'Arquitecte Gomà;0;;;;;;;
Carrer d'Eugeni d'Ors;Hombre;Eugeni d'Ors;0;;;;;;;
Carrer del Paer Casanovas;Hombre;Paer Casanovas;0;;;;;;;1
Carrer de l'Apòstol Sant Jaume;Hombre;l'Apòstol Sant Jaume;1;;;;;;;
"""Carrer de l'Enric Pubill """"lo Parrano""""""";Hombre;"""l'Enric Pubill """"lo Parrano""""""";0;;;;;;;
Avinguda de Sant Pere;Hombre;Sant Pere;1;;;;;;;
Carrer de l'Ambaixador Espens;Hombre;l'Ambaixador Espens;0;;;;;;;
Carrer d'Enric Alderiu;Hombre;Enric Alderiu;0;;;;;;;
Carrer del Metge Abiatar;Hombre;Metge Abiatar;0;;;;;;;
"""Carrer d'Antoni Creus """"lo Pacheco""""""";Hombre;"""Antoni Creus """"lo Pacheco""""""";0;;;;;;;
Carrer de Martí Gralla;Hombre;Martí Gralla;0;;;;;;;
Carrer del Pintor Albert Vives;Hombre;Pintor Albert Vives;0;;;;;;;
Carrer del Mossèn Pelegrí;Hombre;Mossèn Pelegrí;0;;;;;;;
Carrer de Francesc Molí;Hombre;Francesc Molí;0;;;;;;;
Carrer dels Hospitalers de Sant Joan;Hombre;Hospitalers de Sant Joan;0;;;;;;;
Carrer de Balaguer;Hombre;Balaguer;0;;;;;;;
Carrer de Francesc Solana i Fortuño;Hombre;Francesc Solana i Fortuño;0;;;;;;;
Carrer dels Germans Queralt;Hombre;Germans Queralt;0;;;;;;;
Carrer de Sant Lleïr;Hombre;Sant Lleïr;1;;;;;;;
Carrer d'Enric Farreny;Hombre;Enric Farreny;0;;;;;;;
Carrer de Baldomer Gili i Roig;Hombre;Baldomer Gili i Roig;0;;;;;;;
Carrer de Josep Segura Farré;Hombre;Josep Segura Farré;0;;;;;;;
Carrer del Doctor Biosca;Hombre;Doctor Biosca;0;;;;;;;
Carrer de José Olondriz Ostiz;Hombre;José Olondriz Ostiz;0;;;;;;;
Carrer de Bonifaci VIII;Hombre;Bonifaci VIII;0;;;;;;;
Travessera de Francesc Molí;Hombre;Travessera de Francesc Molí;0;;;;;;;
Carrer del Cartoixà Telm;Hombre;Cartoixà Telm;0;;;;;;;
Carrer de Violant de Hungria;Hombre;Violant de Hungria;0;;;;;;;
Carrer de l'Escultor Corsellés;Hombre;l'Escultor Corsellés;0;;;;;;;
Carrer de Ferrara;Hombre;Ferrara;0;;;;;;;
Carrer de Sant Hilari;Hombre;Sant Hilari;1;;;;;;;
Carrer de Roca i Lletjós;Hombre;Roca i Lletjós;0;;;;;;;
Carrer de Sant Lluís Gonzaga;Hombre;Sant Lluís Gonzaga;1;;;;;;;
Carrer del Pare Palau;Hombre;Pare Palau;0;;;;;;;
Carrer de Laureà Figuerola;Hombre;Laureà Figuerola;0;;;;;;;
Carrer del Mossen Solé;Hombre;Mossen Solé;0;;;;;;;
Carrer de Sant Pasqual Bailón;Hombre;Sant Pasqual Bailón;1;;;;;;;
Carrer de Josep Fontseré;Hombre;Josep Fontseré;0;;;;;;;
Carrer de Daunois;Hombre;Daunois;0;;;;;;;
Carrer de Jordi Solé Tura;Hombre;Jordi Solé Tura;0;;;;;;;
Carrer de Joan del Rei;Hombre;Joan del Rei;0;;;;;;;
Carrer d'Antoni Agustí;Hombre;Antoni Agustí;0;;;;;;;
Carrer de Guillem de Botet;Hombre;Guillem de Botet;0;;;;;;;
Carrer de Frederic Riu i Farré;Hombre;Frederic Riu i Farré;0;;;;;;;
Carrer de Joan Culleré;Hombre;Joan Culleré;0;;;;;;;
Carrer d'en Justo Torres;Hombre;en Justo Torres;0;;;;;;;
Carrer de Carles Fontseré;Hombre;Carles Fontseré;0;;;;;;;
Carrer del Periodista Trapa;Hombre;Periodista Trapa;0;;;;;;;
Carrer del Monsteri Gerri;Hombre;Monsteri Gerri;0;;;;;;;
Carrer de l'Arquitecte Campmany;Hombre;l'Arquitecte Campmany;0;;;;;;;
Carrer de l'Arquitecte Villalonga;Hombre;l'Arquitecte Villalonga;0;;;;;;;
Carrer de l'Arquitecte Celles;Hombre;l'Arquitecte Celles;0;;;;;;;
Carrer de l'Enric Crous;Hombre;l'Enric Crous;0;;;;;;;
Carrer de l'Arquitecte Lamarca;Hombre;l'Arquitecte Lamarca;0;;;;;;;
Carrer del Doctor Jaume Melcior;Hombre;Doctor Jaume Melcior;0;;;;;;;
Carrer de l'Arquitecte Porqueras;Hombre;l'Arquitecte Porqueras;0;;;;;;;
Carrer de l'Arquitecte Florensa;Hombre;l'Arquitecte Florensa;0;;;;;;;
Carrer de l'Arquitecte Domènech Torres;Hombre;l'Arquitecte Domènech Torres;0;;;;;;;
Carrer de l'Arquitecte Bergós;Hombre;l'Arquitecte Bergós;0;;;;;;;
Carrer de l'Arquitecte Cases;Hombre;l'Arquitecte Cases;0;;;;;;;
Carrer de l'Arquitecte Morera i Gatell;Hombre;l'Arquitecte Morera i Gatell;0;;;;;;;
Carrer de Felip de Silva;Hombre;Felip de Silva;0;;;;;;;
Carrer de Pascual Madoz;Hombre;Pascual Madoz;0;;;;;;;
"""Carrer de Salvador Segui """"el noi de sucre""""""";Hombre;"""Salvador Segui """"el noi de sucre""""""";0;;;;;;;
Carrer d'Alfarràs;NA;Alfarràs;0;;;;;;;1
Carrer d'Albert Coma i Estadella;Hombre;Albert Coma i Estadella;0;;;;;;;
Carrer d'Antoni Vilaplana;Hombre;Antoni Vilaplana;0;;;;;;;
Carrer de Josep Maria Alba;Hombre;Josep Maria Alba;0;;;;;;;
Carrer de Francesc Porta Vilalta;Hombre;Francesc Porta Vilalta;0;;;;;;;
Carrer de l'Almirall Folch;Hombre;l'Almirall Folch;0;;;;;;;
Carrer de Gandhi;Hombre;Gandhi;0;;;;;;;
Carrer d'Oriol Martorell;Hombre;Oriol Martorell;0;;;;;;;
Carrer de Jaume d'Agramunt;Hombre;Jaume d'Agramunt;0;;;;;;;
Carrer del Pare Gabernet;Hombre;Pare Gabernet;0;;;;;;;
Carrer de Joan Baptista Xuriguera;Hombre;Joan Baptista Xuriguera;0;;;;;;;
Carrer d'Anselm Charles;Hombre;Anselm Charles;0;;;;;;;
Carrer de l'Oriol Martorell;Hombre;l'Oriol Martorell;0;;;;;;;
Carrer de Yehudi Menuhin;Hombre;Yehudi Menuhin;0;;;;;;;
Carrer del Doctor Ramon Pigem;Hombre;Doctor Ramon Pigem;0;;;;;;;
Doctor Estopà;Hombre;Doctor Estopà;0;;;;;;;
Carrer d'Algerri;Hombre;Algerri;0;;;;;;;
Carrer del Doctor Estopà;Hombre;Doctor Estopà;0;;;;;;;
Carrer del Doctor Cambrodí;Hombre;Doctor Cambrodí;0;;;;;;;
Carrer de Jordi Dauder;Hombre;Jordi Dauder;0;;;;;;;
Carrer de Jeroni Pujades;Hombre;Jeroni Pujades;0;;;;;;;1
Carrer del Princep de Viana;Hombre;Princep de Viana;0;;;;;;;1
Camí del Julià;Hombre;Julià;0;;;;;;;
Plaça de Josep Estadella;Hombre;Josep Estadella;0;;;;;;;
Plaça de Ricard Vinyes;Hombre;Ricard Vinyes;0;;;;;;;1
Plaça de Màrius Carretero;Hombre;Màrius Carretero;0;;;;;;;1
Rambla de Ferran;Hombre;Ferran;0;;;;;;;1
Plaça de Sant Joan;Hombre;Sant Joan;1;;;;;;;1
Plaça de Pau Casals;Hombre;Pau Casals;0;;;;;;;1
Plaça de Jesús Moncada;Hombre;Jesús Moncada;0;;;;;;;1
Plaça de Víctor Siurana;Hombre;Víctor Siurana;0;;;;;;;1
Plaça de Sant Josep;Hombre;Sant Josep;1;;;;;;;1
Plaça de Joan XXIII;Hombre;Joan XXIII;0;;;;;;;
Plaça de Josep Wehrle;Hombre;Josep Wehrle;0;;;;;;;
Plaça de Josep Solans;Hombre;Josep Solans;0;;;;;;;1
Plaça de Wifred I;Hombre;Wifred I;0;;;;;;;1
Plaça de Sant Llorenç;Hombre;Sant Llorenç;1;;;;;;;1
Plaça de Joan Vilagrasa;Hombre;Joan Vilagrasa;0;;;;;;;
Plaça de Jaume Gort;Hombre;Jaume Gort;0;;;;;;;
Plaça de Sant Francesc;Hombre;Sant Francesc;1;;;;;;;1
Plaça del Mossèn Cinto Verdaguer;Hombre;Mossèn Cinto Verdaguer;0;;;;;;;1
Plaça de Josep Boneu;Hombre;Josep Boneu;0;;;;;;;1
Plaça del Pare Nadal;Hombre;Pare Nadal;0;;;;;;;
Plaça de Francisco Sanjuán;Hombre;Francisco Sanjuán;0;;;;;;;
Plaça de Pablo Iglesias;Hombre;Pablo Iglesias;0;;;;;;;1
Plaça de Sant Antoni Maria Claret;Hombre;Sant Antoni Maria Claret;1;;;;;;;1
Plaça del Molí de Sant Anastasí;Hombre;Molí de Sant Anastasí;0;;;;;;;
Plaça de Josep Prenafeta;Hombre;Josep Prenafeta;0;;;;;;;1
Plaça de Cappont;Hombre;Cappont;0;;;;;;;1
Plaça Victor Mateu i Moles;Hombre;Victor Mateu i Moles;0;;;;;;;
Plaça de Berenguer IV;Hombre;Berenguer IV;0;;;;;;;1
Plaça d'Esteve Cuito;Hombre;Esteve Cuito;0;;;;;;;1
Carrer de Cos Gayón;Hombre;Cos Gayón;0;;;;;;;
Plaça de Ramon Berenguer IV;Hombre;Ramon Berenguer IV;0;;;;;;;1
Carrer dels Agustins;Hombre;Agustins;0;;;;;;;1
Avinguda de Miquel Batllori;Hombre;Miquel Batllori;0;;;;;;;
Carrer de l'Anselm Clavé;Hombre;l'Anselm Clavé;0;;;;;;;1
Avinguda del Doctor Fleming;Hombre;Doctor Fleming;0;;;;;;;1
Carrer de Saracíbar;Hombre;Saracíbar;0;;;;;;;1
Carrer del Governador de Montcada;Hombre;Governador de Montcada;0;;;;;;;1
Carrer de Lluís Besa;Hombre;Lluís Besa;0;;;;;;;1
Carrer del Bisbe;Hombre;Bisbe;0;;;;;;;1
Carrer de Sant Martí;Hombre;Sant Martí;1;;;;;;;1
Carrer de l'Alcalde Sol;Hombre;l'Alcalde Sol;0;;;;;;;1
Carrer del Mestre Tonet;Hombre;Mestre Tonet;0;;;;;;;
Carrer d'Isaac Albéniz;Hombre;Isaac Albéniz;0;;;;;;;1
Carrer de Bonaire;Hombre;Bonaire;0;;;;;;;1
Avinguda de Sant Ruf;Hombre;Sant Ruf;1;;;;;;;1
Carrer de Pere de Cabrera;Hombre;Pere de Cabrera;0;;;;;;;1
Carrer de Jaume II;Hombre;Jaume II;0;;;;;;;1
Carrer de Manuel del Palacio;Hombre;Manuel del Palacio;0;;;;;;;1
Carrer de l'Artur Mor Roig;Hombre;l'Artur Mor Roig;0;;;;;;;
Carrer del Canonge Brugulat;Hombre;Canonge Brugulat;0;;;;;;;1
Avinguda de Francesc Macià;Hombre;Francesc Macià;0;;;;;;;1
Carrer d'Alfred Perenya;Hombre;Alfred Perenya;0;;;;;;;1
Carrer del Pintor Xavier Gose;Hombre;Pintor Xavier Gose;0;;;;;;;
Carrer del Doctor Combelles;Hombre;Doctor Combelles;0;;;;;;;1
Carrer de Joan Miró;Hombre;Joan Miró;0;;;;;;;1
Carrer de Roca Llabrador;Hombre;Roca Llabrador;0;;;;;;;1
Carrer de l'Alcalde Costa;Hombre;l'Alcalde Costa;0;;;;;;;1
Carrer de Ramon Soldevila;Hombre;Ramon Soldevila;0;;;;;;;1
