Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle de Concepción Arenal;Mujer;Concepción Arenal;;;escritora, abogada y proto-trabajadora social española;https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal;http://commons.wikimedia.org/wiki/Special:FilePath/Concepcion%20Arenal%201.jpg;1820-01-31T00:00:00Z;1893-02-04T00:00:00Z;
Calle de Ana María Matute;Mujer;Ana María Matute;;;escritora española;https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Matute;http://commons.wikimedia.org/wiki/Special:FilePath/Ana%20Mar%C3%ADa%20Matute.jpg;1925-07-26T00:00:00Z;2014-06-25T00:00:00Z;
Calle de Santa Rita;Mujer;Rita de Casia;1.0;;santa italiana, perteneciente a la Iglesia Católica;https://en.wikipedia.org/wiki/Rita_of_Cascia;http://commons.wikimedia.org/wiki/Special:FilePath/S.Rita%20da%20Cascia.jpg;1381-01-01T00:00:00Z;1457-05-22T00:00:00Z;1
Calle de María Teresa León;Mujer;María Teresa León;;;Escritora española (1903-1988);https://es.wikipedia.org/wiki/Mar%C3%ADa_Teresa_Le%C3%B3n;http://commons.wikimedia.org/wiki/Special:FilePath/Maria-teresa-goyri1.jpg;1903-10-31T00:00:00Z;1988-12-13T00:00:00Z;
Calle de Emilia Pardo-Bazán;Mujer;Emilia Pardo Bazán;;;escritora española;https://es.wikipedia.org/wiki/Emilia_Pardo_Baz%C3%A1n;http://commons.wikimedia.org/wiki/Special:FilePath/1921-05-21%2C%20La%20Esfera%2C%20Condesa%20de%20Pardo%20Baz%C3%A1n%2C%20Gamonal.jpg;1851-09-16T00:00:00Z;1921-05-12T00:00:00Z;
Santa Lucía kalea;Mujer;Lucía de Siracusa;1.0;;mártir cristiana;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa;http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Lucy%20by%20Domenico%20di%20Pace%20Beccafumi.jpg;0283-01-01T00:00:00Z;0304-01-01T00:00:00Z;
Plaza Concepción Pérez Santo Tomás;Mujer;Concepción Pérez Santo Tomás;;;;;;;;1
Plaza Virgen de la Esperanza;Mujer;Virgen de la Esperanza;1.0;;Advocación mariana;https://es.wikipedia.org/wiki/Virgen_de_la_Esperanza;;;;
Plaza de la Paz;NA;Paz;;;;;;;;1
Plaza Paula Montal;Mujer;Paula Montal;1.0;;;https://es.wikipedia.org/wiki/Paula_Montal;;;;
Calle Carmen Medrano;Mujer;Carmen Medrano;;;;;;;;
Calle Rosa Chacel;Mujer;Rosa Chacel;;;escritora española de la Generación del 27;https://es.wikipedia.org/wiki/Rosa_Chacel;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20Chacel.jpg;1898-06-03T00:00:00Z;1994-07-27T00:00:00Z;
Calle María Teresa Gil de Gárate;Mujer;María Teresa Gil de Gárate;;;;https://es.wikipedia.org/wiki/Mar%C3%ADa_Teresa_Gil_de_G%C3%A1rate;;;;1
Calle Pilar Salarrullana;Mujer;Pilar Salarrullana;;;política española (1937-2009);https://es.wikipedia.org/wiki/Pilar_Salarrullana;;1937-11-17T00:00:00Z;2009-06-27T00:00:00Z;1
Calle Santa Justa;Mujer;Santa Justa;1.0;;;https://es.wikipedia.org/wiki/Justa_y_Rufina;;;;
Plaza Paula Montal;Mujer;Paula Montal;1.0;;;https://es.wikipedia.org/wiki/Paula_Montal;;;;
Calle Merced;NA;Merced;1.0;;;;;;;1
Calle Aurora Infante;Mujer;Aurora Infante;;;;;;;;
Calle María Zambrano;Mujer;María Zambrano;;;pensadora, filósofa y ensayista española;https://es.wikipedia.org/wiki/Mar%C3%ADa_Zambrano;http://commons.wikimedia.org/wiki/Special:FilePath/Mural%20feminista%20Gandia%20-%20Maria%20Zambrano.jpg;1904-04-22T00:00:00Z;1991-02-06T00:00:00Z;1
Calle Purita Ugalde;Mujer;Purita Ugalde;;;Cantante y compositora de jotas riojanas;https://es.wikipedia.org/wiki/Purita_Ugalde;;1917-11-26T00:00:00Z;1995-08-09T00:00:00Z;
Calle Santa Isabel;Mujer;Isabel;1.0;;madre de Juan el bautista;https://es.wikipedia.org/wiki/Isabel_(madre_de_Juan_el_Bautista);http://commons.wikimedia.org/wiki/Special:FilePath/Champaigne%20visitation.jpg;-0100-01-01T00:00:00Z;0100-01-01T00:00:00Z;1
Plaza de la Paz;NA;Paz;;;;;;;;1
