Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza Virgen de la Capilla;Mujer;Virgen de la Capilla;1;;;https://es.wikipedia.org/wiki/Virgen_de_la_Capilla;;;;
Plaza Nuestra Señora del Prado;Mujer;Nuestra Señora del Prado;1;;;;;;;
Calle de Nuria;Mujer;Nuria;;;;;;;;
Glorieta de Olga Ramos;Mujer;Olga Ramos;;;cantante española;https://es.wikipedia.org/wiki/Olga_Ramos;;1918-07-20T00:00:00Z;2005-08-25T00:00:00Z;
Glorieta de Irene Gutiérrez Caba;Mujer;Irene Gutiérrez Caba;;;Actriz española;https://es.wikipedia.org/wiki/Irene_Guti%C3%A9rrez_Caba;http://commons.wikimedia.org/wiki/Special:FilePath/La%20vieja%20srta.%20del%20Paraiso.jpg;1927-04-25T00:00:00Z;1995-07-04T00:00:00Z;
Calle de Gabriela Mistral;Mujer;Gabriela Mistral;;;poetisa, diplomática y profesora chilena;https://es.wikipedia.org/wiki/Gabriela_Mistral;http://commons.wikimedia.org/wiki/Special:FilePath/Gabriela%20Mistral%201945.jpg;1889-04-07T00:00:00Z;1957-01-10T00:00:00Z;
Calle de Rosalía de Castro;Mujer;Rosalía de Castro;;;poetisa y novelista gallega;https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Castro;http://commons.wikimedia.org/wiki/Special:FilePath/Rosal%C3%ADa%20Castro%20de%20Murgu%C3%ADa%20por%20Luis%20Sellier.jpg;1838-02-23T00:00:00Z;1885-07-15T00:00:00Z;
Calle Rosa Sabater;Mujer;Rosa Sabater;;;pianista española;https://es.wikipedia.org/wiki/Rosa_Sabater;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20Sabater.jpg;1927-08-29T00:00:00Z;1983-11-27T00:00:00Z;
Calle Adelina Patti;Mujer;Adelina Patti;;;soprano italoespañola;https://es.wikipedia.org/wiki/Adelina_Patti;http://commons.wikimedia.org/wiki/Special:FilePath/Adelina%20Patti%20portrait%20%2811063797055%29%20%28cropped%29.jpg;1843-02-10T00:00:00Z;1919-09-27T00:00:00Z;
Calle María Alonso;Mujer;María Alonso;;;;;;;;
Calle de Antonia Baena;Mujer;Antonia Baena;;;;;;;;
Calle Ángeles de las Heras;Mujer;Ángeles de las Heras;;;;;;;;
Calle de Angelita Camarero;Mujer;Angelita Camarero;;;;;;;;
Calle de Alicia Baena;Mujer;Alicia Baena;;;;;;;;
Calle María Isabel Navarro;Mujer;María Isabel Navarro;;;;;;;;
Calle Madre Teresa de Calcuta;Mujer;Teresa de Calcuta;1;;santa católica de origen albanés (1910-1997);https://es.wikipedia.org/wiki/Teresa_de_Calcuta;http://commons.wikimedia.org/wiki/Special:FilePath/MotherTeresa%20090.jpg;1910-08-26T00:00:00Z;1997-09-05T00:00:00Z;
Calle Margarita Nelken;Mujer;Margarita Nelken;;;escritora, crítica de arte y política española;https://es.wikipedia.org/wiki/Margarita_Nelken;http://commons.wikimedia.org/wiki/Special:FilePath/Margarita%20Nelken%2C%20en%20Mundo%20Gr%C3%A1fico.jpg;1894-07-05T00:00:00Z;1968-03-09T00:00:00Z;
Calle Gloria Fuertes;Mujer;Gloria Fuertes;;;poeta española;https://es.wikipedia.org/wiki/Gloria_Fuertes;http://commons.wikimedia.org/wiki/Special:FilePath/GloriaFuertes.jpg;1917-07-28T00:00:00Z;1998-11-27T00:00:00Z;
Calle de Irene Caba Alba;Mujer;Irene Caba Alba;;;;https://es.wikipedia.org/wiki/Irene_Caba_Alba;;;;
Calle María de Maeztu;Mujer;María de Maeztu;;;pedagoga y humanista española;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_Maeztu;http://commons.wikimedia.org/wiki/Special:FilePath/Mar%C3%ADa%20Maeztu.JPG;1881-07-18T00:00:00Z;1948-01-07T00:00:00Z;
Calle María Casares;Mujer;María Casares;;;actriz hispano-francesa;https://es.wikipedia.org/wiki/Mar%C3%ADa_Casares;http://commons.wikimedia.org/wiki/Special:FilePath/Casar%C3%A8s%20Harcourt%201944b.jpg;1922-11-21T00:00:00Z;1996-11-22T00:00:00Z;
Calle Juanita Cruz;Mujer;Juana Cruz de la Casa;;;torera española (1917-1981);https://es.wikipedia.org/wiki/Juana_Cruz;;1917-02-12T00:00:00Z;1981-05-18T00:00:00Z;
