Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Carnero la Fresneda;Hombre;Carnero la Fresneda;0.0;;;;;;;
Calle Olmedo de la Fresneda;Hombre;Olmedo de la Fresneda;0.0;;;;;;;
Camino Toma del Agua;NA;Toma del Agua;0.0;;;;;;;
Camino Lagar Brun Alto;NA;Lagar Brun Alto;0.0;;;;;;;
Camino Lagar Hurtado;NA;Lagar Hurtado;0.0;;;;;;;
Calle Ruiz de Alda;Hombre;Ruiz de Alda;0.0;;;;;;;
Calle San Vicente;Hombre;San Vicente;1.0;;;;;;;
Calle Fray Luis de Granada;Hombre;Fray Luis de Granada;0.0;;;;;;;
Camino Lagar Brun Bajo;NA;Lagar Brun Bajo;0.0;;;;;;;
Plaza Taras Bulba;NA;Taras Bulba;0.0;1.0;;;;;;
Plaza Juan José Relosillas;Hombre;Juan José Relosillas;0.0;;;;;;;
Plaza Reyna Manescau;Hombre;Reyna Manescau;0.0;;;;;;;
Plaza Fray Alonso de Santo Tomás;Hombre;Fray Alonso de Santo Tomás;0.0;;;;;;;1
Plaza Miguel Serrano de las Heras;Hombre;Miguel Serrano de las Heras;0.0;;;;;;;
Plaza San Pablo;Hombre;San Pablo;1.0;;;;;;;1
Plaza Pepito Vargas;Hombre;Pepito Vargas;0.0;;;;;;;1
Plaza Francisco Cañamaque Jiménez;Hombre;Francisco Cañamaque Jiménez;0.0;;;;;;;
Plaza Juan López Quintana;Hombre;Juan López Quintana;0.0;;;;;;;
Plaza Murillo Carrera;Hombre;Murillo Carrera;0.0;;;;;;;
Plaza San Antonio Abad;Hombre;San Antonio Abad;1.0;;;;;;;
Plaza Mateo Luzón;Hombre;Mateo Luzón;0.0;;;;;;;
Plaza San José del Viso;Hombre;San José del Viso;1.0;;;;;;;
Plaza José Bergamín;Hombre;José Bergamín;0.0;;;;;;;
Avenida Jorge Luis Borges;Hombre;Jorge Luis Borges;0.0;;;;;;;
Calle Francisco Jiménez Lomas;Hombre;Francisco Jiménez Lomas;0.0;;;;;;;
Paseo Antonio Machado;Hombre;Antonio Machado;0.0;;;;;;;
Glorieta de Primero de Mayo;Hombre;Primero de Mayo;0.0;;;;;;;
Camino San Rafael;Hombre;San Rafael;1.0;;;;;;;
Avenida Juan XXIII;Hombre;Juan XXIII;0.0;;;;;;;
Calle Abogado Federico Orellana Toledano;Hombre;Abogado Federico Orellana Toledano;0.0;;;;;;;
Plaza Cruz de Humilladero;Hombre;Cruz de Humilladero;0.0;;;;;;;
Calle Conde de Guadalhorce;Hombre;Conde de Guadalhorce;0.0;;;;;;;
Avenida José Ortega y Gasset;Hombre;José Ortega y Gasset;0.0;;;;;;;
Calle Río Arrago;NA;Río Arrago;0.0;;;;;;;
Calle Horacio Lengo;Hombre;Horacio Lengo;0.0;;;;;;;
Calle Edison;Hombre;Edison;0.0;;;;;;;
Calle Roger de Flor;Hombre;Roger de Flor;0.0;;;;;;;
Puente de Antonio Machado;Hombre;Antonio Machado;0.0;;;;;;;
Avenida Comandante Benítez;Hombre;Comandante Benítez;0.0;;;;;;;1
Avenida Jorge Silvela;Hombre;Jorge Silvela;0.0;;;;;;;1
Avenida Guerrero Strachan;Hombre;Guerrero Strachan;0.0;;;;;;;
Avenida del Comandante García Morato;Hombre;Comandante García Morato;0.0;;;;;;;
Calle Realenga de San Luis;Hombre;Realenga de San Luis;0.0;;;;;;;
Avenida Santiago Ramón y Cajal;Hombre;Santiago Ramón y Cajal;0.0;;;;;;;
Calle Pedro Miguel Carbonell;Hombre;Pedro Miguel Carbonell;0.0;;;;;;;
Calle Walt Whitman;Hombre;Walt Whitman;0.0;;;;;;;
Avenida Ingeniero José María Garnica;Hombre;Ingeniero José María Garnica;0.0;;;;;;;
Calle Fernán Núñez;Hombre;Fernán Núñez;0.0;;;;;;;
Calle Enrique Scholtz;Hombre;Enrique Scholtz;0.0;;;;;;;1
Calle Barroso;Hombre;Barroso;0.0;;;;;;;1
Calle Ortega de Prados;Hombre;Ortega de Prados;0.0;;;;;;;
Plaza Jacques Cousteau;Hombre;Jacques Cousteau;0.0;;;;;;;
Calle Gounod;Hombre;Gounod;0.0;;;;;;;
Calle Conrad Adenauer;Hombre;Conrad Adenauer;0.0;;;;;;;
Avenida Carlos de Haya;Hombre;Carlos de Haya;0.0;;;;;;;
Avenida Lope de Vega;Hombre;Lope de Vega;0.0;;;;;;;
Glorieta Plácido Fernández Viagas;Hombre;Plácido Fernández Viagas;0.0;;;;;;;
Calle Mesonero Romanos;Hombre;Mesonero Romanos;0.0;;;;;;;
Calle Antonio Raíz;Hombre;Antonio Raíz;0.0;;;;;;;
Calle Navarro Ledesma;Hombre;Navarro Ledesma;0.0;;;;;;;
Calle Pablo Gargallo;Hombre;Pablo Gargallo;0.0;;;;;;;
Calle Charles Dickens;Hombre;Charles Dickens;0.0;;;;;;;
Calle Alonso de Higuera;Hombre;Alonso de Higuera;0.0;;;;;;;
Calle Tamayo y Baus;Hombre;Tamayo y Baus;0.0;;;;;;;
Calle Alonso Flórez;Hombre;Alonso Flórez;0.0;;;;;;;
Calle Manuel Amaro;Hombre;Manuel Amaro;0.0;;;;;;;
Calle Pedro Antonio Beuter;Hombre;Pedro Antonio Beuter;0.0;;;;;;;
Calle Antonio de Cabezón;Hombre;Antonio de Cabezón;0.0;;;;;;;
Calle Juan de Jaso;Hombre;Juan de Jaso;0.0;;;;;;;
Plaza Pintor Sandro Botticelli;Hombre;Pintor Sandro Botticelli;0.0;;;;;;;
Avenida de Velázquez;Hombre;Velázquez;0.0;;;;;;;
Calle Hermanos Lumiere;Hombre;Hermanos Lumiere;0.0;;;;;;;
Calle Alonso Cano;Hombre;Alonso Cano;0.0;;;;;;;1
Calle Francisco Monje;Hombre;Francisco Monje;0.0;;;;;;;1
Alameda de Colón;Hombre;Alameda de Colón;0.0;;;;;;;1
Calle San Lorenzo;Hombre;San Lorenzo;1.0;;;;;;;1
Calle Francisco de Paula Pareja;Hombre;Francisco de Paula Pareja;0.0;;;;;;;
Calle Alfredo Nobel;Hombre;Alfredo Nobel;0.0;;;;;;;
Autovía de Andrés Llordén;Hombre;Autovía de Andrés Llordén;0.0;;;;;;;
Bulevar Louis Pasteur;Hombre;Louis Pasteur;0.0;;;;;;;
Avenida Doctor Manuel Domínguez;Hombre;Doctor Manuel Domínguez;0.0;;;;;;;
Calle Marqués de Beccaria;Hombre;Marqués de Beccaria;0.0;;;;;;;
Avenida Pintor Manuel Barbadillo;Hombre;Pintor Manuel Barbadillo;0.0;;;;;;;
Avenida José Ribera;Hombre;José Ribera;0.0;;;;;;;
Avenida Gregorio Prieto;Hombre;Gregorio Prieto;0.0;;;;;;;
Calle Juan de Robles;Hombre;Juan de Robles;0.0;;;;;;;
Calle del Corregidor Carlos Garafa;Hombre;Corregidor Carlos Garafa;0.0;;;;;;;
Calle de Frank Capra;Hombre;Frank Capra;0.0;;;;;;;
Avenida Parménides;Hombre;Parménides;0.0;;;;;;;
Calle Kandinsky;Hombre;Kandinsky;0.0;;;;;;;
Calle de Gustavo Pittaluga;Hombre;Gustavo Pittaluga;0.0;;;;;;;
Calle Hamlet;Hombre;Hamlet;0.0;;;;;;;
Calle Eugenio Gross;Hombre;Eugenio Gross;0.0;;;;;;;
Avenida Simón Bolivar;Hombre;Simón Bolivar;0.0;;;;;;;
Plaza Aparejador Federico Bermúdez;Hombre;Aparejador Federico Bermúdez;0.0;;;;;;;
Calle Alonso de Palencia;Hombre;Alonso de Palencia;0.0;;;;;;;1
Calle Cruz del Molinillo;Hombre;Cruz del Molinillo;0.0;;;;;;;1
Calle Béla Bartok;Hombre;Béla Bartok;0.0;;;;;;;
Avenida Luis Buñuel;Hombre;Luis Buñuel;0.0;;;;;;;
Avenida de Luis Buñuel;Hombre;Luis Buñuel;0.0;;;;;;;
Calle Mark Twain;Hombre;Mark Twain;0.0;;;;;;;
Calle Compositor Lehmberg Ruiz;Hombre;Compositor Lehmberg Ruiz;0.0;;;;;;;1
Calle Don Ricardo;Hombre;Don Ricardo;0.0;;;;;;;1
Calle Estébanez Calderón;Hombre;Estébanez Calderón;0.0;;;;;;;1
Calle Don Cristian;Hombre;Don Cristian;0.0;;;;;;;1
Plaza Herbert Von Karajan;Hombre;Herbert Von Karajan;0.0;;;;;;;
Calle Benjamin Britten;Hombre;Benjamin Britten;0.0;;;;;;;
