Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza de Josè Palomo;Hombre;Josè Palomo;0;;;;;;;1
Plaza de San Bernabè;Hombre;San Bernabè;1;;;;;;;1
Plaza Practicante Manuel Cantos;Hombre;Practicante Manuel Cantos;0;;;;;;;1
Plaza Joaquin Gomez Aguera;Hombre;Joaquin Gomez Aguera;0;;;;;;;1
Plaza Santo Sepulcro;Hombre;Santo Sepulcro;1;;;;;;;1
Plaza de los Reyes Católicos;NA;Reyes Católicos;0;;;;;;;1
Plaza Juan de la Rosa;Hombre;Juan de la Rosa;0;;;;;;;1
Plaza Marqués de Salamanca;Hombre;Marqués de Salamanca;0;;;;;;;1
Plaza Antonio Gavira Ruiz;Hombre;Antonio Gavira Ruiz;0;;;;;;;1
Plaza Romeros de San Bernabé;Hombre;Romeros de San Bernabé;0;;;;;;;1
Plaza González Badía;Hombre;González Badía;0;;;;;;;1
Plaza Fernando Alcalá;Hombre;Fernando Alcalá;0;;;;;;;1
Plaza Blas Infante;Hombre;Blas Infante;0;;;;;;;1
Avenida Arias de Velasco;Hombre;Arias de Velasco;0;;;;;;;1
Calle de José Meliá;Hombre;José Meliá;0;;;;;;;
Bulevar del Príncipe Alfonso de Hohenlohe;Hombre;Príncipe Alfonso de Hohenlohe;0;;;;;;;
Avenida Ricardo Soriano;Hombre;Ricardo Soriano;0;;;;;;;1
Calle Padre Paco Ostos;Hombre;Padre Paco Ostos;0;;;;;;;
calle San Antonio;Hombre;calle San Antonio;1;;;;;;;1
Avenida Duque de Lerma;Hombre;Duque de Lerma;0;;;;;;;1
calle Albinoni;Hombre;calle Albinoni;0;;;;;;;
Avenida Buchinger;Hombre;Buchinger;0;;;;;;;
Calle Verdi;Hombre;Verdi;0;;;;;;;
Calle de Cristóbal Colón;Hombre;Cristóbal Colón;0;;;;;;;
Avenida Tomás Pascual;Hombre;Tomás Pascual;0;;;;;;;
Calle San Bernabé;Hombre;San Bernabé;1;;;;;;;1
Avenida de Ramón y Cajal;Hombre;Ramón y Cajal;0;;;;;;;1
Avenida Diego Jiménez Lima;Hombre;Diego Jiménez Lima;0;;;;;;;
Callle Padre Paco Ostos;Hombre;Callle Padre Paco Ostos;0;;;;;;;
Avenida Antonio Belón;Hombre;Antonio Belón;0;;;;;;;1
Calle Carlos Macintosh;Hombre;Carlos Macintosh;0;;;;;;;1
Calle Francisco García Parra;Hombre;Francisco García Parra;0;;;;;;;1
Callejón del Santo Cristo;Hombre;Santo Cristo;1;;;;;;;1
Calle Juan Alameda;Hombre;Juan Alameda;0;;;;;;;1
Calle de Salvador Rueda;Hombre;Salvador Rueda;0;;;;;;;1
Calle Padre Francisco Echamendi;Hombre;Padre Francisco Echamendi;0;;;;;;;1
Puente Santo Cristo del Amor;Hombre;Santo Cristo del Amor;1;;;;;;;1
Calle de Ramón Gómez de la Serna;Hombre;Ramón Gómez de la Serna;0;;;;;;;1
Avenida Arias Maldonado;Hombre;Arias Maldonado;0;;;;;;;1
Pasaje Goyo;Hombre;Goyo;0;;;;;;;1
Calle Francisco Norte;Hombre;Francisco Norte;0;;;;;;;1
calle Ramiro Campos Turmo;Hombre;calle Ramiro Campos Turmo;0;;;;;;;1
Calle Notario Luis Oliver;Hombre;Notario Luis Oliver;0;;;;;;;1
calle Padre Enrique Cantos;Hombre;calle Padre Enrique Cantos;0;;;;;;;1
Calle Victor de la Serna;Hombre;Victor de la Serna;0;;;;;;;1
Avenida Dr Maíz Viñals;Hombre;Dr Maíz Viñals;0;;;;;;;1
Calle Alonso de Bazán;Hombre;Alonso de Bazán;0;;;;;;;1
Calle San Francisco;Hombre;San Francisco;1;;;;;;;1
Calle de Isaac Peral;Hombre;Isaac Peral;0;;;;;;;1
calle Enrique del Castillo;Hombre;calle Enrique del Castillo;0;;;;;;;1
Calle de Gregorio Marañón;Hombre;Gregorio Marañón;0;;;;;;;1
Calle de Pablo Casal;Hombre;Pablo Casal;0;;;;;;;1
Calle Azorín;Hombre;Azorín;0;;;;;;;1
Calle Estébanez Calderón;Hombre;Estébanez Calderón;0;;;;;;;
Calle Arturo Rubinstein;Hombre;Arturo Rubinstein;0;;;;;;;
Calle Ortiz de Molinillo;Hombre;Ortiz de Molinillo;0;;;;;;;1
Calle de San Lazaro;Hombre;San Lazaro;1;;;;;;;
Calle Principe;NA;Principe;0;;;;;;;1
Calle San Diego;Hombre;San Diego;1;;;;;;;1
Calle de Jacinto Benavente;Hombre;Jacinto Benavente;0;;;;;;;1
Avenida Jacinto Benavente;Hombre;Jacinto Benavente;0;;;;;;;1
Calle del Padre Joaquin Belón;Hombre;Padre Joaquin Belón;0;;;;;;;1
Calle Antonio Herrero;Hombre;Antonio Herrero;0;;;;;;;1
Avenida de Buchinger;Hombre;Buchinger;0;;;;;;;
Calle Maestro Don José Molina;Hombre;Maestro Don José Molina;0;;;;;;;
Calle Maestro Don José Alcalá;Hombre;Maestro Don José Alcalá;0;;;;;;;
Gta San Josemaría Escrivá de Balaguer;Hombre;Gta San Josemaría Escrivá de Balaguer;0;;;;;;;
Avenida Cánovas del Castillo;Hombre;Cánovas del Castillo;0;;;;;;;
Calle Poeta Muñoz Rojas;Hombre;Poeta Muñoz Rojas;0;;;;;;;
Calle Juan Breva;Hombre;Juan Breva;0;;;;;;;1
Avenida del Doctor Maíz Viñals;Hombre;Doctor Maíz Viñals;0;;;;;;;1
Calle Marqués de Linares;Hombre;Marqués de Linares;0;;;;;;;
calle Jose Luis Morales;Hombre;calle Jose Luis Morales;0;;;;;;;1
calle Rocío;NA;calle Rocío;0;;;;;;;1
Avenida de Severo Ochoa;Hombre;Severo Ochoa;0;;;;;;;1
Avenida General López Domínguez;Hombre;General López Domínguez;0;;;;;;;1
Calle Cristóbal Colón;Hombre;Cristóbal Colón;0;;;;;;;1
calle Pintor Pacheco;Hombre;calle Pintor Pacheco;0;;;;;;;1
Calle Alfredo Palma;Hombre;Alfredo Palma;0;;;;;;;
Calle Albéniz;Hombre;Albéniz;0;;;;;;;1
Calle Magallanes;Hombre;Magallanes;0;;;;;;;1
Calle Vicente Blasco Ibáñez;Hombre;Vicente Blasco Ibáñez;0;;;;;;;1
Avenida José Manuel Vallés;Hombre;José Manuel Vallés;0;;;;;;;
Calle Antonio Lizarra;Hombre;Antonio Lizarra;0;;;;;;;
calle Vázquez Clavel;Hombre;calle Vázquez Clavel;0;;;;;;;1
Calle Fray Agustín de San Pascual;Hombre;Fray Agustín de San Pascual;0;;;;;;;1
Calle Principe de Vergara;Hombre;Principe de Vergara;0;;;;;;;
Avenida Félix Rodríguez de la Fuente;Hombre;Félix Rodríguez de la Fuente;0;;;;;;;1
Avenida de Ricardo Soriano;Hombre;Ricardo Soriano;0;;;;;;;1
Calle Fernando VII;Hombre;Fernando VII;0;;;;;;;1
Calle Carlos III;Hombre;Carlos III;0;;;;;;;1
Avenida de Picasso;Hombre;Picasso;0;;;;;;;1
Avenida de José María Gironella;Hombre;José María Gironella;0;;;;;;;1
Calle Velázquez;Hombre;Velázquez;0;;;;;;;
Calle Roy Boston;Hombre;Roy Boston;0;;;;;;;
Calle Romero de Torres;Hombre;Romero de Torres;0;;;;;;;
Calle Goya;Hombre;Goya;0;;;;;;;
Paseo Alfonso Cañas Nogueras;Hombre;Alfonso Cañas Nogueras;0;;;;;;;1
calle Juan de Quijada;Hombre;calle Juan de Quijada;0;;;;;;;1
Calle Francisco Pedrazuela;Hombre;Francisco Pedrazuela;0;;;;;;;1
Calle Felipe II;Hombre;Felipe II;0;;;;;;;
calle Juan XXlll;Hombre;calle Juan XXlll;0;;;;;;;1
calle Juan Sebastián Elcano;Hombre;calle Juan Sebastián Elcano;0;;;;;;;1
Calle Pablo Iglesias;Hombre;Pablo Iglesias;0;;;;;;;1
Calle Presbítero Juan Anaya;Hombre;Presbítero Juan Anaya;0;;;;;;;1
Calle Antonio de Nebrija;Hombre;Antonio de Nebrija;0;;;;;;;1
Calle San Antonio;Hombre;San Antonio;1;;;;;;;1
calle Alonso de Ojeda;Hombre;calle Alonso de Ojeda;0;;;;;;;1
Calle Andrés Segovia;Hombre;Andrés Segovia;0;;;;;;;1
calle Fray Junípero Serra;Hombre;calle Fray Junípero Serra;0;;;;;;;1
Pasaje Picasso;Hombre;Picasso;0;;;;;;;1
Ortiz Osorio;Hombre;Ortiz Osorio;0;;;;;;;1
Urbano Sánchez;Hombre;Urbano Sánchez;0;;;;;;;1
calle San Juan Bosco;Hombre;calle San Juan Bosco;0;;;;;;;1
Calle Camilo José Cela;Hombre;Camilo José Cela;0;;;;;;;1
Avenida del Pintor Murillo;Hombre;Pintor Murillo;0;;;;;;;1
Calle Ganmedes;Hombre;Ganmedes;0;;;;;;;
Calle de Juan Sebastian Elcano;Hombre;Juan Sebastian Elcano;0;;;;;;;
Calle Nunez de Balboa;Hombre;Nunez de Balboa;0;;;;;;;
Calle Hernan Cortes;Hombre;Hernan Cortes;0;;;;;;;
Calle Pedro de Valdavia;Hombre;Pedro de Valdavia;0;;;;;;;
Calle Pizarro;Hombre;Pizarro;0;;;;;;;
calle Vasco Nuñez de Balboa;Hombre;calle Vasco Nuñez de Balboa;0;;;;;;;1
Calle Santo Domingo;Hombre;Santo Domingo;1;;;;;;;1
Vázquez Delgado;Hombre;Vázquez Delgado;0;;;;;;;1
calle Padre Espinosa;Hombre;calle Padre Espinosa;0;;;;;;;1
Avenida Duque de Ahumada;Hombre;Duque de Ahumada;0;;;;;;;1
Calle San Vicente;Hombre;San Vicente;1;;;;;;;1
Pasaje Salvador Allende;Hombre;Salvador Allende;0;;;;;;;
Pasaje Simón Bolivar;Hombre;Simón Bolivar;0;;;;;;;
Calle José Chacón;Hombre;José Chacón;0;;;;;;;1
calle Padre Salvador;Hombre;calle Padre Salvador;0;;;;;;;1
calle Poeta José Mª Cano;Hombre;calle Poeta José Mª Cano;0;;;;;;;1
Calle José Iturbi;Hombre;José Iturbi;0;;;;;;;1
Calle Padre Salvador Rueda;Hombre;Padre Salvador Rueda;0;;;;;;;1
calle Diego Méndez;Hombre;calle Diego Méndez;0;;;;;;;1
calle Gabriel Guerrero;Hombre;calle Gabriel Guerrero;0;;;;;;;
calle Pedro Artola;Hombre;calle Pedro Artola;0;;;;;;;1
Avenida de José Mª Torres Murciano;Hombre;José Mª Torres Murciano;0;;;;;;;1
Calle Javier Arraiza;Hombre;Javier Arraiza;0;;;;;;;1
calle Rodrigo de Triana;Hombre;calle Rodrigo de Triana;0;;;;;;;1
Calle Hermanos Belón;Hombre;Hermanos Belón;0;;;;;;;1
