Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaça de la Mancomunitat de Catalunya;NA;Mancomunitat de Catalunya;0.0;;;;;;;
Plaça del Tricentenari de la Guerra de Successió;NA;Tricentenari de la Guerra de Successió;0.0;;;;;;;
plaça del Pintor Cusachs;Hombre;Pintor Cusachs;0.0;;;;;;;
Plaça de Josep Novellas;Hombre;Josep Novellas;0.0;;;;;;;
Carrer de Josep Goday;Hombre;Josep Goday;0.0;;;;;;;
Carrer de Blai Parera;Hombre;Blai Parera;0.0;;;;;;;
Carrer de Martin Luther King;Hombre;Martin Luther King;0.0;;;;;;;
Carrer dels Mússics Cassadó;Hombre;Mússics Cassadó;0.0;;;;;;;
Carrer de Frank Marshall;Hombre;Frank Marshall;0.0;;;;;;;
Avinguda del Perú;NA;Perú;0.0;;;;;;;1
Carrer de Mèxic;NA;Mèxic;0.0;;;;;;;1
Carrer de Joan Miró;Hombre;Joan Miró;0.0;;;;;;;
Carrer de la Foneria;NA;Foneria;0.0;;;;;;;
Carrer de la Ciutat de Tàrrega;NA;Ciutat de Tàrrega;0.0;;;;;;;
Camí dels Caputxins;NA;Caputxins;0.0;;;;;;;1
Via Europa;NA;Europa;0.0;;;;;;;1
Carrer Hèl·lade;NA;Hèl·lade;0.0;;;;;;;
Carrer Pitàgores;NA;Pitàgores;0.0;;;;;;;
Carrer Fídies;NA;Fídies;0.0;;;;;;;
Carrer Arquímedes;Hombre;Arquímedes;0.0;;;;;;;
Riera de Cirera;NA;Riera de Cirera;0.0;;;;;;;1
ronda de Frederic Mistral;Hombre;ronda de Frederic Mistral;0.0;;;;;;;
Carrer de Fèlix Cucurull i Tey;Hombre;Fèlix Cucurull i Tey;0.0;;;;;;;
Avinguda dels Països Catalans;NA;Països Catalans;0.0;;;;;;;
Carrer Plató;Hombre;Plató;0.0;;;;;;;
Carrer Joan Salvat Papasseit;Hombre;Joan Salvat Papasseit;0.0;;;;;;;
Riera de Figuera Major;NA;Riera de Figuera Major;0.0;;;;;;;
Carrer Josep Vicenç Foix;Hombre;Josep Vicenç Foix;0.0;;;;;;;
Carrer Francesc Borja Moll;Hombre;Francesc Borja Moll;0.0;;;;;;;
Torrent d'en Pregària;NA;Torrent d'en Pregària;0.0;;;;;;;
Torrent de les Piques;NA;Torrent de les Piques;0.0;;;;;;;
Carrer Nicolau Guañabens;Hombre;Nicolau Guañabens;0.0;;;;;;;
Plaça de França;NA;França;0.0;;;;;;;
Plaça de la Gran Bretanya;NA;Gran Bretanya;0.0;;;;;;;
Carretera de Cirera;NA;Cirera;0.0;;;;;;;
Carrer d'Aristòtil;Hombre;Aristòtil;0.0;;;;;;;
Carrer Joaquím Torres;Hombre;Joaquím Torres;0.0;;;;;;;
Carrer Jaume Arenas;Hombre;Jaume Arenas;0.0;;;;;;;
Carrer Vista Alegre;NA;Vista Alegre;0.0;;;;;;;
Carrer Montait;NA;Montait;0.0;;;;;;;
Carrer Aristides Maillol;Hombre;Aristides Maillol;0.0;;;;;;;
Carrer Joan Oliver;Hombre;Joan Oliver;0.0;;;;;;;
Carrer Salvador Espriu;Hombre;Salvador Espriu;0.0;;;;;;;
Carrer Almeria;NA;Almeria;0.0;;;;;;;
Carrer Blanes;NA;Blanes;0.0;;;;;;;
Carrer Amadeu Vives;Hombre;Amadeu Vives;0.0;;;;;;;
Carrer Mare de Deu dels Àngels;Mujer;Virgen de los Ángeles;0.0;;Advocación de la Virgen María;https://es.wikipedia.org/wiki/Virgen_de_los_%C3%81ngeles;http://commons.wikimedia.org/wiki/Special:FilePath/Pere%20Serra%20-%20Virgin%20of%20the%20Angels%20-%20Google%20Art%20Project.jpg;;;
Carrer Timbaler del Bruc;Hombre;Timbaler del Bruc;0.0;;;;;;;
Carrer Caramelles;NA;Caramelles;0.0;;;;;;;
Carrer Mare de Deu de l'Esperança;Mujer;Mare de Deu de l'Esperança;0.0;;;;;;;1
Carrer Umbria;NA;Umbria;0.0;;;;;;;
Carrer Tres Tombs;NA;Tres Tombs;0.0;;;;;;;1
Carrer de Josep Pla;Hombre;Josep Pla;0.0;;;;;;;
Carrer d'Àustria;NA;Àustria;0.0;;;;;;;
Carrer Càceres;NA;Càceres;0.0;;;;;;;
Ronda de Joan Peiro;Hombre;Joan Peiro;0.0;;;;;;;
Torrent de la Pólvora;NA;Torrent de la Pólvora;0.0;;;;;;;
Carrer Muntanya;NA;Muntanya;0.0;;;;;;;
Carrer de Vallveric;NA;Vallveric;0.0;;;;;;;
Carrer de la Pagesia;NA;Pagesia;0.0;;;;;;;
Carrer de les Remences;NA;les Remences;0.0;;;;;;;
Carrer del Gènere de Punt;Hombre;Gènere de Punt;0.0;;;;;;;
Carrer de l'Energia;NA;l'Energia;0.0;;;;;;;
carrer de Galicia;NA;Galicia;0.0;;;;;;;
carretera de Cirera;NA;carretera de Cirera;0.0;;;;;;;
Carrer del Llevant;NA;Llevant;0.0;;;;;;;
Camí de Can Vilardell;NA;Can Vilardell;0.0;;;;;;;
Camí de la Cornisa;NA;Cornisa;0.0;;;;;;;
carrer del Pi Gros;NA;Pi Gros;0.0;;;;;;;
carrer del Rossinyol;NA;Rossinyol;0.0;;;;;;;
carrer del Xaloc;NA;Xaloc;0.0;;;;;;;
Carrer del Migjorn;NA;Migjorn;0.0;;;;;;;
carrer de Brussel·les;NA;Brussel·les;0.0;;;;;;;
Carrer de Brussel·les;NA;Brussel·les;0.0;;;;;;;
carrer de Lluís Viladevall;Hombre;Lluís Viladevall;0.0;;;;;;;
Camí del Valldeix;NA;Valldeix;0.0;;;;;;;
Carrer d'Andorra;NA;Andorra;0.0;;;;;;;
Carrer de la Creu dels Planells;NA;Creu dels Planells;0.0;;;;;;;
Carrer del Montnegre;NA;Montnegre;0.0;;;;;;;
Torrent de la Llebreta;NA;Torrent de la Llebreta;0.0;;;;;;;
Carrer del Matagalls;NA;Matagalls;0.0;;;;;;;
