Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle de Ariel;Mujer;Ariel;;;;;;;;
Avenida Mariana Pineda;Mujer;Mariana Pineda;;;Liberal española del siglo XIX;https://es.wikipedia.org/wiki/Mariana_Pineda;http://commons.wikimedia.org/wiki/Special:FilePath/Mariana%20pineda5.JPG;1804-09-01T00:00:00Z;1831-05-26T00:00:00Z;1
Calle de Ana Riaño López;Mujer;Ana Riaño López;;;;;;;;1
Callejón de Pandora;Mujer;Pandora;;1.0;;;;;;
Calle de Isabel II;Mujer;Isabel II de España;;;Reina de España (1833-1868);https://es.wikipedia.org/wiki/Isabel_II_de_Espa%C3%B1a;http://commons.wikimedia.org/wiki/Special:FilePath/Isabel%20de%20Borb%C3%B3n%20y%20Borb%C3%B3n-Dos%20Sicilias.jpg;1830-10-10T00:00:00Z;1904-04-09T00:00:00Z;
Avenida Duquesa de la Victoria;Mujer;Duquesa de la Victoria;;;;://es.wikipedia.org/wiki/Duquesa_de_la_Victoria;;;;1
Callejón Catalina Bárcena;Mujer;Catalina Bárcena;;;actriz española (1888-1978);https://es.wikipedia.org/wiki/Catalina_B%C3%A1rcena;http://commons.wikimedia.org/wiki/Special:FilePath/CATALINA%20BARCENA.jpg;1888-12-10T00:00:00Z;1978-08-03T00:00:00Z;
Calle María del Pilar Muñoz González;Mujer;María del Pilar Muñoz González;;;;;;;;1
Calle Carmen Conde Abellán;Mujer;Carmen Conde Abellán;;;;://es.wikipedia.org/wiki/Carmen_Conde;;;;1
Callejón Catalina Bárcena;Mujer;Catalina Bárcena;;;actriz española (1888-1978);https://es.wikipedia.org/wiki/Catalina_B%C3%A1rcena;http://commons.wikimedia.org/wiki/Special:FilePath/CATALINA%20BARCENA.jpg;1888-12-10T00:00:00Z;1978-08-03T00:00:00Z;
Calle Doña Marina;Mujer;La Malinche;;;personaje de la cultura mexica;https://es.wikipedia.org/wiki/La_Malinche;http://commons.wikimedia.org/wiki/Special:FilePath/MOM%20D093%20Donna%20Marina%20%28La%20Malinche%29.jpg;1500-01-01T00:00:00Z;1527-01-01T00:00:00Z;
Túnel de Santa Ana;Mujer;Santa Ana;1;;;://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa);;;;
Calle Augustina de Aragón;Mujer;Agustina de Aragón;;;Heroína española;https://es.wikipedia.org/wiki/Agustina_de_Arag%C3%B3n;http://commons.wikimedia.org/wiki/Special:FilePath/Agustina%20de%20aragon4red.jpg;1786-03-03T00:00:00Z;1857-05-29T00:00:00Z;1
Calle Acera Reina Regente;Mujer;Acera Reina Regente;;;;;;;;1
Calle Actriz Mercedes Vecino;Mujer;Mercedes Vecino;;;Actores y actrizes españoles;https://es.wikipedia.org/wiki/Mercedes_Vecino;http://commons.wikimedia.org/wiki/Special:FilePath/Mercedes%20Vecino%2043.jpg;1916-02-05T00:00:00Z;2004-08-28T00:00:00Z;1
Calle La Niña;Mujer;Niña;;;;;;;;1
Calle Canteras de Reina Regente;Mujer;Canteras de Reina Regente;;;;https://es.wikipedia.org/wiki/Reina_Regente_(1888);;;;1
Calle Sor Allegría;Mujer;Sor Allegría;1;;;;;;;1
Avenida Infanta Cristina de España;Mujer;Cristina de Borbón;;;Infanta de España;https://es.wikipedia.org/wiki/Cristina_de_Borb%C3%B3n;http://commons.wikimedia.org/wiki/Special:FilePath/Infanta%20Cristina%2C%20Duchess%20of%20Palma%20de%20Mallorca.jpg;1965-06-13T00:00:00Z;;
Calle de la Infanta Elena;Mujer;Elena de Borbón;;;Infanta de España, I Duquesa de Lugo;https://es.wikipedia.org/wiki/Elena_de_Borb%C3%B3n;http://commons.wikimedia.org/wiki/Special:FilePath/Elena%20de%20Borb%C3%B3n%20y%20Grecia.jpg;1963-12-20T00:00:00Z;;
Avenida las Tres Mujeres;Mujer;Tres Mujeres;;;;;;;;
Calle Covadonga;Mujer;Covadonga;1;;;https://es.wikipedia.org/wiki/Virgen_de_Covadonga;;;;1
Calle Consuelo Gonzalez Ramos;Mujer;Consuelo González Ramos;;;periodista, enfermera y feminista española;https://es.wikipedia.org/wiki/Consuelo_Gonz%C3%A1lez_Ramos;;1877-06-07T00:00:00Z;1956-01-01T00:00:00Z;
Bulevar Avenida Duquesa de la Victoria;Mujer;María del Carmen Angoloti y Mesa;;;noble española colaboradora de la Cruz Roja;https://es.wikipedia.org/wiki/Mar%C3%ADa_del_Carmen_Angoloti_y_Mesa;http://commons.wikimedia.org/wiki/Special:FilePath/1921-12-03%2C%20La%20Esfera%2C%20Duquesa%20de%20la%20Victoria%2C%20Gamonal%20%28cropped%29.jpg;1875-09-07T00:00:00Z;1959-11-04T00:00:00Z;1
Calle Augustina de Aragón;Mujer;Agustina de Aragón;;;Heroína española;https://es.wikipedia.org/wiki/Agustina_de_Arag%C3%B3n;http://commons.wikimedia.org/wiki/Special:FilePath/Agustina%20de%20aragon4red.jpg;1786-03-03T00:00:00Z;1857-05-29T00:00:00Z;1
Avenida Infantas de España;Mujer;Infantas de España;;;;;;;;
