Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Avenida de Iker Casillas;Hombre;Iker Casillas;0.0;;;;;;;1
Avenida Cosme García Sáenz;Hombre;Cosme García Sáenz;0.0;;;;;;;
Avenida Alcalde de Móstoles;Hombre;Alcalde de Móstoles;0.0;;;;;;;
Calle Pintor Velázquez;Hombre;Pintor Velázquez;0.0;;;;;;;1
Calle Juan de Ocaña;Hombre;Juan de Ocaña;0.0;;;;;;;1
Calle Cid Campeador;Hombre;Cid Campeador;0.0;;;;;;;1
Paseo de Goya;Hombre;Goya;0.0;;;;;;;1
Calle del Pintor Velázquez;Hombre;Pintor Velázquez;0.0;;;;;;;1
Calle Gran Capitán;Hombre;Gran Capitán;0.0;;;;;;;1
Calle Pintor Picasso;Hombre;Pintor Picasso;0.0;;;;;;;1
Avenida de Felipe II;Hombre;Felipe II;0.0;;;;;;;1
Calle de los Hermanos Pinzón;Hombre;Hermanos Pinzón;0.0;;;;;;;1
Calle Maldonado;Hombre;Maldonado;0.0;;;;;;;1
Calle San Antonio;Hombre;San Antonio;1.0;;;;;;;1
Calle Juan XXIII;Hombre;Juan XXIII;0.0;;;;;;;1
Calle de Andrés Torrejón;Hombre;Andrés Torrejón;0.0;;;;;;;1
Calle Benito Pérez Galdós;Hombre;Benito Pérez Galdós;0.0;;;;;;;1
Calle Hermanos Grimm;Hombre;Hermanos Grimm;0.0;;;;;;;
Calle Alonso Cano;Hombre;Alonso Cano;0.0;;;;;;;
Calle Magallanes;Hombre;Magallanes;0.0;;;;;;;1
Calle Rubens;Hombre;Rubens;0.0;;;;;;;1
Calle del Pintor Murillo;Hombre;Pintor Murillo;0.0;;;;;;;1
Calle del Camino del Obispo;Hombre;Camino del Obispo;0.0;;;;;;;
Calle Maestro;NA;Maestro;0.0;;;;;;;
Calle de Juan de la Cierva;Hombre;Juan de la Cierva;0.0;;;;;;;
Calle de Esteban Terradas;Hombre;Esteban Terradas;0.0;;;;;;;
Calle Juan de Juanes;Hombre;Juan de Juanes;0.0;;;;;;;1
Calle Benjamín Palencia;Hombre;Benjamín Palencia;0.0;;;;;;;1
Calle Julio Romero;Hombre;Julio Romero;0.0;;;;;;;1
Calle Pintor El Greco;Hombre;Pintor El Greco;0.0;;;;;;;1
Calle Juan Ramón Jiménez;Hombre;Juan Ramón Jiménez;0.0;;;;;;;1
Calle Bécquer;Hombre;Bécquer;0.0;;;;;;;1
Calle Narciso;Hombre;Narciso;0.0;;;;;;;
Calle Francisco Javier Sauquillo;Hombre;Francisco Javier Sauquillo;0.0;;;;;;;
