Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza Santa Catalina;Mujer;Catalina de Siena;1.0;;religiosa dominica y doctora de la Iglesia católica.;https://es.wikipedia.org/wiki/Catalina_de_Siena;http://commons.wikimedia.org/wiki/Special:FilePath/Catherine%20of%20Siena.jpg;1347-04-02T00:00:00Z;1380-05-07T00:00:00Z;1
Plaza Santa Eulalia;Mujer;Eulalia de Barcelona;1.0;;santa española;https://es.wikipedia.org/wiki/Eulalia_de_Barcelona;http://commons.wikimedia.org/wiki/Special:FilePath/Barcelona%20Cathedral%20Interior%20-%20Saint%20Eulalia%20of%20Barcelona%20by%20Pedro%20Garc%C3%ADa%20de%20Benavarre.jpg;0290-01-01T00:00:00Z;0303-01-01T00:00:00Z;1
Plaza Nuestra Señora de Lourdes;Mujer;Nuestra Señora de Lourdes;1.0;;Aparición Mariana;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Lourdes;http://commons.wikimedia.org/wiki/Special:FilePath/France-002009%20-%20Our%20Lady%20of%20Lourdes%20%2815774765182%29.jpg;;;1
Plaza Santa Gertrudis;Mujer;Santa Gertrudis;1.0;;;https://es.wikipedia.org/wiki/Gertrudis_Magna;;;;1
Calle Jara Carrillo;Hombre;Jara Carrillo;;;;;;;;1
Avenida Princesa Doña Letizia;Mujer;Princesa Doña Letizia;;;;https://es.wikipedia.org/wiki/Gertrudis_Magna;;;;
Calle Santa Clara;Mujer;Clara de Asís;1.0;;fundadora de las clarisas y santa de la Iglesia católica;https://es.wikipedia.org/wiki/Clara_de_As%C3%ADs;http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Claire%20of%20Assisi%2C%20Walters%20Art%20Museum.jpg;1193-01-01T00:00:00Z;1253-08-18T00:00:00Z;
Calle Santa Teresa;Mujer;Teresa de Jesús;1.0;;religiosa castellana;https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs;http://commons.wikimedia.org/wiki/Special:FilePath/Teresa%20de%20Jes%C3%BAs%20%28cropped%29.jpg;1515-04-07T00:00:00Z;1582-10-15T00:00:00Z;1
"""Calle de Isabel """"La Católica""""""";Mujer;Isabel I de Castilla;;;reina de la Corona Castellana (Castilla-León);https://es.wikipedia.org/wiki/Isabel_I_de_Castilla;http://commons.wikimedia.org/wiki/Special:FilePath/IsabellaofCastile03.jpg;1451-05-01T00:00:00Z;1504-12-06T00:00:00Z;
Plaza Nuestra Señora de Lourdes;Mujer;Nuestra Señora de Lourdes;1.0;;Aparición Mariana;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Lourdes;http://commons.wikimedia.org/wiki/Special:FilePath/France-002009%20-%20Our%20Lady%20of%20Lourdes%20%2815774765182%29.jpg;;;1
Calle de Cibeles;Mujer;Cibeles;;1.0;Diosa madre de origen anatolio;https://es.wikipedia.org/wiki/Cibeles;http://commons.wikimedia.org/wiki/Special:FilePath/Cibeles%20con%20Palacio%20de%20Linares%20closeup.jpg;;;
Avenida Nuestra Señora de Atocha;Mujer;Nuestra Señora de Atocha;1.0;;galeón de la Flota de India;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Atocha;http://commons.wikimedia.org/wiki/Special:FilePath/Sevilla%20Nuestra%20Se%C3%B1ora%20de%20Atocha%20Archivo%20General%20de%20Indias%2021-03-2011%2011-24-15.jpg;;;1
Calle Virgen de la Soledad;Mujer;Virgen de la Soledad;1.0;;;;;;;1
Calle Santa Virtudes;Mujer;Santa Virtudes;1.0;;;https://es.wikipedia.org/wiki/Virgen_de_las_Virtudes;;;;
Calle de la Virgen;Mujer;María en el islam;1.0;;María, la madre de Jesús, en el Corán y la fe islámica;https://es.wikipedia.org/wiki/Mar%C3%ADa_en_el_islam;http://commons.wikimedia.org/wiki/Special:FilePath/Virgin%20Mary%20and%20Jesus%20%28old%20Persian%20miniature%29.jpg;;;
Calle Dulcinea;Mujer;Dulcinea del Toboso;;1.0;personaje ficticio de la novela El ingenioso hidalgo don Quijote de la Mancha, escrita por Miguel de Cervantes;https://es.wikipedia.org/wiki/Dulcinea_del_Toboso;http://commons.wikimedia.org/wiki/Special:FilePath/1898-11-05%2C%20Blanco%20y%20Negro%2C%20En%20la%20Mancha%2C%20Dulcinea%20del%20Toboso%2C%20Cecilio%20Pla%20%28cropped%29.jpg;;;
Calle Virgen de los Dolores;Mujer;Virgen de los Dolores;1.0;;;;;;;
Calle Infanta Cristina;Mujer;Cristina de Borbón;;;Infanta de España;https://es.wikipedia.org/wiki/Cristina_de_Borb%C3%B3n;http://commons.wikimedia.org/wiki/Special:FilePath/Infanta%20Cristina%2C%20Duchess%20of%20Palma%20de%20Mallorca.jpg;1965-06-13T00:00:00Z;;1
Calle Santa Quiteria;Mujer;Quiteria;1.0;;santa y mártir cristiana del siglo II;https://es.wikipedia.org/wiki/Quiteria;http://commons.wikimedia.org/wiki/Special:FilePath/Quiter-higuer.jpg;0450-01-01T00:00:00Z;0477-05-26T00:00:00Z;1
Calle Madre Antonia María de Oviedo;Mujer;Antonia María de Oviedo y Schönthal;1.0;;pedagoga y religiosa suiza;https://es.wikipedia.org/wiki/Antonia_Mar%C3%ADa_de_Oviedo_y_Sch%C3%B6nthal;http://commons.wikimedia.org/wiki/Special:FilePath/La%20Madre%20Antonia.jpg;1822-03-16T00:00:00Z;1898-02-28T00:00:00Z;1
Calle Marie Curie;Mujer;Marie Curie;;;física y química polaco-francesa;https://es.wikipedia.org/wiki/Marie_Curie;http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Curie%20c.%201920s.jpg;1867-11-07T00:00:00Z;1934-07-04T00:00:00Z;
Calle Santa Gema;Mujer;Gema Galgani;1.0;;Santa pasionista italiana;https://es.wikipedia.org/wiki/Gema_Galgani;http://commons.wikimedia.org/wiki/Special:FilePath/Galg%20gem.jpg;1878-03-12T00:00:00Z;1903-04-11T00:00:00Z;
