Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Estrada de Castro de Beiro;Hombre;Castro de Beiro;0.0;;;;;;;
Praza de Eduardo Barreiros;Hombre;Eduardo Barreiros;0.0;;;;;;;1
Calle de José Antonio Moretón;Hombre;José Antonio Moretón;0.0;;;;;;;1
Avenida de Marín;NA;Marín;0.0;;;;;;;1
Rúa Doutor Temes;Hombre;Doutor Temes;0.0;;;;;;;1
Calle Curros Enríquez;Hombre;Curros Enríquez;0.0;;;;;;;1
Rúa Velázquez;Hombre;Velázquez;0.0;;;;;;;1
Avenida Alfonso Rodríguez Castelao;Hombre;Alfonso Rodríguez Castelao;0.0;;;;;;;1
Rúa de Eduardo Blanco Amor;Hombre;Eduardo Blanco Amor;0.0;;;;;;;1
Calle Ramón y Cajal;Hombre;Ramón y Cajal;0.0;;;;;;;1
Rúa Samuel Eijan;Hombre;Samuel Eijan;0.0;;;;;;;1
Rúa Curros Enríquez;Hombre;Curros Enríquez;0.0;;;;;;;1
Rúa Sáenz Díaz;Hombre;Sáenz Díaz;0.0;;;;;;;1
Celso Emilio Ferreiro;Hombre;Celso Emilio Ferreiro;0.0;;;;;;;1
Rúa Manuel Pereira;Hombre;Manuel Pereira;0.0;;;;;;;1
Rúa Ángel Barja;Hombre;Ángel Barja;0.0;;;;;;;1
Travesía Benito Vicetto;Hombre;Benito Vicetto;0.0;;;;;;;1
Calle Otero Pedrayo;Hombre;Otero Pedrayo;0.0;;;;;;;
Avenida Otero Pedrayo;Hombre;Otero Pedrayo;0.0;;;;;;;1
Praza Daniel González;Hombre;Daniel González;0.0;;;;;;;1
Rúa Isaac Piñeiro Varela;Hombre;Isaac Piñeiro Varela;0.0;;;;;;;1
Rúa de Xoán Vicente Viqueira;Hombre;Xoán Vicente Viqueira;0.0;;;;;;;
Rúa Castro Canseco;Hombre;Castro Canseco;0.0;;;;;;;1
Rúa Díaz de la Banda;Hombre;Díaz de la Banda;0.0;;;;;;;1
Calle Basilio Álvarez;Hombre;Basilio Álvarez;0.0;;;;;;;1
Calle Luis Trabazos;Hombre;Luis Trabazos;0.0;;;;;;;1
Rúa Luis Pimentel;Hombre;Luis Pimentel;0.0;;;;;;;
Rúa de Vasco da Ponte;Hombre;Vasco da Ponte;0.0;;;;;;;1
