Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Carmen Ruiz Tielv Arias;Mujer;Carmen Ruiz-Tilve;;;escritora española;https://es.wikipedia.org/wiki/Carmen_Ruiz-Tilve;;1941-04-19T00:00:00Z;;
Plaza Concha Heres;Mujer;Concha Heres;;;;https://ast.wikipedia.org/wiki/Concha_Heres;;;;1
Calle Concepción Arenal;Mujer;Concepción Arenal;;;escritora, abogada y proto-trabajadora social española;https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal;http://commons.wikimedia.org/wiki/Special:FilePath/Concepcion%20Arenal%201.jpg;1820-01-31T00:00:00Z;1893-02-04T00:00:00Z;1
Calle Amparo Pedregal;Mujer;Amparo Pedregal;;;;;;;;1
Calle Santa Teresa de Jesús;Mujer;Teresa de Jesús;1;;religiosa castellana;https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs;http://commons.wikimedia.org/wiki/Special:FilePath/Teresa%20de%20Jes%C3%BAs%20%28cropped%29.jpg;1515-04-07T00:00:00Z;1582-10-15T00:00:00Z;1
Santa Eulalia De Mérida;Mujer;Santa Eulalia De Mérida;1;;;https://es.wikipedia.org/wiki/Eulalia_de_Mérida;;;;
Calle Gloria Fuertes;Mujer;Gloria Fuertes;;;poeta española;https://es.wikipedia.org/wiki/Gloria_Fuertes;http://commons.wikimedia.org/wiki/Special:FilePath/GloriaFuertes.jpg;1917-07-28T00:00:00Z;1998-11-27T00:00:00Z;
Travesía de Santa Bárbara;Mujer;Bárbara de Nicomedia;1;;santa y mártir cristiana libanesa (273-306);https://es.wikipedia.org/wiki/B%C3%A1rbara_de_Nicomedia;http://commons.wikimedia.org/wiki/Special:FilePath/RAFAEL%20-%20Madonna%20Sixtina%20%28Gem%C3%A4ldegalerie%20Alter%20Meister%2C%20Dresden%2C%201513-14.%20%C3%93leo%20sobre%20lienzo%2C%20265%20x%20196%20cm%29%20%28cropped%29.jpg;0273-01-01T00:00:00Z;0306-01-01T00:00:00Z;1
Calle Lola Mateos;Mujer;Lola Mateos;;;profesora universitaria española;https://es.wikipedia.org/wiki/Lola_Mateos;;1942-12-24T00:00:00Z;2015-09-25T00:00:00Z;
Calle Etelvina García;Mujer;Etelvina García;;;;;;;;
