Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza de la Madre de Dios de la Salud;Mujer;Madre de Dios de la Salud;1;;;;;;;1
Mirador Remígia Caubet;Mujer;Remigia Caubet González;;;escultora española;https://es.wikipedia.org/wiki/Remigia_Caubet_Gonz%C3%A1lez;;1919-01-01T00:00:00Z;1997-01-01T00:00:00Z;
Plaza de Santa Eulalia;Mujer;Eulalia de Barcelona;1;;santa española;https://es.wikipedia.org/wiki/Eulalia_de_Barcelona;http://commons.wikimedia.org/wiki/Special:FilePath/Barcelona%20Cathedral%20Interior%20-%20Saint%20Eulalia%20of%20Barcelona%20by%20Pedro%20Garc%C3%ADa%20de%20Benavarre.jpg;0290-01-01T00:00:00Z;0303-01-01T00:00:00Z;1
Plaça de Santa Magdalena;Mujer;María Magdalena;1;;personaje de la Biblia, discípula de Jesús de Nazaret;https://es.wikipedia.org/wiki/Mar%C3%ADa_Magdalena;http://commons.wikimedia.org/wiki/Special:FilePath/Titian%20-%20The%20penitent%20magdalene%20%281565%29.jpg;;0100-01-01T00:00:00Z;1
Plaça de Santa Pagesa;Mujer;Santa Pagesa;1;;;;;;;
Placeta Encarnació Viñas;Mujer;Encarnació Viñas;;;;https://ca.wikipedia.org/wiki/Encarnaci%C3%B3_Vi%C3%B1as_Olivella;;;;
Plaza de la Reina;Mujer;Reina;;;;;;;;1
Carrer de la Reina Esclarmunda;Mujer;Reina Esclarmunda;;;;;;;;1
Carrer de Maria Anna Bonafé;Mujer;Maria Anna Bonafé;;;;;;;;
carrer de la Mare de Déu de Montserrat;Mujer;Virgen de Montserrat;1;;advocación mariana venerada en el monasterio de Monserrat;https://es.wikipedia.org/wiki/Virgen_de_Montserrat;http://commons.wikimedia.org/wiki/Special:FilePath/Verge.jpg;http://www.wikidata.org/.well-known/genid/131e4631015bb6d8660e845aabd04e48;;
Carrer de Santa Clara;Mujer;Clara de Asís;1;;fundadora de las clarisas y santa de la Iglesia católica;https://es.wikipedia.org/wiki/Clara_de_As%C3%ADs;http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Claire%20of%20Assisi%2C%20Walters%20Art%20Museum.jpg;1193-01-01T00:00:00Z;1253-08-18T00:00:00Z;1
