Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza de Margarita de Navarra;Mujer;Margarita de Angulema;;;Reina consorte de Navarra (1527-1549);https://es.wikipedia.org/wiki/Margarita_de_Angulema;http://commons.wikimedia.org/wiki/Special:FilePath/Marguerite%20d%27Angoul%C3%AAme%20by%20Jean%20Clouet.jpg;1492-04-20T00:00:00Z;1549-12-31T00:00:00Z;
Plaza de la Virgen de la O;Mujer;Virgen de la O;1.0;;;;;;;1
Plaza Juana García Orcoyen;Mujer;Juana García Orcoyen;;;;;;;;
Calle de Santa Lucía;Mujer;Lucía de Siracusa;1.0;;mártir cristiana;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa;http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Lucy%20by%20Domenico%20di%20Pace%20Beccafumi.jpg;0283-01-01T00:00:00Z;0304-01-01T00:00:00Z;
Cuesta de La Reina;Mujer;Reina;;;;;;;;1
Calle Santa Vicenta María;Mujer;Vicenta María López y Vicuña;1.0;;religiosa católica española, fundadora de la Congregación de las Religiosas de María Inmaculada.;https://es.wikipedia.org/wiki/Vicenta_Mar%C3%ADa_L%C3%B3pez_y_Vicu%C3%B1a;http://commons.wikimedia.org/wiki/Special:FilePath/VicentaLopezVicu%C3%B1a.jpg;1847-03-22T00:00:00Z;1890-12-26T00:00:00Z;
Calle María Domínguez;Mujer;María Domínguez;;;periodista, poeta y política española;https://es.wikipedia.org/wiki/Mar%C3%ADa_Dom%C3%ADnguez;http://commons.wikimedia.org/wiki/Special:FilePath/Mar%C3%ADa%20Dom%C3%ADnguez%20Rem%C3%B3n.jpg;1882-04-01T00:00:00Z;1936-09-07T00:00:00Z;
Calle Leonor de Aquitania;Mujer;Leonor de Aquitania;;;Duquesa de Aquitania;https://es.wikipedia.org/wiki/Leonor_de_Aquitania;http://commons.wikimedia.org/wiki/Special:FilePath/Queen%20Eleanor%20%28Frederick%20Sandys%2C%201858%29.jpg;1122-01-01T00:00:00Z;1204-04-01T00:00:00Z;
Calle de la Virgen del Villar;Mujer;Virgen del Villar;1.0;;;;;;;
Calle de la Virgen del Puy;Mujer;Virgen del Puy;1.0;;;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_del_Puy;;;;
Calle de Carmen Baroja Nessi;Mujer;Carmen Baroja;;;escritora y etnóloga española;https://es.wikipedia.org/wiki/Carmen_Baroja;;1883-12-10T00:00:00Z;1950-06-04T00:00:00Z;
Calle de la Merced;Mujer;Virgen de la Merced o de la Misericordia;1.0;;advocación de la Virgen;https://es.wikipedia.org/wiki/Virgen_de_la_Merced;http://commons.wikimedia.org/wiki/Special:FilePath/Soho%2C%20Notre%20Dame%20De%20France%20Church%2C%20Statue%20of%20Our%20Lady%20of%20Mercy.jpg;;;1
Calle de Santa Alodia;Mujer;Alodia y Nunilo;1.0;;hermanas mártires y santas católicas;https://es.wikipedia.org/wiki/Alodia_y_Nunilo;http://commons.wikimedia.org/wiki/Special:FilePath/Alqu%C3%A9zar%20-%20relieve%20en%20la%20subida%20a%20la%20Colegiata.jpg;;0851-10-21T00:00:00Z;1
Calle de María Auxiliadora;Mujer;María Auxiliadora;1.0;;título dado a la Virgen María por los cristianos;https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora;;;;
Calle de Santa Nunila;Mujer;Santa Nunila;1.0;;;;;;;1
Plaza de Santa Teresa de Jesús;Mujer;Teresa de Jesús;1.0;;religiosa castellana;https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs;http://commons.wikimedia.org/wiki/Special:FilePath/Teresa%20de%20Jes%C3%BAs%20%28cropped%29.jpg;1515-04-07T00:00:00Z;1582-10-15T00:00:00Z;
