Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaça de Prim;Hombre;Prim;0.0;;;;;;;1
Carrer de Jesus;Hombre;Jesus;0.0;;;;;;;1
Carrer del Pubill Oriol;Hombre;Pubill Oriol;0.0;;;;;;;1
Plaça d'Evarist Fàbregas;Hombre;Evarist Fàbregas;0.0;;;;;;;1
Plaça d'Enric Yzaguirre;Hombre;Enric Yzaguirre;0.0;;;;;;;1
Plaça de Sant Francesc;Hombre;Sant Francesc;1.0;;;;;;;1
Plaça de Martí Napolità;Hombre;Martí Napolità;0.0;;;;;;;1
Plaça de Lluís Domènech i Montaner;Hombre;Lluís Domènech i Montaner;0.0;;;;;;;1
Plaça de l'Arquitecte Antoni Sardà i Moltó;Hombre;l'Arquitecte Antoni Sardà i Moltó;0.0;;;;;;;1
Plaça del Dr. Francesc Tosquelles;Hombre;Dr. Francesc Tosquelles;0.0;;;;;;;1
Plaça de Josep Anselm Clavé;Hombre;Josep Anselm Clavé;0.0;;;;;;;1
Plaça de Comte de Reus;Hombre;Comte de Reus;0.0;;;;;;;1
Plaça de Salvador Allende;Hombre;Salvador Allende;0.0;;;;;;;
Plaça de Sant Miquel;Hombre;Sant Miquel;1.0;;;;;;;1
Carrer de Valentí Almirall;Hombre;Valentí Almirall;0.0;;;;;;;1
Plaça del Doctor Antoni Sabater;Hombre;Doctor Antoni Sabater;0.0;;;;;;;1
Plaça del Víctor;Hombre;Víctor;0.0;;;;;;;1
Plaça d'Antoni Gaudí;Hombre;Antoni Gaudí;0.0;;;;;;;
Plaça de Morlius;Hombre;Morlius;0.0;;;;;;;1
Placeta del Bernat de Cabrera;Hombre;Bernat de Cabrera;0.0;;;;;;;1
Plaça de l'alcalde Anton Borrell;Hombre;l'alcalde Anton Borrell;0.0;;;;;;;1
Carrer Major;NA;Major;0.0;;;;;;;1
Raval de Jesus;Hombre;Raval de Jesus;0.0;;;;;;;1
Raval de Martí Folguera;Hombre;Raval de Martí Folguera;0.0;;;;;;;1
Raval de Sant Pere;Hombre;Raval de Sant Pere;1.0;;;;;;;1
Avinguda de Marià Fortuny;Hombre;Marià Fortuny;0.0;;;;;;;1
Riera de Miró;Hombre;Riera de Miró;0.0;;;;;;;1
Avinguda de Jaume I;Hombre;Jaume I;0.0;;;;;;;1
Plaça Comte de Reus;Hombre;Comte de Reus;0.0;;;;;;;1
Plaça Nen de les Oques;Hombre;Nen de les Oques;0.0;;;;;;;1
Plaça Joan Rebull;Hombre;Joan Rebull;0.0;;;;;;;1
Avinguda de Sant Jordi;Hombre;Sant Jordi;1.0;;;;;;;1
Carrer Sant Joan;Hombre;Sant Joan;1.0;;;;;;;1
Carrer Bisbe Borràs;Hombre;Bisbe Borràs;0.0;;;;;;;1
Plaça de Gandhi;Hombre;Gandhi;0.0;;;;;;;1
Carrer de Ricard Artiga i Esplugas;Hombre;Ricard Artiga i Esplugas;0.0;;;;;;;1
Carrer del Pare Manyanet;Hombre;Pare Manyanet;0.0;;;;;;;1
Carrer de Xavier Gambús;Hombre;Xavier Gambús;0.0;;;;;;;1
Carrer d'Antoni de Bofarull;Hombre;Antoni de Bofarull;0.0;;;;;;;1
Carrer de l'Alcalde Joan Bertran;Hombre;l'Alcalde Joan Bertran;0.0;;;;;;;1
Carrer de Zorrilla;Hombre;Zorrilla;0.0;;;;;;;1
Carrer de Joan Maragall;Hombre;Joan Maragall;0.0;;;;;;;1
Avinguda del Doctor Vilaseca;Hombre;Doctor Vilaseca;0.0;;;;;;;1
Carrer de Lepant;NA;Lepant;0.0;;;;;;;1
Carrer del Doctor Ferran;Hombre;Doctor Ferran;0.0;;;;;;;1
Carrer del Doctor Jaume Peyrí;Hombre;Doctor Jaume Peyrí;0.0;;;;;;;1
Carrer de Romaní;NA;Romaní;0.0;;;;;;;
Carrer de l'Alcalde Pascual;Hombre;l'Alcalde Pascual;0.0;;;;;;;1
Carrer de Robert Gerhard;Hombre;Robert Gerhard;0.0;;;;;;;
Plaça de Celdoni Vilà i Torroja;Hombre;Celdoni Vilà i Torroja;0.0;;;;;;;
Carrer de Balmes;Hombre;Balmes;0.0;;;;;;;1
Plaça d'Antoni de Villarroel;Hombre;Antoni de Villarroel;0.0;;;;;;;1
Carrer d'Eduard Toda;Hombre;Eduard Toda;0.0;;;;;;;1
Carrer de Josep Maria Prous i Vila;Hombre;Josep Maria Prous i Vila;0.0;;;;;;;1
Carrer de Ramón J. Sender;Hombre;Ramón J. Sender;0.0;;;;;;;1
Avinguda de Sant Bernat Calbó;Hombre;Sant Bernat Calbó;1.0;;;;;;;
Carrer de Macià Vila;Hombre;Macià Vila;0.0;;;;;;;1
Avinguda de Josep Pla;Hombre;Josep Pla;0.0;;;;;;;1
Avinguda de Pere el Cerimoniós;Hombre;Pere el Cerimoniós;0.0;;;;;;;1
Carrer del Metge Fortuny;Hombre;Metge Fortuny;0.0;;;;;;;1
Carrer de Salvador Espriu;Hombre;Salvador Espriu;0.0;;;;;;;1
Carrer Corredor del Gas;Hombre;Corredor del Gas;0.0;;;;;;;1
Avinguda del President Macià;Hombre;President Macià;0.0;;;;;;;1
