Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaça de Josep Esquirol;Hombre;Josep Esquirol;0;;;;;;;
Plaça de Josep Masllovet;Hombre;Josep Masllovet;0;;;;;;;
Plaça de Pompeu Fabra;Hombre;Pompeu Fabra;0;;;;;;;
Avinguda de Francesc Macià;Hombre;Francesc Macià;0;;;;;;;
Avinguda de l'Alcalde Moix;Hombre;l'Alcalde Moix;0;;;;;;;
Carrer del Comte d'Urgell;Hombre;Comte d'Urgell;0;;;;;;;
Carrer del Pare Rodés;Hombre;Pare Rodés;0;;;;;;;
Carrer Major;NA;Major;0;;;;;;;
Carrer de Prat de la Riba;Hombre;Prat de la Riba;0;;;;;;;
Avinguda de Lluís Companys;Hombre;Lluís Companys;0;;;;;;;
Avinguda de Josep Tarradellas;Hombre;Josep Tarradellas;0;;;;;;;
Avinguda de Can Déu;NA;Can Déu;0;;;;;;;
Avinguda de Francesc Traball;Hombre;Francesc Traball;0;;;;;;;
Carrer de Francesc Layret;Hombre;Francesc Layret;0;;;;;;;
Carrer de Primo Levi;Hombre;Primo Levi;0;;;;;;;
Carrer de l'Alcalde Ribé;Hombre;l'Alcalde Ribé;0;;;;;;;
Carrer de Berenguer el Gran;Hombre;Berenguer el Gran;0;;;;;;;
Passeig de San Sebastian de los Ballesteros;Hombre;San Sebastian de los Ballesteros;1;;;;;;;
Carrer de Prudenci;Hombre;Prudenci;0;;;;;;;
Carrer de Sant Isidor;Hombre;Sant Isidor;1;;;;;;;
Carrer de Corneli Nepos;Hombre;Corneli Nepos;0;;;;;;;
Carrer d'Ovidi;Hombre;Ovidi;0;;;;;;;
Carrer de Petrarca;Hombre;Petrarca;0;;;;;;;
Carrer de Plini el Vell;Hombre;Plini el Vell;0;;;;;;;
Carrer de Persi;Hombre;Persi;0;;;;;;;
Carrer d'Aristòtil;Hombre;Aristòtil;0;;;;;;;
Carrer de Ramon Sibiuda;Hombre;Ramon Sibiuda;0;;;;;;;
Carrer de Marcial;Hombre;Marcial;0;;;;;;;
Carrer del Doctor Balcells;Hombre;Doctor Balcells;0;;;;;;;
