Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza del Maestro Antonio Gómez;Hombre;Maestro Antonio Gómez;0.0;;;;;;;
Avenida Juan Pablo II;Hombre;Juan Pablo II;0.0;;;;;;;
Avenida José Núñez Larráz;Hombre;José Núñez Larráz;0.0;;;;;;;
Avenida Luis de Camoens;Hombre;Luis de Camoens;0.0;;;;;;;
Rotonda de San Miguel de Valero;Hombre;San Miguel de Valero;1.0;;;;;;;
Calle Vicente Beltrán de Heredia;Hombre;Vicente Beltrán de Heredia;0.0;;;;;;;
Calle José de Lamano Beneite;Hombre;José de Lamano Beneite;0.0;;;;;;;
Calle Pedro Gutiérrez;Hombre;Pedro Gutiérrez;0.0;;;;;;;
Avenida Obispo Sancho de Castilla;Hombre;Obispo Sancho de Castilla;0.0;;;;;;;
Avenida de Mariano Rodríguez Sánchez;Hombre;Mariano Rodríguez Sánchez;0.0;;;;;;;
Avenida Fernando Pessoa;Hombre;Fernando Pessoa;0.0;;;;;;;
Calle Fray Bernardino de Sahagún;Hombre;Fray Bernardino de Sahagún;0.0;;;;;;;
Calle Antonio Ponz;Hombre;Antonio Ponz;0.0;;;;;;;
Calle Pedro Chacón;Hombre;Pedro Chacón;0.0;;;;;;;
Calle Manuel Ramos Andrade;Hombre;Manuel Ramos Andrade;0.0;;;;;;;
Calle Richard Ford;Hombre;Richard Ford;0.0;;;;;;;
Calle Zacarías González;Hombre;Zacarías González;0.0;;;;;;;
Calle Lorenzo Niño;Hombre;Lorenzo Niño;0.0;;;;;;;
Calle Jesús García Bernalt;Hombre;Jesús García Bernalt;0.0;;;;;;;
Calle Lamberto de Echeverría;Hombre;Lamberto de Echeverría;0.0;;;;;;;
Paseo Enrique de Sena;Hombre;Enrique de Sena;0.0;;;;;;;
Calle Gustavo Doré;Hombre;Gustavo Doré;0.0;;;;;;;
Calle Doctor Miguel Moraza;Hombre;Doctor Miguel Moraza;0.0;;;;;;;
Calle William Bradford;Hombre;William Bradford;0.0;;;;;;;
Calle Richard Twiss;Hombre;Richard Twiss;0.0;;;;;;;
Calle Jerónimo Münzer;Hombre;Jerónimo Münzer;0.0;;;;;;;
Calle Antonio Llorente Maldonado;Hombre;Antonio Llorente Maldonado;0.0;;;;;;;
Calle George Borrow;Hombre;George Borrow;0.0;;;;;;;
Calle Pintor Fernando Gallego;Hombre;Pintor Fernando Gallego;0.0;;;;;;;
Calle Papa Luna;Hombre;Papa Luna;0.0;;;;;;;
Calle Fernando Población;Hombre;Fernando Población;0.0;;;;;;;
Avenida Alfonso XI;Hombre;Alfonso XI;0.0;;;;;;;
Glorieta Obispo de Bobadilla;Hombre;Obispo de Bobadilla;0.0;;;;;;;
Avenida Padre Ignacio Ellacuría;Hombre;Padre Ignacio Ellacuría;0.0;;;;;;;
Paseo Florencio Marcos;Hombre;Florencio Marcos;0.0;;;;;;;
Calle Lorenzo González Iglesias;Hombre;Lorenzo González Iglesias;0.0;;;;;;;
Calle Tomás Rodríguez Pinilla;Hombre;Tomás Rodríguez Pinilla;0.0;;;;;;;
Calle Padre Morán;Hombre;Padre Morán;0.0;;;;;;;
Calle Conde de Vallellano;Hombre;Conde de Vallellano;0.0;;;;;;;
Calle Tizziano;Hombre;Tizziano;0.0;;;;;;;
Calle Francisco Montejo;Hombre;Francisco Montejo;0.0;;;;;;;
Calle Francisco Maldonado;Hombre;Francisco Maldonado;0.0;;;;;;;
Calle Luis Sala Balust;Hombre;Luis Sala Balust;0.0;;;;;;;
Paseo Fernando Araujo;Hombre;Fernando Araujo;0.0;;;;;;;
Calle Gil González Dávila;Hombre;Gil González Dávila;0.0;;;;;;;
Calle Bernardo Dorado;Hombre;Bernardo Dorado;0.0;;;;;;;
Calle Obispo Don Jerónimo;Hombre;Obispo Don Jerónimo;0.0;;;;;;;
Calle Sánchez Ruano;Hombre;Sánchez Ruano;0.0;;;;;;;
Calle Aldasoro Quijano;Hombre;Aldasoro Quijano;0.0;;;;;;;
Calle Pascual Madoz;Hombre;Pascual Madoz;0.0;;;;;;;
Plaza de Ladislao Sánchez;Hombre;Ladislao Sánchez;0.0;;;;;;;
Calle de Victorio Macho;Hombre;Victorio Macho;0.0;;;;;;;
Calle Fray Diego Tadeo González;Hombre;Fray Diego Tadeo González;0.0;;;;;;;
Calle José Cadalso;Hombre;José Cadalso;0.0;;;;;;;
Calle de Francisco Gallego;Hombre;Francisco Gallego;0.0;;;;;;;
Calle Bachiller Finardo Valerio;Hombre;Bachiller Finardo Valerio;0.0;;;;;;;
Calle Arquitecto Repullés y Vargas;Hombre;Arquitecto Repullés y Vargas;0.0;;;;;;;
Calle Poeta Jesús Rasueros;Hombre;Poeta Jesús Rasueros;0.0;;;;;;;
Calle de Juan Miguel;Hombre;Juan Miguel;0.0;;;;;;;
Calle Luis Bello;Hombre;Luis Bello;0.0;;;;;;;
Calle Martín Alonso Pedraz;Hombre;Martín Alonso Pedraz;0.0;;;;;;;
Calle Jean Laurent;Hombre;Jean Laurent;0.0;;;;;;;
Calle Girolamo da Sommaia;Hombre;Girolamo da Sommaia;0.0;;;;;;;
Calle de Luis Anaya;Hombre;Luis Anaya;0.0;;;;;;;
Calle Lucas Fernández;Hombre;Lucas Fernández;0.0;;;;;;;
Calle Vargas Zúñiga;Hombre;Vargas Zúñiga;0.0;;;;;;;
Calle Juan Maluquer;Hombre;Juan Maluquer;0.0;;;;;;;
Calle Henry Collet;Hombre;Henry Collet;0.0;;;;;;;
Calle John Dalton;Hombre;John Dalton;0.0;;;;;;;
Calle Adolfo Suárez;Hombre;Adolfo Suárez;0.0;;;;;;;
Calle Antonio López Borrasca;Hombre;Antonio López Borrasca;0.0;;;;;;;
Calle Antonio Colinas Lobato;Hombre;Antonio Colinas Lobato;0.0;;;;;;;
Calle Emilio Alarcos;Hombre;Emilio Alarcos;0.0;;;;;;;
Plaza del Maestro Manuel de Sena;Hombre;Maestro Manuel de Sena;0.0;;;;;;;
Calle Felipe Bertrán;Hombre;Felipe Bertrán;0.0;;;;;;;
Calle San Ildefonso;Hombre;San Ildefonso;1.0;;;;;;;
Calle San Ernesto;Hombre;San Ernesto;1.0;;;;;;;
Calle Concepción Ruiz Burón;Hombre;Concepción Ruiz Burón;0.0;;;;;;;
Calle del Río Tormes;Hombre;Río Tormes;0.0;;;;;;;
Calle Ignacio Zuloaga;Hombre;Ignacio Zuloaga;0.0;;;;;;;
Plaza Ramiro II;Hombre;Ramiro II;0.0;;;;;;;
"""Calle Manuel Álvarez """"El Griego""""""";Hombre;"""Manuel Álvarez """"El Griego""""""";0.0;;;;;;;
Avenida Felipe III;Hombre;Felipe III;0.0;;;;;;;
Glorieta Juan José Hidalgo Acera;Hombre;Juan José Hidalgo Acera;0.0;;;;;;;
Calle Manuel Fernández Álvarez;Hombre;Manuel Fernández Álvarez;0.0;;;;;;;
Glorieta Julio González;Hombre;Julio González;0.0;;;;;;;
Glorieta Tomás Francisco Prieto;Hombre;Tomás Francisco Prieto;0.0;;;;;;;
Calle Luciano González Egido;Hombre;Luciano González Egido;0.0;;;;;;;
Calle Antonio Fernández Alba;Hombre;Antonio Fernández Alba;0.0;;;;;;;
Calle Olegario González de Cardedal;Hombre;Olegario González de Cardedal;0.0;;;;;;;
Avenida Juan de Álava;Hombre;Juan de Álava;0.0;;;;;;;
Calle Santiago Diego Madrazo;Hombre;Santiago Diego Madrazo;0.0;;;;;;;
Paseo Luis Cortés;Hombre;Luis Cortés;0.0;;;;;;;
Paseo César Real de la Riva;Hombre;César Real de la Riva;0.0;;;;;;;
Calle Juan Ruiz Peña;Hombre;Juan Ruiz Peña;0.0;;;;;;;
Calle Mariano Arés y Sanz;Hombre;Mariano Arés y Sanz;0.0;;;;;;;
Paseo Alejandro Carnicero;Hombre;Alejandro Carnicero;0.0;;;;;;;
Glorieta de San Marcelino Champagnat;Hombre;San Marcelino Champagnat;1.0;;;;;;;
Calle Bartolomé de las Casas;Hombre;Bartolomé de las Casas;0.0;;;;;;;
"""Glorieta de Don Enrique """"El Navegante""""""";Hombre;"""Don Enrique """"El Navegante""""""";0.0;;;;;;;
Calle Miguel Torga;Hombre;Miguel Torga;0.0;;;;;;;
Calle Federico de Onís;Hombre;Federico de Onís;0.0;;;;;;;
Calle José Luis de Celis;Hombre;José Luis de Celis;0.0;;;;;;;
Avenida del Doctor Ramos del Manzano;Hombre;Doctor Ramos del Manzano;0.0;;;;;;;
Paseo Francisco Tomás y Valiente;Hombre;Francisco Tomás y Valiente;0.0;;;;;;;
Calle del Beato Alonso de Orozco;Hombre;Beato Alonso de Orozco;0.0;;;;;;;
Calle Barón de Rosmithal;Hombre;Barón de Rosmithal;0.0;;;;;;;
Calle Eugenio de Castro;Hombre;Eugenio de Castro;0.0;;;;;;;
Plaza del Poeta Claudio Rodríguez;Hombre;Poeta Claudio Rodríguez;0.0;;;;;;;1
Plaza de San Román;Hombre;San Román;1.0;;;;;;;1
Plaza Corralillo de Santo Tomás;Hombre;Corralillo de Santo Tomás;0.0;;;;;;;1
Plaza de San Blas;Hombre;San Blas;1.0;;;;;;;1
Plaza de San Isidro;Hombre;San Isidro;1.0;;;;;;;1
Pabellón de San Martín;NA;Pabellón de San Martín;1.0;;;;;;;1
Portales de San Antonio;NA;Portales de San Antonio;1.0;;;;;;;1
Plaza Juan XXIII;Hombre;Juan XXIII;0.0;;;;;;;1
Plaza de San Boal;Hombre;San Boal;1.0;;;;;;;1
Plaza del Empresario;NA;Empresario;0.0;;;;;;;1
Paseo del Rector Esperabé;Hombre;Rector Esperabé;0.0;;;;;;;1
"""Glorieta Santiago Martín """"El Viti""""""";Hombre;"""Santiago Martín """"El Viti""""""";0.0;;;;;;;
Puente de Sánchez Fabrés;Hombre;Sánchez Fabrés;0.0;;;;;;;1
Calle de San Gregorio;Hombre;San Gregorio;1.0;;;;;;;1
Avenida de los Reyes de España;Hombre;Reyes de España;0.0;;;;;;;1
Glorieta del Obispo Mauro Rubio;Hombre;Obispo Mauro Rubio;0.0;;;;;;;
Calle García Tejado;Hombre;García Tejado;0.0;;;;;;;1
Calle Ramón y Cajal;Hombre;Ramón y Cajal;0.0;;;;;;;1
Cuesta de San Blas;Hombre;San Blas;1.0;;;;;;;1
Plaza del Botánico;NA;Botánico;0.0;;;;;;;1
Calle Cervantes;Hombre;Cervantes;0.0;;;;;;;1
Plaza de Fray Luis de León;Hombre;Fray Luis de León;0.0;;;;;;;1
Plazuela de San Bartolomé;Hombre;San Bartolomé;1.0;;;;;;;1
Avenida de San Agustín;Hombre;San Agustín;1.0;;;;;;;
Puente de Enrique Estevan;Hombre;Enrique Estevan;0.0;;;;;;;1
Calle de Benito Pérez Galdós;Hombre;Benito Pérez Galdós;0.0;;;;;;;1
Calle Juan de la Fuente;Hombre;Juan de la Fuente;0.0;;;;;;;1
Glorieta de Gran Capitán;Hombre;Gran Capitán;0.0;;;;;;;
Puente Juan Carlos I;Hombre;Juan Carlos I;0.0;;;;;;;
"""Avenida Fernando III """"El Santo""""""";Hombre;"""Fernando III """"El Santo""""""";0.0;;;;;;;
Calle Álvaro Gil;Hombre;Álvaro Gil;0.0;;;;;;;1
Avenida Federico Anaya;Hombre;Federico Anaya;0.0;;;;;;;
Avenida de Gonzalo Torrente Ballester;Hombre;Gonzalo Torrente Ballester;0.0;;;;;;;
Glorieta de Julio Robles;Hombre;Julio Robles;0.0;;;;;;;
Calle Fray Luis de Granada;Hombre;Fray Luis de Granada;0.0;;;;;;;1
Calle Muñoz Torrero;Hombre;Muñoz Torrero;0.0;;;;;;;1
Calle Íscar Peyra;Hombre;Íscar Peyra;0.0;;;;;;;1
