Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Jacques Cousteau Plaza;Hombre;Jacques Cousteau Plaza;0;;;;;;;1
Batería de Napoleón;Hombre;Batería de Napoleón;0;;;;;;;1
Batería de Santiago;Hombre;Batería de Santiago;0;;;;;;;1
Batería del Gobernador;Hombre;Batería del Gobernador;0;;;;;;;1
Julio Caro Baroja Plaza;Hombre;Julio Caro Baroja Plaza;0;;;;;;;
Plaza de Karlos Santamaría;Hombre;Karlos Santamaría;0;;;;;;;
Aita Vinuesa plaza;Hombre;Aita Vinuesa plaza;0;;;;;;;
Aita Meagher plaza;Hombre;Aita Meagher plaza;0;;;;;;;
Louis-L Bonaparte plaza;Hombre;Louis-L Bonaparte plaza;0;;;;;;;
Koruko Andre Mariaren kalea;Hombre;Koruko Andre Mariaren kalea;0;;;;;;;1
Paseo Eduardo Chillida;Hombre;Eduardo Chillida;0;;;;;;;
Calle del Infante Jaime;Hombre;Infante Jaime;0;;;;;;;
Calle del Infante Juan;Hombre;Infante Juan;0;;;;;;;
Paseo de Igueldo;NA;Igueldo;0;;;;;;;
Calle de San Juan de Pie de Puerto;Hombre;San Juan de Pie de Puerto;1;;;;;;;
Calle San Martín;Hombre;San Martín;1;;;;;;;1
Serrano Anguita kalea;Hombre;Serrano Anguita kalea;0;;;;;;;
Calle Juan de Garay;Hombre;Juan de Garay;0;;;;;;;
Calle del músico Guridi;Hombre;músico Guridi;0;;;;;;;
Calle Resurreción María de Azkue;Hombre;Resurreción María de Azkue;0;;;;;;;
Calle Xalbador bertsolaria kalea;Hombre;Xalbador bertsolaria kalea;0;;;;;;;
Calle Pedro Mari Ugartemendia;Hombre;Pedro Mari Ugartemendia;0;;;;;;;
Calle Antonio Arzak;Hombre;Antonio Arzak;0;;;;;;;
Calle Antonio Gaztañeta;Hombre;Antonio Gaztañeta;0;;;;;;;
Calle de José Goikoa;Hombre;José Goikoa;0;;;;;;;
Calle José Goikoa;Hombre;José Goikoa;0;;;;;;;
Calle Manuel Lekuona;Hombre;Manuel Lekuona;0;;;;;;;
Avenida Pío Baroja;Hombre;Pío Baroja;0;;;;;;;
Paseo de Pío Baroja;Hombre;Pío Baroja;0;;;;;;;
Calle de San Roque;Hombre;San Roque;1;;;;;;;1
Belizalde kalea;NA;Belizalde kalea;0;;;;;;;
Paseo del Duque de Baena;Hombre;Duque de Baena;0;;;;;;;
Paseo del Doctor Marañón;Hombre;Doctor Marañón;0;;;;;;;
Paseo de Heriz;Hombre;Heriz;0;;;;;;;
Gerraene Bidea;NA;Gerraene Bidea;0;;;;;;;
Mendialai kalea;NA;Mendialai kalea;0;;;;;;;
Goiko Galtzada Berria;NA;Goiko Galtzada Berria;0;;;;;;;
Munto Kalea;NA;Munto Kalea;0;;;;;;;
Calle Andrestegi kalea;Hombre;Andrestegi kalea;0;;;;;;;
Calle Elías Salaberria kalea;Hombre;Elías Salaberria kalea;0;;;;;;;
Elías Salaberria kalea;Hombre;Elías Salaberria kalea;0;;;;;;;
Calle Eugenio Imaz;Hombre;Eugenio Imaz;0;;;;;;;
Calle Bernardo Estornés Lasa;Hombre;Bernardo Estornés Lasa;0;;;;;;;
Calle de Bernardo Estornés Lasa;Hombre;Bernardo Estornés Lasa;0;;;;;;;
Paseo Manuel Lardizabal;Hombre;Manuel Lardizabal;0;;;;;;;
Calle Isidro Ansorena;Hombre;Isidro Ansorena;0;;;;;;;
Calle Jose de Artetxe;Hombre;Jose de Artetxe;0;;;;;;;
Calle Julio Beobide;Hombre;Julio Beobide;0;;;;;;;
Calle Arturo Campion;Hombre;Arturo Campion;0;;;;;;;
Camino Ángel de la Guarda;NA;Ángel de la Guarda;0;;;;;;;
Merkezabal kalea;NA;Merkezabal kalea;0;;;;;;;
Frantzisko Lopez Alen kalea;Hombre;Frantzisko Lopez Alen kalea;0;;;;;;;
Kristobal Balenziaga pasealekua;Hombre;Kristobal Balenziaga pasealekua;0;;;;;;;
Paseo de Krostobal Balenziaga;Hombre;Krostobal Balenziaga;0;;;;;;;
Paseo de Aitor Orkolaga;Hombre;Aitor Orkolaga;0;;;;;;;
Paseo Padre Orcolaga;Hombre;Padre Orcolaga;0;;;;;;;
Fernando Mugica kalea;Hombre;Fernando Mugica kalea;0;;;;;;;
Calle Xalbador bertsolaria;Hombre;Xalbador bertsolaria;0;;;;;;;
Gantxegi Bidea;Hombre;Gantxegi Bidea;0;;;;;;;
Juan Fermin Gilisagasti kalea;Hombre;Juan Fermin Gilisagasti kalea;0;;;;;;;
Calle de Xabier Lizardi;Hombre;Xabier Lizardi;0;;;;;;;
Sustraiarte kalea;NA;Sustraiarte kalea;0;;;;;;;
Calle Xabier Lizardi;Hombre;Xabier Lizardi;0;;;;;;;
Calle Karmelo Etxegarai;Hombre;Karmelo Etxegarai;0;;;;;;;
Calle Juan Olasagasti;Hombre;Juan Olasagasti;0;;;;;;;
Txomin Agirre;Hombre;Txomin Agirre;0;;;;;;;
Camino de Pedro José;Hombre;Pedro José;0;;;;;;;
Erramunene kalea;Hombre;Erramunene kalea;0;;;;;;;
Aliñategi kalea;Hombre;Aliñategi kalea;0;;;;;;;
Juan Abelino Barriola pasealekua;Hombre;Juan Abelino Barriola pasealekua;0;;;;;;;
Mugitegi kalea;NA;Mugitegi kalea;0;;;;;;;
Francisco Grandmontagne kalea;Hombre;Francisco Grandmontagne kalea;0;;;;;;;
Camino Atotxa Erreka;Hombre;Atotxa Erreka;0;;;;;;;
Etume Bidea;NA;Etume Bidea;0;;;;;;;
Karmengo Amako bidea;Hombre;Karmengo Amako bidea;0;;;;;;;
Tomas Garbizu Kalea;Hombre;Tomas Garbizu Kalea;0;;;;;;;
Marigomiztegi Biribilgunea;Hombre;Marigomiztegi Biribilgunea;0;;;;;;;
Manuel Vazquez Montalban kalea;Hombre;Manuel Vazquez Montalban kalea;0;;;;;;;
Indalecio Prieto kalea;Hombre;Indalecio Prieto kalea;0;;;;;;;
Jose Maria Sert plaza;Hombre;Jose Maria Sert plaza;0;;;;;;;
Calle San Bartolomé;Hombre;San Bartolomé;1;;;;;;;1
Arantzazuko Andre Mariaren auzunea / Grupo Nuestra Señora de Aránzazu;Hombre;Arantzazuko Andre Mariaren auzunea / Grupo Nuestra Señora de Aránzazu;0;;;;;;;
Doctor Madinabeitia Kalea;Hombre;Doctor Madinabeitia Kalea;0;;;;;;;
Juan Astigarribia kalea;Hombre;Juan Astigarribia kalea;0;;;;;;;
José María Arizmendiarrieta kalea;Hombre;José María Arizmendiarrieta kalea;0;;;;;;;
Markotegi bidea;Hombre;Markotegi bidea;0;;;;;;;
Zelaiarte kalea;Hombre;Zelaiarte kalea;0;;;;;;;
Francisco Grandmontagne;Hombre;Francisco Grandmontagne;0;;;;;;;
Juan A. Barriola Ibilbidea;Hombre;Juan A. Barriola Ibilbidea;0;;;;;;;
Calle Juan Olasagasti kalea;Hombre;Juan Olasagasti kalea;0;;;;;;;
Goiko Galtzara Berri;Hombre;Goiko Galtzara Berri;0;;;;;;;
