Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaça de Josep Tarradellas;Hombre;Josep Tarradellas;0.0;;;;;;;
Carrer Menendez Pelayo;Hombre;Menendez Pelayo;0.0;;;;;;;
Carrer d'Enric Granados;Hombre;Enric Granados;0.0;;;;;;;1
Carrer de Cervantes;Hombre;Cervantes;0.0;;;;;;;
Avinguda d'Anselm de Riu;Hombre;Anselm de Riu;0.0;;;;;;;1
Carrer de Can Franquesa;Hombre;Can Franquesa;0.0;;;;;;;
Carrer de Rabelais;Hombre;Rabelais;0.0;;;;;;;
Carrer Milton;Hombre;Milton;0.0;;;;;;;
Avinguda de Francesc Macià;Hombre;Francesc Macià;0.0;;;;;;;1
Carrer de Victor Hugo;Hombre;Victor Hugo;0.0;;;;;;;1
Carrer d'Isaac Albeniz;Hombre;Isaac Albeniz;0.0;;;;;;;
Passeig de Can Zam;Hombre;Can Zam;0.0;;;;;;;1
Carrer de Jaume Balmes;Hombre;Jaume Balmes;0.0;;;;;;;
Carrer de Juli Garreta;Hombre;Juli Garreta;0.0;;;;;;;
Carrer d'Enric Morera;Hombre;Enric Morera;0.0;;;;;;;
Carrer de Lluis Millet;Hombre;Lluis Millet;0.0;;;;;;;
Carrer de Pep Ventura;Hombre;Pep Ventura;0.0;;;;;;;
Carrer d'Angel Prats;Hombre;Angel Prats;0.0;;;;;;;1
Carrer d'Edison;Hombre;Edison;0.0;;;;;;;1
Can Zam Nord;NA;Can Zam Nord;0.0;;;;;;;
Can Zam;NA;Can Zam;0.0;;;;;;;
Passatge Juli Garreta;Hombre;Juli Garreta;0.0;;;;;;;
Passatge Pep Ventura;Hombre;Pep Ventura;0.0;;;;;;;
Carrer de Santiago Rusiñol;Hombre;Santiago Rusiñol;0.0;;;;;;;1
Passatge de Sant Miquel;Hombre;Sant Miquel;1.0;;;;;;;1
Carrer de Garcilaso de la Vega;Hombre;Garcilaso de la Vega;0.0;;;;;;;
Carrer de Lluis Nicolau;Hombre;Lluis Nicolau;0.0;;;;;;;
Plaça d'en Joan Manent;Hombre;en Joan Manent;0.0;;;;;;;1
plaza Abad Escarré;Hombre;plaza Abad Escarré;0.0;;;;;;;1
Jardí d'Ernest Lluch;Hombre;Jardí d'Ernest Lluch;0.0;;;;;;;1
Jardins de Can Roig i Torres;Hombre;Jardins de Can Roig i Torres;0.0;;;;;;;1
Carrer de Sant Jeroni;Hombre;Sant Jeroni;1.0;;;;;;;1
Carrer de Prat de la Riba;Hombre;Prat de la Riba;0.0;;;;;;;1
Carrer de Josep Martorell;Hombre;Josep Martorell;0.0;;;;;;;1
Carrer de Nàpols;NA;Nàpols;0.0;;;;;;;1
Carrer de Cristòfol Colom;Hombre;Cristòfol Colom;0.0;;;;;;;1
Carrer de Washington;Hombre;Washington;0.0;;;;;;;1
Carrer de Sant Lluís;Hombre;Sant Lluís;1.0;;;;;;;1
Carrer d'en Gaspar;Hombre;en Gaspar;0.0;;;;;;;1
Carrer de Wilson;Hombre;Wilson;0.0;;;;;;;1
Avinguda Ramon Berenguer IV;Hombre;Ramon Berenguer IV;0.0;;;;;;;1
Carrer del Doctor Ferran;Hombre;Doctor Ferran;0.0;;;;;;;1
Carrer de Sant Isidre;Hombre;Sant Isidre;1.0;;;;;;;1
Carrer de Lluis Vives;Hombre;Lluis Vives;0.0;;;;;;;
Carrer de Dante;Hombre;Dante;0.0;;;;;;;
Carrer Roger de Flor;Hombre;Roger de Flor;0.0;;;;;;;
Carrer d'Ausiàs March;Hombre;Ausiàs March;0.0;;;;;;;
Carrer de Lincoln;Hombre;Lincoln;0.0;;;;;;;1
Passatge de Cristòfol Colom;Hombre;Cristòfol Colom;0.0;;;;;;;1
Passatge Josep Serrano;Hombre;Josep Serrano;0.0;;;;;;;1
Carrer de Milà;Hombre;Milà;0.0;;;;;;;1
Carrer d'en Josep Serrano;Hombre;en Josep Serrano;0.0;;;;;;;1
Carrer Verdi;Hombre;Verdi;0.0;;;;;;;1
Carrer del Pare Benet;Hombre;Pare Benet;0.0;;;;;;;1
Carrer de Marcel·lí Calvet;Hombre;Marcel·lí Calvet;0.0;;;;;;;
Carrer del Mossèn Camil Rosell;Hombre;Mossèn Camil Rosell;0.0;;;;;;;1
Carrer de Laredo;NA;Laredo;0.0;;;;;;;
Carrer Letamendi;Hombre;Letamendi;0.0;;;;;;;
Carrer de Mozart;Hombre;Mozart;0.0;;;;;;;1
Carrer de Galceran Marquet;Hombre;Galceran Marquet;0.0;;;;;;;
Carrer de Sant Carles;Hombre;Sant Carles;1.0;;;;;;;1
Carrer de Sant Joaquim;Hombre;Sant Joaquim;1.0;;;;;;;1
Plaça d'en Baró;Hombre;en Baró;0.0;;;;;;;1
Carrer del President Lluis Companys;Hombre;President Lluis Companys;0.0;;;;;;;1
Carrer Baró;Hombre;Baró;0.0;;;;;;;1
Carrer Major;NA;Major;0.0;;;;;;;1
Carrer de Pompeu Fabra;Hombre;Pompeu Fabra;0.0;;;;;;;1
Passeig de Llorenç Serra;Hombre;Llorenç Serra;0.0;;;;;;;1
F. Moragas;Hombre;F. Moragas;0.0;;;;;;;
Plaça d'en Manelic;Hombre;en Manelic;0.0;;;;;;;1
Jardins de Can Cisteré;Hombre;Jardins de Can Cisteré;0.0;;;;;;;1
Jardins de Can Peixauet;Hombre;Jardins de Can Peixauet;0.0;;;;;;;1
Plaça D'En Vilaseca;Hombre;En Vilaseca;0.0;;;;;;;1
jardí de Mossèn Jacint Verdaguer;Hombre;jardí de Mossèn Jacint Verdaguer;0.0;;;;;;;1
Plaça Pau Casals;Hombre;Pau Casals;0.0;;;;;;;1
Plaça de José Camara de la Hoz;Hombre;José Camara de la Hoz;0.0;;;;;;;1
Jardi de la Figuera;Hombre;Jardi de la Figuera;0.0;;;;;;;1
