Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza Nuestra Señora de Fátima;Mujer;Virgen de Fátima;1;;advocación mariana del catolicismo;https://es.wikipedia.org/wiki/Virgen_de_F%C3%A1tima;http://commons.wikimedia.org/wiki/Special:FilePath/Fatima%20%283%29.jpg;;;
Plaza Nuestra Señora de la Nieves;Mujer;Virgen de las Nieves;1;;advocación mariana;https://es.wikipedia.org/wiki/Virgen_de_las_Nieves;http://commons.wikimedia.org/wiki/Special:FilePath/Our%20Lady%20of%20Snow.jpg;;;
Calle Nila;Mujer;Nila;;;;;;;;
Calle María Juana;Mujer;María Juana;;;Ciudad del Departamento Castellanos, Provincia de Santa Fe, Argentina;https://es.wikipedia.org/wiki/Mar%C3%ADa_Juana;http://commons.wikimedia.org/wiki/Special:FilePath/Mj%20iglesia.jpg;;;
Plaza de la Victoria;Mujer;Victoria;;;;;;;;
Plaza Isabel II;Mujer;Isabel II de España;;;Reina de España (1833-1868);https://es.wikipedia.org/wiki/Isabel_II_de_Espa%C3%B1a;http://commons.wikimedia.org/wiki/Special:FilePath/Isabel%20de%20Borb%C3%B3n%20y%20Borb%C3%B3n-Dos%20Sicilias.jpg;1830-10-10T00:00:00Z;1904-04-09T00:00:00Z;1
Plaza Concha Castro;Mujer;Concha Castro;;;;;;;;
Calle de Santa Rosalia;Mujer;Rosalía de Palermo;1;;virgen y ermitaña;https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Palermo;http://commons.wikimedia.org/wiki/Special:FilePath/Anthonis%20van%20Dyck%20084.jpg;1130-01-01T00:00:00Z;1166-01-01T00:00:00Z;1
Calle Carmen Monteverde;Mujer;Carmen Monteverde;;;;;;;;1
Calle de Matilde Martín;Mujer;Matilde Marín;;;Fotógrafa y artista visual argentina;https://en.wikipedia.org/wiki/Matilde_Mar%C3%ADn;;1948-01-01T00:00:00Z;;1
Calle Esmeralda Cervantes;Mujer;Clotilde Cerdá;;;arpista española;https://es.wikipedia.org/wiki/Clotilde_Cerd%C3%A1;http://commons.wikimedia.org/wiki/Special:FilePath/Esmeralda%20Cervantes.png;1861-02-28T00:00:00Z;1926-04-12T00:00:00Z;1
Calle Princesa Guayarmina;Mujer;Princesa Guayarmina;;;;https://es.wikipedia.org/wiki/Guayarmina;;;;
Calle Marisol Marín;Mujer;Marisol Marín;;;;;;;;1
Calle Princesa Guacimara;Mujer;Princesa Guacimara;;;;https://es.wikipedia.org/wiki/Guacimara;;;;
Calle Princesa Dácil;Mujer;Princesa Dácil;;;;https://es.wikipedia.org/wiki/D%C3%A1cil;;;;
Calle Princesa Guajara;Mujer;Princesa Guajara;;;;https://es.wikipedia.org/wiki/Guajara;;;;
Calle Sofía Díaz Afonso;Mujer;Sofía Díaz Afonso;;;;;;;;
Calle María Flores;Mujer;María Flores;;;;;;;;
Calle Santa Margarita;Mujer;Margarita de Antioquía;1;;santa cristiana;https://es.wikipedia.org/wiki/Margarita_de_Antioqu%C3%ADa;http://commons.wikimedia.org/wiki/Special:FilePath/St.Marina%20the%20Martyr%20holding%20a%20devil.jpg;0292-01-01T00:00:00Z;0307-01-01T00:00:00Z;
Calle Santa Mónica;Mujer;Mónica de Hipona;1;;madre de San Agustín y santa de la Iglesia católica;https://es.wikipedia.org/wiki/M%C3%B3nica_de_Hipona;http://commons.wikimedia.org/wiki/Special:FilePath/Tabor%20CZ%20Nativity%20of%20Virgin%20Mary%20church%20front%20St%20Monica.jpg;0332-01-01T00:00:00Z;0387-01-01T00:00:00Z;
Calle Rosalía de Castro;Mujer;Rosalía de Castro;;;poetisa y novelista gallega;https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Castro;http://commons.wikimedia.org/wiki/Special:FilePath/Rosal%C3%ADa%20Castro%20de%20Murgu%C3%ADa%20por%20Luis%20Sellier.jpg;1838-02-23T00:00:00Z;1885-07-15T00:00:00Z;
Calle Santa María de Añaza;Mujer;Santa María de Añaza;1;;;;;;;
Calle Santa Barbara;Mujer;Bárbara de Nicomedia;1;;santa y mártir cristiana libanesa (273-306);https://es.wikipedia.org/wiki/B%C3%A1rbara_de_Nicomedia;http://commons.wikimedia.org/wiki/Special:FilePath/RAFAEL%20-%20Madonna%20Sixtina%20%28Gem%C3%A4ldegalerie%20Alter%20Meister%2C%20Dresden%2C%201513-14.%20%C3%93leo%20sobre%20lienzo%2C%20265%20x%20196%20cm%29%20%28cropped%29.jpg;0273-01-01T00:00:00Z;0306-01-01T00:00:00Z;
Calle Elisa González Chávez;Mujer;Elisa González Chávez;;;;;;;;
Calle Corazón de María;Mujer;Corazón de María;1;;;https://es.wikipedia.org/wiki/Inmaculado_Coraz%C3%B3n_de_Mar%C3%ADa;;;;
Calle Celia Navarro Trujillo;Mujer;Celia Navarro Trujillo;;;;;;;;
Calle Princesa Ico;Mujer;Princesa Ico;;1.0;;https://es.wikipedia.org/wiki/Ico_(aborigen);;;;
Calle Nisamar;Mujer;Nisamar;;;;;;;;
Calle de Rafaela González Rojas;Mujer;Rafaela González Rojas;;;;;;;;
