Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle de Elena Quiroga;Mujer;Elena Quiroga;;;escritora española;https://es.wikipedia.org/wiki/Elena_Quiroga;http://commons.wikimedia.org/wiki/Special:FilePath/Elena%20Quiroga.jpg;1921-10-26T00:00:00Z;1995-10-03T00:00:00Z;
Avenida de la Virgen del Mar;Mujer;Virgen del Mar;1.0;;Patrona de Almería, España. Patrona de Santander, España;https://es.wikipedia.org/wiki/Virgen_del_Mar;;;;
Calle de Santa Fe;Mujer;Fe de Agen;1.0;;santa galo romana, mártir;https://es.wikipedia.org/wiki/Fe_de_Agen;http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Fe%20%28cropped%29.jpg;0290-01-01T00:00:00Z;0303-01-01T00:00:00Z;
Calle de Santa Cecilia;Mujer;Cecilia de Roma;1.0;;santa cristiana y patrona de la música;https://es.wikipedia.org/wiki/Cecilia_de_Roma;http://commons.wikimedia.org/wiki/Special:FilePath/St%20cecilia%20guido%20reni.jpg;0200-01-01T00:00:00Z;0230-01-01T00:00:00Z;
Calle de María;Mujer;María;1.0;;;;;;;
Calle de Santa Demetria;Mujer;Santa Demetria;1.0;;;;;;;
Calle de Santa Elena;Mujer;Helena de Constantinopla;1.0;;madre del emperador Constantino, santa cristiana;https://es.wikipedia.org/wiki/Helena_de_Constantinopla;http://commons.wikimedia.org/wiki/Special:FilePath/Brosen%20icon%20constantine%20helena.jpg;0250-01-01T00:00:00Z;0330-08-19T00:00:00Z;
Calle de Santa Inés;Mujer;Inés de Roma;1.0;;virgen y mártir romana;https://es.wikipedia.org/wiki/In%C3%A9s_de_Roma;http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Agnese%20-%20mosaico%20Santa%20Agnese%20fuori%20le%20mura.jpg;0300-01-01T00:00:00Z;0400-01-01T00:00:00Z;
Calle de Santa Isabel;Mujer;Isabel;1.0;;madre de Juan el bautista;https://es.wikipedia.org/wiki/Isabel_(madre_de_Juan_el_Bautista);http://commons.wikimedia.org/wiki/Special:FilePath/Champaigne%20visitation.jpg;-0100-01-01T00:00:00Z;0100-01-01T00:00:00Z;
Avenida de la Virgen del Mar;Mujer;Virgen del Mar;1.0;;Patrona de Almería, España. Patrona de Santander, España;https://es.wikipedia.org/wiki/Virgen_del_Mar;;;;
Calle Santa Catalina;Mujer;Catalina de Siena;1.0;;religiosa dominica y doctora de la Iglesia católica.;https://es.wikipedia.org/wiki/Catalina_de_Siena;http://commons.wikimedia.org/wiki/Special:FilePath/Catherine%20of%20Siena.jpg;1347-04-02T00:00:00Z;1380-05-07T00:00:00Z;
Calle de Santa Filomena;Mujer;Filomena;1.0;;Virgen y Mártir del siglo IV;https://es.wikipedia.org/wiki/Filomena_(santa);http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Philomena%20by%20J.D.%20Mahlknecht.jpg;0291-01-10T00:00:00Z;0304-08-11T00:00:00Z;
Calle de Santa Justa;Mujer;Santa Justa;1.0;;;https://es.wikipedia.org/wiki/Justa_y_Rufina;;;;
Calle de Santa Beatriz;Mujer;Santa Beatriz;1.0;;;https://es.wikipedia.org/wiki/Beatriz_(m%C3%A1rtir);;;;
Calle de la Madre Soledad;Mujer;Soledad Rodríguez Pérez;1.0;;religiosa católica española;https://es.wikipedia.org/wiki/Soledad_Rodr%C3%ADguez_P%C3%A9rez;;1904-02-01T00:00:00Z;1965-10-28T00:00:00Z;
Calle de Santa Genoneva;Mujer;Genoveva;1.0;;patrona de París;https://es.wikipedia.org/wiki/Genoveva_de_Par%C3%ADs;http://commons.wikimedia.org/wiki/Special:FilePath/StGenevieve.jpg;0423-01-01T00:00:00Z;0502-01-01T00:00:00Z;
Plaza de María Luisa Pelayo;Mujer;María Luisa Gómez y Pelayo;;;mecenas y benefactora española, II Marquesa de Valdecilla;https://es.wikipedia.org/wiki/Mar%C3%ADa_Luisa_G%C3%B3mez_y_Pelayo;;1870-01-01T00:00:00Z;1951-04-08T00:00:00Z;
Plaza de María Luisa Pelayo;Mujer;María Luisa Gómez y Pelayo;;;mecenas y benefactora española, II Marquesa de Valdecilla;https://es.wikipedia.org/wiki/Mar%C3%ADa_Luisa_G%C3%B3mez_y_Pelayo;;1870-01-01T00:00:00Z;1951-04-08T00:00:00Z;
Calle de Santa Teresa de Jesús;Mujer;Teresa de Jesús;1.0;;religiosa castellana;https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs;http://commons.wikimedia.org/wiki/Special:FilePath/Teresa%20de%20Jes%C3%BAs%20%28cropped%29.jpg;1515-04-07T00:00:00Z;1582-10-15T00:00:00Z;1
Calle de Inés Diego del Noval;Mujer;Inés Diego del Noval;;;;;;;;
Calle de la Virgen del Camino;Mujer;Virgen del Camino;1.0;;advocación mariana;https://es.wikipedia.org/wiki/Virgen_del_Camino;http://commons.wikimedia.org/wiki/Special:FilePath/La%20Virgen%20del%20Camino%2001%20Santuario%20by-dpc.jpg;;;
Calle de Alfonsina Storni;Mujer;Alfonsina Storni;;;Poeta argentina;https://es.wikipedia.org/wiki/Alfonsina_Storni;http://commons.wikimedia.org/wiki/Special:FilePath/AlfosinaStorni.jpg;1892-05-29T00:00:00Z;1938-10-25T00:00:00Z;
