Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza de Nuestra Señora de la Merced;Mujer;Virgen de la Merced o de la Misericordia;1.0;;advocación de la Virgen;https://es.wikipedia.org/wiki/Virgen_de_la_Merced;http://commons.wikimedia.org/wiki/Special:FilePath/Soho%2C%20Notre%20Dame%20De%20France%20Church%2C%20Statue%20of%20Our%20Lady%20of%20Mercy.jpg;;;
Plaza de Sofía;Mujer;Sofía;;;;;;;;
Praza de Clara Campoamor;Mujer;Clara Campoamor;;;política española, feminista;https://es.wikipedia.org/wiki/Clara_Campoamor;http://commons.wikimedia.org/wiki/Special:FilePath/Clara%20Campoamor.png;1888-02-12T00:00:00Z;1972-04-30T00:00:00Z;
Avenida de Rosalía de Castro;Mujer;Rosalía de Castro;;;poetisa y novelista gallega;https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Castro;http://commons.wikimedia.org/wiki/Special:FilePath/Rosal%C3%ADa%20Castro%20de%20Murgu%C3%ADa%20por%20Luis%20Sellier.jpg;1838-02-23T00:00:00Z;1885-07-15T00:00:00Z;1
Costa de Santa Isabel;Mujer;Isabel;1.0;;madre de Juan el bautista;https://es.wikipedia.org/wiki/Isabel_(madre_de_Juan_el_Bautista);http://commons.wikimedia.org/wiki/Special:FilePath/Champaigne%20visitation.jpg;-0100-01-01T00:00:00Z;0100-01-01T00:00:00Z;1
Rúa da Virxe de Fátima;Mujer;Virgen de Fátima;1.0;;advocación mariana del catolicismo;https://es.wikipedia.org/wiki/Virgen_de_F%C3%A1tima;http://commons.wikimedia.org/wiki/Special:FilePath/Fatima%20%283%29.jpg;;;
Rúa de Concepción Arenal;Mujer;Concepción Arenal;;;escritora, abogada y proto-trabajadora social española;https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal;http://commons.wikimedia.org/wiki/Special:FilePath/Concepcion%20Arenal%201.jpg;1820-01-31T00:00:00Z;1893-02-04T00:00:00Z;1
Praza da Paz;Mujer;paz;;;equilibrio y tranquilidad entre partes;https://es.wikipedia.org/wiki/Paz;http://commons.wikimedia.org/wiki/Special:FilePath/Peace%20dove.svg;;;
Rúa de Tras Santa Clara;Mujer;Clara de Asís;1.0;;fundadora de las clarisas y santa de la Iglesia católica;https://es.wikipedia.org/wiki/Clara_de_As%C3%ADs;http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Claire%20of%20Assisi%2C%20Walters%20Art%20Museum.jpg;1193-01-01T00:00:00Z;1253-08-18T00:00:00Z;1
Rúa de Santa Uxía de Ribeira;Mujer;Santa Uxía de Ribeira;1.0;;;;;;;
Rúa de Santa Cristina;Mujer;Clara de Asís;1.0;;fundadora de las clarisas y santa de la Iglesia católica;https://es.wikipedia.org/wiki/Clara_de_As%C3%ADs;http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Claire%20of%20Assisi%2C%20Walters%20Art%20Museum.jpg;1193-01-01T00:00:00Z;1253-08-18T00:00:00Z;1
Avenida de Syra Alonso;Mujer;Syra Alonso;;;;https://es.wikipedia.org/wiki/Syra_Alonso_Brufau;;;;
Rúa de Xoana Nogueira;Mujer;Xoana Nogueira;;;;;;;;
Costa de Santa Isabel;Mujer;Isabel;1.0;;madre de Juan el bautista;https://es.wikipedia.org/wiki/Isabel_(madre_de_Juan_el_Bautista);http://commons.wikimedia.org/wiki/Special:FilePath/Champaigne%20visitation.jpg;-0100-01-01T00:00:00Z;0100-01-01T00:00:00Z;1
Rúa de Pilar Miró;Mujer;Pilar Miró;;;cineasta española (1940-1997);https://es.wikipedia.org/wiki/Pilar_Mir%C3%B3;http://commons.wikimedia.org/wiki/Special:FilePath/%28Pilar%20Mir%C3%B3%29%20Rosa%20Conde%20en%20la%20toma%20de%20posesi%C3%B3n%20del%20director%20general%20de%20TVE.%20Pool%20Moncloa.%2017%20de%20enero%20de%201989%20%28cropped%29.jpeg;1940-04-20T00:00:00Z;1997-10-19T00:00:00Z;
Rúa da Divina Pastora;Mujer;Divina Pastora;;1.0;;https://es.wikipedia.org/wiki/Divina_Pastora_de_las_Almas;;;;
Rúa de Carolina Otero La Bella Otero;Mujer;La Bella Otero;;;Bailarina, actriz y cortesana española;https://es.wikipedia.org/wiki/La_Bella_Otero;http://commons.wikimedia.org/wiki/Special:FilePath/La%20Bella%20Otero%201901%20Reutlinger-MAE-200452%201.jpg;1868-11-04T00:00:00Z;1965-04-13T00:00:00Z;
Rúa de Mariana Pineda;Mujer;Mariana Pineda;;;Liberal española del siglo XIX;https://es.wikipedia.org/wiki/Mariana_Pineda;http://commons.wikimedia.org/wiki/Special:FilePath/Mariana%20pineda5.JPG;1804-09-01T00:00:00Z;1831-05-26T00:00:00Z;
Rúa de María Casares;Mujer;María Casares;;;actriz hispano-francesa;https://es.wikipedia.org/wiki/Mar%C3%ADa_Casares;http://commons.wikimedia.org/wiki/Special:FilePath/Casar%C3%A8s%20Harcourt%201944b.jpg;1922-11-21T00:00:00Z;1996-11-22T00:00:00Z;
Rúa de Maruxa Mallo;Mujer;Maruja Mallo;;;pintora española;https://es.wikipedia.org/wiki/Maruja_Mallo;http://commons.wikimedia.org/wiki/Special:FilePath/Maruja%20Mallo.JPG;1902-01-05T00:00:00Z;1995-02-06T00:00:00Z;
Rúa de Julia Minguillón;Mujer;Julia Minguillón;;;pintora española;https://es.wikipedia.org/wiki/Julia_Minguill%C3%B3n;;1906-07-17T00:00:00Z;1965-08-22T00:00:00Z;
Rúa de Santa Marta de Abaixo;Mujer;Santa Marta de Abaixo;1.0;;;;;;;
Avenida de Rosalía de Castro;Mujer;Rosalía de Castro;;;poetisa y novelista gallega;https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Castro;http://commons.wikimedia.org/wiki/Special:FilePath/Rosal%C3%ADa%20Castro%20de%20Murgu%C3%ADa%20por%20Luis%20Sellier.jpg;1838-02-23T00:00:00Z;1885-07-15T00:00:00Z;1
Rúa de Xohana Torres;Mujer;Xohana Torres;;;poetisa española (1931-2017);https://es.wikipedia.org/wiki/Xohana_Torres;;1931-11-22T00:00:00Z;2017-09-12T00:00:00Z;
Rúa de Santa Marta de Arriba;Mujer;Santa Marta de Arriba;1.0;;;;;;;
Rúa de María Zambrano;Mujer;María Zambrano;;;pensadora, filósofa y ensayista española;https://es.wikipedia.org/wiki/Mar%C3%ADa_Zambrano;http://commons.wikimedia.org/wiki/Special:FilePath/Mural%20feminista%20Gandia%20-%20Maria%20Zambrano.jpg;1904-04-22T00:00:00Z;1991-02-06T00:00:00Z;
Rúa de Teresa Claramunt;Mujer;Teresa Claramunt;;;anarcosindicalista española;https://es.wikipedia.org/wiki/Teresa_Claramunt;http://commons.wikimedia.org/wiki/Special:FilePath/Claramunt.png;1862-06-04T00:00:00Z;1931-04-11T00:00:00Z;
Rúa de Carmen Laforet;Mujer;Carmen Laforet;;;escritora española (1921-2004);https://es.wikipedia.org/wiki/Carmen_Laforet;http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20Carmen%20Laforet.jpg;1921-09-06T00:00:00Z;2004-02-28T00:00:00Z;
Rúa de Concepción Pérez Iglesias;Mujer;Concepción Pérez Iglesias;;;;https://gl.wikipedia.org/wiki/Concepci%C3%B3n_P%C3%A9rez_Iglesias;;;;
