Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza de Doña Teresa Enríquez;Mujer;Doña Teresa Enríquez;;;;https://es.wikipedia.org/wiki/Teresa_Enr%C3%ADquez;;;;1
Plaza de Santa Marta;Mujer;María;1;;madre de Jesús de Nazaret;https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs);http://commons.wikimedia.org/wiki/Special:FilePath/Duccio%20The-Madonna-and-Child-128.jpg;-0100-01-01T00:00:00Z;0100-01-01T00:00:00Z;1
Plaza Electra;Mujer;Electra;;1.0;;https://es.wikipedia.org/wiki/Electra;;;;
Calle Asunción;Mujer;Asunción de María;1;;Tránsito de María hacia el Cielo al final de su vida terrena;https://es.wikipedia.org/wiki/Asunci%C3%B3n_de_Mar%C3%ADa;http://commons.wikimedia.org/wiki/Special:FilePath/Tizian%20041.jpg;;;
Patio de María Auxiliadora;Mujer;María Auxiliadora;1;;título dado a la Virgen María por los cristianos;https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora;;;;
Plaza Alcaldesa Soledad Becerril;Mujer;Soledad Becerril;;;política española;https://es.wikipedia.org/wiki/Soledad_Becerril;http://commons.wikimedia.org/wiki/Special:FilePath/Soledad%20Becerril%20en%20la%20III%20Simulaci%C3%B3n%20del%20Congreso%20Espa%C3%B1ol%20%28Universidad%20Pablo%20de%20Olavide%2C%202011%29%20%282%29.jpg;1944-08-16T00:00:00Z;;1
Calle Blanca de los Ríos;Mujer;Blanca de los Ríos;;;escritora española;https://es.wikipedia.org/wiki/Blanca_de_los_R%C3%ADos;http://commons.wikimedia.org/wiki/Special:FilePath/Blanca%20de%20los%20R%C3%ADos.png;1859-08-15T00:00:00Z;1956-04-13T00:00:00Z;1
Calle Santa Vicenta María;Mujer;Vicenta María López y Vicuña;1;;religiosa católica española, fundadora de la Congregación de las Religiosas de María Inmaculada.;https://es.wikipedia.org/wiki/Vicenta_Mar%C3%ADa_L%C3%B3pez_y_Vicu%C3%B1a;http://commons.wikimedia.org/wiki/Special:FilePath/VicentaLopezVicu%C3%B1a.jpg;1847-03-22T00:00:00Z;1890-12-26T00:00:00Z;1
Calle Virgen de la Presentación;Mujer;Virgen de la Presentación;1;;;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_la_Presentaci%C3%B3n;;;;1
Calle Santa Teresa;Mujer;Teresa de Jesús;1;;religiosa castellana;https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs;http://commons.wikimedia.org/wiki/Special:FilePath/Teresa%20de%20Jes%C3%BAs%20%28cropped%29.jpg;1515-04-07T00:00:00Z;1582-10-15T00:00:00Z;1
Calle Virgen de la Alegría;Mujer;Virgen de la Alegría;1;;;https://es.wikipedia.org/wiki/Archivo:Virgen_de_la_Alegr%C3%ADa.jpg;;;;1
Calle Doña María Coronel;Mujer;María Fernández Coronel;;;aristócrata española;https://es.wikipedia.org/wiki/Mar%C3%ADa_Fern%C3%A1ndez_Coronel;http://commons.wikimedia.org/wiki/Special:FilePath/Mar%C3%ADa%20Fern%C3%A1ndez%20Coronel.jpg;1334-01-01T00:00:00Z;1409-01-01T00:00:00Z;1
