Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Rambla Francesc Macià;Hombre;Francesc Macià;0.0;;;;;;;
Carrer Rovira i Virgili;Hombre;Rovira i Virgili;0.0;;;;;;;1
Avinguda Marquès de Montoliu;Hombre;Marquès de Montoliu;0.0;;;;;;;1
Avinguda Josep Gramunt i Subiela;Hombre;Josep Gramunt i Subiela;0.0;;;;;;;1
Avinguda de Joan Antoni i Guàrdias;Hombre;Joan Antoni i Guàrdias;0.0;;;;;;;1
Carrer de Josep Vicenç Foix;Hombre;Josep Vicenç Foix;0.0;;;;;;;
Carrer de Joan Pau II;Hombre;Joan Pau II;0.0;;;;;;;
Rambla de Sant Pere i Sant Pau;Hombre;Sant Pere i Sant Pau;1.0;;;;;;;
Carrer de Josep Maria Casas de Muller;Hombre;Josep Maria Casas de Muller;0.0;;;;;;;
Carrer de Pi i Maragall;Hombre;Pi i Maragall;0.0;;;;;;;
Carrer de Lluís Domènech i Montaner;Hombre;Lluís Domènech i Montaner;0.0;;;;;;;1
Carrer de Joaquim Icart;Hombre;Joaquim Icart;0.0;;;;;;;
Carrer Sant Antoni Maria Claret;Hombre;Sant Antoni Maria Claret;1.0;;;;;;;1
Carrer de Lluis Mestres i Capdevila;Hombre;Lluis Mestres i Capdevila;0.0;;;;;;;
Carrer de Ramon Nogués i Biset;Hombre;Ramon Nogués i Biset;0.0;;;;;;;
Carrer Ernest Vilches;Hombre;Ernest Vilches;0.0;;;;;;;
Carrer Josep Maria Tarrassa;Hombre;Josep Maria Tarrassa;0.0;;;;;;;
Carrer Joan Miró;Hombre;Joan Miró;0.0;;;;;;;
Carrer Llorenç de Vilallonga;Hombre;Llorenç de Vilallonga;0.0;;;;;;;
Carrer de l'Arquitecte Gaudí;Hombre;l'Arquitecte Gaudí;0.0;;;;;;;
Carrer de l'Arquitecte Jujol;Hombre;l'Arquitecte Jujol;0.0;;;;;;;
Carrer de Ramon Llull;Hombre;Ramon Llull;0.0;;;;;;;
Passatge de l'Arquitecte Jujol;Hombre;l'Arquitecte Jujol;0.0;;;;;;;
Carrer de l'Abat Escarré;Hombre;l'Abat Escarré;0.0;;;;;;;
Avinguda de Sant Salvador;Hombre;Sant Salvador;1.0;;;;;;;
Carrer de Muntaner;Hombre;Muntaner;0.0;;;;;;;
Carrer Mas d'en Garrot;NA;Mas d'en Garrot;0.0;;;;;;;
Camí de Sant Pere;Hombre;Sant Pere;1.0;;;;;;;
Travessera del Camí de Sant Pere;Hombre;Travessera del Camí de Sant Pere;0.0;;;;;;;
Travessera del Camí de Sant Pere - II;Hombre;Travessera del Camí de Sant Pere - II;0.0;;;;;;;
Carrer Miquel Servet;Hombre;Miquel Servet;0.0;;;;;;;
Carrer Violant d'Hongria;Hombre;Violant d'Hongria;0.0;;;;;;;
Carrer Lluís Bonet Amigó;Hombre;Lluís Bonet Amigó;0.0;;;;;;;
Carrer de William Tarin Naurar;Hombre;William Tarin Naurar;0.0;;;;;;;
Carrer del Barò Pierre de Coubertin;Hombre;Barò Pierre de Coubertin;0.0;;;;;;;
Plaça de Frederic Escofet i Alsina;Hombre;Frederic Escofet i Alsina;0.0;;;;;;;
Carrer de Josep Maria Folch i Torres;Hombre;Josep Maria Folch i Torres;0.0;;;;;;;
Carrer Mas de Sevil;NA;Mas de Sevil;0.0;;;;;;;
Carrer de Sant Eulogi;Hombre;Sant Eulogi;1.0;;;;;;;1
Carrer de Sant Auguri;Hombre;Sant Auguri;1.0;;;;;;;1
Carrer de Pere Batlle i Huget;Hombre;Pere Batlle i Huget;0.0;;;;;;;
Carrer del Germà Donato;Hombre;Germà Donato;0.0;;;;;;;
Carrer de Joan Molas i Sabaté;Hombre;Joan Molas i Sabaté;0.0;;;;;;;
Carrer de Ramon Comas i Maduell;Hombre;Ramon Comas i Maduell;0.0;;;;;;;
Carrer d'Antoni de Magriñà;Hombre;Antoni de Magriñà;0.0;;;;;;;
Carrer de Marcel·lí Domingo;Hombre;Marcel·lí Domingo;0.0;;;;;;;
Carrer Joan Fuster i Ortells;Hombre;Joan Fuster i Ortells;0.0;;;;;;;1
Carrer d'Artur Blade i Desumvila;Hombre;Artur Blade i Desumvila;0.0;;;;;;;
Carrer de Guillem Oliver;Hombre;Guillem Oliver;0.0;;;;;;;
Carrer de Joan Salvat i Bové;Hombre;Joan Salvat i Bové;0.0;;;;;;;
Carrer de Josep Maria Alomà Sanabras;Hombre;Josep Maria Alomà Sanabras;0.0;;;;;;;
Carrer de Josep Maria Vives i Salas;Hombre;Josep Maria Vives i Salas;0.0;;;;;;;
Carrer de l'Arquebisbe Ramon Torrell;Hombre;l'Arquebisbe Ramon Torrell;0.0;;;;;;;
Carrer de Jaume Vidal i Alcover;Hombre;Jaume Vidal i Alcover;0.0;;;;;;;
Carrer de Macià Maliol i Bosch;Hombre;Macià Maliol i Bosch;0.0;;;;;;;
Carrer de Joan Amades i Gelats;Hombre;Joan Amades i Gelats;0.0;;;;;;;
Carrer Vint-i-vuit;Hombre;Vint-i-vuit;0.0;;;;;;;
Carrer del Mestre Xavier Gols;Hombre;Mestre Xavier Gols;0.0;;;;;;;
Carrer de Joan Nin i Fortuny;Hombre;Joan Nin i Fortuny;0.0;;;;;;;
Passeig de Mil·les Dalmau;Hombre;Mil·les Dalmau;0.0;;;;;;;
Carrer d'Antoni Escofet Netto;Hombre;Antoni Escofet Netto;0.0;;;;;;;
Carrer de Florenci Gasulla i Figuerola;Hombre;Florenci Gasulla i Figuerola;0.0;;;;;;;
Carrer de Joan Estil·les Portal;Hombre;Joan Estil·les Portal;0.0;;;;;;;
Carrer de Mossèn Joan Serra Escoté;Hombre;Mossèn Joan Serra Escoté;0.0;;;;;;;
Carrer de Narcís Oller;Hombre;Narcís Oller;0.0;;;;;;;
Carrer Vicent Andrés Estellés;Hombre;Vicent Andrés Estellés;0.0;;;;;;;
Carrer de Arquebisbe Josep Pont i Gol;Hombre;Arquebisbe Josep Pont i Gol;0.0;;;;;;;
Carrer de Joan Serra Vilaró;Hombre;Joan Serra Vilaró;0.0;;;;;;;
Carrer Sant Tomas;Hombre;Sant Tomas;1.0;;;;;;;
