Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Camí de Can Gonteres;NA;Can Gonteres;0.0;;;;;;;
camí de Can Bogunyà;NA;Can Bogunyà;0.0;;;;;;;
Gusano loco;NA;Gusano loco;0.0;;;;;;;
Plaça de Sant Eloi;Hombre;Sant Eloi;1.0;;;;;;;
Carrer de Gregal;NA;Gregal;0.0;;;;;;;
Carrer de Ferran Casablancas;Hombre;Ferran Casablancas;0.0;;;;;;;
Plaça Vidal i Barraquer;Hombre;Vidal i Barraquer;0.0;;;;;;;
Avinguda de Font i Sagué;Hombre;Font i Sagué;0.0;;;;;;;
Carrer de Santiago Rusiñol;Hombre;Santiago Rusiñol;0.0;;;;;;;
carrer de Joan Miró;Hombre;Joan Miró;0.0;;;;;;;
Carrer d'Enric Borràs;Hombre;Enric Borràs;0.0;;;;;;;
Avinguda de Mossèn Batlle - Carrer de Mossèn Batlle;Hombre;Mossèn Batlle - Carrer de Mossèn Batlle;0.0;;;;;;;
Camí de Mas Rubial;NA;Mas Rubial;0.0;;;;;;;
Passatge de Can Carbonell;NA;Can Carbonell;0.0;;;;;;;
Camí de Can Carbonell;NA;Can Carbonell;0.0;;;;;;;
Carrer de Jacint Badiella;Hombre;Jacint Badiella;0.0;;;;;;;
Carrer de Miquel i Pere Costa;Hombre;Miquel i Pere Costa;0.0;;;;;;;
Carrer de Miquel Pujadas;Hombre;Miquel Pujadas;0.0;;;;;;;
Camí de Can Pi;NA;Can Pi;0.0;;;;;;;
Carrer de Pere Prat;Hombre;Pere Prat;0.0;;;;;;;
Carrer de Concepció Camí Soler;Mujer;Concepció Camí Soler;0.0;;;;;;;
Avinguda Mossèn Batlle;Hombre;Mossèn Batlle;0.0;;;;;;;
Disseminat Can Fleca;NA;Can Fleca;0.0;;;;;;;
carrer d'Antoni Badrinas;Hombre;Antoni Badrinas;0.0;;;;;;;
Carrer de Sant Ignasi;Hombre;Sant Ignasi;1.0;;;;;;;1
plaça de Baltasar Ragon;Hombre;Baltasar Ragon;0.0;;;;;;;1
Plaça de Lluís Companys;Hombre;Lluís Companys;0.0;;;;;;;1
Plaça de Ricard Camí;Hombre;Ricard Camí;0.0;;;;;;;1
plaça d'Agustí Bartra;Hombre;Agustí Bartra;0.0;;;;;;;
Carrer de Giralt i Serra;Hombre;Giralt i Serra;0.0;;;;;;;1
Carrer de Joan Abelló i Bufí;Hombre;Joan Abelló i Bufí;0.0;;;;;;;1
Carrer de Galileu;Hombre;Galileu;0.0;;;;;;;1
Carrer de Nicolau Talló;Hombre;Nicolau Talló;0.0;;;;;;;1
Plaça de Josep Freixa i Argemí;Hombre;Josep Freixa i Argemí;0.0;;;;;;;1
Carrer de Volta;Hombre;Volta;0.0;;;;;;;1
Carrer d'Ireneu;Hombre;Ireneu;0.0;;;;;;;1
Carrer del Doctor Ullés;Hombre;Doctor Ullés;0.0;;;;;;;1
Carrer d'Antoni Torrella;Hombre;Antoni Torrella;0.0;;;;;;;1
Carrer de Blasco de Garay;Hombre;Blasco de Garay;0.0;;;;;;;1
Carrer del Doctor Salvà;Hombre;Doctor Salvà;0.0;;;;;;;1
Carrer del Comte Borrell;Hombre;Comte Borrell;0.0;;;;;;;1
Carrer de Watt;Hombre;Watt;0.0;;;;;;;1
Carrer de l'Infant Martí;Hombre;l'Infant Martí;0.0;;;;;;;1
Carrer del Pare Llaurador;Hombre;Pare Llaurador;0.0;;;;;;;1
Carrer de Vázquez de Mella;Hombre;Vázquez de Mella;0.0;;;;;;;1
Carrer de Martí Díez;Hombre;Martí Díez;0.0;;;;;;;1
Avinguda d'Àngel Sallent;Hombre;Àngel Sallent;0.0;;;;;;;1
Carrer de l'Escultor Blay;Hombre;l'Escultor Blay;0.0;;;;;;;
Carrer de Manuel de Falla;Hombre;Manuel de Falla;0.0;;;;;;;
Avinguda de l'Abat Marcet;Hombre;l'Abat Marcet;0.0;;;;;;;
Carrer d'Adra;Hombre;Adra;0.0;;;;;;;
