Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Acuarelista Elías Marrero;Hombre;Acuarelista Elías Marrero;0;;;;;;;1
Adán;Hombre;Adán;1;;;;;;;
Paseo Adolfo Cutillas Lugo;Hombre;Adolfo Cutillas Lugo;0;;;;;;;1
Calle Agustin Espinosa;Hombre;Agustin Espinosa;0;;;;;;;
Calle Agustín Iturbide;Hombre;Agustín Iturbide;0;;;;;;;
Calle Agustín Millares;Hombre;Agustín Millares;0;;;;;;;1
Calle Albañil;NA;Albañil;0;;;;;;;
Calle Albert Einstein;Hombre;Albert Einstein;0;;;;;;;
Avenida Alcalde Alejandro Castro Jimenez;Hombre;Alcalde Alejandro Castro Jimenez;0;;;;;;;1
Alcalde Alejandro Castro Jimenez;Hombre;Alcalde Alejandro Castro Jimenez;0;;;;;;;1
Alcalde Alejandro Castro Jiménez;Hombre;Alcalde Alejandro Castro Jiménez;0;;;;;;;1
Avenida Alcalde Alejandro Castro Jiménez;Hombre;Alcalde Alejandro Castro Jiménez;0;;;;;;;1
Calle Alcalde Álvarez Mayor;Hombre;Alcalde Álvarez Mayor;0;;;;;;;
Calle Alcalde Antonio González;Hombre;Alcalde Antonio González;0;;;;;;;1
Calle Alcalde de Móstoles;Hombre;Alcalde de Móstoles;0;;;;;;;
Alcalde Juan Castro Álvarez;Hombre;Alcalde Juan Castro Álvarez;0;;;;;;;1
Calle Alcalde Luis Castro Ojeda;Hombre;Alcalde Luis Castro Ojeda;0;;;;;;;
Calle Alcalde Manuel Álvarez Cabrera;Hombre;Alcalde Manuel Álvarez Cabrera;0;;;;;;;
Calle Alcalde Manuel Álvarez Peña;Hombre;Alcalde Manuel Álvarez Peña;0;;;;;;;1
Calle Alcalde Manuel Amador Rodríguez;Hombre;Alcalde Manuel Amador Rodríguez;0;;;;;;;1
Calle Alejandro Dávila León;Hombre;Alejandro Dávila León;0;;;;;;;
Calle Alejandro Del Castillo;Hombre;Alejandro Del Castillo;0;;;;;;;
Calle Alejandro Hidalgo;Hombre;Alejandro Hidalgo;0;;;;;;;
Plazoleta Alejo Carpentier;Hombre;Alejo Carpentier;0;;;;;;;
Paseo Alejo Pérez Santana;Hombre;Alejo Pérez Santana;0;;;;;;;1
Calle Alexander Fleming;Hombre;Alexander Fleming;0;;;;;;;1
Calle Alexander Graham Bell;Hombre;Alexander Graham Bell;0;;;;;;;
Paseo del Alfarero;NA;Alfarero;0;;;;;;;
Calle Alférez José Ascanio;Hombre;Alférez José Ascanio;0;;;;;;;1
Calle Alférez Quintana Suárez;Hombre;Alférez Quintana Suárez;0;;;;;;;1
Calle Alfonso de Armas Ayala;Hombre;Alfonso de Armas Ayala;0;;;;;;;1
Calle Alfonso XIII;Hombre;Alfonso XIII;0;;;;;;;
Calle Alfred Nobel;Hombre;Alfred Nobel;0;;;;;;;
Calle Alonso Alvarado;Hombre;Alonso Alvarado;0;;;;;;;
