Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Arroyo Gadea;Mujer;Arroyo Gadea;;;;;;;;
Calle Dulcinea;Mujer;Dulcinea del Toboso;;1.0;personaje ficticio de la novela El ingenioso hidalgo don Quijote de la Mancha, escrita por Miguel de Cervantes;https://es.wikipedia.org/wiki/Dulcinea_del_Toboso;http://commons.wikimedia.org/wiki/Special:FilePath/1898-11-05%2C%20Blanco%20y%20Negro%2C%20En%20la%20Mancha%2C%20Dulcinea%20del%20Toboso%2C%20Cecilio%20Pla%20%28cropped%29.jpg;;;
Plaza de Santa Bárbara;Mujer;Bárbara de Nicomedia;1.0;;santa y mártir cristiana libanesa (273-306);https://es.wikipedia.org/wiki/B%C3%A1rbara_de_Nicomedia;http://commons.wikimedia.org/wiki/Special:FilePath/RAFAEL%20-%20Madonna%20Sixtina%20%28Gem%C3%A4ldegalerie%20Alter%20Meister%2C%20Dresden%2C%201513-14.%20%C3%93leo%20sobre%20lienzo%2C%20265%20x%20196%20cm%29%20%28cropped%29.jpg;0273-01-01T00:00:00Z;0306-01-01T00:00:00Z;
Plaza de Santa Bárbara;Mujer;Bárbara de Nicomedia;1.0;;santa y mártir cristiana libanesa (273-306);https://es.wikipedia.org/wiki/B%C3%A1rbara_de_Nicomedia;http://commons.wikimedia.org/wiki/Special:FilePath/RAFAEL%20-%20Madonna%20Sixtina%20%28Gem%C3%A4ldegalerie%20Alter%20Meister%2C%20Dresden%2C%201513-14.%20%C3%93leo%20sobre%20lienzo%2C%20265%20x%20196%20cm%29%20%28cropped%29.jpg;0273-01-01T00:00:00Z;0306-01-01T00:00:00Z;
Calle de Madre Vedruna;Mujer;Joaquina de Vedruna;1.0;;Fue una hermana carmelita;https://es.wikipedia.org/wiki/Joaquina_de_Vedruna;http://commons.wikimedia.org/wiki/Special:FilePath/Joaquima%20de%20V%2C%20Morell%2C%201903.jpg;1783-04-16T00:00:00Z;1854-08-28T00:00:00Z;
Calle Nuestra Señora de Fátima;Mujer;Virgen de Fátima;1.0;;advocación mariana del catolicismo;https://es.wikipedia.org/wiki/Virgen_de_F%C3%A1tima;http://commons.wikimedia.org/wiki/Special:FilePath/Fatima%20%283%29.jpg;;;
Calle Nuestra Señora de Lourdes;Mujer;Nuestra Señora de Lourdes;1.0;;Aparición Mariana;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Lourdes;http://commons.wikimedia.org/wiki/Special:FilePath/France-002009%20-%20Our%20Lady%20of%20Lourdes%20%2815774765182%29.jpg;;;
Calle Nuestra Señora de la Antigua;Mujer;Nuestra Señora de la Antigua;1.0;;;https://es.wikipedia.org/wiki/Virgen_de_la_Antigua;;;;
Calle de Nuestra Señora de la Guía;Mujer;Nuestra Señora de la Guía;1.0;;;https://es.wikipedia.org/wiki/Virgen_de_Gu%C3%ADa;;;;
Calle de Nuestra Señora de la Fuensanta;Mujer;Nuestra Señora de la Fuensanta;1.0;;;;;;;
Calle Nuestra Señora de las Nieves;Mujer;Virgen de las Nieves;1.0;;advocación mariana;https://es.wikipedia.org/wiki/Virgen_de_las_Nieves;http://commons.wikimedia.org/wiki/Special:FilePath/Our%20Lady%20of%20Snow.jpg;;;
Calle Santa Isabel;Mujer;Santa Isabel;1.0;;;;;;;1
Calle Santa Isabel;Mujer;Santa Isabel;1.0;;;;;;;1
Calle Nuestra Señora del Consuelo;Mujer;Nuestra Señora de la Esperanza y del Consuelo;1.0;;Titular de la Hermandad de Cristo Resucitado de Zaragoza;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_la_Esperanza_y_del_Consuelo;;;;
Calle de Nuestra Señora de la Guía;Mujer;Nuestra Señora de la Guía;1.0;;;https://es.wikipedia.org/wiki/Virgen_de_Gu%C3%ADa;;;;
