Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Carretera Torrejón - Ajalvir;NA;Torrejón - Ajalvir;0.0;;;;;;;1
Camino de la Ventosilla;NA;Ventosilla;0.0;;;;;;;
Calle del Ocio;NA;Ocio;0.0;;;;;;;
Calle de la Moda;NA;Moda;0.0;;;;;;;
Calle del Comercio;NA;Comercio;0.0;;;;;;;
Calle de José Echegaray;Hombre;José Echegaray;0.0;;;;;;;
Avenida de los Premios Nobel;NA;Premios Nobel;0.0;;;;;;;
Calle de Mario Vargas Llosa;Hombre;Mario Vargas Llosa;0.0;;;;;;;
Calle de Jacinto Benavente;Hombre;Jacinto Benavente;0.0;;;;;;;
Plaza de España;NA;España;0.0;;;;;;;1
Plaza Mayor;NA;Mayor;0.0;;;;;;;1
Calle de José Cadalso;Hombre;José Cadalso;0.0;;;;;;;
Plaza del Museo;NA;Museo;0.0;;;;;;;1
Plaza de La Habana;NA;Habana;0.0;;;;;;;1
Plaza Centro;NA;Centro;0.0;;;;;;;1
Glorieta de la Paz;NA;Paz;0.0;;;;;;;
Avenida de la Luna;NA;Luna;0.0;;;;;;;
Plaza del Progreso;NA;Progreso;0.0;;;;;;;
Carretera de Loeches;NA;Loeches;0.0;;;;;;;1
Calle de Hércules;Hombre;Hércules;0.0;;;;;;;
Calle de la Solana;NA;Solana;0.0;;;;;;;1
Calle del Metano;NA;Metano;0.0;;;;;;;
Avenida de la Constitución;NA;Constitución;0.0;;;;;;;1
Calle del Cobre;NA;Cobre;0.0;;;;;;;
Avenida del Sol;NA;Sol;0.0;;;;;;;1
Calle de Enmedio;NA;Enmedio;0.0;;;;;;;1
Calle de la Forja;NA;Forja;0.0;;;;;;;
Calle de Cemento;NA;Cemento;0.0;;;;;;;
Calle de la Circunvalación;NA;Circunvalación;0.0;;;;;;;
Calle de Alcuñeza;NA;Alcuñeza;0.0;;;;;;;
Calle del Carbono;NA;Carbono;0.0;;;;;;;1
Calle de Arganda;NA;Arganda;0.0;;;;;;;1
Calle de Homero;Hombre;Homero;0.0;;;;;;;1
