Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaça de la Mare de Déu de la Pau;Mujer;Mare de Déu de la Pau;1.0;;;;;;;
Plaça d'Amparo Arce Miralles;Mujer;Amparo Arce Miralles;;;;;;;;
Plaça de la Mare de Déu de l'Empar;Mujer;Mare de Déu de l'Empar;1.0;;;;;;;
Plaça de Margarita Valldaura;Mujer;Margarita Valldaura;;;burgesa valenciana, esposa de Joan Lluís Vives;https://es.wikipedia.org/wiki/Margarita_Valldaura;;1505-01-01T00:00:00Z;1552-01-01T00:00:00Z;
Plaça de Santa Úrsula;Mujer;Santa Úrsula;1.0;;;https://es.wikipedia.org/wiki/%C3%9Arsula_de_Colonia;;;;
Plaça de Santa Catalina;Mujer;Catalina de Siena;1.0;;religiosa dominica y doctora de la Iglesia católica.;https://es.wikipedia.org/wiki/Catalina_de_Siena;http://commons.wikimedia.org/wiki/Special:FilePath/Catherine%20of%20Siena.jpg;1347-04-02T00:00:00Z;1380-05-07T00:00:00Z;
Carrer de la Beata;Mujer;Beata;1.0;;denominación que se daba a ciertas mujeres piadosas que vivían apartadas del mundo;https://es.wikipedia.org/wiki/Beata_(m%C3%ADstica);;;;
Carrer de Santa Teresa;Mujer;Teresa de Jesús;1.0;;religiosa castellana;https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs;http://commons.wikimedia.org/wiki/Special:FilePath/Teresa%20de%20Jes%C3%BAs%20%28cropped%29.jpg;1515-04-07T00:00:00Z;1582-10-15T00:00:00Z;
Carrer de la Bisbessa;Mujer;Bisbessa;1.0;;;;;;;1
Carrer de Maria Llàcer;Mujer;Maria Llàcer Rodrigo;;;soprano valenciana;https://es.wikipedia.org/wiki/Mar%C3%ADa_Ll%C3%A1cer_Rodrigo;;1888-03-19T00:00:00Z;1962-01-01T00:00:00Z;
Carrer de la Mare de Déu de Gràcia;Mujer;Mare de Déu de Gràcia;1.0;;;;;;;
Carrer d'Isabel la Catòlica;Mujer;Isabel I de Castilla;;;reina de la Corona Castellana (Castilla-León);https://es.wikipedia.org/wiki/Isabel_I_de_Castilla;http://commons.wikimedia.org/wiki/Special:FilePath/IsabellaofCastile03.jpg;1451-05-01T00:00:00Z;1504-12-06T00:00:00Z;
Plaça de la Reina;Mujer;Reina;;;;;;;;
