Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Avenida de Samil;NA;Samil;0.0;;;;;;;
Rúa de Canido;NA;Canido;0.0;;;;;;;
Ponte de Lagares;NA;Ponte de Lagares;0.0;;;;;;;
Rúa Río;NA;Río;0.0;;;;;;;
Camiño da Garita;NA;Garita;0.0;;;;;;;
Rúa Dunas de Samil;NA;Dunas de Samil;0.0;;;;;;;
Rúa Rego da Pulida;NA;Rego da Pulida;0.0;;;;;;;
Rúa da Robaleira;NA;Robaleira;0.0;;;;;;;
Rúa Salgueiral;NA;Salgueiral;0.0;;;;;;;
Rúa Redondo;NA;Redondo;0.0;;;;;;;
Rúa das Sainas;NA;Sainas;0.0;;;;;;;
Camiño do Río;NA;Río;0.0;;;;;;;
Camino de Poulo Pozo;Hombre;Poulo Pozo;0.0;;;;;;;
Camino de Marans Samil;Hombre;Marans Samil;0.0;;;;;;;
Rúa Carrasqueira;NA;Carrasqueira;0.0;;;;;;;
Rúa Combro;NA;Combro;0.0;;;;;;;
Subida Monte Carrasqueria;NA;Monte Carrasqueria;0.0;;;;;;;
Camiño de Veigas;NA;Veigas;0.0;;;;;;;
Camiño Silveira;NA;Silveira;0.0;;;;;;;
Camino Breadouro;NA;Breadouro;0.0;;;;;;;
Avenida de Europa;NA;Europa;0.0;;;;;;;
Baixada a Samil;NA;Samil;0.0;;;;;;;
Paseo do Lagares;NA;Lagares;0.0;;;;;;;
Camiño do Faro da Porta;NA;Faro da Porta;0.0;;;;;;;
Muelle de Rodas;NA;Rodas;0.0;;;;;;;
Camiño das Fontes;NA;Fontes;0.0;;;;;;;
Rúa Argazada;NA;Argazada;0.0;;;;;;;
Camiño das Pertegueiras;NA;Pertegueiras;0.0;;;;;;;
Praza da Independencia;NA;Independencia;0.0;;;;;;;
Praza do Berbés;NA;Berbés;0.0;;;;;;;1
Praza do Rei;NA;Rei;0.0;;;;;;;1
Praza de Portugal;NA;Portugal;0.0;;;;;;;1
Praza da Constitución;NA;Constitución;0.0;;;;;;;1
Praza da Igrexa;NA;Igrexa;0.0;;;;;;;1
Praza da Pedra;NA;Pedra;0.0;;;;;;;1
Praza da Estrela;NA;Estrela;0.0;;;;;;;1
Praza da Estación;NA;Estación;0.0;;;;;;;
Porta do Sol;NA;Porta do Sol;0.0;;;;;;;1
Praza M. Diego Santos;Hombre;M. Diego Santos;0.0;;;;;;;
Praza 8 de Marzo;NA;8 de Marzo;0.0;;;;;;;
Praza dos Pescadores;NA;Pescadores;0.0;;;;;;;1
Praza da Consolacion;NA;Consolacion;0.0;;;;;;;
Praza de Peniche;NA;Peniche;0.0;;;;;;;
Praza Calatrava;NA;Calatrava;0.0;;;;;;;1
Paseo de Alfonso XII;Hombre;Alfonso XII;0.0;;;;;;;1
Avenida de Madrid;NA;Madrid;0.0;;;;;;;
Plaza de España;NA;España;0.0;;;;;;;
Rúa do Pracer;NA;Pracer;0.0;;;;;;;1
Rúa Celso Emilio Ferreiro;Hombre;Celso Emilio Ferreiro;0.0;;;;;;;1
Travesía de Marqués Alcedo;Hombre;Marqués Alcedo;0.0;;;;;;;1
Rúa Nicaragua;NA;Nicaragua;0.0;;;;;;;1
Avenida de Ramón Nieto;Hombre;Ramón Nieto;0.0;;;;;;;
Avenida da Ponte;NA;Ponte;0.0;;;;;;;
Estrada das Plantas;NA;Plantas;0.0;;;;;;;
Estrada de acceso ao CUVI;NA;acceso ao CUVI;0.0;;;;;;;
Rúa Penís;NA;Penís;0.0;;;;;;;
Camiño da Fonte;NA;Fonte;0.0;;;;;;;
Avenida Martínez Garrido;Hombre;Martínez Garrido;0.0;;;;;;;
Rúa Paredes;NA;Paredes;0.0;;;;;;;
Rúa da Regueira;NA;Regueira;0.0;;;;;;;
Rúa da Fontaiña;NA;Fontaiña;0.0;;;;;;;
Rúa Couto;NA;Couto;0.0;;;;;;;1
Rúa Eduardo Cabello;Hombre;Eduardo Cabello;0.0;;;;;;;
Rúa Riomao;NA;Riomao;0.0;;;;;;;
Avenida Beiramar;NA;Beiramar;0.0;;;;;;;
Rúa Parachán;NA;Parachán;0.0;;;;;;;
Estrada Vella de Madrid;NA;Vella de Madrid;0.0;;;;;;;
Rúa da Viña Grande;NA;Viña Grande;0.0;;;;;;;
Rúa Manuel Álvarez;Hombre;Manuel Álvarez;0.0;;;;;;;
Rúa Trovador Meendiño;Hombre;Trovador Meendiño;0.0;;;;;;;1
Rúa de Manuel Olivié;Hombre;Manuel Olivié;0.0;;;;;;;1
Rúa Bagunda;NA;Bagunda;0.0;;;;;;;
Rúa de Gandarón;NA;Gandarón;0.0;;;;;;;
Rúa Severino Covas;Hombre;Severino Covas;0.0;;;;;;;
Rúa Coutada Nova;NA;Coutada Nova;0.0;;;;;;;
Rúa de Gondarisco;NA;Gondarisco;0.0;;;;;;;
Camiño da Xestiña;NA;Xestiña;0.0;;;;;;;
Rúa da Becerreira;NA;Becerreira;0.0;;;;;;;
Camiño Narxo;NA;Narxo;0.0;;;;;;;
Rúa Molais;NA;Molais;0.0;;;;;;;
Rúa Lomba;NA;Lomba;0.0;;;;;;;
Avenida de Santa Mariña;Mujer;Santa Mariña;1.0;;;;;;;
Rúa Figueiras;NA;Figueiras;0.0;;;;;;;
Avenida do Tranvia;NA;Tranvia;0.0;;;;;;;
Avenida Antonio Palacios;Hombre;Antonio Palacios;0.0;;;;;;;
Camiño da Bouciña;NA;Bouciña;0.0;;;;;;;
Autovía del Atlántico;NA;Autovía del Atlántico;0.0;;;;;;;
Rúa do Loureiro;NA;Loureiro;0.0;;;;;;;
Camiño da Chamuscada;NA;Chamuscada;0.0;;;;;;;
