Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Victoria Kent;Mujer;Victoria Kent;;;política española;https://es.wikipedia.org/wiki/Victoria_Kent;http://commons.wikimedia.org/wiki/Special:FilePath/Victoria%20Kent.png;1892-02-09T00:00:00Z;1987-09-25T00:00:00Z;
Senda de Santa Agueda;Mujer;Águeda de Catania;1.0;;santa, virgen y mártir cristiana;https://es.wikipedia.org/wiki/%C3%81gueda_de_Catania;http://commons.wikimedia.org/wiki/Special:FilePath/IcoonAgatha.jpg;0235-09-08T00:00:00Z;0261-02-05T00:00:00Z;
Calle Santa Isabel;Mujer;Isabel;1.0;;madre de Juan el bautista;https://es.wikipedia.org/wiki/Isabel_(madre_de_Juan_el_Bautista);http://commons.wikimedia.org/wiki/Special:FilePath/Champaigne%20visitation.jpg;-0100-01-01T00:00:00Z;0100-01-01T00:00:00Z;1
Calle Marie Curie;Mujer;Marie Curie;;;física y química polaco-francesa;https://es.wikipedia.org/wiki/Marie_Curie;http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Curie%20c.%201920s.jpg;1867-11-07T00:00:00Z;1934-07-04T00:00:00Z;
Calle Loreto de Arriola;Mujer;Loreto de Arriola;;;;;;;;
Calle Ángela Figuera Aymerich;Mujer;Ángela Figuera Aymerich;;;escritora española (1902-1984);https://es.wikipedia.org/wiki/%C3%81ngela_Figuera_Aymerich;;1902-10-30T00:00:00Z;1984-04-02T00:00:00Z;
Calle Ernestina de Champourcín;Mujer;Ernestina de Champourcín;;;poetisa española;https://es.wikipedia.org/wiki/Ernestina_de_Champourc%C3%ADn;http://commons.wikimedia.org/wiki/Special:FilePath/E.%20Champourcin%20y%20E.Checa.jpg;1905-07-10T00:00:00Z;1999-03-27T00:00:00Z;
Calle María Teresa León;Mujer;María Teresa León;;;Escritora española (1903-1988);https://es.wikipedia.org/wiki/Mar%C3%ADa_Teresa_Le%C3%B3n;http://commons.wikimedia.org/wiki/Special:FilePath/Maria-teresa-goyri1.jpg;1903-10-31T00:00:00Z;1988-12-13T00:00:00Z;
Calle Coronación de la Virgen Blanca;Mujer;Coronación de la Virgen Blanca;1.0;;;https://es.wikipedia.org/wiki/Coronaci%C3%B3n_de_la_Virgen;;;;
Calle Juana Jugán;Mujer;Juana Jugan;1.0;;religiosa francesa;https://es.wikipedia.org/wiki/Juana_Jugan;http://commons.wikimedia.org/wiki/Special:FilePath/Jeanne%20Jugan.jpg;1792-10-25T00:00:00Z;1879-10-25T00:00:00Z;
Calle Santa Olaja de Acero;Mujer;Santa Olaja de Acero;1.0;;;;;;;
Avenida Nuestra Señora de Estíbaliz;Mujer;Nuestra Señora de Estíbaliz;1.0;;;;;;;1
Avenida Reina Sofía;Mujer;Sofía de Grecia;;;Reina consorte de España (1975-2014);https://es.wikipedia.org/wiki/Sof%C3%ADa_de_Grecia;http://commons.wikimedia.org/wiki/Special:FilePath/Karaliene%20Sofija%20%28cropped%29.jpg;1938-11-02T00:00:00Z;;
Calle Emilia Pardo Bazán;Mujer;Emilia Pardo Bazán;;;escritora española;https://es.wikipedia.org/wiki/Emilia_Pardo_Baz%C3%A1n;http://commons.wikimedia.org/wiki/Special:FilePath/1921-05-21%2C%20La%20Esfera%2C%20Condesa%20de%20Pardo%20Baz%C3%A1n%2C%20Gamonal.jpg;1851-09-16T00:00:00Z;1921-05-12T00:00:00Z;
Calle Santa Catalina;Mujer;Catalina de Siena;1.0;;religiosa dominica y doctora de la Iglesia católica.;https://es.wikipedia.org/wiki/Catalina_de_Siena;http://commons.wikimedia.org/wiki/Special:FilePath/Catherine%20of%20Siena.jpg;1347-04-02T00:00:00Z;1380-05-07T00:00:00Z;
Calle Santa Espina;NA;Santa Espina;1.0;;;;;;;
Calle Santa Eulalia;Mujer;Eulalia de Barcelona;1.0;;santa española;https://es.wikipedia.org/wiki/Eulalia_de_Barcelona;http://commons.wikimedia.org/wiki/Special:FilePath/Barcelona%20Cathedral%20Interior%20-%20Saint%20Eulalia%20of%20Barcelona%20by%20Pedro%20Garc%C3%ADa%20de%20Benavarre.jpg;0290-01-01T00:00:00Z;0303-01-01T00:00:00Z;
Calle Margarita Nelken;Mujer;Margarita Nelken;;;escritora, crítica de arte y política española;https://es.wikipedia.org/wiki/Margarita_Nelken;http://commons.wikimedia.org/wiki/Special:FilePath/Margarita%20Nelken%2C%20en%20Mundo%20Gr%C3%A1fico.jpg;1894-07-05T00:00:00Z;1968-03-09T00:00:00Z;
Calle Clara Campoamor;Mujer;Clara Campoamor;;;política española, feminista;https://es.wikipedia.org/wiki/Clara_Campoamor;http://commons.wikimedia.org/wiki/Special:FilePath/Clara%20Campoamor.png;1888-02-12T00:00:00Z;1972-04-30T00:00:00Z;
Calle Coronación de la Virgen Blanca;Mujer;Coronación de la Virgen Blanca;1.0;;;;;;;
Plaza de Nuestra Señora de los Desamparados;Mujer;Virgen de los Desamparados;1.0;;advocación mariana patrona de Valencia;https://es.wikipedia.org/wiki/Virgen_de_los_Desamparados;http://commons.wikimedia.org/wiki/Special:FilePath/Est%C3%A0tua%20de%20la%20mare%20de%20D%C3%A9u%20dels%20Desemparats%20a%20la%20seua%20bas%C3%ADlica%20de%20Val%C3%A8ncia.JPG;;;1
Calle Nieves Cano;Mujer;Nieves Cano;;;;;;;;1
Calle Micaela Portilla;Mujer;Micaela Portilla;;;antropóloga, historiadora y pedagoga española;https://es.wikipedia.org/wiki/Micaela_Portilla;http://commons.wikimedia.org/wiki/Special:FilePath/Mikaela%20Portilla.%20Antropologoa%2C%20pedagogoa%2C%20historialaria.jpg;1922-07-30T00:00:00Z;2005-10-08T00:00:00Z;1
Calle Santa Lucía;Mujer;Lucía de Siracusa;1.0;;mártir cristiana;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa;http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Lucy%20by%20Domenico%20di%20Pace%20Beccafumi.jpg;0283-01-01T00:00:00Z;0304-01-01T00:00:00Z;1
Calle Rosalía de Castro;Mujer;Rosalía de Castro;;;poetisa y novelista gallega;https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Castro;http://commons.wikimedia.org/wiki/Special:FilePath/Rosal%C3%ADa%20Castro%20de%20Murgu%C3%ADa%20por%20Luis%20Sellier.jpg;1838-02-23T00:00:00Z;1885-07-15T00:00:00Z;
Camino de Santa Teresa;Mujer;Teresa de Jesús;1.0;;religiosa castellana;https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs;http://commons.wikimedia.org/wiki/Special:FilePath/Teresa%20de%20Jes%C3%BAs%20%28cropped%29.jpg;1515-04-07T00:00:00Z;1582-10-15T00:00:00Z;
Calle Miren Martínez Sáez del Burgo;Mujer;Miren Martínez Sáez del Burgo;;;;;;;;
Calle Santa María Josefa del Corazón de Jesús;Mujer;María Josefa Sancho;1.0;;religiosa española;https://es.wikipedia.org/wiki/Mar%C3%ADa_Josefa_Sancho;http://commons.wikimedia.org/wiki/Special:FilePath/MSanchodeGuerra.jpg;1842-09-07T00:00:00Z;1912-03-20T00:00:00Z;
Calle Madre Teresa de Calcuta;Mujer;Teresa de Calcuta;1.0;;santa católica de origen albanés (1910-1997);https://es.wikipedia.org/wiki/Teresa_de_Calcuta;http://commons.wikimedia.org/wiki/Special:FilePath/MotherTeresa%20090.jpg;1910-08-26T00:00:00Z;1997-09-05T00:00:00Z;
Calle Concha Espina;Mujer;Concha Espina;;;escritora española;https://es.wikipedia.org/wiki/Concha_Espina;http://commons.wikimedia.org/wiki/Special:FilePath/1920%2C%20Historia%20de%20la%20lengua%20y%20literatura%20castellana%2C%20Concha%20Espina.jpg;1869-05-15T00:00:00Z;1955-05-19T00:00:00Z;
Calle Felicia Olave;Mujer;Felicia Olave Salaverri;;;mecenas vitoriana;https://es.wikipedia.org/wiki/Felicia_Olave_Salaverri;http://commons.wikimedia.org/wiki/Special:FilePath/Misterio%20Gozoso%20del%20Rosario%20de%20los%20Faroles.%20Museo%20de%20los%20Faroles%20de%20Vitoria.png;1838-05-09T00:00:00Z;1912-01-01T00:00:00Z;
Calle Gertrudis Gómez de Avellaneda;Mujer;Gertrudis Gómez de Avellaneda;;;escritora cubano-española;https://es.wikipedia.org/wiki/Gertrudis_G%C3%B3mez_de_Avellaneda;http://commons.wikimedia.org/wiki/Special:FilePath/FEDERICO%20DE%20MADRAZO%20-Gertrudis%20G%C3%B3mez%20de%20Avellaneda%20%28Museo%20L%C3%A1zaro%20Galdiano%2C%201857%29.jpg;1814-12-11T00:00:00Z;1873-02-01T00:00:00Z;
Plaza de Santa Bárbara;Mujer;Bárbara de Nicomedia;1.0;;santa y mártir cristiana libanesa (273-306);https://es.wikipedia.org/wiki/B%C3%A1rbara_de_Nicomedia;http://commons.wikimedia.org/wiki/Special:FilePath/RAFAEL%20-%20Madonna%20Sixtina%20%28Gem%C3%A4ldegalerie%20Alter%20Meister%2C%20Dresden%2C%201513-14.%20%C3%93leo%20sobre%20lienzo%2C%20265%20x%20196%20cm%29%20%28cropped%29.jpg;0273-01-01T00:00:00Z;0306-01-01T00:00:00Z;1
Calle Madre Vedruna;Mujer;Joaquina de Vedruna;1.0;;Fue una hermana carmelita;https://es.wikipedia.org/wiki/Joaquina_de_Vedruna;http://commons.wikimedia.org/wiki/Special:FilePath/Joaquima%20de%20V%2C%20Morell%2C%201903.jpg;1783-04-16T00:00:00Z;1854-08-28T00:00:00Z;1
Calle Antonia María de Oviedo;Mujer;Antonia María de Oviedo y Schönthal;1.0;;pedagoga y religiosa suiza;https://es.wikipedia.org/wiki/Antonia_Mar%C3%ADa_de_Oviedo_y_Sch%C3%B6nthal;http://commons.wikimedia.org/wiki/Special:FilePath/La%20Madre%20Antonia.jpg;1822-03-16T00:00:00Z;1898-02-28T00:00:00Z;
Calle Isabel Orbe;Mujer;Isabel Orbe;;;psiquiatra española;https://es.wikipedia.org/wiki/Isabel_Orbe;;1945-01-01T00:00:00Z;1995-01-01T00:00:00Z;
Calle Toni Morrison;Mujer;Toni Morrison;;;escritora estadounidense;https://es.wikipedia.org/wiki/Toni_Morrison;http://commons.wikimedia.org/wiki/Special:FilePath/Toni%20Morrison.jpg;1931-02-18T00:00:00Z;2019-08-05T00:00:00Z;
Calle Doris Lessing;Mujer;Doris Lessing;;;escritora británica y premio Nobel de Literatura 2007;https://es.wikipedia.org/wiki/Doris_Lessing;http://commons.wikimedia.org/wiki/Special:FilePath/Doris%20Lessing%203.jpg;1919-10-22T00:00:00Z;2013-11-17T00:00:00Z;
Calle Nadine Gordimer;Mujer;Nadine Gordimer;;;escritora sudafricana (1923-2014);https://es.wikipedia.org/wiki/Nadine_Gordimer;http://commons.wikimedia.org/wiki/Special:FilePath/Nadine%20Gordimer%2001.JPG;1923-11-20T00:00:00Z;2014-07-13T00:00:00Z;
Calle Mariana Pineda Muñoz;Mujer;Mariana Pineda;;;Liberal española del siglo XIX;https://es.wikipedia.org/wiki/Mariana_Pineda;http://commons.wikimedia.org/wiki/Special:FilePath/Mariana%20pineda5.JPG;1804-09-01T00:00:00Z;1831-05-26T00:00:00Z;
Calle de Nuestra Señora del Cabello;Mujer;Nuestra Señora del Cabello;1.0;;;;;;;1
Calle Isabel Urkiola;Mujer;Isabel de Urquiola;;;Exploradora española;https://es.wikipedia.org/wiki/Isabel_de_Urquiola;http://commons.wikimedia.org/wiki/Special:FilePath/Isabel%20de%20Urquiola.jpg;1854-07-08T00:00:00Z;1911-01-01T00:00:00Z;
Calle Andra Mari de Ibérnalo;Mujer;Andra Mari de Ibérnalo;1.0;;;;;;;
Calle Andra Mari de Angosto;Mujer;Andra Mari de Angosto;1.0;;;https://es.wikipedia.org/wiki/Virgen_de_Angosto;;;;
Andra Mari de Eskolunbe;Mujer;Andra Mari de Eskolunbe;1.0;;;;;;;
Calle Andra Mari de Eskolunbe;Mujer;Andra Mari de Eskolunbe;1.0;;;;;;;
Calle Gabriela Mistral;Mujer;Gabriela Mistral;;;poetisa, diplomática y profesora chilena;https://es.wikipedia.org/wiki/Gabriela_Mistral;http://commons.wikimedia.org/wiki/Special:FilePath/Gabriela%20Mistral%201945.jpg;1889-04-07T00:00:00Z;1957-01-10T00:00:00Z;
Calle Marta Mata i Garriga;Mujer;Marta Mata;;;Pedagoga y política española del siglo XX impulsora de la Asociación de Maestros Rosa Sensat;https://es.wikipedia.org/wiki/Marta_Mata;http://commons.wikimedia.org/wiki/Special:FilePath/Marta%20Mata%202006%20Reuni%C3%B3n%20en%20el%20Senado%20de%20la%20diputadas%20y%20senadoras%20de%20la%20Legislatura%20Constituyente.jpg;1926-06-22T00:00:00Z;2006-06-27T00:00:00Z;
Calle Dolores Ibárruri Gómez;Mujer;Dolores Ibárruri;;;política española;https://es.wikipedia.org/wiki/Dolores_Ib%C3%A1rruri;http://commons.wikimedia.org/wiki/Special:FilePath/Dolores002.jpg;1895-12-09T00:00:00Z;1989-11-12T00:00:00Z;
Calle María Lejarraga García;Mujer;María de la O Lejárraga;;;política y escritora española;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_la_O_Lej%C3%A1rraga;http://commons.wikimedia.org/wiki/Special:FilePath/Mar%C3%ADa%20de%20la%20O%20by%20Julio%20Romero%20de%20Torres.jpg;1874-12-28T00:00:00Z;1974-06-28T00:00:00Z;
Calle Andra Mari de Toloño;Mujer;Andra Mari de Toloño;1.0;;;;;;;
Calle Andra Mari de la Encina;Mujer;Andra Mari de la Encina;1.0;;;;;;;
Cantón de Santa Ana;Mujer;Santa Ana;1.0;;;;;;;1
Calle Paula Montal;Mujer;Paula Montal;1.0;;;https://es.wikipedia.org/wiki/Paula_Montal;;;;
Calle Fundadora de las Siervas de Jesús;Mujer;María Josefa Sancho;1.0;;religiosa española;https://es.wikipedia.org/wiki/Mar%C3%ADa_Josefa_Sancho;http://commons.wikimedia.org/wiki/Special:FilePath/MSanchodeGuerra.jpg;1842-09-07T00:00:00Z;1912-03-20T00:00:00Z;1
Calle Coronela Ibaibarriaga;Mujer;Martina Ibaibarriaga;;;militar española;https://es.wikipedia.org/wiki/Martina_Ibaibarriaga;http://commons.wikimedia.org/wiki/Special:FilePath/Ibaibarriaga%20koroneltsaren%20kalea.jpg;1788-01-26T00:00:00Z;1849-06-06T00:00:00Z;
Calle Begoña;Mujer;Begoña;;;;;;;;
Calle Magdalena;Mujer;Magdalena;;;;;;;;1
Calle Maite Zúñiga;Mujer;Maite Zúñiga;;;atleta española;https://es.wikipedia.org/wiki/Maite_Z%C3%BA%C3%B1iga;;1964-12-28T00:00:00Z;;
Maite Zuñiga Kalea;Mujer;Maite Zúñiga;;;atleta española;https://es.wikipedia.org/wiki/Maite_Z%C3%BA%C3%B1iga;;1964-12-28T00:00:00Z;;
Calle Concpeción Arenal Ponte;Mujer;Concepción Arenal;;;escritora, abogada y proto-trabajadora social española;https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal;http://commons.wikimedia.org/wiki/Special:FilePath/Concepcion%20Arenal%201.jpg;1820-01-31T00:00:00Z;1893-02-04T00:00:00Z;
Calle Bizenta Mogel;Mujer;Bizenta Mogel;;;;;;;;1
Plaza Sor Sofía;Mujer;Sor Sofía;1.0;;;;;;;
Calle Pintor Carlos Sáez de Tejada;Hombre;Pintor Carlos Sáez de Tejada;;;;;;;;1
Calle Pintor Miguel Jimeno de Lahidalga;Hombre;Pintor Miguel Jimeno de Lahidalga;;;;;;;;1
Calle Pintor Obdulio López de Uralde;Hombre;Pintor Obdulio López de Uralde;;;;;;;;
