Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Nuestra Señora del Carmen;Mujer;Virgen del Carmen;1.0;;advocación de la Virgen María;https://es.wikipedia.org/wiki/Virgen_del_Carmen;http://commons.wikimedia.org/wiki/Special:FilePath/HuitzoCarmen.jpg;;;
Plaza Arnal Gorría (Dorotea Arnal Gorría);Mujer;Arnal Gorría (Dorotea Arnal Gorría);;;;;;;;
Calle Virgen de la Rosa;Mujer;Virgen de la rosa;1.0;;cuadro de Rafael Sanzio;https://es.wikipedia.org/wiki/Virgen_de_la_rosa;http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%20Santi%20-%20Madonna%20della%20Rosa%20%28Prado%29.jpg;;;
Calle Francisca Millán Serrano;Mujer;Francisca Millán Serrano;;;;https://es.wikipedia.org/wiki/Francisca_Mill%C3%A1n_Serrano;;;;
Calle Nuestra Señora de Loreto;Mujer;Nuestra Señora de Loreto;1.0;;;https://es.wikipedia.org/wiki/Virgen_de_Loreto;;;;
Calle Santa Bárbara;Mujer;Bárbara de Nicomedia;1.0;;santa y mártir cristiana libanesa (273-306);https://es.wikipedia.org/wiki/B%C3%A1rbara_de_Nicomedia;http://commons.wikimedia.org/wiki/Special:FilePath/RAFAEL%20-%20Madonna%20Sixtina%20%28Gem%C3%A4ldegalerie%20Alter%20Meister%2C%20Dresden%2C%201513-14.%20%C3%93leo%20sobre%20lienzo%2C%20265%20x%20196%20cm%29%20%28cropped%29.jpg;0273-01-01T00:00:00Z;0306-01-01T00:00:00Z;
Calle Nuestra Señora del Rosario;Mujer;Virgen del Rosario;1.0;;advocación mariana;https://es.wikipedia.org/wiki/Virgen_del_Rosario;http://commons.wikimedia.org/wiki/Special:FilePath/Matka%20Bo%C5%BCa%20Pompeja%C5%84ska%2C%20Beata%20Vergine%20del%20Santo%20Rosario%20di%20Pompei%2C%20Blessed%20Virgin%20of%20the%20Rosary%20of%20Pompei.jpg;;;
Calle La Sagrada;Mujer;Sagrada;1.0;;;;;;;
Calle Águeda Centenera Gómez;Mujer;Águeda Centenera Gómez;;;;;;;;
Calle Jacinta Bartolomé;Mujer;Jacinta Bartolomé;;;;;;;;
Calle Santa Ana (Monzalbarba);Mujer;Ana;1.0;;madre de la Virgen María;https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa);http://commons.wikimedia.org/wiki/Special:FilePath/Faras%20Saint%20Anne%20%28detail%29.jpg;-0054-01-01T00:00:00Z;0012-01-01T00:00:00Z;
Calle Nuestra Señora de la Sagrada;Mujer;Nuestra Señora de la Sagrada;1.0;;;;;;;
Camino Santa Bárbara;Mujer;Bárbara de Nicomedia;1.0;;santa y mártir cristiana libanesa (273-306);https://es.wikipedia.org/wiki/B%C3%A1rbara_de_Nicomedia;http://commons.wikimedia.org/wiki/Special:FilePath/RAFAEL%20-%20Madonna%20Sixtina%20%28Gem%C3%A4ldegalerie%20Alter%20Meister%2C%20Dresden%2C%201513-14.%20%C3%93leo%20sobre%20lienzo%2C%20265%20x%20196%20cm%29%20%28cropped%29.jpg;0273-01-01T00:00:00Z;0306-01-01T00:00:00Z;
